"acu","Achuar"
"afr","Afrikaans"
"agr","Aguaruna"
"ake","Akawayo"
"als","Albano"
"amh","Amhárico"
"amu","Amuzgo"
"arb","Árabe"
"arc","Siríaco"
"bsn","Barasana"
"bul","Búlgaro"
"cak","Cachiquel"
"ceb","Cebuano"
"ces","Checo"
"cha","Chamorro"
"chj","Chinanteco"
"chr","Cheroqui"
"cjp","Cabécar"
"cmn","Chino"
"cni","Asháninka"
"cop","Copto"
"dan","Danés"
"deu","Alemán"
"dik","Dinka"
"dje","Zarma"
"djk","Ndyuka"
"dop","Lukpa"
"ell","Griego"
"eng","Inglés"
"epo","Esperanto"
"est","Estonio"
"eus","Euskera"
"ewe","Ewe"
"fin","Finés"
"fra","Francés"
"gbi","Galela"
"gla","Escocés"
"glv","Manés"
"guj","Guyaratí"
"hat","Criollo haitiano"
"heb","Hebreo"
"hin","Hindi"
"hrv","Croata"
"hun","Húngaro"
"hye","Armenio"
"ind","Indonesio"
"isl","Islandés"
"ita","Italiano"
"jai","Jacalteco"
"jiv","Shuar"
"jpn","Japonés"
"kab","Cabilio"
"kan","Canarés"
"kbh","Camsá"
"kek","Kekchí"
"kor","Coreano"
"lat","Latín"
"lav","Letón"
"lit","Lituano"
"mal","Malabar"
"mam","Mam"
"mar","Marathi"
"mri","Maorí"
"mya","Birmano"
"nep","Nepalí"
"nhg","Nahuatl"
"nld","Neerlandés"
"nor","Noruego"
"ojb","Ojibwa"
"pck","Paite"
"pes","Persa"
"plt","Malgache"
"pol","Polaco"
"por","Portugués"
"pot","Potawatomi"
"ppk","Uma"
"quc","Quiché"
"quw","Quechua"
"rmn","Romaní"
"ron","Rumano"
"rus","Ruso"
"shi","Tashelhit"
"slk","Eslovaco"
"slv","Esloveno"
"sna","Shona"
"som","Somalí"
"spa","Español"
"srp","Serbio"
"swe","Sueco"
"swh","Suajili"
"tel","Telugu"
"tgl","Tagalo"
"tha","Tailandés"
"ttq","Tamajaq"
"tur","Turco"
"ukr","Ucraniano"
"usp","Uspanteco"
"vie","Vietnamita"
"wal","Welayta"
"wol","Wólof"
"xho","Xhosa"
"zul","Zulú"
