"ain",14210
"ina",13371
" nu",11495
" tu",11474
" ai",10969
"ura",10668
"chi",9701
"a n",9402
"mia",8670
"int",8655
"cha",8564
"tai",8506
"ra ",8372
"ka ",7914
"nau",7873
"ngk",7477
"asa",7376
" wa",7296
"ram",7279
"in ",7232
"ich",7160
"nts",7146
"ara",7001
"u a",6725
"Tur",6717
"ai ",6172
"ha ",6118
"sar",6072
"i. ",6071
"tin",6027
" ch",5965
"nun",5907
"wai",5853
"a a",5794
"sha",5783
"ayi",5754
" ni",5683
"au ",5680
"am ",5574
"yi.",5520
"Yus",5442
"iay",5254
"aka",5189
" as",5061
"tsu",5061
"amt",5036
"iki",5020
"ia ",4962
" Yu",4957
"arm",4863
"kia",4794
"jai",4786
"hic",4676
"usa",4608
"awa",4599
"tur",4554
"mta",4550
"ai.",4480
"rin",4433
"una",4387
" Tu",4373
"eka",4336
"uka",4315
"an ",4286
"i t",4283
". T",4265
"nam",4144
"un ",4121
"ita",4059
"tim",4057
"ata",4056
"ama",4041
"umi",4033
"a t",3927
"uni",3802
" ne",3786
"ang",3780
" na",3771
"aja",3769
"rum",3766
"i, ",3760
"n a",3733
"ri ",3713
"nin",3687
"nui",3655
"tus",3648
"ash",3647
"a, ",3633
"ar ",3624
" pu",3612
"nak",3546
"puj",3531
"san",3514
"aya",3505
"art",3501
"ach",3473
" at",3405
"nia",3396
"kar",3390
"ni ",3317
"ham",3306
"na ",3298
"min",3280
"sam",3274
"nti",3266
"uit",3248
"nek",3217
"tum",3215
" ta",3173
"ai,",3171
"kam",3164
"ts ",3071
"iar",3031
"rmi",3025
"gka",3016
"imi",3002
" ju",2992
"inu",2931
"uri",2893
"ker",2882
"ait",2877
"a w",2856
"eng",2822
"amu",2797
"ami",2747
"nu ",2745
"aun",2741
"i a",2734
"Jes",2715
"nch",2692
"ati",2689
"s a",2636
" ya",2626
" Je",2573
"tuk",2569
"atu",2550
" an",2550
" ma",2547
"tar",2539
", t",2521
" ti",2511
" pa",2508
"esú",2495
"sús",2495
"ari",2487
"ini",2484
"mas",2475
"i n",2435
"gke",2433
"kas",2397
"nka",2391
"rti",2347
"use",2316
" ka",2312
"aku",2310
"n n",2308
"uja",2294
", n",2263
"uju",2256
"tak",2246
"ant",2242
"kan",2229
"hik",2209
"pen",2204
"u n",2196
"us ",2196
"k: ",2192
"ris",2164
"ak:",2159
" pe",2116
"a j",2066
"nta",2059
"iri",2046
"as ",2027
"um ",2025
"aar",2022
"ink",1995
"war",1994
"kic",1982
"ist",1981
" um",1971
"ume",1960
"tsa",1949
"ana",1922
"unt",1916
"ame",1910
"waj",1894
"kat",1890
"su ",1885
"nuk",1881
"sto",1866
" wi",1846
"aru",1844
" ii",1832
"ish",1830
"sh ",1815
"ak ",1807
"iat",1796
"mka",1774
"me.",1764
"se ",1740
"a p",1737
"n w",1727
" ji",1724
"wak",1707
"jak",1706
"nis",1698
", a",1688
"ake",1680
" ak",1666
"aji",1663
" in",1655
"rat",1649
"har",1643
"nma",1635
"ti ",1634
"iin",1617
"Cri",1617
"en ",1614
"man",1608
"naw",1607
"nan",1599
"rma",1598
"sa ",1591
"ke ",1580
"ús ",1575
"uwa",1561
"r, ",1556
" we",1552
"isa",1551
"ch ",1545
"ta ",1538
"ína",1535
"tun",1534
"ji.",1526
" aa",1523
"tru",1519
"num",1512
" Cr",1510
": —",1505
"ar,",1505
"tas",1501
"ik ",1500
"r a",1497
" je",1490
"ing",1468
"er ",1435
"tir",1434
"uke",1429
"uti",1427
"suk",1414
"n p",1408
"rme",1408
"Ant",1401
"ya ",1397
"rak",1396
"ng ",1382
". A",1373
"a u",1363
"sur",1361
" su",1355
"chu",1350
"ats",1344
"me ",1341
"a i",1340
"rta",1340
"a c",1337
"a Y",1334
" —t",1331
"i w",1331
"mir",1329
"a m",1320
" ja",1319
"tat",1318
"tam",1312
"ung",1308
"rka",1303
"s n",1290
" ki",1289
"atn",1288
"uin",1286
"mak",1283
"pac",1277
" Nu",1275
"i j",1264
"m t",1246
"ush",1242
"kup",1239
"wín",1239
"itj",1238
"akt",1237
" wí",1232
"atr",1220
"m, ",1220
"tja",1215
"jea",1213
"ntu",1210
"uru",1210
"tan",1207
"hir",1206
"uk ",1206
"uik",1204
"inc",1200
"mek",1196
"n t",1194
"mau",1193
" yu",1183
"ntr",1178
"mra",1177
"sa,",1176
"era",1174
", —",1169
"kta",1169
"a k",1158
"kak",1157
"u t",1150
"tia",1150
" ts",1136
"tnu",1134
"h a",1131
"tik",1126
". N",1125
"am,",1124
"a y",1123
"aan",1118
"mat",1116
"sru",1109
"mi ",1108
"n, ",1103
"gki",1092
"at ",1092
"mar",1081
"run",1080
"juu",1078
"u w",1072
"mai",1072
"iaj",1068
"tra",1066
"taj",1063
"jus",1061
"jii",1061
" An",1061
"Nun",1059
"ija",1059
"m w",1055
"—ti",1055
"mur",1051
"to ",1048
" am",1048
"aak",1046
"rar",1043
"ser",1029
"uun",1026
"may",1021
"mti",1020
"n j",1019
"tse",1017
"umk",1012
"uma",1011
"aik",1008
"msa",1006
"naa",1000
"akr",994
"anc",992
"e. ",991
"r n",988
"n u",987
"mpi",979
"tu ",977
"am.",961
"ets",960
"mun",950
"wem",941
"n c",939
"ha,",927
"nuw",922
"aki",920
"m a",919
"iru",917
"yat",916
"jar",915
"s t",911
" aw",909
", Y",908
"rut",904
"pur",900
"auk",900
"kru",897
" et",893
"uch",884
"aa ",877
"ek ",876
"kur",873
"yaa",865
"ran",861
" Ap",858
"uku",856
"iti",856
"ani",854
"m p",852
"his",851
"aut",845
"anm",843
"k p",834
"n s",833
"ane",832
"it ",832
" ap",831
"nas",831
"sta",827
"k a",827
", w",819
"ii ",819
"ear",818
"kaa",817
"win",817
"nai",811
"kin",808
"men",805
"ton",805
"s w",804
" ay",802
" ku",798
"tka",794
"paa",788
"uwe",778
"yam",778
"sat",774
"amp",774
"ema",773
" uw",772
"kau",763
"ira",761
"aus",759
"ska",758
"jin",756
"i k",754
"kra",754
"a J",748
"e n",742
"tri",734
"hau",732
"m n",729
"jui",725
"ian",723
"i i",721
"kmi",721
"Nu ",720
"itr",720
"yak",719
"ur ",718
"ais",717
"úsa",714
"apu",712
"yai",712
"ent",711
" me",708
"ruk",707
" un",705
"e a",699
"aim",699
"wia",697
"ket",690
"ikr",689
"akm",688
"imt",688
"u c",685
"ust",685
"rus",684
"nat",682
"sen",681
"i p",677
"nay",676
" se",676
"ksh",672
"Apu",672
"irk",672
"amk",670
" ir",669
"wa ",668
" uc",661
"kap",660
"e c",659
"k n",659
"mam",658
"sea",655
"iwi",655
"ku ",653
"isr",651
" iw",651
"u p",649
"n e",649
"maa",647
" ar",644
"ru ",644
"Atu",641
"kun",639
"eri",638
"i J",638
" en",637
"ias",635
"pin",628
"h n",628
" Ju",627
"m. ",625
"urm",625
"aks",622
"r p",621
"ki ",621
"pka",620
"kit",618
"a s",617
"wea",614
"n k",611
"tji",610
"upk",608
"kma",608
"ims",603
"api",601
"k, ",601
"aac",600
"i A",597
"eta",591
"an,",588
"u i",586
"kai",581
"pit",579
"kaj",576
"Tu ",574
"maw",572
"s p",569
"sna",569
"uki",565
"ka,",564
"o a",563
"inm",563
"Ain",561
"jan",561
"jam",557
"eat",555
"iak",555
"naj",554
"n i",552
"kui",551
"kti",550
"iis",550
"t w",550
"atj",546
"hui",545
"n m",544
"sri",540
"ap ",538
" mi",537
"aat",535
"mja",533
"Tam",525
"hu ",525
"e t",525
"i y",525
"i c",524
"apa",524
"ukm",522
"a: ",521
", i",519
"mu ",517
"imr",516
"m j",515
"a C",514
"i m",513
"udí",513
"dío",513
"aam",511
"ja ",509
"n y",508
"onu",508
"amj",507
"uta",506
"sak",505
": “",504
"air",504
" uk",503
"k t",501
"k w",497
"aaw",494
"ju ",493
"tma",492
"anu",488
"r w",486
"uya",486
"amr",485
"ia,",483
"sti",478
"t t",473
"mes",472
": W",471
"een",468
"at,",468
" uj",467
"upt",466
"chm",465
"nii",464
"t, ",462
", j",461
"u j",460
"msh",460
"jas",459
"i u",456
"pas",456
"s c",454
"ank",454
"nki",453
" Wi",453
"iam",450
"imp",450
"usk",450
", J",446
"r: ",445
"ua ",445
"irm",442
"u k",437
"amn",436
"i Y",436
"jud",435
"mna",433
" sa",432
",” ",432
"Wik",431
"rai",429
"pu ",428
"wik",428
"atk",425
"eam",423
"shi",421
"auj",421
"s j",419
"rtu",418
"asr",417
"ete",415
"its",413
"juk",411
": N",410
"unc",409
"ma ",408
"tme",407
"sai",407
"sun",406
": A",405
"ums",405
"m u",404
"eru",400
"eem",399
"hin",396
"ji ",396
"me,",395
"ukt",395
"u Y",393
"sé ",391
"ar:",390
"u y",389
"rik",386
"esh",385
"haa",384
"o n",384
"erk",384
"sht",383
"itm",382
" it",382
"sés",381
"iur",378
"ké ",378
"ams",378
"ea ",377
"gké",377
"emt",375
"ean",375
"r t",375
"in,",375
"Nuk",374
" Wa",373
"Moi",373
"ois",373
"isé",373
"hat",373
"yay",371
"i: ",370
"ptu",369
" sh",368
"aur",367
" At",367
"tut",366
"nen",366
"on ",364
"hit",362
"wi ",361
"ío ",357
" Pa",357
"awe",356
"gku",355
"chk",355
"asé",354
"met",354
" —J",353
"sus",353
"yaj",352
"ras",351
" —A",348
"iya",347
"s u",347
"unk",346
" Mo",346
", c",346
" mu",346
"t a",346
". Y",345
"niu",345
"irt",345
"kri",345
"maj",343
"iik",343
"s i",342
"? —",342
"Uch",341
"kch",341
"ast",338
", k",338
"hmi",338
"Apa",338
"sac",337
"emr",336
"yuw",336
"usn",333
"ui.",332
" ac",331
"mts",328
"a A",327
"e, ",323
"kac",323
"tiu",323
"Wak",322
"s s",320
"e i",319
"u u",318
"me?",317
"” t",314
"rch",314
"ark",313
"hti",313
"iá ",313
", C",312
"ta,",311
"wek",310
"miá",310
"u m",310
"kay",309
"usr",309
"tek",308
"Nek",307
"sch",306
"jau",306
"rij",305
"Ame",305
"ena",305
"way",305
": ‘",305
"te ",303
"umn",303
" Pe",303
"atm",302
"m k",302
"ria",302
"u, ",299
"jap",299
"taa",299
"Pab",299
"abl",299
"blo",299
"is ",298
"wan",296
"nea",296
"smi",295
" ke",295
"m: ",295
"ak,",294
"tit",294
"sui",291
"iun",291
"nem",291
"jru",291
"epe",290
"k j",290
"uwi",290
"jun",289
"Wín",289
"urt",289
"etk",288
"jee",288
"nus",288
"r u",288
" Sa",287
"ta.",287
"tsr",287
"a? ",286
", y",286
"mni",285
" te",284
"rap",284
"saa",283
"mik",283
"ern",283
"tna",283
"jsa",283
"ai:",282
"mtu",282
"? t",282
"jat",280
"e j",279
"n: ",279
"hki",277
"n Y",276
"rnu",275
" Uc",275
"waa",272
"wat",270
" Ma",270
" —¿",268
"aje",268
"sum",268
"r c",267
"s, ",266
"g a",266
"Ii ",266
"a. ",265
"uuk",264
"kee",264
"dro",264
"ote",263
"ro ",263
"utm",261
"kim",260
"nnu",260
"iaa",260
"unm",260
"jut",259
"hma",259
"edr",259
"s: ",259
"Ped",258
"uan",257
"s k",257
"wej",257
"k Y",256
"e p",256
"eak",255
"i s",255
"ken",255
"ir ",255
"kuk",254
"e: ",254
"uts",254
"’ t",253
"k u",252
"—tu",252
"ésa",251
" Ii",250
"a e",250
", p",249
"k k",249
"nuy",249
"me:",249
"e? ",247
"kis",247
"yan",246
": Y",246
"e W",245
"pi ",245
" Ai",245
"i,”",244
" aj",244
",’ ",244
"Ju ",243
"raj",242
"wij",242
"taw",241
"ace",240
"par",240
"m e",240
"asm",239
"tsk",238
"rac",238
"e w",236
"Jua",236
"ase",236
"haw",235
"mpa",235
"ajs",234
": J",233
"ajr",233
"urk",232
"snu",231
"tic",231
", m",229
"itk",228
"cri",225
"s m",225
"a ¿",224
"nee",224
"wis",223
"rau",223
"esu",222
"suc",222
"ucr",222
"sja",222
" ¿w",222
"mis",220
"rna",220
"Wi ",220
"rsa",220
"r j",219
"hi ",218
"s Y",218
"uji",218
" Am",216
"rdo",216
"uum",216
"i C",216
"cer",215
"erd",215
"dot",215
"mru",215
"Chi",215
"jum",215
". W",214
"ump",214
"yap",214
"m c",213
"m i",212
"e m",212
" au",212
"ikt",211
"a M",210
"yuu",210
"ajt",208
"kii",207
"¿wa",207
"hai",205
"é a",205
"g n",204
"Jud",203
"ías",202
"m y",202
"ars",202
"emi",201
"kaw",201
"ji,",199
"suw",199
"pet",198
"e e",198
"k i",196
"pia",196
"gkr",195
"eet",193
"pat",193
"lén",191
". J",190
"m Y",190
"t n",190
" Wí",190
"h i",189
"nij",189
"jaj",189
"nar",188
"yum",188
"ap.",188
"mch",188
"r i",188
"lo ",188
"jur",187
"sal",187
"eti",187
"o j",187
"jer",187
"arí",186
"tki",186
"am:",186
"Jer",185
"tau",185
"pap",182
"e k",181
"kum",179
"e u",179
"p. ",179
"alé",178
"m J",177
"isn",177
"saw",177
"nap",176
"sua",176
"? ¿",176
"m m",176
"utr",174
"i? ",174
"eo ",173
"yi,",173
" Ne",173
"r m",173
" Is",172
"aju",172
"h t",172
"nit",172
"ka:",172
"pch",171
"ngm",170
"nuj",170
"iir",170
"rku",170
"—Je",169
"rim",168
"u J",168
"aha",167
"nep",167
"uk,",167
"kir",167
"tuj",167
"jim",167
"Yaa",166
" Ab",165
"has",165
" —N",165
"wet",165
": ¿",165
"usm",165
"tui",164
"eja",164
"k c",163
"énn",163
"eni",163
"um,",163
"jaa",163
"Abr",162
"bra",162
"rah",162
"s y",162
"kem",162
"jta",162
"h u",161
"i P",161
"sra",160
"a S",159
"arc",159
"o c",159
"n J",158
"aas",157
"hri",157
"apc",157
"yut",157
"unu",157
"umc",157
"amm",157
"iau",156
"ki,",156
"hia",156
"Ats",156
" Si",156
"och",156
"e (",155
"mui",154
"rua",153
"muk",153
" pi",152
"pan",152
