"ina",12226
" nu",10022
"aju",9585
"ain",7651
"chi",6978
" ai",6922
"wai",6769
"na ",6429
"ida",6333
"dau",6330
"tai",6187
"nun",5988
"cha",5825
"a n",5804
"ai ",5618
"ash",5559
"ak ",5538
" wa",5509
"um ",5496
"ich",5414
"in ",5203
"jum",5186
"ent",5055
"u a",5043
" tu",5005
"sh ",4813
"aid",4811
"au ",4775
"tin",4726
"nak",4719
"una",4657
"uwa",4478
"aka",4458
"paj",4446
"kam",4365
"aja",4330
"nts",4259
" as",4252
"ama",4251
"uja",4245
"awa",4235
"am ",4162
" Ap",4040
"Apa",4035
"ata",3961
"ag ",3931
"i, ",3873
"usa",3870
" an",3856
" ta",3817
" du",3805
"num",3786
"n a",3725
"asa",3717
"mai",3713
"an ",3671
"jai",3600
" ju",3544
"eka",3541
"tik",3537
"uni",3534
"gka",3467
"tak",3457
"tus",3362
"ai.",3357
"uti",3280
"jin",3239
"min",3220
"tsa",3180
"aya",3111
"nta",3105
" at",3080
"uí ",3038
"egk",3020
"ait",2968
"hic",2949
"aun",2928
" ch",2898
"atu",2893
"amu",2839
"aen",2788
"ika",2787
"un ",2762
" ae",2755
"jui",2753
"gke",2742
" de",2740
"uk ",2723
"tsu",2716
"sag",2712
"ita",2700
"ig ",2699
"juí",2693
"agt",2667
"ane",2664
" ti",2659
"tum",2641
"dek",2637
"a d",2636
"ai,",2630
"aji",2623
"a a",2600
"ega",2589
"uju",2570
", n",2558
"ka ",2551
"taj",2512
"agk",2449
"ish",2437
" ya",2431
"kas",2428
"aku",2420
"ima",2407
"i a",2401
"ant",2399
"k a",2398
"isu",2396
"ik ",2394
"Jis",2393
"puj",2371
"bau",2358
"Nun",2358
"kag",2351
"sa ",2346
"ats",2339
"nai",2290
"ach",2275
"sus",2273
" ni",2254
"jam",2252
" pe",2246
"umi",2244
"ts ",2231
"shi",2215
"keg",2212
"ema",2168
" Ji",2161
"int",2151
"uka",2145
" pu",2144
"amt",2129
"mak",2089
"waj",2086
"auw",2080
"mat",2079
"iin",2067
"peg",2060
"ush",2052
", t",2037
"kan",2023
"jak",2019
"agm",2013
"jut",2000
"i t",1995
", a",1976
"iya",1973
"hau",1963
"kic",1935
"k, ",1934
" ji",1932
"nen",1924
" na",1914
"kaj",1899
"nch",1881
"g a",1878
"ham",1865
"uma",1862
" ka",1857
"us ",1849
"aim",1848
"kat",1834
"uwi",1805
"ume",1804
"shk",1802
"hka",1801
"san",1801
"ya ",1770
"sam",1758
" mi",1732
"tuk",1707
"as ",1704
"ntu",1695
"iki",1686
" di",1681
"a t",1666
"hí ",1666
"wa ",1657
"mta",1654
"uin",1653
"aki",1649
"shí",1642
"wak",1637
" sh",1620
"s a",1612
"m a",1602
" ma",1585
"i. ",1582
"tam",1573
"iig",1571
"inu",1559
"gta",1552
"duk",1534
"nma",1532
"gma",1522
"nas",1512
"ta ",1510
"hii",1495
"juk",1489
" um",1483
"a, ",1480
"nka",1478
"a j",1474
"nag",1465
"tui",1465
"ink",1456
"ek ",1436
"gti",1423
"kui",1407
"mek",1404
" su",1401
"nti",1393
"me ",1385
"yai",1377
"k: ",1375
"sha",1375
"nia",1374
"kau",1367
"m, ",1366
"h a",1362
"uch",1359
" ts",1355
"man",1355
"ak:",1346
"dut",1345
"ake",1344
"ji ",1343
"í a",1343
"mam",1341
