"rɨ ",16060
"on ",15850
" pe",11852
"o' ",11175
"'pʉ",10995
"ɨrɨ",10723
"to'",9968
"kon",9426
"pʉ ",9264
"uya",9230
" uy",8694
"ya ",8304
"pe ",7695
"an ",7652
"a' ",7170
"a'p",6866
"mɨr",6799
"n p",6784
" ko",6752
" rɨ",6462
" iy",6416
" mɨ",6389
"sa'",6285
" to",6122
"esi",6018
"pɨ'",6012
"' p",5769
"ʉra",5609
" ta",5383
"'ta",5298
"iya",5232
"si ",5136
"si'",5028
"n n",4842
"pʉr",4666
" pʉ",4484
"ɨ a",4306
" tʉ",4280
" ka",4250
"ton",4215
" e'",4178
"ta'",4173
" pɨ",4121
"n k",4096
" es",4029
"in ",3954
"ʉ' ",3809
"' e",3763
"' u",3753
"a't",3627
"ra ",3591
"asa",3545
"awo",3520
"mʉ'",3511
" en",3490
"iye",3488
"won",3480
"apa",3452
"tan",3432
"pon",3397
"'kɨ",3393
" nɨ",3388
"n e",3383
"ka'",3355
" aw",3352
" ya",3342
"oko",3275
"amʉ",3274
"i'k",3264
"kɨ ",3254
"'sa",3241
" am",3201
"'ma",3176
"pa ",3163
"a t",3153
"ne ",3124
"ɨ' ",3100
"e't",3088
"oro",3060
"nsi",3055
"pan",2977
"nin",2951
" po",2932
"ons",2901
"ʉ i",2879
"yau",2831
"'no",2831
"', ",2823
"en ",2816
" a'",2806
"ɨ p",2739
"a i",2732
"e p",2721
"ai ",2720
", m",2705
"nok",2690
"a'n",2660
"n u",2660
"man",2625
"uru",2621
"ʉ'p",2615
"rʉ ",2611
"ya'",2604
"na'",2556
"a p",2542
"' k",2524
"ru ",2438
"e' ",2430
" Pa",2427
"'po",2390
"ɨ t",2386
"' t",2377
" na",2372
" te",2364
"ʉ t",2364
"ai'",2340
"tai",2321
"a e",2307
"n a",2301
"eka",2301
"nɨ ",2271
"yes",2260
"ama",2228
"kas",2227
"ʉ p",2199
"ɨto",2195
" ek",2187
"ena",2173
"' i",2169
"i, ",2168
"pur",2162
"ɨ i",2147
"Mɨr",2136
"ron",2124
"e i",2121
"ta ",2112
"Pap",2112
"na ",2084
"e t",2071
"' a",2063
"'ka",2063
"a r",2051
"a'k",2048
"'tɨ",2042
" ap",2040
"por",2013
"rɨp",2007
"ɨpa",1999
" ip",1998
"n, ",1986
"a u",1980
"ane",1977
"” t",1975
"kam",1969
"au ",1935
"ise",1930
"sen",1925
" ku",1925
"'to",1911
"ser",1909
"nan",1909
"a, ",1906
"i' ",1871
"i'p",1857
"pʉn",1845
"ɨ e",1839
"ke ",1822
"Sis",1809
"'se",1803
"kʉ ",1801
" i'",1801
", t",1797
" ma",1789
"ses",1788
"es ",1777
"tɨ'",1757
"ma'",1752
" it",1749
"e's",1738
"ato",1738
"pai",1733
"ɨ, ",1706
"ya.",1696
"ɨ k",1694
" pa",1658
"nka",1651
"nʉ'",1638
"i p",1627
"erɨ",1618
" wa",1603
"ʉ, ",1594
"ai,",1582
"ne'",1580
"'ne",1572
"i't",1571
"ɨ',",1567
"kai",1562
", i",1554
" si",1546
"rɨ,",1544
"piy",1528
"ye'",1508
"e, ",1503
"pen",1498
"ku'",1485
" ep",1480
"pʉ,",1479
" us",1477
" in",1474
"u, ",1474
"e r",1467
"se'",1458
"wan",1456
"ri'",1455
"tʉu",1454
", “",1446
"enu",1439
"ro'",1436
"ken",1432
" Si",1431
"a k",1427
",” ",1427
"ro ",1420
"i'n",1414
"te'",1404
"nɨt",1404
"a a",1402
"non",1399
"urɨ",1399
"n t",1385
"use",1383
"san",1376
"npo",1370
"kan",1365
" au",1351
"ɨ r",1346
"i k",1339
"ʉ a",1328
"akʉ",1314
"e'n",1313
"mai",1306
"anp",1303
"uka",1273
"'na",1272
"tʉr",1264
", e",1262
"n i",1261
"ɨ'p",1261
"e e",1260
"ʉ k",1256
"'kw",1254
"sa ",1249
"i's",1247
"npa",1233
"no'",1229
"on,",1222
"au,",1218
" se",1211
"ma ",1211
"ata",1203
"war",1201
"' r",1189
"' m",1185
"i t",1173
" ut",1172
" ke",1171
"isa",1158
"pe,",1152
"apu",1144
"uye",1144
"'tu",1134
"kur",1133
"n m",1132
"e'm",1129
"ɨ'n",1126
"oto",1123
" tu",1121
"ani",1117
"arʉ",1115
"epu",1102
"ent",1095
"a m",1093
"ite",1091
"ɨ u",1083
"ona",1078
"ain",1075
"auy",1075
"pok",1071
", ɨ",1060
"ana",1049
"a's",1038
"ʉ u",1029
"anʉ",1026
"ʉne",1022
"' n",1019
" iw",1019
"ari",1012
"i e",1010
", a",1002
" ik",1001
"pat",1000
"upʉ",991
"kup",990
"kwa",984
"ya,",976
"ɨ m",965
"poi",965
"eru",957
"ina",956
"ara",954
"o'm",954
"pʉ.",952
"nta",951
"win",948
"wak",948
" ɨp",946
"ko'",937
"ese",930
"rɨ.",929
"se ",928
"ʉ e",926
"'si",916
"ɨ'.",914
"orʉ",911
"e'k",908
"'nʉ",908
"tʉp",906
" ot",906
" wi",902
"epo",902
"erʉ",895
"e k",890
"ri ",883
"rʉ'",882
"uro",881
"utɨ",881
"ɨ ɨ",880
"aur",872
"o'p",862
"ano",855
"onp",852
"ka ",851
"'nɨ",850
"uta",841
"e'p",839
"ɨ n",838
"s u",838
"pe.",834
"wɨr",834
"ʉre",826
" nʉ",825
"arɨ",820
"u'k",820
"enn",818
"' o",816
"i a",814
"e ɨ",812
"nʉn",809
"n s",807
"eke",801
"nʉ ",798
"pa'",797
"ewa",797
"o'k",794
"a ɨ",794
"ɨye",793
" ɨy",791
"iwa",790
"ɨtʉ",789
"u e",788
"ino",781
"u't",780
" no",779
"apʉ",779
"ipɨ",777
"tɨ ",775
"aim",773
"ika",770
"ito",765
"eta",763
", u",763
"kar",752
"yen",747
" Mɨ",745
"mu ",744
"oi ",743
" kʉ",742
"ako",742
"n y",740
"rai",739
"mat",739
"u a",738
"' y",737
". M",733
"kor",729
"i i",729
"i'm",727
"kʉ'",727
"'rɨ",727
"u p",725
"u t",724
"tuk",722
"ʉ's",722
"kat",720
" pi",719
"Kʉr",718
"raw",718
"'pɨ",717
"i m",717
"mor",715
"pɨt",711
"ema",705
", P",705
"tep",705
"ais",700
"kɨr",699
"awɨ",697
" ɨw",696
"a',",691
"nai",690
" ɨn",689
"men",687
"usa",683
"inɨ",682
"tau",681
"'. ",676
"ʉ m",670
"' ɨ",670
"ɨpɨ",669
"rɨ'",667
" ur",663
"tas",662
"kʉr",658
"ima",657
"ʉro",657
"o't",654
"ɨ s",653
"ʉnʉ",653
"ʉpo",645
" uk",644
"a n",640
"E't",639
"wer",637
"uwe",636
"ɨwe",632
"tʉ ",630
"u'n",628
"i y",628
"mas",627
"ipo",626
"are",623
" ti",622
"u k",620
"pe'",620
"suw",620
"oit",620
" rʉ",616
"tu'",616
"'ku",614
"si,",614
"epa",614
"amo",609
"sau",609
"Esu",608
"' w",600
"tor",600
" Kʉ",597
"awa",595
"imu",595
"a'm",594
"esa",593
"mʉr",592
"aya",591
" ne",591
" ni",590
"a. ",589
"ɨ w",588
", k",584
"aka",578
"ten",576
"po'",574
"nek",572
"yep",572
"kʉi",571
"onk",570
" Es",566
"sar",565
"ra'",564
"'pa",564
"air",563
"ʉrɨ",561
"Ser",558
"oma",558
"ntɨ",557
"tes",553
"'ni",552
"was",551
" an",548
"no ",543
"e u",540
"on.",538
"mak",537
"a w",534
"yar",527
"upa",526
"uko",526
"po ",523
" im",521
"re ",519
"aso",519
"ɨ y",519
"ipʉ",517
"ran",515
"'ke",514
"To'",508
"ikʉ",507
"i u",503
"ʉ'k",502
"nʉk",501
"ʉuy",500
"nup",497
"a'.",495
"ʉip",494
"Ite",491
"tʉ'",491
"u u",490
"ʉi ",488
"an,",487
"enk",486
"n w",483
"ɨsa",480
"mar",479
"ene",478
"i',",476
"uma",475
"u r",474
"ɨri",474
"'mʉ",473
"nno",471
"u's",471
"ant",470
"wes",470
"one",469
" ɨr",465
"atʉ",461
"o's",460
"rem",458
" It",456
"ɨ's",456
"iku",456
"ʉrʉ",455
"eri",454
"ink",454
"o, ",454
"nse",454
"e m",454
". T",451
"u i",450
"pʉ'",449
"enp",449
" er",448
" ɨ'",448
"ʉnk",447
"ori",446
"nap",446
" ai",444
"kin",441
"tɨt",441
" we",441
" et",437
"ɨkɨ",437
" up",434
"a s",433
" Is",432
