"të ",76704
" të",59417
" e ",37971
"në ",36212
"he ",34522
"dhe",33479
" dh",31194
"e t",24600
"sht",22749
"ë t",20789
" në",19603
" sh",19575
"për",18183
" i ",17493
" që",17328
" do",16949
" pë",16729
"që ",16351
"o t",16338
"do ",16271
"in ",15789
"jë ",14913
"ër ",14566
"ë m",14410
"ë d",13745
" nj",13374
"it ",13351
"ë n",13134
" me",12777
"ë s",12605
"me ",12252
"ë p",11741
"ë k",11672
" ti",11469
"rë ",11306
"një",11280
"ësh",10674
" mb",10632
"e d",10587
"erë",10311
" ng",10283
"e n",10079
"ën ",10057
"t e",9997
"ish",9836
"n e",9761
"t, ",9670
"et ",9647
" gj",9626
" pa",9435
"se ",9132
"ë e",9091
" th",9076
" ve",8877
"etë",8812
"i t",8807
" at",8564
" ka",8536
"htë",8395
"ur ",8316
"ta ",8261
"te ",8258
"ndi",8253
"tij",8237
"ga ",8195
"uar",8137
"ti ",8132
"ri ",8129
"nga",8073
"Zot",8001
"ënd",7963
", d",7950
"e m",7913
"ë v",7869
"tër",7777
" ku",7751
"oti",7604
"uk ",7505
"r t",7470
" Zo",7446
"e p",7430
" pr",7365
"gji",7365
"i n",7339
"rën",7303
" po",7295
"i d",7276
" më",7266
" nu",7222
"ni ",7087
" kë",7024
"e k",6991
"nuk",6990
"më ",6911
"ë, ",6880
"i i",6821
"jet",6755
" se",6750
"i, ",6723
"ve ",6704
" u ",6649
"rit",6530
"t t",6351
"ë b",6332
"tit",6331
"shk",6288
"së ",6280
"tyr",6254
" si",6250
"e s",6193
"ret",6185
"it,",5992
"anë",5959
"si ",5877
"end",5862
"shi",5802
"ash",5799
"atë",5776
"oni",5761
"ë g",5738
"ar ",5721
"e, ",5699
"tha",5595
", p",5585
"yre",5521
"ra ",5407
" bë",5374
" bi",5264
"ëri",5249
"rin",5211
"e a",5187
"a, ",5174
"ë a",5109
"jit",5098
"shë",5091
"t d",5056
" nd",5017
"sh ",4963
"jtë",4960
"aj ",4940
"n t",4893
"ij ",4885
", s",4870
" ty",4816
"or ",4752
"ë q",4744
"a e",4732
"imi",4702
"lit",4695
": """,4683
"a d",4681
"bre",4659
" du",4655
" di",4653
"tën",4652
"i p",4574
" ës",4557
"ush",4549
"ët ",4546
"hte",4543
"eri",4532
" ta",4521
" t'",4504
"ia ",4495
"jer",4492
"ith",4487
", n",4431
"itë",4392
"at ",4392
"tua",4378
"htu",4360
"dër",4355
"r n",4345
"i k",4342
" ma",4341
"esh",4330
"lli",4316
"pse",4315
"und",4302
"tu ",4282
"re ",4265
"ke ",4236
"i m",4233
"en ",4228
"eti",4224
"Per",4215
"eps",4203
"ka ",4198
" mi",4177
"dit",4168
"a t",4159
" Pe",4151
"n n",4120
"kur",4114
" ja",4106
"ë f",4081
"isë",4069
"par",4050
" je",4050
"thë",4050
"rej",4022
"ë j",4003
"tet",3941
"ndë",3920
"n, ",3854
"ai ",3845
"ara",3830
"ë i",3792
" rr",3788
"mbr",3773
" ai",3766
" ke",3706
"ërë",3706
"hin",3702
"a n",3701
"ha ",3694
"ull",3686
" tu",3651
"e v",3649
"rua",3639
" as",3636
"ata",3619
"ven",3611
"hën",3610
"dis",3588
"e b",3578
"dhë",3561
"eli",3555
"inë",3551
"n d",3542
"unë",3541
"uaj",3526
" te",3525
"im ",3518
"arë",3500
"bi ",3481
"i s",3462
" ju",3458
"ënë",3430
"nje",3424
"ast",3406
"por",3402
" ba",3397
" is",3381
"het",3378
"kët",3353
"mbi",3352
"e q",3349
"li ",3349
"duk",3347
" de",3344
"tim",3328
"ë l",3323
"uke",3309
"hër",3308
"oi ",3304
"ë r",3299
"pas",3281
"e i",3277
" dë",3275
"ësi",3256
"e u",3255
"hen",3254
"ani",3214
"sep",3209
"a p",3207
"hur",3202
"jnë",3189
" ko",3176
" ki",3174
"lin",3168
", m",3166
", t",3160
"kis",3154
"ime",3107
" tr",3100
"hë ",3100
" mu",3090
"nd ",3067
"uri",3062
" un",3020
"t'i",2993
"shp",2973
"ej ",2970
"as ",2956
"je ",2952
" ar",2942
"mi ",2932
"edh",2929
"ohe",2916
"ndo",2890
"nin",2883
"e e",2874
", q",2870
"t n",2865
"she",2857
"pre",2853
"ojë",2851
"ës ",2847
"'i ",2840
"jen",2838
"bij",2828
"tur",2825
"tin",2819
"her",2814
"ari",2814
" mo",2810
"gjë",2809
"vet",2801
"rri",2783
"ati",2783
"r m",2771
"gje",2759
