" እን",13677
"ንም ",10107
"እግዚ",8740
"ግዚአ",8736
"ዚአብ",8730
"ብሔር",8725
"አብሔ",8723
" ወደ",6772
"ወደ ",6483
" ሁሉ",6428
"ሁሉ ",5719
"ንድ ",5556
"ም በ",5456
"ሔር ",5369
"እንደ",5211
"ም አ",5058
" ነበ",4588
"ውን ",4548
" የሚ",4486
"ን አ",4332
" አለ",4323
" እግ",4306
" ዘን",4219
"፥ በ",4216
"ንደ ",4208
"ዘንድ",4151
" በእ",4021
"ላይ ",3951
" ላይ",3930
"እርሱ",3927
"እንዲ",3830
"ውም ",3819
" ነው",3803
" አን",3749
"ም የ",3723
"ቸው ",3689
"ም እ",3516
"፥ እ",3448
" ግን",3361
"ን እ",3326
" ነገ",3208
"ገር ",3138
"ግን ",3078
"ን በ",3064
"፥ የ",3038
"ን የ",2943
" ከእ",2882
" ጊዜ",2869
" የተ",2803
" ስለ",2766
"ንተ ",2763
" ልጆ",2743
"ነገር",2685
" አይ",2680
"ርሱ ",2675
" እር",2653
"ትን ",2621
"፤ እ",2617
"እስራ",2616
"ራኤል",2600
"ስራኤ",2582
"ችሁ ",2530
"ርሱም",2528
"ልጆች",2497
"ትም ",2479
"ርም ",2471
" የእ",2453
" ጋር",2402
"ም ከ",2385
"ጋር ",2360
"ት አ",2353
"ሰው ",2343
" እነ",2301
"ስለ ",2280
"ነበር",2268
" ልጅ",2267
"ሱም ",2250
"እኔ ",2217
"ጊዜ ",2211
" አም",2198
"ንና ",2186
" እስ",2182
"ህም ",2180
" አል",2179
"ም፥ ",2164
"ምድር",2145
"ም። ",2127
"አንተ",2113
"ዲህ ",2098
"ህን ",2088
" በአ",2082
"ዎች ",2067
"ነበረ",2059
"ም ወ",2055
"፤ በ",2018
"ል፥ ",2016
" ሰው",1992
"ል፤ ",1992
"ዚህ ",1980
"ጆች ",1978
"ንዲህ",1976
" በመ",1969
"ቸው።",1960
"፥ አ",1956
"ልጅ ",1951
" ይህ",1948
"አምላ",1925
"። እ",1899
"ና በ",1892
"ላቸው",1876
" እኔ",1875
"እንዳ",1847
"ም መ",1845
"ድር ",1838
"ኤል ",1824
"ቸውን",1822
"፥ ከ",1818
"ት እ",1780
"ቸውም",1730
"ን፥ ",1714
"ር እ",1695
"ላችሁ",1694
" መን",1690
"ችን ",1670
"ን ይ",1664
"ት የ",1650
"ው፤ ",1647
"እናን",1640
" ቀን",1638
"፤ የ",1636
"ናንተ",1632
"ም ይ",1631
"እነር",1625
"ነርሱ",1625
"ይ፥ ",1611
"ፊት ",1600
"ሁ፥ ",1595
"ት በ",1594
" ንጉ",1593
"ን ከ",1586
" ምድ",1582
"ርን ",1575
"አንድ",1553
" ለእ",1547
"ው፥ ",1545
" ቤት",1544
" አላ",1540
"ውንም",1535
"የእግ",1534
"ር አ",1524
"ደ እ",1518
"ሔርም",1512
" ፊት",1501
" ሆይ",1490
"ደግሞ",1482
" አደ",1473
"ለው ",1469
"ው በ",1451
"ን ወ",1449
"ስም ",1448
"ሆይ፥",1435
" የአ",1426
"ልም ",1411
" በዚ",1411
" ሕዝ",1398
"በዚያ",1396
"ም ሁ",1392
"ቤት ",1392
" እጅ",1391
"ር በ",1387
"ያም ",1385
"ም ለ",1378
"ስት ",1378
"ሰዎች",1376
"ና የ",1371
"በት ",1368
"ው አ",1365
" አስ",1364
" የም",1359
"እነሆ",1356
"ን መ",1356
" መል",1348
"ቱም ",1347
" ሰዎ",1345
" አት",1343
"ሔርን",1337
"ውያን",1333
"ምን ",1323
"ም ል",1322
" ከተ",1319
" ደግ",1312
"ው እ",1306
"ቀን ",1304
"ን ነ",1289
"ያን ",1282
" ቃል",1282
" ሆነ",1281
" እና",1275
" አድ",1274
" ከአ",1272
"ም፤ ",1267
"ር ግ",1266
"ሁ፤ ",1265
"አለው",1261
"ት፥ ",1254
"ት መ",1254
"ው። ",1251
" ወን",1246
"ንጉሥ",1246
" ይሆ",1245
" በም",1243
" ያለ",1232
"ለት ",1229
"ቃል ",1226
" በሰ",1224
"ነት ",1224
" ወይ",1221
"ቻቸው",1218
"ነበሩ",1207
" ምን",1206
"ህ አ",1206
"ንጉሡ",1199
"ድረስ",1196
"ምላክ",1192
"ናቸው",1192
" ድረ",1185
"ት ይ",1178
"ችም ",1171
"ወንድ",1166
"በእግ",1165
" ይላ",1164
"ለው።",1160
"ር የ",1144
"ል አ",1139
"ግሞ ",1133
"ም ነ",1130
"ን ያ",1130
"ረስ ",1129
"ይም ",1128
"የሚያ",1125
