"na ",35245
" na",32658
"oˈ ",14941
"a n",14245
"aⁿ ",13513
"om ",12776
" nn",12620
"ⁿ n",12107
" cw",10987
"ˈ n",10960
"oom",10492
"eⁿ ",10442
"ndy",10272
"cwi",10258
"qui",10219
"aaⁿ",10176
"ˈaⁿ",9806
" ts",9271
"tsˈ",9205
" ma",8950
"nda",8677
"a c",8517
"aˈ ",7080
"aⁿˈ",6904
"ˈom",6857
"yoˈ",6621
"ii ",6567
"eeⁿ",6539
"a t",6393
" nd",6358
"a m",6309
" jo",6236
"a̱ ",6225
"o̱o",6218
"̱o̱",6218
"jnd",6176
"da̱",6138
"a j",5984
"sei",5811
"naˈ",5777
"m n",5722
"nˈa",5655
"sˈo",5639
"a̱a",5575
"̱a̱",5575
"doˈ",5515
"nnˈ",5513
"ˈna",5360
"nty",5200
"ˈoo",5168
" ca",5157
" ch",5152
"ˈyo",5134
"ats",5047
" jn",4932
" ñˈ",4925
"dye",4822
"uii",4781
"joo",4756
"can",4731
"ˈo̱",4607
"tse",4489
"uia",4489
"ˈ c",4355
"mat",4349
"omˈ",4347
"wil",4235
"ya ",4207
"aa ",4119
"tyj",4115
"ˈ t",4109
"jom",4102
"o n",4043
"joˈ",4029
"ˈñe",4002
"e n",3990
"ant",3727
"ndo",3693
"sˈa",3647
"ˈaa",3567
"ˈ j",3492
"ñee",3431
"dyo",3382
"laˈ",3381
"ñˈo",3345
"wii",3294
"naa",3280
"tso",3263
"cha",3256
"aaˈ",3243
" Ty",3236
"uu ",3200
"o̱ⁿ",3182
" ñe",3176
"iaa",3111
"ena",3089
" ˈn",3087
"equ",3083
" ty",3069
"yˈo",3059
"ee ",3033
"Tyˈ",3023
"uee",3016
"ⁿ t",2996
"o̱t",2982
"ⁿˈ ",2968
"ñeq",2956
"̱ n",2952
"̱ts",2946
"eii",2841
"ia ",2834
"ja ",2822
"and",2809
" ti",2789
"omn",2788
"yja",2784
"ˈeⁿ",2749
"naⁿ",2722
"maⁿ",2715
"ⁿ c",2681
"haˈ",2680
"nnt",2671
"cwe",2661
"eiⁿ",2621
"jaa",2596
"uio",2591
"eˈ ",2515
"mˈa",2468
" nt",2436
"ˈnd",2433
"iiˈ",2414
"iˈ ",2383
"i n",2373
" qu",2348
"Ndo",2347
"chi",2339
"a ˈ",2337
"lui",2314
"ⁿ j",2298
"tsa",2282
"ñˈe",2268
"nts",2258
"mei",2236
"ⁿna",2200
" ju",2190
"ˈ, ",2165
"tjo",2162
"a ñ",2150
" nc",2146
"ˈma",2127
"nno",2125
"ana",2120
"ye ",2119
"che",2112
"nom",2103
"a, ",2088
"aˈn",2056
"tyo",2039
"heⁿ",2038
"ˈia",2026
"ⁿya",2022
"io ",2008
"u n",1997
"tˈm",1986
"aⁿn",1975
" Je",1969
"o̱ ",1965
", n",1956
"uaa",1946
"ila",1946
"aˈt",1937
"mna",1933
"tqu",1931
" mˈ",1931
" tj",1923
"a l",1916
"ona",1897
"ⁿˈñ",1896
"juu",1878
" nl",1868
"a̱ˈ",1863
"iⁿ ",1851
"nqu",1850
"ooˈ",1841
"tsj",1836
"ˈ ñ",1833
"maa",1829
"ti ",1816
"ica",1814
"ˈ m",1813
"tyˈ",1812
", t",1792
"jo̱",1792
"hii",1767
"cat",1758
" nˈ",1749
"sjo",1740
"waa",1734
"Jes",1725
"om.",1724
"ilu",1722
"nˈo",1719
"xma",1714
"nnc",1697
"ⁿ, ",1684
"iˈn",1682
"nta",1681
"jee",1673
" lj",1666
"i t",1660
" wa",1629
"̱ t",1616
"que",1612
"ljo",1598
"eeˈ",1595
"yuu",1581
". N",1574
"ˈnt",1566
"oon",1538
"tja",1534
"ati",1524
"ncˈ",1522
"jeⁿ",1514
"yen",1512
"yuˈ",1511
": —",1505
"mac",1499
"aˈy",1499
" me",1495
