" ال",71824
"ن ا",14723
"ان ",13392
"ا ا",12930
" وا",12797
" في",12361
"لى ",11749
"من ",11477
"في ",11410
" من",11338
"ي ا",11285
" ان",9820
"ون ",9387
"وا ",9111
"الم",8882
"ل ا",8735
"لا ",8538
"ين ",8417
"الا",8414
"الر",8378
"م ا",8254
"ما ",7850
" لا",7489
"هم ",7404
"رب ",7108
"لرب",6814
"ى ا",6805
"الى",6763
" عل",6528
"ذا ",6444
"ها ",6300
"ة ا",6191
"ا و",6024
"وال",5829
"نا ",5782
"كل ",5718
"لك ",5567
"ال ",5532
"ه ا",5481
"ب ا",5472
"ت ا",5186
"لان",5149
" كل",5046
"ني ",5006
"له ",4954
"الذ",4816
"على",4787
" ول",4708
"لذي",4650
"قال",4609
"اء ",4608
"ا ي",4573
" اس",4484
"ة و",4435
"ام ",4405
"لم ",4401
"د ا",4344
"ر ا",4299
"ن و",4209
"ك ا",4182
"ن ي",4179
"كان",4158
"كم ",4112
"ا ل",4048
" با",4022
"ا م",3881
"الس",3825
"يا ",3799
"م و",3767
"الي",3750
" بن",3726
" اب",3692
"ع ا",3689
" اي",3680
"ا ت",3616
"يل ",3558
"ملك",3542
"ه و",3525
"ن م",3496
"انه",3390
" ام",3328
"نه ",3289
" لي",3276
"ا ف",3275
" بي",3194
" له",3190
" عن",3187
"ئيل",3179
"ن ل",3174
"الش",3171
"الت",3151
"ذي ",3139
"الل",3092
"تي ",3087
"ا ب",3041
" قد",3016
" لل",3015
"اما",3014
"لام",3006
" ار",2999
"ارض",2993
" وي",2982
"ل ل",2952
"ائي",2936
"رائ",2934
"الك",2919
"م ي",2906
"الب",2898
". و",2864
" قا",2830
" مع",2770
"قد ",2731
"ولا",2731
"سرا",2725
"اسر",2721
" كا",2714
"ن ب",2695
"ي و",2685
"ل م",2676
"ل و",2653
"بال",2651
"نة ",2641
" هذ",2620
"ن ف",2601
" وم",2585
"مة ",2584
"الح",2581
"ا ع",2581
"يت ",2574
"رة ",2541
"الج",2521
"لار",2487
" وق",2470
"ية ",2447
"اله",2447
" لم",2441
". ا",2436
"بيت",2418
". ف",2400
"الع",2394
"انت",2389
"ليه",2382
"كون",2367
"انا",2352
"لله",2329
"علي",2313
"هذا",2310
"ب و",2309
"ول ",2305
"رض ",2279
"اني",2269
"مع ",2268
" او",2257
" ما",2238
" لك",2227
"بني",2223
"هو ",2164
"ا. ",2159
"ر و",2135
"م م",2130
" فا",2126
"بل ",2122
"الن",2117
" اخ",2105
"يم ",2094
"ك و",2090
" يس",2088
"نت ",2083
"ات ",2078
"لوا",2077
"احد",2072
"ن ك",2068
" مل",2066
"جمي",2054
"وم ",2049
"ير ",2041
"ار ",2038
"بن ",2027
"ميع",2025
"يه ",2017
" وك",2012
"لما",2006
". ل",1991
"يع ",1976
"ي ي",1969
"ن ع",1965
"الق",1965
"فقا",1959
"ي م",1950
"م ب",1930
" يا",1917
" وع",1915
" هو",1914
"لمل",1909
"لتي",1901
"كلم",1890
"ابن",1873
" وت",1864
"ود ",1839
"كن ",1837
"اذا",1826
" يق",1815
"يد ",1805
"ايا",1804
"شعب",1799
" به",1789
"وان",1789
"قول",1764
"م ل",1762
"م ف",1755
"ا ك",1750
"واح",1747
"جل ",1744
"الف",1739
"ته ",1737
"ي ع",1725
" اع",1724
"الو",1713
" وب",1697
"ي ب",1690
"به ",1689
" جم",1687
"ا ق",1686
" وج",1666
"يوم",1657
"وقا",1650
"ء ا",1648
"اب ",1648
" وس",1642
"ه م",1636
"ه ف",1630
"س ا",1627
"ه ل",1625
" يع",1613
"لهم",1604
"يضا",1600
" يد",1591
"يهو",1581
"سمع",1580
"ة م",1579
"ذين",1579
" يو",1577
"قائ",1577
"عة ",1572
"ضا ",1571
"و ا",1564
"رون",1554
"ا ه",1552
"ايض",1548
"ي ل",1542
"ة ف",1540
"عمل",1535
"ة ل",1533
"نفس",1526
"اسم",1518
" بع",1517
"يس ",1509
"ائل",1504
"ي ف",1496
"ذلك",1466
"لنا",1462
"ور ",1461
"يها",1461
" دا",1450
"ت و",1440
"تم ",1436
"وت ",1431
"لي ",1423
"عن ",1422
"م. ",1420
"ليم",1420
"را ",1415
"مام",1413
"ه. ",1411
"م ت",1408
"وكا",1404
"وع ",1400
"تى ",1397
" مو",1391
"دين",1384
"الخ",1383
"رجل",1374
"ل ب",1369
"وذا",1365
"ذهب",1363
"ب م",1361
"عد ",1358
"هوذ",1358
" يك",1357
"ن ه",1357
"حد ",1354
"ليس",1353
" اذ",1352
"نهم",1350
" اح",1341
"عين",1337
" رج",1329
"لشع",1329
"لت ",1328
"ن ت",1328
"هنا",1320
"ر م",1310
"عند",1306
" يه",1305
"يام",1304
"يكو",1299
"موا",1284
"مل ",1283
"د و",1273
" فل",1273
"ه ي",1270
"الآ",1269
"بي ",1268
"مان",1263
"ولم",1262
" اج",1261
"هم.",1259
"ها.",1257
"بين",1250
"لمس",1246
"رب.",1244
"اك ",1241
"يين",1240
"خرج",1239
" بل",1236
"ا ر",1233
"ذه ",1230
"لكن",1230
"وام",1223
"عل ",1215
"امر",1202
"اول",1195
"لمو",1189
"د م",1188
"كما",1188
"ه ب",1186
"ليو",1186
"وكل",1180
"عب ",1179
"اود",1177
"نها",1176
"ى م",1176
"ثم ",1169
" قل",1168
"ن ق",1166
"عون",1166
"نسا",1164
"م ع",1163
" ور",1162
"داو",1159
" وه",1153
"وب ",1152
"سان",1148
"يسو",1141
"ابي",1140
"ت م",1138
"ت ل",1137
"ماء",1134
"لون",1134
"دا ",1131
"ة. ",1130
"ن. ",1128
"دي ",1127
"كذا",1124
"ليك",1122
"عوا",1121
"يقو",1120
"ئلا",1116
"ي ك",1116
"موس",1112
"بوا",1099
"يما",1097
" حي",1091
"هذه",1091
"بعد",1089
"لها",1078
"ي ت",1077
"ق ا",1076
"اجل",1076
"بنو",1073
"هكذ",1072
"ى ب",1071
"مه ",1070
"ب ل",1067
"فان",1066
"ل ي",1062
"ا ن",1060
"ل ف",1056
" عي",1054
" عش",1048
"الص",1047
"بة ",1046
"امي",1042
"يك ",1042
"عشر",1041
" كم",1040
"ب. ",1040
" تع",1039
"ح ا",1038
"بنا",1037
"ا س",1033
"ينة",1033
"رج ",1027
"كلا",1018
"لكم",1016
"فعل",1014
"يني",1014
"ن س",1010
"جعل",1007
"ه ع",1005
"روا",1004
"باب",1003
"هب ",996
"ن ج",994
"اس ",992
" اق",989
"ومن",988
"هما",984
"رسل",984
"لاب",981
"ك. ",977
"سوع",972
"يون",971
" فق",970
"ل ع",969
" وح",968
"نوا",966
" سب",966
"مدي",966
" عب",963
"انك",962
"انس",960
"علم",960
" تك",958
"ب ف",958
"ر ف",957
"ده ",956
"ولك",954
"حسب",954
" نف",953
"ي. ",953
"فيه",951
"ة ب",949
"ن ن",948
"يهم",948
" ون",947
"دخل",944
" جا",944
"ند ",943
"نك ",941
"لين",937
"هي ",933
" هن",931
"وه ",930
"بيد",930
" ير",928
"ين.",927
"ي ق",926
"ت ف",926
"ناك",924
"اور",918
"تهم",915
"سب ",913
"يدي",912
"ك ي",911
"ك ف",911
" عم",908
"تكل",908
"دة ",905
"بها",904
"ر ل",901
"صنع",901
"س و",898
"مون",898
"لاث",896
"مر ",894
" رب",893
" سي",891
"ف ا",891
" فر",887
"ثير",885
"اه ",884
" مر",884
"ينا",883
"م ك",882
"ع م",881
"ة ع",880
" يت",873
"ك م",872
"ارا",869
"ارب",869
"وفي",869
"الث",868
"ع و",868
" وف",867
"تها",866
"حتى",865
"مال",864
"رجا",863
"لكل",860
"ت ع",860
"جاء",859
"لسا",858
" تق",854
"وسى",854
"ورش",854
"ى و",853
" حس",853
"كي ",853
"تك ",850
". ه",844
" يح",841
"اعط",840
"سيد",838
"دم ",837
"ن ح",836
"ك ل",833
" ذل",831
"بر ",831
"كثي",831
"ل ه",831
"لسم",830
"الغ",830
"ارس",829
"نو ",828
"ملو",827
"ء و",826
"ون.",826
"قلب",825
" فت",824
"اد ",824
"امو",824
