"ܝܢ ",7825
"ܘܢ ",7611
"ܐ ܕ",6965
"ܢܐ ",5392
"ܬܐ ",5351
"ܠܐ ",5237
"ܐ ܘ",4560
" ܗܘ",4490
"ܐ ܐ",4338
" ܐܢ",3965
"ܢ ܕ",3370
"ܐ ܠ",3284
"ܢ ܐ",3216
"ܡܢ ",3155
" ܡܢ",2961
" ܕܐ",2960
"ܐ ܡ",2813
"ܕܝܢ",2789
" ܕܝ",2763
" ܠܗ",2695
"ܐ ܗ",2674
"ܐܡܪ",2586
"ܗܘܢ",2508
"ܝܐ ",2494
" ܠܐ",2391
"ܪܐ ",2372
"ܡܐ ",2247
" ܘܐ",2224
"ܘܐ ",2210
" ܐܝ",2186
"ܗܘܐ",2104
"ܢ ܠ",2104
"ܐ ܒ",2071
"ܟܘܢ",2067
"ܗܝ ",1998
"ܝܬ ",1976
"ܠܗ ",1914
" ܕܡ",1891
"ܗܘ ",1860
"ܡܪ ",1842
"ܢ ܘ",1718
"ܢ ܡ",1698
"ܘܗܝ",1662
"ܢ ܒ",1643
"ܠܝܢ",1640
"ܢ ܗ",1624
"ܐܢܬ",1588
"ܐܢܐ",1577
"ܫܐ ",1565
"ܘܬܐ",1531
" ܥܠ",1503
"ܬܘܢ",1469
"ܐܝܬ",1458
"ܗܐ ",1416
"ܐܠܗ",1415
"ܕܐ ",1400
"ܗ ܕ",1341
"ܚܐ ",1324
"ܠܗܐ",1323
" ܐܠ",1320
" ܕܢ",1316
"ܝܪ ",1315
"ܠܗܘ",1296
" ܠܟ",1260
"ܐ ܢ",1258
" ܘܠ",1257
" ܕܠ",1242
"ܟܕ ",1214
"ܐܝܟ",1187
"ܥܠ ",1184
"ܪ ܠ",1170
" ܠܡ",1167
" ܐܡ",1155
"ܒܐ ",1154
"ܘ ܕ",1154
"ܝܫܘ",1148
"ܫܘܥ",1138
"ܐ ܥ",1135
"ܓܝܪ",1118
" ܓܝ",1099
"ܘܥ ",1058
" ܘܡ",1058
"ܪܝܢ",1058
"ܢܘܢ",1036
"ܥܒܕ",1034
"ܗܘܘ",1032
" ܐܬ",1005
"ܠܟܘ",994
"ܘܐܡ",988
" ܡܫ",973
"ܘܠܐ",956
" ܕܒ",952
"ܝܟ ",923
"ܬ ܠ",917
"ܬܗ ",913
"ܐ ܚ",901
"ܡܪܝ",893
"ܘ ܠ",886
" ܟܠ",879
"ܢܬܘ",879
" ܥܡ",875
" ܒܝ",854
"ܕܡ ",847
"ܕܠܐ",845
"ܝܗܘ",823
"ܘܘ ",823
"ܐ ܬ",816
"ܢ ܥ",811
"ܐܠܐ",804
" ܝܫ",802
"ܝܬܐ",802
" ܡܠ",800
"ܝܠܝ",780
"ܢܢ ",777
"ܐܦ ",774
" ܠܝ",773
"ܥܝܢ",760
"ܥܐ ",758
"ܟܠܗ",757
"ܡܛܠ",757
"ܝ ܕ",752
"ܗܢܐ",750
"ܛܠ ",745
" ܗܢ",745
"ܪ ܐ",741
"ܐܢ ",732
"ܠܘܬ",729
" ܐܦ",726
"ܢܫܐ",721
"ܐܢܫ",711
"ܝ ܘ",706
" ܘܒ",702
"ܐ ܝ",697
" ܠܘ",695
"ܝܚܐ",691
" ܒܪ",685
"ܢ ܝ",684
"ܢ ܟ",678
"ܟܐ ",677
" ܕܥ",675
" ܒܗ",674
"ܟܢܐ",670
"ܠܡܐ",670
" ܚܕ",669
"ܠ ܕ",666
