"re ",34234
" ĩ",25307
" yi",20972
"aji",18098
"̃na",16171
"u̶a",15370
" ba",14901
"baj",14009
"u̶ ",14003
" ña",13407
"ro ",12910
"are",12787
"iro",12352
"ari",12306
"jir",11842
" ma",11627
"mas",11427
"ĩn",10977
"mu̶",10873
"o b",10681
"ẽn",9883
"aja",9830
"ju̶",9571
"cu̶",9386
"cõa",9263
" yu",9196
"i, ",9042
"oti",8836
"e y",8599
"yu̶",8590
"uẽ",8546
"ĩ ",8508
" mu",8465
"arã",8295
"que",8211
"ri,",8121
"ũ̶",8020
"ama",7788
"To ",7653
"e, ",7259
"aro",7231
"ja ",7223
"rã ",7208
"asi",7205
"na ",7143
"ĩa",7113
"õar",7036
"jar",7029
"ire",6960
"tir",6684
"nar",6657
"e i",6628
"u̶r",6625
" qu",6127
"rũ",6005
"a y",5923
"u̶o",5909
"̶ar",5897
"Dio",5878
"a m",5817
"iru",5767
"ru̶",5634
"a, ",5618
"yir",5603
"se ",5469
". T",5425
"gũ",5242
" Di",5075
"gu̶",5066
"ne ",5049
"̶re",4944
"a. ",4916
"ima",4854
"ore",4810
"man",4803
" To",4778
"o y",4757
"ios",4706
"u̶j",4650
"got",4618
"ere",4599
"o i",4593
"ani",4577
"̶a ",4571
"e m",4553
"icõ",4473
"e b",4426
"ñar",4331
"tu̶",4294
"ne,",4225
"iri",4217
"̃re",4214
"rot",4135
", i",4118
"ojo",4088
"uju",4081
"to ",4053
"roj",3973
" go",3908
" aj",3880
"̃ne",3819
"Jes",3777
"igu",3756
"ose",3726
"aca",3708
"ĩr",3623
", “",3572
"ti ",3567
" tu",3560
"aru",3550
"̶cu",3548
"ise",3538
"irã",3494
"ser",3482
", y",3444
" Je",3428
"e a",3418
" ro",3370
"esú",3367
"yuj",3363
"ma,",3316
"asa",3257
"ñaj",3252
"mi ",3235
"os ",3190
"yig",3174
"o m",3161
" va",3120
"ami",3061
"jos",3042
" cu",3023
"bu̶",2992
"boa",2990
"yic",2956
"cam",2924
"aju",2916
"ju ",2901
"ija",2894
"u̶.",2860
"acõ",2845
"̶ ñ",2840
"uja",2813
"eti",2813
"”, ",2804
"u̶c",2789
", m",2780
"a i",2776
"a ñ",2747
"u̶t",2731
"re,",2718
"sir",2712
"bet",2680
"̶ y",2676
"ica",2666
"do ",2663
" ri",2659
"eja",2650
"̶, ",2644
"ri ",2599
"ria",2596
"ca ",2583
"̃gu",2568
"e g",2560
" ad",2549
"jam",2538
"ñuj",2528
"oja",2527
"̃ y",2525
"e r",2510
"oca",2501
"oĩ",2499
"̶oi",2495
"ni ",2416
"e c",2404
"agu",2398
"̶ja",2388
"iyu",2378
"u̶,",2375
" ti",2374
"ma ",2373
"rãc",2370
"sús",2359
"̶ju",2325
"asu",2324
"ato",2311
"̶mi",2307
"” y",2294
"s i",2290
"one",2287
"ron",2247
"sa ",2237
"iar",2223
"e q",2223
"ior",2219
"ã ñ",2205
"ãca",2199
" bu",2168
"ado",2147
"ibe",2146
"abo",2136
"tim",2134
"ase",2133
"su̶",2119
"oar",2116
"e ñ",2113
"̶. ",2110
" ya",2104
"rẽ",2085
"mac",2074
"caj",2050
"i m",2045
"̶̃m",2045
"me ",2044
"ana",2042
"iti",2034
"ati",2016
"e t",2000
"u̶m",1980
"̶̃n",1964
"oju",1959
"ãja",1926
"abe",1909
"ũg",1891
"ãre",1883
", t",1882
"̃ni",1882
" ej",1882
"rãr",1877
"ãma",1872
"sar",1871
"i. ",1870
"rãm",1870
"car",1869
"jac",1862
"yis",1855
"jit",1841
" rã",1838
"itu",1837
"̶or",1835
"̶ti",1831
"ror",1822
"nu̶",1813
"ine",1800
"dir",1796
" ru",1793
"ã i",1790
"̶nu",1789
" u̶",1782
"i ñ",1775
"̶a.",1774
"e s",1765
"tic",1758
" bo",1755
"acu",1749
"oro",1746
", a",1743
"na.",1724
"ris",1723
"ori",1719
"erã",1693
"o, ",1691
", D",1689
"ibo",1687
"rin",1686
"nir",1655
"ja.",1650
"iaj",1617
"Yu̶",1615
"̃ar",1600
"a r",1589
" cõ",1581
"mi.",1567
" si",1544
" oc",1539
"sto",1537
"ã, ",1524
"rã,",1520
"̶ m",1517
"ist",1514
"boj",1505
"osa",1493
"udi",1489
"cat",1469
"ãme",1466
": —",1447
"ma.",1446
", r",1445
"bos",1438
"yiy",1430
"yim",1429
"jic",1424
"aam",1420
"jer",1408
"̃ b",1405
" me",1389
"a t",1389
"a” ",1385
"ñam",1379
"o r",1374
"yit",1374
"̶̃ ",1369
"rãj",1362
"sio",1356
" ju",1335
"aje",1334
"̃ r",1325
"rĩ",1318
" vã",1317
"̃ac",1306
" gã",1295
"tor",1283
"ñaa",1282
" to",1280
"añu",1280
"a”,",1247
"oaj",1239
"u̶b",1237
"ero",1237
"̶mu",1227
" su",1226
"sẽ",1226
"tia",1215
"i D",1211
"̶ i",1190
"edi",1178
"rim",1175
"a b",1172
"yib",1171
"ro,",1170
", q",1164
"rij",1156
", g",1147
"iĩ",1144
" so",1138
" Ĩ",1135
". I",1128
"var",1125
"siñ",1122
"iñu",1109
" je",1109
"Cri",1086
"men",1075
"u̶s",1070
"sĩ",1065
"igo",1061
"vãm",1057
"aqu",1050
"̶̃c",1050
"ñab",1047
"a v",1046
"r'i",1035
"jab",1034
"i y",1034
" ja",1029
"o c",1029
"coa",1026
" be",1025
"e v",1020
"oru",1018
"ãje",1018
"a q",1007
"iqu",1006
"a s",1001
"u J",995
"jed",992
"yij",982
"ena",982
"̶bu",975
"e j",971
"ẽt",969
"jaq",967
"iju",960
"ñag",959
"adi",957
", J",956
"a u",953
"̃am",953
"súr",951
"ñac",948
"ẽm",945
" —i",943
"—ĩ",943
"̃to",942
"Que",934
"u̶d",932
"a j",930
"o ñ",923
"gãj",916
" se",907
"ber",896
"̃mo",896
"Roj",894
"úre",892
"i J",892
"ús.",892
"̶ r",889
"rã.",879
"̶to",876
". “",875
"mai",858
"Mu̶",857
"o t",854
"jor",853
"̶rã",852
", b",850
"ja”",849
"uca",843
"i i",838
"rer",832
" Cr",832
"riq",829
"̶di",827
"Ĩn",817
"umi",810
"mi”",807
", j",805
"tib",803
"a g",802
"̶ne",801
"eri",794
"gaj",793
"naj",786
"bes",786
"ruj",780
"yaj",776
"ayu",772
"ia ",771
"re.",771
"̶ t",770
"dic",770
"Ĩ ",768
"vaj",768
"tig",767
"õro",765
"s. ",764
"ã m",755
"e. ",750
"Tir",749
"a: ",748
"tis",747
"ús ",746
"ãmu",742
"roc",741
". M",740
"tud",740
" tã",734
"suj",734
"tãm",728
"sib",727
" re",727
" Ti",724
"aco",723
"orã",722
"di ",721
"io ",718
"icu",717
"ĩg",717
"a —",714
"sia",712
"tiy",710
"tob",710
"cũ",708
"tij",708
"na,",706
"cõr",705
"rir",704
"i r",702
"u̶”",698
"jo ",698
"ũr",696
"̃ab",694
"a c",685
"̃ma",683
"yar",683
"ocõ",682
"̃aj",681
"os.",677
"̶ri",677
"ya ",674
": “",673
"e e",672
", s",672
"can",670
"̶ v",667
"ũm",667
"d'i",665
" ũ",659
"nas",658
"rit",657
"esu",657
"esa",656
"o v",655
"ud'",650
"obo",649
"u̶n",645
"a a",644
"rio",641
"o” ",635
"Ado",632
"ju.",632
"to”",626
"ma”",626
"̃añ",622
"̶ b",621
"jis",621
" “R",619
"jib",614
"õa ",613
"̶sa",606
"ye ",606
"Man",603
"ñañ",603
"o g",603
" mo",598
"̃ c",595
"i j",593
"o s",593
"aña",589
"bea",587
"’ y",587
", v",585
" ga",584
"ni.",583
"i”,",582
" co",582
"jeo",579
" ca",579
"yii",574
