" ri",56365
"ri ",41931
" ch",30601
"chi",24534
"cˈa",17961
" cˈ",14703
"an ",13449
" ru",13002
"qui",11982
"a r",11481
"aˈ ",11332
"ˈa ",11246
" ca",10758
"hi ",10094
"el ",9464
"iˈ ",9128
"i r",8971
"ma ",8903
" ta",8608
" ni",8603
"a c",8603
"riˈ",8039
"ij ",7855
"ach",7561
" qu",7506
"aj ",7355
"n c",7321
"iqu",7277
" wi",7214
"ek ",7123
"can",7052
"ˈ r",7039
"que",6959
" y ",6609
"j c",6469
"l r",6383
"chu",6274
"ta ",6221
"ˈ c",6184
"i c",6152
" ma",6136
"i n",6109
"n r",6054
" ye",6035
"jun",5881
"uma",5800
"un ",5671
"cha",5530
"qˈu",5494
"chˈ",5398
"cˈo",5378
"e r",5357
"ˈui",5230
" ju",5176
" pa",5106
"riy",5076
"i x",5069
"ich",4989
"j r",4974
"xin",4877
"ˈo ",4845
"hiq",4803
"pa ",4604
"yaˈ",4505
"i y",4419
"ixi",4411
"in ",4322
" ac",4269
"che",4178
"ic ",4172
" xa",4073
"in)",4038
"he ",4037
"e (",4036
"ios",4033
"iyi",4015
"bij",3967
"n) ",3964
"Dio",3953
"ech",3950
" Di",3916
", r",3840
"hic",3839
"rum",3825
"tek",3807
" xu",3752
"iqˈ",3672
" (r",3672
"i D",3670
"rix",3651
"acˈ",3650
"wi ",3606
"en ",3598
"(ri",3563
"ric",3557
" te",3521
"cˈu",3514
"kˈa",3475
" ya",3398
"icˈ",3379
"nek",3371
". Y",3344
"laj",3323
"tzi",3293
"i J",3289
" xt",3272
", y",3268
"on ",3262
" Je",3242
"k r",3226
"bel",3202
"wec",3194
"ch ",3191
"eˈ ",3182
"ruc",3176
"win",3175
" nu",3167
"xa ",3167
"hˈa",3095
"re ",3084
"ue ",3081
"ben",3054
"abe",3023
"Jes",3022
"ubi",3004
"ui ",2976
"ala",2962
"os ",2951
"ban",2922
") c",2922
"huk",2919
"oje",2902
"e c",2898
"are",2897
" Y ",2888
"ine",2878
" ti",2829
"uic",2799
"uch",2797
"xqu",2748
"y r",2701
" xq",2695
"l c",2683
"ari",2675
"nic",2667
"iya",2664
"i a",2654
" ka",2653
"kaˈ",2607
", x",2607
" re",2593
"ˈ, ",2589
"Y r",2578
"uka",2559
"esú",2558
"sús",2558
"a t",2554
"har",2550
" pe",2533
"n t",2533
"hiˈ",2528
"riq",2526
"nim",2526
"ye ",2514
"o c",2504
"ibi",2500
"yix",2478
"maj",2469
"iwe",2463
"ˈ x",2461
"ima",2456
" Ri",2442
"yin",2434
" xe",2426
"ucˈ",2420
"kˈi",2418
"utz",2370
