"ng ",112874
"sa ",112007
" sa",104793
"ang",93118
"ga ",78553
" ka",72961
"nga",58334
" ng",47563
" an",47072
"an ",44683
"ug ",41723
" ug",40797
" ma",39511
"a m",36227
"ala",35307
"mga",34589
" mg",34582
"ana",32626
"iya",30951
"a k",30741
" na",30607
"kan",30397
" pa",30390
"g m",30115
"ong",29535
"on ",29100
"a s",28394
" si",27006
"a n",25527
"ing",24733
"n s",24678
"g s",24250
" ni",23999
"a a",23860
"a i",22244
"ila",21410
"aga",20770
", u",20352
"g a",20103
"pag",19782
"ay ",19651
" gi",19534
"a p",19286
"g k",18647
"la ",18429
"ngo",18383
"lan",17194
"ani",16962
"nan",16739
"nag",16490
"n n",16412
"ni ",16359
"ya ",16066
"o s",15626
"ata",15505
"Ug ",14982
"ako",14455
"gon",14293
"tan",14107
"a t",14045
"yan",13849
"n, ",13775
" ta",13588
" ba",13515
"ka ",13390
"usa",13347
"a b",13251
"imo",12888
"a, ",12713
" di",12634
"han",12604
"g n",12543
"pan",12401
"ini",12301
"nak",12275
" iy",12106
"g i",12015
" mi",11353
"ali",10961
" ak",10749
"n k",10452
"ko ",10439
"aw ",10229
"mag",10162
"si ",10082
"dto",10029
"ika",10012
"g p",9949
"g g",9788
"man",9658
"a u",9575
"to ",9540
"aka",9536
"ung",9534
" Je",9526
"iin",9472
"o n",9379
"aha",9366
"o, ",9300
" us",9249
"a d",9174
"siy",9112
"mon",9086
" la",9004
"mo ",8957
"od ",8933
"kam",8838
"ulo",8753
"uta",8654
"ban",8602
" ki",8461
"ahi",8422
"ili",8415
"ama",8408
"a l",8363
"niy",8334
"apa",8232
"kon",8200
"a g",8192
"aba",8143
"g t",8087
"amo",8085
"i J",8012
"gan",8006
"ina",7906
"awa",7853
"kin",7728
"adt",7701
" ha",7568
"o k",7547
"taw",7445
", a",7360
"sil",7327
", n",7322
"awo",7304
"uha",7272
"iha",7240
"an,",7239
"o a",7117
"ha ",7044
"bal",7009
"Jeh",6959
"ron",6921
"eho",6893
"lay",6883
"ova",6872
"hov",6871
"wal",6837
"uba",6785
"n a",6773
"ta ",6702
"d s",6689
"hat",6651
"g u",6611
"i s",6606
"li ",6603
"ak ",6578
"on,",6472
"nin",6414
"a h",6381
" ko",6367
" da",6355
"na ",6318
"agp",6300
"gad",6263
" bu",6252
" il",6215
" im",6185
"gka",6159
"san",6132
"gpa",6116
"ita",6099
"aro",6049
"ag ",6034
" mo",6031
"atu",6019
"abu",6004
"nyo",5953
"iny",5928
", s",5886
"kal",5753
" in",5750
"mah",5735
"kat",5723
"g b",5682
"asa",5679
" tu",5646
"nil",5590
"mao",5524
"n m",5486
" wa",5479
"yo ",5479
"tag",5447
"but",5437
"gik",5429
"mat",5429
"at ",5370
"lak",5289
"k n",5255
"y s",5205
"gal",5196
"ato",5166
"non",5161
"g d",5138
"kas",5076
"nii",5071
"ano",5048
"lon",5048
"lag",5038
"agk",5003
"lin",4968
"ula",4952
"ipa",4937
"dil",4934
" su",4884
"nah",4875
"n u",4872
"yon",4816
"buh",4768
"sul",4737
"ayo",4724
"ios",4696
"law",4645
"ag-",4644
"ari",4633
"o m",4596
" ti",4547
"i m",4544
"nia",4524
" Di",4504
"ton",4488
"tun",4487
"t s",4479
"ok ",4422
"og ",4411
"kaw",4397
"tin",4394
"dih",4319
"him",4295
"sal",4283
"aki",4281
" ga",4250
"kay",4212
"mak",4211
"ao ",4199
"god",4184
"ada",4108
"Dio",4096
"iba",4092
" al",4082
"lo ",4071
"as ",4055
"isa",4022
"; u",4013
"ags",4003
"lal",3991
" bi",3951
"har",3945
"bat",3936
" ik",3914
"agh",3899
"alo",3893
"bab",3866
"d n",3866
"nim",3825
"an.",3824
"ad ",3800
"gip",3756
"adl",3734
"i n",3729
"ain",3722
"apu",3700
"tub",3666
"o u",3654
"gat",3640
"va ",3616
"asu",3615
"gap",3588
"ake",3569
"aan",3564
"sin",3555
" ad",3515
"tay",3467
" un",3458
"g, ",3452
"yut",3436
"asi",3435
"hal",3429
"i, ",3427
"Ang",3427
"ugo",3416
"hin",3405
"git",3400
"dla",3400
"it ",3399
"w s",3387
"kad",3386
"n: ",3386
"inu",3376
"agi",3371
"dal",3350
"t n",3323
"nsa",3308
"mal",3293
"os ",3282
"mii",3271
"gha",3268
" Ug",3258
" ar",3246
"ot ",3205
"ian",3191
" pu",3167
"pat",3159
" yu",3157
"uma",3157
"kit",3155
" hi",3154
"y n",3148
"naa",3139
"aya",3136
"pul",3103
"in ",3077
"itu",3072
"oha",3063
"oon",3053
"k s",3049
", k",3031
"s, ",3023
" Is",3015
"agb",3010
"kah",3004
"ati",3002
"uno",3002
"ahu",2962
"agt",2950
"y k",2941
" pi",2929
"wo ",2928
"sab",2921
"kap",2911
"uga",2908
"ud ",2899
"on:",2873
"g h",2861
"gah",2852
"ngi",2846
"may",2838
"mot",2837
"gab",2836
"abi",2835
"una",2832
"bis",2816
"gin",2815
"bay",2801
"api",2794
"s n",2782
"i k",2780
"e n",2767
"min",2763
"ael",2757
"ut ",2753
" at",2736
" ub",2735
"sug",2716
"ibu",2707
"d k",2704
"pa ",2684
"g-a",2669
"adu",2668
"ke ",2668
"ri ",2641
", m",2631
"-an",2616
"pak",2607
"sra",2606
"pit",2605
"ba ",2602
"aon",2596
"Isr",2595
"rae",2593
"kau",2590
"alu",2557
"a w",2556
"ino",2549
"i a",2548
"gay",2540
"n; ",2530
" ig",2530
"kab",2529
"s s",2529
"g J",2517
"gi ",2499
" du",2439
"gda",2433
"a y",2421
"pin",2408
"baw",2400
"aag",2396
"a; ",2385
"us ",2377
" Sa",2365
"gsa",2361
"agl",2356
" am",2351
"ami",2345
"a: ",2343
"ab ",2342
"kar",2336
"pah",2335
"t k",2328
"ngh",2300
"ngk",2300
"did",2277
"-on",2276
"idt",2276
"isu",2269
"w n",2246
"gla",2235
"g l",2234
"y a",2234
"a D",2224
"ran",2220
"a I",2220
"tal",2213
"oy ",2209
"ti ",2182
"gtu",2177
"aug",2172
"g D",2169
"iga",2159
"nta",2147
"nap",2138
"aku",2129
"ya,",2125
"lab",2123
"hon",2120
"was",2118
"nat",2112
"t, ",2108
"lad",2098
"ia ",2098
"lam",2082
"oan",2078
"ult",2077
"ara",2069
"a J",2069
"gas",2058
