" ds",24363
" e ",23566
"aˋ ",21518
"sea",19494
"dse",19416
" ca",19074
"jo̱",19009
"eaˋ",17483
" la",16692
"ˈˋ ",15851
"o̱ ",15179
" jo",14821
" i̱",14204
"aˈ ",13789
"i̱ ",13717
" qu",13271
" ja",13087
"qui",12459
"ngˈ",12185
"o̱ˈ",11813
"ɨˊ ",11758
"ang",11720
"ˈˉ ",11243
" ni",11055
"ˋ d",10696
" do",9855
"ˈ˜ ",9424
" fɨ",9374
"guɨ",9327
"Jo̱",9258
"uiá",9001
"iáˈ",8661
"ɨ́ɨ",8603
"fɨˊ",8371
"uɨ ",8228
"alé",8134
" jm",8000
" lɨ",7972
"ɨ˜ ",7835
", j",7806
"ngˋ",7757
"jal",7714
"co̱",7641
"̱o̱",7270
"áˈˉ",7267
"̱ˈ˜",7069
"ˋ j",7049
"gˋ ",6447
"ˋ i",6378
"laj",6313
"ˋ e",6264
"̱ d",6262
"̱ˈ ",6212
"ngˉ",6133
"caj",6105
"˜ j",6100
"gˈˋ",5828
"áan",5774
"e j",5749
"do ",5671
" ˈn",5646
"ó̱o",5531
"lɨ́",5348
"éng",5332
"o̱b",5305
"naˈ",5261
"jmɨ",4958
"éˈˋ",4861
"có̱",4848
"e n",4818
"gui",4712
"iée",4698
" mɨ",4695
"ɨng",4674
"baˈ",4587
"lén",4567
"̱ c",4540
" có",4468
"ajo",4441
"ˈ j",4437
"o̱g",4433
"̱gu",4433
"ˈˊ ",4430
"ing",4412
"ˋ c",4264
" co",4250
"ˉ j",4242
"gˉ ",4216
"ˈˆ ",4212
"ˋ l",4192
"dié",4147
"˜ c",4096
" Fi",4091
"aaˈ",4084
"mɨ˜",4068
"idi",4064
"Fid",4060
"ˊ j",4048
" gu",4032
"éeˇ",3997
"a˜ ",3985
"jaˋ",3960
"eˇ ",3911
"úuˆ",3842
"júu",3831
"naa",3806
"eáa",3793
"ngˊ",3742
"uˆ ",3722
" jú",3684
"ˋ q",3669
"ˈnʉ",3610
"̱ba",3596
"léˈ",3493
"nʉ́",3486
"ˉ d",3477
"˜ e",3459
"̱ j",3448
"ˊ l",3358
"̱i̱",3323
"aan",3321
"can",3308
"́ɨn",3261
"ˊ d",3258
" nɨ",3226
"ˉ e",3188
"rˉ ",3143
"ˈrˉ",3139
"ʉ́ˈ",3120
"ɨ́ˈ",3065
"iñˈ",3058
" jn",3050
"lac",3044
"aco",2992
"e l",2990
"jí̱",2954
"̱ l",2952
"ˈ c",2928
" Jo",2919
