"ᎠᎴ ",7084
"ᎾᏍᎩ",6878
" ᎾᏍ",6517
" ᎠᎴ",6315
"ᏍᎩ ",6203
"ᏍᏗ ",4908
", Ꭰ",4581
"Ꭲ, ",4233
" ᎨᏒ",4059
" ᎯᎠ",2675
"ᎯᎠ ",2644
"ᎨᏒ ",2615
", Ꮎ",2339
" ᎢᏳ",2047
"ᏗᏱ ",2034
"Ꮧ Ꭸ",2028
" ᎤᏁ",1893
"ᏅᎯ ",1887
"Ꭹ, ",1882
"ᎨᏒᎢ",1595
" ᎠᏂ",1578
" ᎤᏂ",1545
"ᎳᏅᎯ",1505
"ᎤᏁᎳ",1483
"ᏰᏃ ",1471
"ᏁᎳᏅ",1452
" ᎤᎾ",1425
" ᎥᏝ",1408
"ᎥᏝ ",1339
"Ꮄ Ꭴ",1333
"Ꭲ; ",1293
"ᏍᏗᏱ",1265
"Ꭹ Ꭴ",1240
"ᏍᏙᏗ",1231
"Ꮓ Ꭴ",1210
" ᏂᎦ",1191
"ᎬᏫᏳ",1185
"Ꮧ, ",1175
"ᏍᎩᏂ",1154
", Ꭴ",1145
"Ꭿ Ꭴ",1136
"ᏍᏓᏁ",1082
"Ꭹ Ꭰ",1079
"ᏎᏍᏗ",1069
"Ꭿ, ",1055
"Ꭹ Ꭲ",1027
"ᏂᎨᏒ",1015
" ᎨᏎ",1012
"Ꮄ Ꭰ",988
"ᏍᏛ ",980
"ᏍᏗ,",975
"ᎩᏂ ",970
"ᎨᏍᏗ",961
"ᎵᏍᏙ",957
" ᎬᏩ",956
"Ꭹ; ",953
"ᎯᏍᏗ",947
"ᏒᎢ,",935
"Ꭹ Ꮎ",928
"ᎨᏎᏍ",922
"Ꭰ Ꮔ",912
" ᎤᎬ",906
"ᏫᏳᎯ",896
"ᏍᎩᏯ",877
"Ꮧ Ꭰ",865
" ᎢᎦ",861
"Ꮓ Ꭰ",848
" ᎠᏓ",847
"ᎾᏍᏉ",844
"ᏳᎯ ",827
"; Ꭰ",827
"ᎦᎵᏍ",818
" ᏄᏪ",814
"Ꭿ Ꭸ",806
"Ꮧ Ꭴ",803
" ᏴᏫ",797
" ᎠᏍ",792
"Ꮄ Ꮎ",790
"Ꭿ Ꭰ",777
"ᏍᎨᏍ",766
