"a̱ ",14429
" je",10956
"wa̱",10497
" wa",10016
"wa ",9804
"te ",9502
"ka ",9019
"je ",8065
"rä ",7690
"a i",7611
" ka",7307
" te",6980
" rä",6761
" ba",6591
"a, ",6417
" ji",6409
"ewa",6348
"käi",5522
"e i",5489
"klä",5419
"a k",5367
"ta ",5284
"ka̱",5191
"le ",4981
" yi",4978
"na ",4966
" ij",4797
"äi ",4742
"sa̱",4699
", j",4696
"e k",4680
"a j",4519
" ki",4508
"as ",4344
"a t",4292
"nak",4205
"ia̱",4126
"ije",4046
"a s",4024
"ra ",4023
"lä ",3905
" ra",3881
"ki̱",3869
" ku",3830
" ia",3723
"bas",3673
"jew",3665
" Je",3543
"is ",3442
" sh",3438
"irä",3435
" ir",3317
"a w",3305
"ji ",3279
"̱ i",3241
"ska",3206
"mi ",3200
"ish",3189
"̱na",3177
" is",3155
"e r",3108
"e j",3087
"a r",3074
"̱ k",3054
"ä k",3025
"yis",3017
" kj",3008
"ju̱",2980
"una",2889
"äke",2800
"ja̱",2794
"a̱n",2789
"kun",2765
"ei ",2764
"je̱",2756
"ä j",2746
" ja",2746
" sa",2707
"ke̱",2700
" wä",2677
"̱mi",2668
"e s",2665
"i w",2665
"a b",2657
" ña",2644
"̱ j",2618
"era",2590
"i k",2586
"bik",2553
"ra,",2524
" ts",2500
" ta",2490
"ata",2468
"a̱k",2448
"ne ",2390
"kek",2346
"a y",2339
" sk",2329
"a̱m",2313
"sha",2310
"aka",2302
"ak ",2299
"tsa",2287
"i i",2278
"e w",2275
"̱ka",2260
"ekl",2233
" it",2228
" bi",2224
"Säk",2201
"e b",2162
" wà",2120
" kä",2090
"e̱ ",2072
"ba ",2064
"i̱ ",2055
"i s",2054
"ekä",2052
" Sä",2048
"i̱k",2040
"i j",2016
"awa",2013
"ite",1999
"ana",1979
"Jer",1975
". J",1960
"̱, ",1936
"ksa",1911
" ma",1911
"akl",1909
"ä s",1903
"äk ",1902
"i, ",1888
"ä w",1879
" ju",1869
"e̱r",1867
"i b",1833
"sä ",1821
"e t",1806
" dä",1805
"la ",1798
"u̱a",1795
"i t",1783
"Je ",1768
" iw",1751
"iwa",1747
"bä ",1742
" kt",1711
"̱ r",1709
" sä",1702
" ik",1688
"̱r ",1685
"öle",1684
"tä ",1666
"ni ",1656
" pa",1627
"Jek",1614
"ka.",1595
"̱ s",1579
" na",1576
"Jes",1574
"cha",1558
" bä",1549
"s t",1540
"̱i ",1536
"ike",1524
"a̱,",1507
" si",1504
"she",1502
"ha̱",1494
"ets",1493
"̱k ",1478
"a̱w",1449
"ika",1448
"ä i",1442
"a̱.",1433
", k",1418
", i",1415
"e̱n",1410
"ä, ",1408
"̱ w",1400
"̱ b",1396
"kte",1381
"si̱",1369
"Ata",1366
"e̱k",1351
"äkl",1348
" ya",1347
"ku̱",1339
"ina",1337
"s w",1334
"sa ",1332
"s k",1330
"ket",1325
"ikö",1324
"eke",1317
" ne",1314
"wà ",1309
"̱wa",1301
"i r",1299
"i y",1283
", a",1275
"a. ",1267
"ake",1260
"ha ",1254
" ss",1245
"wak",1240
"ale",1237
": —",1235
"esú",1232
"sús",1232
"akä",1225
"ye ",1216
"ús ",1215
"köl",1214
"ä b",1214
"bäi",1203
"käk",1201
"su̱",1192
"kä ",1189
"olo",1188
"ena",1182
"kei",1182
" at",1181
"kja",1181
"k w",1173
"kje",1159
"se̱",1151
"ebä",1146
"̱ t",1143
" su",1142
"e y",1140
"ile",1137
"säk",1127
"ñak",1122
"ele",1117
"u̱ ",1115
"tke",1110
"ä t",1108
"o̱ ",1107
"ala",1088
"̱ni",1070
"rä,",1068
"ka,",1066
"̱a ",1064
"sht",1055
"shk",1053
"tsä",1032
"a d",1027
"ie ",1015
"ä y",1012
" ye",1011
"atk",1008
"s i",1007
"yak",1007
"Ka ",1001
"ssë",1000
"htä",998
"e, ",993
"aba",993
"so̱",986
" ch",983
"tso",983
"k k",982
"ula",967
"äi,",966
"na?",963
"lew",953
"a̱t",947
" de",942
"̱ y",935
"jis",932
"täk",928
"a̱j",917
", ñ",917
"e n",913
"kew",911
"kju",909
"läk",907
" sá",896
"s d",894
"tka",889
"na,",887
"kwa",882
"ta,",879
"ji̱",875
"ami",875
"i̱a",871
" du",869
" a̱",867
"tkä",864
"pak",863
"shä",862
"rä.",860
"e̱i",852
"wei",846
"sá ",844
"äki",838
"äkä",834
"ane",834
" we",834
"a J",833
" ke",832
"s j",828
", b",828
"bat",825
"a e",825
"we̱",823
"̱: ",816
"ktä",815
"its",815
" se",813
"ta̱",812
"a̱:",809
"a m",806
"a: ",805
" mi",796
" di",785
"ä n",784
"s s",772
"yi ",771
"iju",769
"emi",766
"häk",766
"tse",764
"̱. ",756
"jek",756
"̱le",749
"min",741
" et",734
"e d",732
" ko",732
"jul",732
"el ",731
"o̱n",731
"̱ta",730
"kat",726
"a p",724
"na.",723
"a n",719
"kbl",718
", s",718
"̱ne",713
"loi",709
" iy",706
"kla",704
"iye",703
" da",700
"lu ",699
"kuk",695
"̱ d",693
" eb",693
"iki",692
"etk",685
"jer",683
"sak",680
"eka",678
"pa ",672
"to ",670
"ä d",670
" ol",668
"äi.",663
"ke ",661
"mi.",660
"u̱l",653
"o w",652
"kal",649
"ukä",648
"a ñ",647
"r k",645
" al",644
"k j",637
"oi ",635
"a̱l",634
"ris",633
" ek",630
"jiy",628
" me",625
"ikä",623
"i. ",620
"he ",616
"ä r",614
"hka",613
"kia",612
"wäk",609
"yab",607
" ii",605
"man",604
" ni",598
"mik",597
"̱ku",596
"ui ",596
"jil",596
"kjä",588
"rmi",587
"äle",586
"yie",583
"u̱ñ",582
"iia",580
"me̱",580
"abl",578
"tei",578
"̱tk",575
"̱li",574
"eju",573
"li̱",570
"apa",568
"li ",564
"mi,",558
"yin",554
"rke",553
"ble",552
"e m",551
" bu",550
"däk",544
"ine",544
"wä ",544
"lek",544
"iyi",542
" At",538
"dul",537
", y",536
"bal",535
"a S",534
"kab",529
"blu",523
"wät",522
"ha:",520
"wa,",516
"sto",511
". A",509
"kle",506
"sik",504
"akw",503
" ib",502
"o k",502
"chu",502
"̱ñe",500
"ma ",500
"ia ",498
"u̱i",497
"ist",496
"er ",493
"dä ",490
"̱we",490
"äwa",489
"dit",489
": “",487
"aa ",486
" Ju",484
"r s",480
"ä S",479
"abä",475
"däl",470
"esk",470
"yöl",469
" tu",467
"räl",465
"pat",464
"Bas",460
"ulu",459
"i d",459
"u̱e",458
"ich",457
"̱ak",454
"e e",452
"ian",451
"wà,",449
"̱ m",448
"a? ",447
"jue",447
"kks",446
"k s",442
" Ka",436
"blä",432
" yö",430
"ule",430
"eks",429
"à, ",428
"l w",426
"ämi",424
"ä m",423
"yik",421
"̱kl",421
"ko̱",420
"̱aw",420
"eik",420
"läw",418
"mai",414
". K",411
" o̱",411
"Ñer",411
"a̱i",411
"yäk",410
"äka",409
"iri",408
"ä e",408
"ä. ",407
"a c",407
"r b",407
"̱ S",405
"kie",404
"akt",403
"e S",402
"uka",401
"sën",399
" tk",399
"Yis",397
"ar ",395
" e̱",395
"kan",395
"Ije",394
"̱ e",393
"ikb",392
"iwä",390
"ir ",390
"ju ",388
"i̱i",388
"̱i̱",387
"lak",386
"baa",383
"k b",382
"k, ",380
"lo ",378
"ñer",377
"Jud",374
"no ",372
" tä",371
"k i",368
"i m",367
"mo ",366
" id",365
"tul",364
"i a",364
"wäm",362
"isk",362
", t",361
"hak",361
"ro ",360
"kol",358
"ibi",355
"äna",355
"̱ke",355
"̱ n",354
"äkw",354
"ämo",352
"i e",352
"bit",351
"̱ju",350
" nu",347
"té ",346
"erä",346
"kaw",345
"ach",345
"hu̱",345
"ja ",344
"aks",344
"kúk",342
"wà.",340
"le,",340
"jöi",338
"ni.",337
"aje",336
"akb",334
"äts",333
"äkk",333
"Cri",333
"aju",331
" uk",330
"sal",329
"aik",327
"a a",326
" Cr",326
"a̱r",324
" jí",324
"aeb",324
"u̱n",323
" Sa",322
"ra.",322
"ira",322
"e p",322
"abi",317
"naw",317
" im",317
"̱rk",317
" el",317
"iäk",316
"tap",315
" be",315
"ma̱",314
"ikj",314
"jí ",314
"uäk",314
"se ",313
"e o",313
"ëna",312
" yä",311
"k t",311
"älä",310
"̱bl",310
"yil",308
"kät",308
"ña ",307
"miw",306
"wab",306
"r j",304
"be ",303
"úka",303
"ikl",301
"i̱,",298
"uen",298
": ‘",298
"ekj",297
"̱jö",296
"öir",296
"sek",293
"kta",293
"jir",292
"bul",291
"i n",291
"ita",291
"lab",290
"jes",289
"e̱t",289
"lan",289
"ssa",287
"o s",286
"kel",286
"r d",285
" bl",285
" yu",284
", m",283
"i̱.",283
"wik",283
"ñae",282
"ene",281
"i̱w",280
"̱ji",280
"ash",279
"o j",279
"̱no",276
"ío ",275
"udí",274
"dío",274
"bak",274
"jan",274
"o i",273
"o t",273
"tsi",272
"nej",272
"ken",271
"u̱t",270
", ¿",270
"̱ ñ",270
"ikú",269
"äli",269
"á w",269
"e. ",268
"ätä",268
"tab",268
" ks",268
"iku",266
"a̱b",265
"hki",265
"epa",264
"̱at",263
"kil",263
"á t",261
"pan",261
"ä J",258
"itä",257
"akk",257
"new",255
"uan",255
"äbä",252
"ka:",252
"e̱m",252
"kin",251
"ri ",251
"an ",251
"ssä",251
"jak",250
"jep",249
" wi",249
"dam",249
"e c",248
"ech",248
"lel",247
"à i",247
"Ñak",247
"̱l ",247
"kir",246
"jäk",246
"wäs",246
"r i",245
"wäj",244
"ii ",244
"Ba ",243
"kse",242
"s b",242
"äks",241
"isu",241
"ye.",240
"até",239
"ate",238
"saj",238
"e J",237
"nui",237
" do",237
"s m",236
" Ba",234
"ole",234
"kii",234
" Si",232
" —¿",231
"ali",230
"kö ",227
"e a",227
". I",226
"bä.",225
"wá̱",224
"te.",223
"iss",223
"Ká ",223
"lol",220
" jä",219
"ipa",219
"ukl",219
"i o",219
"san",219
"ani",219
"ise",218
"̱rm",218
"̱ J",218
"k r",218
"hen",217
"̱ei",216
"lec",215
"k y",214
"erk",214
"juk",213
"ili",213
"ñaj",212
"i S",212
"äyä",212
"ibä",212
"hek",211
"ta.",211
"jei",210
" Ká",210
"abe",209
"wän",209
" ic",209
"blo",209
", S",208
"a P",208
"sua",207
" ip",206
"del",205
"jal",204
"á̱ ",204
"̱ki",204
"kka",203
"täb",202
"nei",201
"ye,",200
"dew",200
"te,",200
"bla",200
"o̱r",199
"edr",199
" Pa",199
"Pab",197
"jäi",196
"̱ p",196
"wo̱",196
" bo",196
"i̱b",196
"läy",195
"äk,",194
"Yi ",194
"o̱l",193
"̱ o",193
"äyë",192
"wäb",192
"nel",192
"r t",191
"á k",191
"bä,",190
"e ñ",189
"à k",188
", d",187
"ten",187
"̱ks",186
"ern",186
"Jew",186
"aí ",185
"iks",185
"s y",185
"Ji ",185
"kiä",185
"e̱l",184
"eo ",184
"ikt",184
"ni,",184
"k e",184
"lon",183
"̱ná",183
"a K",183
"shi",183
"ä p",183
"äbe",182
" Ma",182
"jä ",182
"dro",182
"iya",181
" —S",181
"nan",180
"kic",180
"s p",180
"̱ c",179
"i̱n",179
"isa",179
"lei",179
"ñas",179
"i: ",178
"a o",178
"nac",178
"imi",178
"naa",178
"gel",177
"i ñ",177
"Ped",177
" ¿j",177
"iel",176
"nge",176
"ak.",176
"tel",176
"s ñ",175
" Pe",175
"da ",174
"dej",174
"dik",174
"her",174
"äba",174
" Yi",174
"áng",173
"̱ña",173
"kak",173
"̱e̱",173
" mo",173
"opa",173
"but",173
" in",172
"äk.",172
"rka",172
"i̱s",172
"sër",172
"ini",172
"ía ",171
"i p",171
"jie",171
"i̱t",171
"; j",169
", J",168
"hui",168
"ona",168
"o y",168
"duä",168
"ald",167
"ä a",167
"í k",167
"yë ",166
"uer",166
"ldu",165
"e̱e",164
"jaw",164
"ien",164
"s n",163
"ä: ",163
"du ",162
"u s",162
"ai ",162
"á i",161
