" 、 ",77005
" 的 ",44655
" 他 ",17602
" 你 ",16618
" 我 ",13928
" ． ",13593
" 在 ",9229
" 是 ",7381
"他 們",7226
"說 、",7118
"耶和華",6978
"你 們",6802
"和華 ",6712
" 人 ",6517
" 們 ",6424
" 不 ",6248
" 就 ",6039
" 要 ",5905
" 耶和",5536
" 有 ",5118
" 了 ",4981
" 和 ",4789
"的 、",4244
"、 我",4244
"、 你",4053
" 一 ",3813
"、 就",3723
" 說 ",3652
" 所 ",3637
" 那 ",3216
"人 、",3148
" 都 ",3145
"我 們",2912
" 也 ",2839
"以色列",2704
"他 的",2699
" 必 ",2643
"你 的",2541
" 到 ",2431
"的 人",2418
"、 他",2285
"我 的",2258
" 以色",2236
" 兒子",2219
"、 和",2210
" 神 ",2142
" 作 ",2111
" 使 ",2105
" 又 ",2103
"的 兒",1930
"們 的",1919
" 。 ",1899
"兒子 ",1849
"人 的",1803
"． 他",1789
"、 不",1781
"子 、",1767
"來 、",1743
" 因 ",1668
" 上 ",1659
" 中 ",1656
"色列 ",1653
" 把 ",1642
"因為 ",1574
" 之 ",1532
"、 在",1476
"、 都",1457
"自己 ",1455
"、 並",1451
"、 也",1431
" 為 ",1428
" 去 ",1427
"、 是",1424
" 自己",1404
" 以 ",1379
" 因為",1360
" 被 ",1360
" 個 ",1349
"、 因",1347
"就是 ",1330
" 時候",1324
" 向 ",1320
" 地 ",1316
"阿 、",1294
"時候 ",1288
"的 時",1274
"一切 ",1272
" 事 ",1265
"們 、",1265
"． 我",1217
" 一切",1215
" 得 ",1211
" 就是",1203
"沒 有",1175
"的 神",1165
"、 使",1163
"上 、",1155
" 面前",1154
" 能 ",1138
" 用 ",1135
"候 、",1117
"、 要",1113
"一 個",1113
" 叫 ",1092
"華 的",1090
" 〔 ",1085
"那 裡",1072
"去 、",1071
"、 必",1059
"． 因",1052
"知道 ",1038
"面前 ",1037
"、 這",1033
"色列人",1032
"． 你",1031
"列人 ",1025
" 知道",1018
"、 又",1014
"在 你",993
"、 耶",989
"、 以",976
" 將 ",974
"的 事",955
"了 、",947
"神 的",942
" 可 ",932
"、 有",923
" 行 ",923
"祭司 ",912
" 王 ",909
" 從 ",906
"在 他",904
" 來 ",903
" 看 ",893
" 著 ",891
" 們的",866
" 〕 ",858
"裡 、",850
" 各 ",846
"可以 ",844
" 大 ",840
"、 說",837
" 與 ",837
" 大衛",832
" 裡 ",831
"事 、",831
"耶路撒",821
"路撒冷",821
" 耶路",807
" 耶穌",800
"我 必",798
" 若 ",796
" 可以",795
"他 、",793
"百姓 ",791
" 祭司",786
"吩咐 ",783
"中 、",777
" 吩咐",772
"不 可",770
"在 那",769
"、 將",765
"撒冷 ",756
"地 、",749
" 埃及",748
"為 他",736
" 對 ",727
"話 、",725
"在 我",722
"、 從",721
" 已 ",719
"上 的",714
"有 一",714
"因 為",709
"我 、",707
" 呢 ",703
"也 不",701
"所以 ",699
"神 、",688
"不 是",688
" 如此",686
"我 要",680
"和 他",680
"耶穌 ",675
"於是 ",667
" 或 ",662
"在 耶",655
" 我們",654
"這樣 ",652
"的 ．",652
" 阿 ",651
"的 話",650
"． 這",647
"是 我",645
"如此 ",644
" 求 ",642
" 們說",641
" 給 ",638
"使 他",637
" 百姓",637
" 主 ",633
"給 他",631
"的 一",630
"僕人 ",630
" 摩西",630
"們說 ",619
" 僕人",618
"埃及 ",614
"大衛 ",612
" 甚 ",610
"己 的",605
" 像 ",603
"、 一",601
"是 耶",601
" 拿 ",600
"、 為",597
"摩西 ",594
"不 要",592
"為 你",589
" 弟兄",589
" 這樣",588
"你 要",588
"你 、",587
"弟兄 ",585
"這是 ",582
"不 能",582
" 多 ",575
"聽見 ",570
"、 亞",566
"中 的",561
" 受 ",561
