"que",25918
"ant",20068
"ri ",19264
"aqu",17409
"iri",17321
"nta",16689
"ari",14044
"ita",13871
"jei",13585
"eit",13243
"tsi",13191
"aje",11497
"eri",10635
"i i",10013
"shi",9968
"taq",9804
"iro",9712
"i, ",9622
"qui",9485
"aca",9317
"nca",8923
"can",8901
" ir",8755
"isa",8536
"ro ",8531
"sat",8378
"ica",8281
"ati",7866
"tan",7677
"tsa",7342
"inc",7170
"ats",7024
"ca ",6776
" pi",6677
"ite",6652
"aro",6644
"i. ",6637
"uer",6435
"tac",6161
", i",6099
"san",6057
"ti ",6051
"emp",5960
"nqu",5879
"ota",5864
"ent",5793
"ata",5770
"ana",5767
"ori",5707
"mpi",5679
" ca",5653
"nts",5491
"tir",5484
"eta",5316
"ame",5243
"uem",5204
" no",5033
"ue ",5028
"ri.",5015
"i a",4983
"pin",4885
"nti",4852
"cam",4829
"taj",4695
"int",4614
"ini",4531
"car",4525
"rio",4519
"a i",4346
"aar",4285
"ter",4253
"ni ",4247
"iqu",4228
" in",4181
"nte",4174
"ets",4173
"oca",4088
"eet",4078
"ri,",4070
"uen",4039
"ero",4017
"ren",3934
"mee",3890
"ash",3849
"i: ",3831
"caa",3804
"ani",3788
"ena",3746
"iti",3688
"cat",3572
". I",3559
" ic",3511
"i p",3500
"aso",3459
"ore",3425
" yo",3407
"rir",3403
"avi",3378
"osh",3326
"sor",3313
"ear",3312
"si ",3299
"e i",3244
"asa",3215
"pee",3188
" ai",3174
"aco",3168
"ama",3132
"tea",3092
"tas",3076
"ric",3071
"oni",3067
" Ta",3025
"e, ",3009
"ish",3007
"Tas",2999
"ron",2978
"mpa",2878
"its",2817
"ire",2808
" an",2788
"ano",2785
"tar",2775
"equ",2771
"te ",2721
"ji ",2716
"oje",2701
"maa",2693
"ais",2682
"onc",2677
"tat",2638
"rin",2630
"apa",2630
"a, ",2623
"imp",2619
"cha",2618
"tim",2617
" ma",2573
"i n",2561
"ain",2522
"tai",2519
", a",2516
"a p",2513
"aji",2510
"i o",2486
"ror",2481
"i y",2478
"ior",2468
"tap",2458
"aaj",2445
"Ari",2438
"i c",2434
"nea",2429
"ta ",2422
" pa",2416
"hir",2373
"ui ",2354
"oqu",2353
"naq",2352
"a a",2344
" te",2336
"inq",2290
"ra ",2280
"ora",2279
" qu",2243
"ine",2242
"emi",2225
"mis",2208
"aye",2183
" it",2171
"vet",2156
". A",2145
"o c",2136
"sar",2132
"nar",2091
"not",2083
"ait",2074
"ava",2069
"iji",2067
"ri:",2063
"non",2047
"hit",2046
"coa",2017
"man",2004
"pir",2000
"ara",1996
"ipa",1985
"i T",1984
" Je",1950
"tem",1940
" --",1926
"nch",1925
"cot",1923
": -",1914
"eca",1909
"pa ",1899
"nir",1881
"tav",1874
"paa",1871
"a n",1863
"api",1838
"iot",1822
"e a",1805
"Iro",1752
"sir",1733
"she",1727
"o i",1726
"ima",1718
" Ir",1705
"aja",1696
"amp",1679
" oc",1669
"eso",1665
"rit",1660
"ha ",1660
"Jes",1659
"i m",1655
" na",1651
"mpo",1647
"ime",1623
"ira",1618
"yor",1616
"hin",1614
"anq",1611
"naj",1586
"nin",1585
"eer",1585
", p",1563
"si,",1562
"uea",1557
"yet",1551
" ya",1548
"si.",1541
"ane",1540
"osa",1532
"o, ",1501
"ote",1498
" im",1493
"ate",1476
"mpe",1468
"uit",1465
"vin",1464
"ija",1455
"enq",1454
"o p",1451
"eir",1440
"anc",1440
"mat",1439
"aaq",1438
"ive",1435
"ave",1434
"men",1428
"caj",1424
"ran",1423
"ee ",1422
"sos",1421
"i J",1417
": """,1413
"ito",1405
", t",1388
"e. ",1380
" iq",1376
"oti",1376
" is",1373
"a o",1373
"ina",1365
" ei",1365
"esh",1352
"ris",1330
"rot",1326
"heq",1323
" ar",1323
