" ⲞⲨ",7381
"ⲞⲨⲞ",7235
"ⲞⲨ ",7155
"ⲞϨ ",5561
"ⲦⲈⲚ",5534
"ⲨⲞϨ",5474
"ⲚⲞⲨ",5177
" ⲈⲦ",5090
"Ⲓ Ⲛ",4751
" ⲚⲦ",4703
"ⲈⲚ ",4631
"ϪⲈ ",4544
"ⲞⲤ ",4502
" ⲚⲈ",4287
"ϦⲈⲚ",4259
"ⲚⲦⲈ",4085
"Ⲓ Ⲉ",4055
" ϦⲈ",3950
"ⲰⲞⲨ",3870
" ϪⲈ",3867
" ⲘⲘ",3794
"ⲈⲦⲈ",3763
" ⲠⲈ",3710
"ⲈⲘ ",3574
"ⲂⲞⲖ",3528
" ⲚⲀ",3476
"ⲚⲈⲘ",3334
"ⲈⲂⲞ",3254
" ⲘⲠ",3241
"ⲞⲖ ",3232
"ⲆⲈ ",3168
" ⲈⲂ",3151
"Ⲉ Ⲛ",2939
"ⲈⲦⲀ",2923
" ⲆⲈ",2855
"ⲀⲒ ",2752
"ⲞⲚ ",2572
"ⲘⲘⲞ",2500
" ⲚⲒ",2481
"Ⲏ Ⲉ",2479
"Ⲥ Ⲛ",2377
" ⲀϤ",2324
" ⲈⲢ",2293
"Ⲛ Ⲛ",2244
" ⲀⲚ",2202
" ⲚϪ",2182
"ⲰⲦⲈ",2113
" ⲠⲒ",2094
"Ⲩ Ⲉ",2079
"Ⲛ Ⲉ",2070
"ⲚϪⲈ",2061
"Ⲩ Ⲛ",2034
"ⲞⲨⲚ",2030
"ⲞϤ ",1970
"Ⲓ Ⲙ",1896
"ⲀⲚ ",1868
"ⲦⲞⲨ",1770
"ⲀϤ ",1745
"Ⲉ Ⲡ",1734
"ⲎⲒ ",1732
" ϨⲒ",1725
"Ⲁ Ⲛ",1707
"ⲠⲈ ",1694
"ⲞⲨϮ",1668
"Ⲉ Ⲉ",1667
" ⲈⲐ",1627
"Ϥ Ⲛ",1623
" ⲚⲚ",1619
"ⲞⲨⲤ",1613
"ⲈⲢⲞ",1580
"Ⲉ Ⲁ",1538
"ⲘⲞⲤ",1523
"ⲘⲒ ",1523
"ⲞⲨⲰ",1518
"ⲨϮ ",1499
"Ϩ Ⲁ",1489
" ⲀⲨ",1471
"Ϩ Ⲉ",1469
" ⲚⲞ",1431
"ϨⲀⲚ",1425
"ⲀⲨ ",1421
"Ϩ Ⲛ",1410
"Ϯ Ⲛ",1392
"ⲎⲞⲨ",1386
"ⲚⲎ ",1385
"ⲪⲎ ",1368
"ⲪⲚⲞ",1367
"ϪⲈⲚ",1365
" ⲈϤ",1346
"ⲚⲀⲨ",1340
"ⲚⲀϤ",1335
"ⲞⲨⲀ",1334
"ϢⲰⲠ",1322
"Ⲥ Ⲉ",1312
"Ⲙ Ⲛ",1309
" ⲈⲨ",1306
"ⲚⲒ ",1303
"ⲈⲠⲒ",1303
"Ϥ Ⲉ",1299
"ⲦⲈ ",1288
" ⲚⲰ",1240
"ⲤⲞⲨ",1237
"ⲈⲞⲨ",1223
"ⲒⲤ ",1206
"ⲦⲀϤ",1205
"ⲠⲒ ",1187
"ⲘⲠⲈ",1184
"ⲈⲚⲠ",1179
"ⲨⲞⲚ",1177
"Ⲉ Ⲟ",1173
" ϨⲀ",1172
"ⲘⲠⲒ",1167
"ⲨⲚ ",1164
