"er ",45953
" de",41582
"og ",34708
"en ",32649
"de ",31899
" og",31570
"der",26126
" ha",25753
"et ",19770
"ede",17487
"til",17148
" ti",16523
"il ",16477
"den",15457
"nde",14883
"om ",13997
"e, ",13607
"for",13388
"han",13235
" i ",13066
"det",12490
"ed ",12410
"an ",12011
" fo",11688
"or ",11608
", s",11394
"te ",11386
"es ",11219
"ne ",10632
" sk",10380
"re ",10346
"r d",10154
" si",9897
"ig ",9889
"ter",9849
"som",9760
"kke",9626
" me",9588
"at ",9399
"e d",9270
" di",9232
" at",9128
"and",9064
" so",8977
" mi",8731
"nge",8713
" er",8693
"ge ",8276
"e s",8272
"ke ",8169
"ar ",8150
"eg ",8043
"ska",7892
"ns ",7885
"n, ",7823
"ere",7819
"e o",7729
"ver",7672
", o",7661
"lle",7620
"end",7611
"kal",7511
" en",7471
"r, ",7453
"ikk",7380
"al ",7370
"ige",7355
"ste",7295
"in ",7259
" af",7148
", d",7137
"mme",7084
"med",6907
"af ",6907
" ik",6882
"jeg",6820
" je",6803
"ger",6778
"g d",6772
"ERR",6733
"HER",6732
"RRE",6728
"g s",6723
"e h",6615
"le ",6597
"sig",6543
"d, ",6540
" fr",6515
"ern",6467
"er,",6409
"rne",6394
"på ",6303
"t, ",6287
" på",6280
" sa",6265
" HE",6246
"REN",6102
"gen",6087
"lig",6029
" vi",5945
"dig",5826
"dem",5786
"ham",5786
"ing",5672
"tte",5604
"e t",5553
"g h",5537
" hv",5344
"en,",5337
"var",5322
", h",5322
"n s",5229
" he",5179
"em ",5153
"r s",5133
"ene",5088
" al",5072
"ind",4912
"e f",4878
" Gu",4875
": """,4841
"r e",4829
"e e",4821
" du",4807
"så ",4806
" ve",4801
" va",4797
"ers",4778
"s S",4762
"Men",4745
"nd ",4728
"els",4698
"ved",4671
" så",4640
"fra",4603
"du ",4539
"r h",4511
"Gud",4491
"age",4447
"ove",4445
"r o",4436
"g, ",4428
"nne",4382
"ra ",4376
" Fo",4375
"e i",4355
" st",4349
"lde",4338
"ans",4336
"r a",4308
"d d",4276
" ud",4268
"gde",4263
" ed",4226
"mig",4194
"men",4152
"sag",4128
"agd",4122
" Da",4119
"kom",4106
"e m",4089
"ve ",4080
" bl",4077
"ord",4057
"har",4047
"Og ",4031
"ens",4001
"ive",3991
"din",3967
"red",3937
"r i",3936
"t d",3908
"n o",3881
" Sø",3865
"od ",3798
"m, ",3783
" ko",3780
"rde",3772
"des",3764
"dt ",3744
"ndt",3729
"ten",3723
"ren",3715
"l d",3699
"res",3697
"ler",3546
"s H",3528
"am ",3517
"ad ",3496
"ell",3484
"hi ",3478
"t s",3425
"min",3418
"et,",3390
"d o",3390
"da ",3383
"fte",3356
"und",3347
", a",3343
"vil",3341
"nes",3341
" da",3338
" He",3325
"de,",3319
"r m",3262
" I ",3256
"it ",3248
"gte",3243
"t o",3239
"år ",3237
"Søn",3232
"ud ",3231
" se",3222
" ov",3199
"all",3192
"n h",3191
