" ke",13995
" e ",12185
"ke ",9890
" ku",8405
", k",8014
"ku ",7606
"e k",7517
"n, ",6390
" ci",6379
" we",5992
" kɔ",5451
"en ",4954
"an ",4624
"kɔc",4401
"de ",4346
" ye",4158
"aan",4128
"ɔc ",4094
"ci ",4074
"ek ",4061
" pi",4041
"n e",4004
" ka",4001
" bi",3982
"e y",3895
" lu",3851
"ne ",3826
" ya",3688
", y",3602
"bi ",3533
"an,",3334
" th",3233
" ra",3225
" ne",3194
", a",3064
"hia",3061
"ɛn ",3036
" te",2945
"ic ",2877
"raa",2871
"th ",2831
"yan",2812
" yi",2805
"in ",2777
"ki ",2767
" de",2745
"i k",2650
"e l",2644
"it ",2642
" ac",2597
"k, ",2593
"ok ",2584
"ial",2506
" en",2480
"uee",2469
"e t",2403
"ny ",2398
"aci",2390
"c, ",2381
"e w",2368
"hie",2366
"e c",2328
" ay",2289
"e r",2260
" ee",2242
"ee ",2208
"ye ",2181
"ali",2121
"yen",2063
"thi",2040
"k e",2026
"piɔ",2026
"e b",1987
"k k",1970
"n a",1942
"Ku ",1924
"lic",1913
" gu",1887
"ith",1881
"eek",1872
"i e",1870
" wo",1870
"n k",1860
"e p",1851
"tho",1848
"eer",1847
"n c",1839
"Nhi",1839
"am ",1814
"ked",1811
" Nh",1808
" nɔ",1807
" bɛ",1798
"en,",1792
"bɛn",1787
"c e",1784
"a w",1765
" tɔ",1758
" jɔ",1712
"dit",1711
" ro",1690
"i, ",1686
"wen",1685
"aa ",1673
"ak ",1654
"iee",1650
" aa",1648
"dhi",1647
"te ",1627
" ca",1626
"ath",1618
" lo",1618
"ɔn ",1579
"lue",1578
"c k",1577
" ti",1543
"er ",1543
"kek",1522
"l, ",1522
"yin",1503
"luɔ",1496
"e, ",1482
" ri",1480
" ma",1468
"u y",1446
" ga",1442
"ede",1434
"ic,",1431
" dh",1410
"iny",1405
"e a",1401
"u k",1376
"uɔi",1374
"eel",1349
" ba",1325
"m, ",1317
"aŋ ",1313
" ab",1311
"u e",1310
"Go ",1308
"ik ",1307
"nyd",1298
" lɔ",1296
"ka ",1293
"t e",1290
"ii ",1289
"n t",1288
"u a",1287
"ɛɛr",1283
"ɔi ",1264
"e N",1263
"i b",1255
"ɔu ",1248
" ja",1245
"i t",1239
"e n",1233
"tɔ ",1219
"nɔm",1211
"e g",1204
"wek",1199
"Na ",1177
"cin",1175
"ɛny",1172
"pin",1168
"u t",1164
"e d",1156
"nhi",1150
"u n",1149
"aar",1144
"e j",1142
"l e",1140
"cii",1115
"k a",1108
"iic",1107
"ken",1102
"gam",1094
"yii",1091
"iɛt",1090
"ɛth",1080
"ot ",1079
"r e",1075
" Ye",1071
"iɔu",1063
"r, ",1059
" nu",1044
"ɔth",1042
"kee",1030
"t, ",1030
"wee",1019
"el ",1009
"ecu",1007
" mi",1003
"yi ",1003
"ydi",999
"ŋ, ",998
"ɔk ",998
"ec ",992
"a k",989
"u, ",987
"Yec",984
"nu ",983
"tok",978
" yo",968
" le",966
"aya",955
"yɛn",947
"oki",938
"go ",935
" yɛ",932
" di",931
"i l",930
"abi",927
"i a",918
"ook",915
"n r",913
"el,",906
"jɔ ",905
"e m",904
", e",902
" tu",901
" to",899
"cit",896
"eke",892
"n b",887
"ol ",886
"; k",880
"loo",875
" ny",874
"ok,",871
"oŋ ",867
" wa",862
"ɔm ",862
"ac ",859
"lɔ ",859
" go",858
"i w",854
", t",852
"al ",849
"ɔɔr",849
"i r",848
"any",847
"ɔɔk",844
"c c",836
"cu ",828
"edh",828
"jam",826
"piɛ",821
"ar ",817
", l",812
"m e",809
" ag",807
"we ",800
"the",796
"u l",795
"iŋ ",790
"man",789
"ool",789
"k t",789
"kaŋ",786
"eth",783
"r k",781
"i d",780
"rot",777
"Bɛn",774
"nɔn",774
" Bɛ",771
"eec",771
"guo",770
" et",768
"iɔt",767
"tha",762
"ayi",761
" co",757
"cie",756
"c n",753
"o k",751
"m k",751
"yic",750
" nh",749
"u c",747
" du",746
"a, ",745
"t k",743
"aye",740
", b",738
"i y",735
" ŋi",735
"u j",734
" pa",733
"n n",727
"ooi",727
"i c",725
"epi",720
"iir",719
"rit",710
"uop",706
" eb",704
"ebɛ",703
"n l",702
"a c",702
"ŋ d",696
"ted",693
"koo",692
"ei ",690
"ɛr ",689
"enɔ",681
"u r",678
"iit",673
"rac",673
" an",670
"ŋic",666
"yok",663
"ɛn,",662
"a y",662
", n",660
"loŋ",660
"iim",656
"i n",654
" na",653
"wo ",653
"ek,",651
"c a",646
"th,",640
"cik",640
"i p",633
"iɛɛ",633
"ago",632
"ony",628
"ŋ e",628
"im ",626
"eŋ ",624
"k n",623
"bik",622
"h, ",621
"k l",620
"ake",619
" lɛ",619
"ɔl ",618
" We",617
"et ",616
"u w",615
"ie ",614
"ɔk,",614
"iak",613
"k d",609
"n d",608
" yɔ",606
"oor",605
"u b",604
"gok",602
"c t",601
"ya ",599
"ene",597
"h e",595
" re",594
", w",585
"h k",585
"tiŋ",585
"iaa",583
"Kri",581
" Kr",577
"gui",577
"k r",576
"u d",571
" ak",571
"ooc",571
"wok",567
"oi ",566
"eyi",566
"ɔɔn",565
"e e",563
"n w",559
"piŋ",556
"i g",556
"kaa",556
"t m",553
"ɛk ",553
"yɔɔ",552
"ba ",550
" cu",550
" ta",550
"ro ",545
"eeŋ",544
"nii",541
" bɔ",541
"k w",537
" a ",536
"mit",534
"dhu",532
"ki,",531
"ɔ t",531
" li",530
"na ",528
"ŋ k",527
"nyi",524
" ɛn",524
" ko",523
"daŋ",522
"ic.",518
" cɔ",516
"ɔck",510
" la",508
"a l",508
" al",504
"ker",503
"ai ",500
"l k",498
"t t",495
"uk ",495
"ou ",494
"kɔɔ",492
"e ŋ",491
"eto",488
"y e",487
" ni",485
"k y",484
"ree",483
" ad",479
"dii",477
"ɔr ",474
" gɔ",473
"are",472
" at",472
"in,",471
" da",470
"ɛl ",468
"kak",465
"rɛɛ",465
", g",464
"ɔ k",464
"woo",463
"bɔ ",463
"c l",462
"ien",458
"op ",458
"on ",458
"cak",456
", r",456
" be",454
"waa",453
"hok",452
"a t",451
"iin",450
"cat",450
"ɔm,",449
"wei",449
"n p",447
" ju",446
"ɛc ",444
"hue",443
"yek",441
"Raa",440
"t n",439
"oth",438
"le ",438
"ir ",438
"ne,",438
"c w",434
"wel",433
"y n",432
"un ",431
" rɛ",431
"e J",427
"c d",427
" wɛ",426
"ɛɛn",426
"eet",425
"n g",422
"ɔ y",422
" ɣɔ",421
"au ",421
"at ",420
": k",418
"bii",417
"ɔne",417
"k c",416
"a b",416
"m d",415
"nɔɔ",414
"riɛ",414
"t a",412
" Ju",411
"rou",410
"u p",407
"ciɛ",407
"ca ",406
"iŋ,",404
"cok",404
"tɔu",403
"bɛɛ",402
"uɔ ",400
"e W",399
" Th",398
"hin",396
"p, ",395
"oot",394
"e K",389
"e B",388
"ɛt ",386
"uan",384
"ban",384
"ei,",384
"due",383
"o l",380
" ar",379
"ero",378
"uec",378
"am,",378
" ek",377
"ɔ l",377
"iɔɔ",377
", c",373
"ɔŋ ",373
"ada",372
"it,",371
"i m",370
"or ",369
"aba",369
"ny,",367
"o t",366
"ɔɔc",366
"uoo",366
"ho ",365
"c r",365
"ɣɔn",360
"cam",360
" ɣo",359
"y, ",359
"iki",358
"jue",358
"paa",357
" mɛ",354
"em ",354
"a d",352
"coo",352
"n y",351
"r a",351
"il ",350
"wɛɛ",348
"k b",347
"hou",346
"tii",345
"uc ",344
"oc ",343
"ako",341
"ut ",341
"ioo",341
"eu ",340
"guɔ",339
", Y",339
"k p",338
"uii",337
"era",336
"gɔɔ",335
"ɛɛc",332
"c b",332
"o Y",331
"o, ",330
"ɔu,",329
"l a",328
"kɔk",328
" Ra",327
"ɔt ",327
"den",327
"ie,",326
"tɛɛ",326
" Pa",326
"ec,",326
"m t",325
"Yen",324
" dɔ",324
", E",322
"r n",322
"hii",322
"ya,",322
"kɛn",322
"war",321
"pii",320
"ok.",318
"e Y",316
" ki",316
"ŋ n",315
"ac,",315
"m a",314
"ari",314
"uda",313
" Ku",313
"om ",313
"c p",313
"aat",313
"ŋ t",312
"bia",312
"jɔt",311
"o b",308
"lɛk",307
"aak",306
"kɔn",304
"bei",304
"iɛl",302
"l t",301
"c y",301
"Jud",299
"ŋ c",299
" ɣe",298
"ŋ a",296
"uɔɔ",295
"i j",294
"adh",293
"lek",293
"thk",293
"pio",293
"ete",292
"yak",292
" aw",291
"ɛɛt",290
" mu",289
"rie",287
"pia",285
"uny",284
"nde",284
"ak,",284
", A",283
"bɛ ",283
"r t",282
"ter",282
"oce",282
"ce ",282
"dɔm",281
"duo",280
"m n",279
"di ",279
"nyu",278
", K",278
"u g",278
"aŋ,",278
"al,",278
"m c",276
", B",274
"tei",274
"ɛn.",274
"thɛ",274
"mat",274
"cɔl",272
", T",272
"kuɔ",272
"Wei",271
"uel",271
"; a",271
"en.",270
"a n",270
"elk",270
"ala",269
"ɣet",269
" ŋo",269
"yie",269
"c g",268
"dun",268
"kue",267
" Yi",267
"ike",267
"cki",267
"cku",267
"k g",266
"aki",265
"eny",264
"ɛŋ ",264
" aŋ",263
