" ka",63321
"aŋ ",54146
" ga",43467
"ga ",40867
"ay ",33760
"ey ",31654
"da ",31422
"a n",30949
"ma ",29325
"kaŋ",26129
" ma",25829
"a k",25063
"no ",22683
" da",22625
" no",21599
"ka ",21167
" ha",20427
" bo",20232
"a b",20179
" mo",20174
"ara",18802
" go",18684
"na ",18590
" se",18478
" a ",17145
"nda",16762
" ra",16536
"yaŋ",16460
"ni ",16429
" ba",15934
"a s",15304
"and",15130
" i ",15114
"a m",14974
"a, ",14970
"mo ",14750
"o g",14551
" ku",14422
" ni",14078
" sa",14042
"a d",13983
"koy",13945
"a g",13900
"o k",13861
" ci",13509
"ra ",13387
"ro ",13087
"in ",13001
"a t",12969
" na",12787
"y k",12636
"ri ",12530
" ay",12246
"o, ",11995
" wa",11913
" ng",11840
"a a",11735
"aa ",11659
"nga",11606
"ne ",11578
"ŋ g",11239
"din",11076
"bor",11055
"a h",10969
"ulu",10954
"la ",10883
"i n",10879
"ya ",10868
"ama",10750
"ray",10729
"ala",10504
"gaa",10414
"ndi",10280
"oy ",10259
"iya",10249
"kul",10159
"i g",10098
"oro",10012
"raŋ",9995
"i m",9801
"lu ",9777
" ne",9674
"abb",9629
" ya",9547
"oon",9336
"o n",9306
"di ",9143
" di",9091
", a",9043
"y g",9016
"te ",8975
"bi ",8946
" si",8857
"i k",8805
" te",8687
"'a ",8681
"a f",8631
" ko",8496
" nd",8493
"ind",8444
"aab",8388
"e, ",8334
" za",8083
" ar",7982
"e k",7893
"Rab",7768
"ana",7718
"bbi",7676
"se ",7673
"y m",7557
"go ",7507
"aar",7504
"y s",7382
"i s",7377
" ji",7287
"rey",7230
"a w",7225
"y d",7191
"kaa",7167
"ban",7121
"a i",7119
" do",7053
" fo",6961
"a c",6955
" Ra",6920
" bi",6860
"ine",6837
"y n",6817
"si ",6804
"amb",6771
", d",6675
" fu",6662
"waa",6521
" ta",6493
"ari",6493
"ang",6450
"e: ",6422
"iri",6387
" wo",6381
"boŋ",6349
"ono",6327
"i b",6301
"iko",6240
"e n",6206
". A",6147
"nde",6144
"man",6137
"ize",6112
"u k",6061
" iz",6023
" hi",6010
"ant",5986
"y, ",5945
"Iri",5911
" la",5893
"a. ",5869
"ra.",5848
"cin",5810
"laa",5767
"ond",5764
" fa",5730
"ti ",5672
"do ",5655
"o a",5483
"ŋ a",5453
"o d",5429
"ra,",5411
"i, ",5403
", k",5359
"nan",5323
"y b",5255
"ŋ n",5242
": «",5207
"rik",5195
" Ir",5141
"ann",5106
"bay",5051
"o m",5015
" du",4999
"zam",4991
" n'",4977
"han",4932
"fo ",4925
" to",4839
" A ",4834
"gey",4825
"o b",4780
"mma",4762
"gu ",4757
"jin",4754
"bin",4608
"eer",4579
"ba ",4559
"bo ",4522
"goo",4515
"'i ",4477
"ore",4476
", i",4427
"san",4427
", n",4406
"hal",4403
"al ",4402
"o s",4401
"har",4370
"e a",4358
"o r",4355
"bar",4343
"i d",4334
"i h",4331
"a r",4319
"ne:",4234
"ina",4219
"hin",4212
"aba",4192
"Ay ",4143
"ŋ k",4125
"bu ",4115
"se.",4115
"yey",4104
"d'a",4094
"u n",4091
"aat",4086
"baa",4046
"nge",4040
"ŋ m",4012
" al",3987
"koo",3974
"a j",3968
" tu",3967
"to ",3933
"kal",3923
"bee",3902
"ŋ s",3861
"zey",3860
"mo,",3846
"ndo",3834
"ŋ i",3825
"yo ",3820
"kam",3812
"ngu",3779
" I ",3772
" gu",3750
"maa",3713
"ta ",3705
" ir",3704
"i a",3685
"nya",3678
"ood",3607
"are",3606
"odi",3602
"arg",3600
" g'",3569
"a z",3568
"'ay",3555
"oŋ ",3546
"n'a",3516
"wan",3489
"fun",3485
"se,",3468
"ton",3449
"de ",3442
"n k",3421
