" a ",21453
" de",17851
"en ",16710
"fu ",13548
" fu",12744
" ta",11909
"an ",11880
" sa",11292
"den",11238
"si ",10104
"i a",8942
" en",8196
"a a",8011
" Ma",7962
"ti ",7884
"i d",7842
"a d",7789
" di",7639
"aa ",7324
"aki",7220
"i e",7112
"di ",6940
"wan",6898
"asa",6895
" wa",6611
"tak",6600
"ama",6516
"saa",6386
" e ",6268
"Mas",6165
" an",6116
"i, ",5981
"ang",5930
"de ",5923
"ke ",5830
"nga",5779
"a s",5758
" be",5755
"ma ",5670
"i f",5640
"ga ",5620
"gi ",5614
"e a",5567
" ko",5514
"esi",5438
"sam",5426
"i t",5355
" na",5184
" mi",5181
"i s",4874
"du ",4708
"na ",4684
"bi ",4666
"be ",4659
" u ",4654
"ka ",4647
"u d",4628
"n s",4529
"on ",4470
"fi ",4387
"ni ",4376
"ibi",4363
" da",4344
"u a",4269
" Ga",4250
"a t",4138
"adu",4077
" so",4054
"man",4011
"Gad",3996
"eke",3977
"iki",3969
", d",3968
"a G",3950
"mi ",3949
"e d",3947
"a f",3899
" si",3850
"n f",3838
"ki ",3822
"n t",3722
"see",3694
"n a",3690
"i. ",3661
"aka",3642
" te",3635
" fa",3618
"san",3616
"ii ",3541
"a m",3517
"kon",3513
"ani",3490
"ai ",3474
"efi",3463
"Da ",3454
" go",3443
"eef",3431
"u s",3321
"i b",3299
" se",3260
"ati",3257
"n d",3218
"iti",3205
"i m",3204
"isi",3186
", n",3151
"taa",3116
"a b",3103
" gi",3094
" ne",3092
". D",3050
", f",3014
" ba",3005
"asi",2919
" ya",2917
"ika",2902
" o ",2892
"da ",2876
"u t",2835
"e, ",2828
" Je",2804
"n b",2757
"ne ",2715
"a w",2695
"oo ",2679
"a, ",2675
"nde",2668
" Da",2654
"go ",2628
"e s",2610
" á ",2595
" ka",2584
" pi",2577
"Ne ",2571
" fi",2545
"e f",2523
"e e",2510
"o a",2503
" me",2467
"li ",2464
"e t",2463
"aan",2457
"a J",2451
"i w",2436
"Ma ",2431
"ses",2420
"i y",2419
"enk",2418
" yu",2416
"a n",2410
" pa",2382
"ala",2372
"ki:",2371
"i: ",2324
"ese",2320
" ma",2313
"Jes",2299
"a k",2290
"la ",2284
"u f",2261
"abi",2255
"i k",2243
" mo",2215
"ya ",2210
"Bik",2203
"mek",2196
"bii",2187
"i g",2186
" al",2145
"i n",2144
" bi",2141
"a g",2132
". N",2130
"sa ",2124
" po",2095
" wi",2086
" tu",2085
"n, ",2074
"a p",2053
"in ",2051
"uu ",2050
"lib",2045
"nke",2041
"tu ",2038
"u. ",1994
" li",1983
"pik",1975
": “",1973
" fe",1967
"pu ",1956
" ga",1946
"e w",1939
"u, ",1934
"igi",1929
"bak",1912
"apu",1910
"yu ",1882
"uku",1873
"a M",1860
"n. ",1857
"ee ",1851
"a e",1842
"fa ",1827
"a u",1820
"i M",1818
" du",1812
"kin",1798
"ini",1795
"doo",1789
"oon",1779
"o d",1775
"ki,",1775
"e k",1770
"tap",1757
"i p",1756
". M",1753
" do",1740
"n e",1738
"u m",1721
"dat",1705
"ku ",1705
"oko",1705
"a i",1699
"i u",1686
"a. ",1669
" mu",1668
" le",1647
"oti",1643
"sik",1635
"u w",1628
" ná",1624
"gaa",1617
" bu",1614
"ook",1611
"iib",1610
"oto",1608
"end",1587
"u b",1586
"n g",1577
"n m",1564
"n k",1560
"and",1559
"eti",1551
"ond",1543
" Bi",1540
" ki",1529
"amo",1527
"u e",1525
"ali",1519
" wo",1519
"oi ",1516
" Ne",1514
"u k",1508
"mu ",1500
"un ",1499
" fo",1489
"e m",1481
"en.",1466
"tek",1456
"te ",1442
"kii",1442
"dee",1397
"a o",1397
"o, ",1395
"a l",1390
"a y",1390
" to",1387
"n p",1377
"wi ",1371
"eli",1370
"osi",1369
"bun",1358
"fas",1354
"e b",1350
"aba",1350
"si.",1345
" ty",1342
"moo",1335
"woo",1333
"ei ",1329
" in",1329
"tya",1315
"i l",1315
". B",1311
", a",1302
"ko ",1300
"u M",1297
", m",1275
"i o",1264
"e p",1252
" bo",1252
"u g",1252
"ede",1240
"utu",1233
"kis",1229
"pai",1229
"n n",1206
"e g",1199
"to ",1197
" ab",1175
"u p",1166
"e. ",1160
"tuu",1158
"ima",1156
"sab",1149
"We,",1133
"o t",1131
"luk",1129
"ten",1125
"aig",1118
"kab",1113
"yai",1107
"tai",1107
"les",1101
" lo",1100
"si,",1097
" ye",1097
"ná ",1069
"u o",1060
"pot",1058
"ose",1045
" pe",1041
" ap",1038
" i ",1036
"awa",1034
"u l",1026
"o s",1022
"de.",1022
"kuu",1018
"ele",1016
"mo ",1016
"wak",1009
"pas",1009
" ai",1009
"tu.",1008
". A",1007
"so ",1006
"n w",1003
"dii",1002
"ait",999
"u n",993
"ndi",992
" at",986
"tan",983
"Na ",983
" A ",981
"o. ",975
"e l",958
"owt",949
"kai",948
"wtu",947
"yee",937
"en,",936
"i á",934
"oli",933
" Na",929
"iwa",924
"nda",913
"n l",909
"nta",903
"goo",903
"kom",902
"u y",875
"aaw",871
"ant",866
"n o",861
"gii",860
"e M",855
"ont",853
"o f",848
"uma",847
"mot",844
"sit",841
"Den",839
"o k",839
"du.",835
"aam",835
"tes",834
" lu",829
"yan",822
"sen",821
" ny",802
"nya",801
"Dyu",799
"osu",797
"su ",794
"too",792
" Dy",790
"pi ",790
"poi",780
"paa",779
"de,",776
"egi",773
"an.",771
"omo",770
"ata",764
" Ke",759
"puu",758
"e u",758
" we",756
"apa",751
"Kel",749
"ti.",749
"beg",747
"Mi ",746
"isa",746
"uut",745
", t",742
"n y",741
"eit",738
" pu",736
"fen",734
"ifi",731
" la",727
" og",723
"ogi",723
"e n",723
"nse",715
"Nam",711
"ens",689
"u u",684
"o g",682
"ya,",681
". S",678
"ded",673
"nam",667
"pe ",667
"ise",665
"ees",665
"o p",664
" De",661
"ste",642
"est",641
"opu",634
" no",632
" su",632
"let",630
"ti,",628
"Sos",628
"aku",628
" os",627
", e",626
"ya.",625
"now",618
"ba ",616
"ete",614
"pee",613
"obi",611
"o e",606
"fes",600
"dei",599
" So",597
"own",595
"boo",595
"wei",592
"sow",584
"bal",583
"epi",583
"fi.",583
"lel",575
"soi",573
"eep",572
"iif",571
"sii",570
" gw",567
"ngi",565
"iya",564
"yun",564
"usa",559
"á b",557
"fi,",556
" ku",555
"nái",555
"ái ",555
"daa",554
"nti",554
"o m",546
"an,",543
"e y",543
"ni.",543
" ed",542
"i i",540
"fos",539
"hii",539
"son",538
" um",537
"mak",535
"ka.",532
"gwe",531
"bis",529
"don",529
"men",525
"bi.",524
"lob",523
" hi",517
"iin",512
"we ",510
" ef",508
"iko",507
" Ko",506
"pis",505
"o n",500
"ana",499
"lis",499
"á d",496
"i! ",495
"lik",493
"big",493
"sei",492
"a K",490
"o b",490
"nki",485
"biw",485
", s",484
"kam",484
"efu",484
"ofu",481
" ol",475
"ii.",475
"ili",474
"olu",470
"u á",469
"oo.",467
"pii",465
"pu.",464
"ki.",460
"a á",460
"eje",459
"sos",456
"á w",453
"udu",449
"ipi",448
"anp",442
" U ",441
"lan",440
" Fo",440
"kan",440
"se ",435
"n á",433
"aai",433
"o l",431
" ak",428
"wnu",426
"afu",426
"á s",425
"du,",425
"je ",424
"i J",423
" Ta",423
"Fot",416
" Mi",416
"o w",415
"ome",415
" et",414
"e o",413
"amp",410
"kop",409
"oni",409
"ita",409
"sut",408
"fik",406
"ite",405
"baa",404
"ka,",404
"usu",404
"á m",403
"uud",403
"eki",403
"ndo",403
"yus",396
" Sa",395
"fit",394
" op",392
"npi",391
"mon",386
"opo",386
" ti",385
"nu ",384
"ma.",384
"wat",383
"bos",383
"mpu",377
"ans",376
"aaf",376
"som",376
" ke",375
"fet",373
"a! ",373
"i.”",372
"bee",370
"lon",369
"! M",366
"oos",366
"á o",364
"nte",361
" “M",357
"win",357
"koo",356
"nsu",354
"yuu",349
"nen",348
"sip",347
"iis",347
"a h",346
"Kon",345
"ale",344
"u K",343
"mo,",343
", u",342
"ba.",342
": ‘",342
"kit",342
"sak",339
"kow",339
"n! ",339
"ni,",339
"n u",338
" Bu",337
" on",337
" dy",337
" he",336
"po ",336
", b",335
"yal",333
"on.",331
"ido",331
"mis",328
"oit",327
"lei",326
"eel",322
" Pa",322
"ma,",321
"oo,",319
"sal",314
"pu,",314
"ta ",314
", w",311
" Jo",309
"kot",309
"ow ",309
"ape",308
"i K",306
". W",306
"afa",305
"hei",304
"á p",302
"awl",302
" Ny",300
"lu ",299
"olo",298
"on,",297
"kaa",295
"u.”",294
"ngo",294
"ind",294
"min",293
"bi,",292
"ong",292
" ib",292
"Nyu",291
"mof",290
"fol",287
"uu.",287
" sw",286
"Jej",285
"suk",285
"mi.",285
"so.",283
"so,",280
"aat",279
"wle",277
"ate",276
", M",276
"sid",276
" Pe",275
"oma",275
"elu",273
"o y",272
"Tat",272
"Man",271
"ton",271
"mi,",269
"ain",269
"ulu",269
"da.",267
"kim",267
"te,",266
"ii,",264
"ntu",264
"oso",263
"ito",263
"teg",263
"ego",263
"go.",262
"in.",260
"ent",259
"use",257
"nis",256
"ina",255
"tu,",255
"foo",255
"til",254
"eka",249
". U",249
"liy",247
"gim",246
"Paw",246
"fan",245
"eek",243
"ba,",242
"owd",241
"bas",241
"Sam",239
"ing",238
"Pei",238
"eng",238
"kol",238
"kel",237
"fus",237
"a B",236
"siw",236
"lus",236
"nsi",234
"yes",234
"a A",232
"Wan",232
"tol",230
"lem",230
" Si",230
" Ba",229
" “U",228
"u D",227
"fee",227
". T",227
"uns",226
"nyu",225
"“U ",224
"uta",224
"nge",224
"Jel",223
"“Ma",223
"ami",221
" Ti",221
"eis",221
"e i",220
"a.”",220
"a F",219
"mit",218
"fut",217
"dun",217
" of",217
"le ",215
"o M",215
"ide",212
"eya",211
"o! ",210
"yu.",210
"fuu",210
"ee.",209
" We",209
"han",209
" En",208
"n.”",207
"u! ",206
"fot",206
"Joh",204
"oha",204
"Da,",204
"aal",203
"aya",203
"Mek",203
"was",202
"! B",202
"any",202
"uda",201
"to.",201
"dot",201
"ufu",200
"an!",200
"in,",200
"din",200
"Yu ",199
"su.",198
"dis",198
"agi",198
" “W",197
"imo",197
"gaf",197
"a D",196
"n D",196
"buu",196
"tii",196
"ano",195
"á a",195
"a P",194
"i T",193
"tok",193
"ngu",193
"” N",193
"li.",192
"n h",192
"ung",192
" u.",192
"yu,",191
" Ap",191
"wai",190
"las",190
"kat",189
" “A",188
"swi",187
"wit",187
" Mo",187
"sai",186
"wek",184
"aa,",184
"did",184
"eig",184
" Me",184
"owe",183
"oki",182
"met",182
"fay",181
"idi",181
"pol",181
" ge",180
"em ",179
"“We",179
", g",178
"n M",178
" Fa",178
" “N",177
"Apa",177
"aik",177
"Gaa",176
"ti!",175
" je",174
"jej",174
"mo.",173
"Buk",173
"iiw",173
"Efu",173
"A b",173
"pak",172
"oku",171
"gi.",171
"mai",171
"oow",171
"mok",171
"ado",169
"u J",169
"aa.",169
"ku,",169
", k",169
"los",169
"A t",168
"noi",168
"ei,",168
"uu,",167
" “S",167
"naa",167
"lo ",166
".” ",166
"gin",166
"aim",166
" Pi",166
"u B",165
"wet",165
"o o",165
"wow",165
"si!",164
"waw",163
"Dat",163
"i D",162
"kib",162
"tee",162
"! N",162
"! A",161
"ins",161
"Bun",161
" u,",161
"gei",160
"bik",160
"Ala",158
"ee,",158
"a N",158
"ban",157
"guu",157
", y",156
"A s",156
" gu",156
"n N",156
"wno",156
"Di ",155
"n T",155
"faa",155
"te.",155
"owa",153
"“A ",153
