"αι ",64980
" κα",53391
" το",53301
"ου ",44976
"του",44731
"ον ",44452
"και",42595
"αυτ",32179
" ει",31213
" αυ",29669
"ος ",29468
"εν ",28252
"ς τ",27280
"ις ",27256
"ων ",26161
"ι ε",25634
"υτο",24346
" τη",23517
"τον",22189
"εις",21999
"ν ε",21901
"ν τ",21539
"ει ",21227
"ας ",20604
"ην ",19323
"ους",18099
"ι τ",17509
"ς ε",17489
"των",17464
"τα ",17362
"ης ",17171
"υς ",16778
"ν α",16329
" ο ",16009
"αν ",15980
" θε",15420
"ς α",15178
" πρ",15159
"θελ",14976
" δι",14507
"την",14371
"προ",14086
"το ",13818
" εν",13523
"ν, ",13468
"α τ",13205
" δε",12702
"της",12672
"ια ",12496
"οι ",12398
" πα",12016
"ν κ",11896
" τα",11835
" τω",11771
"ν ο",11500
"ι α",11093
"να ",10972
" εκ",10937
"ελε",10935
"λει",10851
"ς, ",10599
"ς κ",10519
" με",10503
", κ",10433
"δια",10423
"ρος",10353
"Και",10245
" επ",10157
"υρι",9840
"ου,",9685
"ριο",9590
"υ, ",9523
"ι ο",9362
" να",9186
"τε ",9069
"ιον",9030
"τι ",8967
" οι",8684
"ι π",8643
"σου",8556
"κατ",8409
"ως ",8391
" απ",8351
"ειν",8296
"ατα",8007
"ν π",7918
" αν",7883
"Κυρ",7776
"μου",7772
" Κυ",7716
"ς ο",7646
"μεν",7592
"ς π",7563
"ουσ",7433
" σο",7067
"α ε",7050
"ιου",7049
"υτω",6990
"αντ",6822
", ε",6801
"δεν",6768
"ι κ",6631
"ναι",6614
" μο",6375
"οτι",6332
"ς σ",6307
"ι δ",6249
"ινα",6109
"σαν",6086
" η ",6042
"τος",5945
"υσι",5914
"υ κ",5875
"σει",5870
"δε ",5858
"ν δ",5858
"ντα",5801
"υ ε",5775
"ε τ",5709
"ες ",5622
"ιν ",5612
"απο",5592
"ιος",5511
"τας",5494
"α α",5418
" εξ",5329
", τ",5327
"επι",5313
"λου",5310
" ημ",5247
"ς δ",5198
"ν μ",5193
"θη ",5189
"ουτ",5142
"παν",5094
"ων,",5060
"ν σ",5035
", ο",4992
"υτη",4983
"οντ",4947
"οπο",4925
" πο",4922
"ιαν",4917
"ροσ",4910
"ι θ",4906
"σας",4902
"ερα",4885
"ησα",4872
"ιας",4837
"ετα",4835
"ον,",4806
"η ε",4781
"α κ",4770
"ασι",4722
"ατο",4712
"ου.",4694
