"ja ",8210
" ja",7199
" te",6820
"ma ",5238
"le ",5040
"st ",4835
" ol",4726
"es ",4706
" se",4617
"id ",4472
"is ",4338
"a k",3951
" ku",3947
"ast",3926
"ema",3820
"est",3731
"ga ",3671
"a t",3661
" on",3559
" ta",3419
"on ",3366
" va",3333
"ad ",3317
"nud",3225
"da ",3217
"se ",3095
" mi",3012
"te ",3002
"ud ",2835
"ist",2829
", k",2796
"lle",2791
"d, ",2743
"ole",2689
"a s",2678
" ne",2666
"use",2660
"e, ",2643
"Ja ",2613
"les",2606
"mal",2574
"ta ",2537
"ks ",2506
" ka",2502
"tei",2457
"a, ",2453
"ui ",2425
" si",2337
"tle",2305
"s t",2284
"a n",2279
"et ",2277
" ke",2275
" me",2274
"as ",2267
" ma",2243
" üt",2220
"sid",2197
" et",2176
"kui",2158
"a o",2143
" na",2142
"a p",2125
"ei ",2119
" ei",2113
"ütl",2111
" sa",2096
"tus",2092
"iis",2082
", e",2079
" tu",2077
"e j",2055
" pa",1992
": „",1990
"ale",1987
"a m",1977
"a v",1975
"e k",1958
"a j",1958
"ees",1941
"s, ",1939
", s",1937
"us ",1928
"oli",1910
"and",1901
" su",1880
"eda",1875
"stu",1850
"inu",1822
"sel",1796
"aks",1794
"li ",1783
"e s",1783
"mis",1778
"sta",1765
", m",1763
"ell",1762
"ile",1753
"s o",1734
"ses",1719
"uma",1714
" ko",1690
"ele",1675
"nad",1657
"kes",1655
"ing",1596
" ni",1586
"eks",1585
"ära",1582
"e t",1578
"ise",1565
"de ",1553
"e o",1547
"i t",1533
" Ju",1525
"eva",1523
"ust",1522
"eil",1521
"t, ",1517
"ime",1511
"ala",1504
"sed",1501
"a e",1499
"nda",1495
"end",1489
"ed ",1485
" Te",1482
"ega",1481
"oma",1479
"tem",1478
" ju",1473
"eie",1443
"Jum",1428
"d t",1427
"na ",1410
" om",1395
"tul",1393
"e p",1382
" lä",1378
"nna",1363
"aga",1354
"a ü",1347
"Aga",1346
"me ",1339
"s n",1332
"al ",1290
" Ta",1288
" kõ",1287
"Tem",1285
"see",1282
"d k",1281
"sii",1281
"ie ",1274
"s s",1265
"sus",1265
"vas",1258
"eid",1255
"uur",1237
"nin",1228
" pe",1220
"d o",1213
"ata",1212
"i o",1194
"nei",1188
"a l",1184
" pä",1178
" kä",1175
"min",1171
"gu ",1166
"t t",1162
"ste",1162
", j",1159
"ee ",1158
"Ta ",1158
"sin",1122
"e e",1121
"gi ",1116
"d j",1095
" võ",1078
"pea",1076
"tas",1074
"a a",1069
"e v",1066
"i s",1060
"i k",1057
"i, ",1056
"st,",1056
"ida",1055
"atu",1054
"val",1052
"s j",1036
" Is",1022
"el ",1021
"san",1018
"d s",1015
"juu",1013
"e m",1008
"mas",1002
"ng ",1002
" ve",1000
"le,",994
"nim",993
"s k",992
"e: ",992
"kõi",984
"nd ",984
"maa",983
"eal",976
"vad",973
"las",972
"eel",967
"saa",962
"ne ",960
" Je",958
"mei",957
" an",956
"e n",956
"ras",955
"ge ",952
" ki",945
"eis",945
"d n",942
"le:",942
"t m",938
" la",935
"esu",931
"ti ",929
"ule",928
"anu",926
"sa ",921
" is",915
"s m",913
" jä",910
"la ",909
"tud",907
"ud,",906
" vä",906
"Jee",905
"nde",904
"ava",901
"pär",899
"ris",899
" ül",896
"ese",892
"kuu",889
"e a",887
"sse",881
"ama",880
"aja",879
" nä",877
"ina",874
"Min",868
"lem",862
"t k",853
" vi",853
"sti",853
"üle",851
"ksi",838
"aha",838
"d m",836
"rah",834
" mu",832
"d v",830
