"en ",17265
"ta ",11008
"eta",9553
" et",8483
"an ",8428
" ba",6467
"ren",5986
" ha",5542
" ce",5491
", e",5452
"n d",5371
"ten",4913
" be",4692
"are",4594
"ait",4556
"ain",4479
"ic ",4102
"a e",4091
"gui",4034
"itz",4015
"a, ",3921
"tze",3899
"re ",3809
"çue",3749
"n b",3711
"har",3709
"cen",3688
"in ",3680
"eça",3669
" gu",3589
"n c",3487
"egu",3413
"ere",3378
"n, ",3371
"a h",3225
"ric",3221
"n e",3140
"bai",3122
"ite",3070
"c, ",2991
"Eta",2990
"qui",2985
" di",2911
"itu",2893
"ari",2868
"ac ",2830
"c e",2752
"ra ",2749
" er",2733
"atu",2706
" ci",2675
"ber",2675
" ez",2662
"ira",2643
" du",2628
"ean",2622
"ela",2615
" de",2581
"era",2570
"çan",2565
" eg",2530
"uen",2520
"zen",2511
"a b",2506
"n h",2483
"err",2478
"tu ",2436
"ate",2430
" ga",2406
"na ",2382
"la ",2332
"rra",2328
" çu",2277
"bat",2247
"atz",2192
" Ia",2191
"uin",2166
"ece",2127
"tza",2102
"co ",2081
"n g",2077
"den",2073
"ina",2026
"nea",1930
"a c",1921
" da",1906
"ure",1902
"din",1835
"ara",1833
"n a",1820
"ene",1806
"iça",1779
"én ",1740
"ena",1730
": e",1715
"ade",1710
"a g",1708
" hu",1701
" hi",1695
"ran",1691
"a i",1688
"tan",1687
"rri",1682
"ezt",1680
"rad",1668
"tar",1640
"da ",1637
"ala",1636
"inc",1636
"hor",1624
" iç",1605
"ita",1601
"ine",1590
"an,",1577
"ri ",1574
"ec ",1563
"n ç",1562
"tic",1538
"cer",1537
"uci",1521
"coa",1502
"ura",1493
"n i",1489
"art",1483
" ça",1481
"arr",1457
"gue",1453
"guc",1440
"iri",1432
"Iai",1407
"nco",1403
"c b",1400
"ati",1395
"zte",1392
"rau",1370
"edi",1367
"tur",1364
"a d",1359
"cit",1345
"equ",1330
"hur",1321
"esu",1317
" co",1316
" ec",1309
"one",1308
"end",1299
"ez ",1284
"rat",1274
"ada",1257
" ar",1197
", c",1193
"tho",1188
" he",1178
"-er",1172
"ceç",1169
"tat",1168
"dit",1160
"ste",1159
"bad",1147
"ion",1141
"sus",1139
"tec",1138
"cia",1131
" en",1129
"aco",1129
" Ie",1126
"ana",1122
"e e",1121
", b",1120
"çat",1120
"la,",1118
"auç",1104
"ndu",1097
"men",1096
"nic",1095
"uit",1094
" na",1073
" re",1068
"cie",1066
"ic,",1065
" sa",1060
"az ",1055
"a I",1052
"dua",1035
"ia ",1033
"dir",1031
"nen",1023
"e b",1015
"est",1013
"uer",1002
"rai",1001
"Ies",998
"ent",998
"c h",993
"eth",992
"eco",986
"tio",984
", h",984
"ire",982
"nac",981
"gai",980
"te ",977
"tea",974
"con",969
"ica",969
"uçu",965
" em",960
"uiç",960
"n I",958
"ald",957
"ute",956
"rre",955
"z e",953
"a a",941
"en,",940
"n n",936
"agu",935
"ac,",932
"at ",928
"han",926
"ein",923
"hau",918
