"wo ",12269
"le ",11639
" wo",10644
" la",10375
" si",9859
"me ",8891
"ye ",8814
"be ",8293
" mi",7873
" be",7764
"e a",7701
"la ",7397
" me",7376
"si ",7329
"e n",7296
"na ",7168
"ƒe ",7022
"e m",6734
"ɖe ",6622
" le",5891
"ia ",5719
" ɖe",5592
" nu",5510
"ame",5451
" na",5409
"e w",5406
" ny",5342
"nye",5309
"e s",5242
" dz",5095
" ŋu",4991
" am",4854
"dzi",4744
"e e",4593
" kp",4573
"e l",4470
"a, ",4445
" gb",4401
" ey",4343
"a m",4343
"nu ",4179
"wò",4177
"sia",4105
"awo",4026
"eye",3883
"ã ",3822
"kpl",3592
"la,",3556
"gbe",3439
" ƒe",3381
"e b",3291
"a n",3270
"nya",3155
"e, ",3058
"a a",3051
"ke ",3018
"ya ",3000
"iwo",2933
"gbl",2932
"awu",2860
"ple",2815
"ɔ n",2814
"e d",2718
"aɖe",2675
" ma",2675
"zi ",2639
"tɔ ",2639
"a l",2628
"blɔ",2624
"gbɔ",2575
"e ɖ",2558
"mí",2557
"o l",2548
" aɖ",2535
"kpɔ",2518
"wu ",2473
"e k",2470
"e ŋ",2463
"mia",2388
" ts",2385
"ewo",2342
"lɔ ",2337
"o k",2331
" ha",2262
"ŋu ",2251
"i l",2251
"ŋut",2204
"ena",2191
"abe",2142
"a w",2141
"nɔ ",2105
"eƒe",2091
"su ",2079
"siw",2066
" Ma",2062
", e",2050
"agb",2046
"Maw",2040
"a t",2009
"e g",2009
"a d",2005
"be,",1970
"ben",1964
"u s",1941
"ɔ l",1939
"esi",1929
"eny",1928
"ale",1922
" al",1915
"ɔ a",1909
"va ",1883
"o, ",1838
"esu",1836
" ta",1826
"Yes",1811
"a ɖ",1805
" ka",1803
"o n",1799
"tso",1779
"etɔ",1771
"a e",1767
"hã",1735
"i w",1697
"wɔ ",1686
"ɖo ",1679
" ne",1665
"pɔ ",1661
"se ",1655
"ɔ̃ ",1650
"woa",1649
"ome",1646
"i m",1645
"e t",1639
"ɔe ",1639
"a k",1637
"to ",1623
"o d",1617
" ɖo",1611
"a s",1604
"bɔ ",1601
" o.",1585
"eke",1578
"o m",1574
"a g",1573
"so ",1571
"egb",1567
" Ye",1560
", “",1557
"any",1530
"i n",1529
" ke",1519
"o e",1485
"tsɔ",1475
" ga",1471
"yi ",1464
"u a",1455
"akp",1446
"o a",1426
" do",1420
" es",1413
"sɔ ",1404
" nɔ",1403
"ɔwo",1390
"a ŋ",1383
"ɔ m",1380
" en",1373
" se",1363
"ta ",1361
"i a",1360
"ɖek",1353
"dze",1350
" va",1344
", a",1344
"u n",1341
"fia",1330
"ía",1325
"ene",1319
"o g",1315
"a b",1305
", m",1296
" eƒ",1291
" ag",1283
" ye",1272
"ne ",1269
"ae ",1263
"lab",1261
"iaw",1259
"e y",1249
"ata",1247
"afi",1246
"dzɔ",1224
"tsi",1219
"do ",1210
"i s",1208
"ele",1206
"edz",1201
" vɔ",1193
"u l",1176
"kpe",1175
"me.",1175
"ea ",1172
" ab",1165
" an",1154
"aƒe",1153
"mie",1153
"law",1149
"gba",1148
