"en ",33267
"ja ",31772
" ja",30064
"in ",29224
"an ",21324
"än ",19693
" si",19576
" hä",19101
" mi",19097
"lle",18999
" ka",18750
"hän",18557
"ta ",17173
"sta",16702
"aan",16391
"a, ",16265
" ku",15919
", j",15528
" ol",15447
"n k",15116
"ill",15040
"tä ",14581
"min",14486
"n, ",14469
"on ",14399
"tta",14205
"ist",13572
" sa",13470
" va",13463
"inu",13417
"n s",13329
" jo",13246
"at ",13176
" he",13021
"iin",12864
"si ",12318
"vat",12179
"ett",11997
"nä ",11926
"un ",11188
" te",11096
"inä",11069
"n p",10902
"sin",10789
"a k",10734
"san",10731
"n t",10535
"le ",10530
"ka ",10525
"ast",10442
"nsa",10403
" on",10250
"sen",10240
"a s",10065
"nen",9995
" se",9957
"äne",9817
"a h",9353
" tu",9306
"n  ",9292
"ssa",9281
"ell",8924
"rra",8889
"sa ",8882
"err",8817
"et ",8744
"n h",8471
"llä",8463
"iva",8455
" pa",8380
"ole",8373
"ksi",8318
"n m",8283
"kaa",8190
" He",8178
"Her",8136
"ans",8090
" ni",8082
"n j",8039
"taa",7995
"aa ",7987
"aik",7952
"ala",7904
"lä ",7902
"utt",7901
"ais",7899
"Ja ",7860
"oli",7860
"itä",7794
"ano",7713
"ise",7696
"a o",7663
"kai",7611
"kun",7570
"n v",7497
"a j",7466
"isi",7448
"eli",7380
"lla",7295
"i, ",7289
"ttä",7281
"ä, ",7248
"nii",7227
"a t",7198
"nun",7192
"li ",7148
"een",6955
"maa",6945
"a m",6783
"hei",6755
"idä",6731
"kan",6694
"ten",6671
"eid",6560
"all",6520
"t, ",6515
"kse",6482
"tte",6471
"a  ",6370
"n o",6317
"ä o",6223
"itt",6135
"ikk",6116
" et",6056
"ivä",6039
" ko",6010
"nne",5972
"ään",5959
", s",5923
"ät ",5903
" ta",5890
"mal",5859
" me",5808
"uma",5791
"e, ",5784
" po",5759
"a v",5632
"nut",5622
"ut ",5577
" vi",5562
", m",5503
"stä",5500
"ens",5470
"a p",5438
"tul",5421
"dän",5319
"oka",5303
"mme",5231
"i h",5228
" mu",5222
"ä s",5180
"sä ",5145
"sil",5133
"vät",5130
"asi",5110
" pä",5046
" ma",5024
", k",4970
"men",4966
" ei",4962
", e",4920
" tä",4888
"nin",4888
"est",4871
"ä k",4862
"ink",4819
"nsä",4813
"kui",4804
"uin",4778
": """,4764
" Ju",4759
"an,",4726
"tei",4699
"eet",4694
"n l",4681
" kä",4650
"jok",4631
"den",4620
"n a",4620
"la ",4613
"lai",4605
"lis",4592
"saa",4590
"i k",4580
"ni ",4573
"tan",4566
"ti ",4561
"tti",4509
"kki",4504
"nka",4473
"ä t",4460
"ess",4459
"ois",4446
"ull",4438
"n e",4418
"mie",4397
"ste",4357
"noi",4356
" pu",4318
"ssä",4277
"kau",4258
"  k",4246
"ä h",4243
"en,",4231
"ain",4201
" su",4172
"lin",4149
"oit",4134
"i s",4117
", n",4098
"he ",4081
"kä ",4076
"Jum",4068
"set",4051
"len",4041
"its",4040
"t h",4010
"ä m",3935
"ne ",3910
"ava",3904
" sy",3896
"ine",3873
"t s",3872
"toi",3864
"te ",3839
"ämä",3824
" la",3818
"uks",3812
"uni",3806
"nee",3803
"eit",3784
"lta",3773
"ää ",3748
"ta,",3739
"aks",3732
"ann",3716
"me ",3699
"att",3693
" nä",3689
"ki ",3663
"e s",3653
"ani",3630
"tai",3616
"ran",3614
"ika",3612
"t k",3612
",  ",3605
"stu",3604
"vas",3583
"eil",3577
"nyt",3552
"oi ",3521
"kin",3494
"ä p",3493
" ki",3488
"sii",3473
"iel",3470
"ei ",3466
" an",3452
" as",3451
"kää",3444
"oll",3438
"tse",3397
"e o",3386
"val",3366
" pe",3358
"esi",3355
"sa,",3354
"oik",3352
"poi",3349
"tee",3330
"  s",3317
" to",3315
"pal",3311
