"ou ",68893
" yo",59122
"an ",49234
"en ",38583
"te ",38403
" la",32997
"yo ",32003
" po",28261
"pou",26335
"on ",23834
" li",23090
" pa",22520
" ki",21637
" to",21155
" na",20751
"tou",20648
" te",20634
" no",20589
"nan",20050
" mo",19990
" sa",19865
"ap ",19817
" ko",19572
"mou",19251
" fè",19157
" an",19138
"n p",19118
"ki ",18971
"oun",18945
"nou",18482
"ye ",17655
"li ",17445
"'ap",17222
"a, ",17130
"out",16937
"fè ",16338
"un ",16046
"yon",15995
"sa ",15893
"wen",15842
" me",15671
" l'",15328
"ak ",15301
"n k",14614
"n l",14496
"e p",13861
"men",13438
"pa ",13395
" ak",13366
"kon",13322
" ou",12811
"n m",12502
"ut ",12423
"èt ",12168
"nn ",12129
" so",12128
"nm ",11950
" Se",11607
"a a",11391
" a ",11312
" di",11228
"se ",11148
"e l",11107
" ba",11085
"n, ",11004
" m'",10624
"i t",10613
" re",10490
" mw",10313
"ran",10287
"l' ",10283
"è a",10126
"mwe",10032
" ma",9973
"e a",9953
"anm",9949
"n t",9918
"e m",9915
"n a",9910
"n y",9862
"ay ",9634
"tan",9602
", l",9399
" ka",9296
" pr",9248
"yè ",9176
" de",9085
"sou",8977
"i p",8882
"n s",8864
"enm",8831
"ond",8791
"e y",8787
"e n",8640
"e k",8534
"e s",8508
" ge",8500
"di ",8349
"gen",8304
" se",8291
"man",8160
" a,",8153
"a p",8140
"dye",8121
"ndy",8103
"pra",8073
"re ",8070
"le ",8050
" pe",7958
"n n",7940
"u m",7830
"Bon",7826
" ta",7743
"wa ",7734
"u y",7650
"eyè",7574
" ch",7555
"o t",7553
" Bo",7546
"nsa",7487
"kou",7485
"i a",7453
"la ",7444
"Sey",7410
" pi",7398
"Se ",7304
"a t",7210
"il ",7204
"a k",7203
"èl ",7168
"ete",7143
"onn",7045
", m",7036
"u l",7004
"i m",6904
"e t",6884
"san",6830
", p",6763
"u p",6738
"avi",6699
"nen",6693
"m' ",6684
"ann",6555
"i y",6454
"yi ",6451
"al ",6432
"o p",6376
"o, ",6337
", y",6250
"eyi",6213
"i l",6162
"u t",6141
"it ",6106
"lan",6041
" vi",5992
"ank",5947
"yo,",5936
"pey",5878
"ans",5838
"che",5824
"ons",5803
", s",5761
"ti ",5715
"lav",5694
"de ",5653
"t l",5599
"ri ",5598
"enn",5596
"a. ",5564
"a y",5558
"'a ",5538
" t'",5537
"è s",5430
"a m",5347
"pit",5337
". S",5331
"i n",5322
"e, ",5317
"n b",5310
"iti",5208
"tit",5208
". L",5201
"jan",5159
"i, ",5135
" ja",5132
" lò",5095
" sè",5091
"Men",5077
" bo",5040
" pè",5034
"en,",4964
"o a",4941
". M",4935
"è l",4895
"n. ",4861
"lè ",4791
"vil",4775
"e f",4763
"jou",4740
"e b",4733
"l l",4726
"pas",4721
"yen",4670
"u s",4667
"u n",4598
"anp",4567
"a l",4539
" lè",4529
"t p",4511
"cha",4472
"and",4467
"n d",4448
"van",4420
"Li ",4408
"he ",4384
"ant",4360
"t m",4333
"e d",4331
"ve ",4304
"yèl",4296
"è y",4255
"i k",4253
"ote",4229
"in ",4207
"nne",4176
"o. ",4164
" ap",4144
"òt ",4089
", n",4076
"n f",4018
"u a",4018
"pi ",4004
" fa",3957
"ke ",3930
"yo.",3921
"ase",3915
"i s",3811
"Yo ",3809
"ont",3775
"èp ",3764
"je ",3757
"u k",3741
"è m",3705
"i d",3699
" va",3683
"wè ",3679
"pre",3677
"ite",3666
"an,",3637
"Lè ",3634
"ach",3626
"pèp",3612
"ray",3581
"ske",3556
"ale",3545
" ga",3524
"bay",3499
"t'a",3489
"vin",3469
"sa,",3441
"lòt",3435
"k'a",3397
" k'",3396
"mi ",3395
"met",3377
"ou,",3377
"u, ",3377
" Li",3369
"la,",3361
". Y",3350
"son",3346
"ka ",3345
"nde",3343
"ral",3309
" tè",3283
"o k",3273
" al",3270
"a n",3242
"anj",3235
": -",3230
"fan",3223
" si",3211
"non",3208
" Je",3193
"our",3179
"e. ",3155
"nmi",3151
"syo",3129
"tèt",3122
" wè",3113
"ba ",3087
" jo",3082
"e g",3081
"i b",3080
"u f",3050
"a f",3049
" wa",3037
"ni ",3031
"ouv",3026
" Yo",2994
"p f",2970
"avè",2950
" Me",2938
"t y",2935
"ayè",2929
", k",2927
" Iz",2922
"ask",2914
"è p",2842
"riv",2841
" ri",2828
"apa",2817
" av",2796
"va ",2787
"sèv",2786
"nko",2785
"i f",2784
"Mwe",2773
"a s",2765
"kot",2753
"bon",2747
"i. ",2746
"wo ",2744
"e o",2734
"e r",2730
"èvi",2730
"zra",2726
" a.",2721
"ch ",2718
"Izr",2707
"vi ",2700
"nye",2685
"o m",2682
" bè",2676
"è n",2672
"m a",2672
