"ים ",22555
"את ",15385
" את",14707
" אל",12484
" וי",12068
"ם ו",10222
"יהו",9928
"שר ",9725
"ני ",9718
"אל ",9463
"אשר",8790
"כי ",8479
" אש",8454
"ם א",8439
" יה",8400
"ה א",8209
"ה ו",8086
"אמר",7918
" לא",7835
"לא ",7750
"ות ",7714
"כל ",7656
" וא",7539
"ת ה",7369
"וה ",7064
"הוה",7063
" על",7025
"י א",6822
"ו ו",6474
"ו א",6385
"מר ",6304
"על ",6263
" הא",5751
" כי",5739
"יו ",5658
"נו ",5627
"ם ה",5557
"ל ה",5524
" יש",5508
" המ",5495
"ם ל",5429
"אלה",5417
"ת א",5405
"ר א",5286
"תי ",5222
"י ה",5167
"ה ל",5018
"י י",4865
" וה",4851
"נה ",4790
"לך ",4786
" כל",4646
"ם ב",4636
"יה ",4448
"הם ",4437
"כם ",4387
"ו ל",4177
"להי",4171
"דבר",4166
" בי",4164
"מה ",4123
" הי",4074
" ול",4057
"לה ",4010
"רים",4007
"ל א",3998
"ה ה",3997
"ו ב",3961
"בני",3917
"ה ב",3881
"שה ",3877
"ויא",3867
"ית ",3841
"תם ",3810
"יאמ",3785
"וא ",3771
"ר ה",3770
"ון ",3648
" אח",3563
"בר ",3553
"לו ",3494
"ום ",3399
" בנ",3372
" אי",3361
"תה ",3345
"ם מ",3257
"יך ",3244
" הע",3211
"ואת",3209
"אלי",3193
"ם י",3192
"י ב",3181
"י ל",3178
"א י",3134
"ר י",3109
"ן ה",3095
"ת י",3095
"הוא",3069
"ר ל",3062
"יש ",3055
"י ו",3037
" בא",3028
"מים",3013
" וב",3010
" לה",2976
"א א",2965
"תו ",2921
"ישר",2916
" הש",2869
"פני",2852
"ין ",2852
" מל",2825
"או ",2823
"לי ",2822
"ת ו",2816
"רי ",2812
"ן א",2805
"ו מ",2795
"ים׃",2780
" הו",2757
"ם כ",2753
"אם ",2736
" אמ",2732
"י מ",2729
"ה מ",2728
"ת ב",2723
"בית",2719
"ם ע",2704
"עם ",2683
" שמ",2680
"ך ו",2663
"מלך",2658
"יהם",2647
" מש",2645
"הים",2640
" לב",2624
"שרא",2621
"ראל",2615
"נים",2611
"בן ",2607
"ן ו",2604
"רו ",2600
" הנ",2589
" ומ",2586
" למ",2577
"איש",2572
"ויש",2555
" אב",2543
"עלי",2509
"ו ה",2507
"ל מ",2506
"ר ו",2503
" אנ",2494
"ה ע",2491
" וע",2489
"ר ב",2449
"ל י",2414
"ארץ",2412
" עש",2398
"ך א",2393
"ולא",2376
"ו כ",2346
"היה",2336
"הו ",2335
" לי",2331
"ת מ",2296
"ליה",2285
" וש",2268
"רץ ",2254
"הי ",2252
" מא",2239
"יהי",2234
"ו ע",2226
"י כ",2216
"ה י",2211
"ת ל",2203
"מן ",2192
"ה כ",2189
" בע",2177
"ל ו",2162
" יד",2134
"י ע",2120
"ל ב",2106
" ות",2106
"עד ",2095
"ור ",2093
"שים",2086
"ת כ",2046
"ליו",2030
"רה ",2024
"ת ע",2016
" לכ",2013
"בו ",1997
" יו",1993
"ול ",1988
" של",1985
"וד ",1984
" אר",1975
"שמע",1973
" אד",1968
" דב",1968
"אות",1946
" הכ",1940
"לם ",1936
"היו",1910
"דה ",1904
" לו",1904
"ן ל",1897
" בש",1894
" הר",1887
"מי ",1866
"ינו",1851
" עמ",1846
" או",1839
"ויה",1829
"שם ",1818
" בן",1815
"מו ",1808
"זה ",1808
"א ה",1805
"יד ",1805
"די ",1782
"אני",1779
" ונ",1775
"יר ",1774
"גם ",1770
"כן ",1763
"ם ש",1757
"אחר",1752
"יום",1732
" וכ",1717
" במ",1717
" לע",1711
" יר",1705
"עשה",1701
" הב",1698
"ר ע",1697
"כה ",1678
" הז",1677
"ו י",1676
" לפ",1674
"ד א",1672
"ר מ",1666
" עד",1648
" הח",1647
"יכם",1645
" מע",1644
"בא ",1640
"ברי",1630
"דו ",1626
"המל",1623
"ל כ",1615
"בה ",1602
"האל",1598
"יא ",1587
"תן ",1574
"רת ",1569
" הג",1564
"עבד",1563
"ת ש",1559
"ויע",1552
" לש",1546
"דם ",1540
"רא ",1539
"ל ע",1530
"עה ",1527
"י ש",1527
"ן י",1521
"חת ",1516
"א ו",1512
"ימי",1504
"לפנ",1496
"שו ",1494
" בר",1490
"אה ",1489
" שנ",1488
"ב ו",1481
"ן ב",1480
"ל ל",1475
" מי",1465
"ש א",1459
"ויב",1453
"יני",1449
"אתם",1447
" אם",1446
" עו",1438
"אבי",1437
"א ת",1434
"חרי",1434
"ה ש",1431
"הוד",1426
"בי ",1411
"ויק",1387
"מרו",1387
"ישו",1383
"הנה",1376
"וכל",1374
"א ל",1361
"דני",1358
"שני",1356
"מות",1356
" יע",1351
"לאמ",1346
"ך ל",1338
"שי ",1337
"ך ב",1333
"עת ",1332
"האר",1320
"רב ",1315
"א ב",1311
"ב א",1305
"דים",1300
" עב",1294
"ך ה",1293
" ממ",1292
"ען ",1291
"קרא",1290
" בכ",1289
" מצ",1285
" הל",1284
"אתה",1281
"ד ו",1276
"שלח",1276
"לים",1274
" רא",1267
" בה",1265
"ך י",1265
"וב ",1261
"עו ",1259
" מה",1258
" ימ",1252
"ישב",1248
"ראש",1242
"ו ש",1237
"בים",1229
"ואל",1226
"שוע",1226
"ותי",1225
"ל ת",1219
" מן",1215
"ד ה",1213
"נשי",1213
" שב",1205
"אתו",1204
" הק",1202
"א מ",1201
" לך",1197
"וע ",1196
"ושל",1194
" נא",1188
"מלכ",1188
" גם",1179
"ירו",1179
"אדנ",1173
" בת",1170
"י נ",1170
" בב",1168
" הה",1166
"אחי",1156
"לכם",1155
"תים",1146
"חד ",1142
"בל ",1141
"עשר",1141
"מלא",1137
"ביו",1135
"ידי",1135
"שמי",1133
"רך ",1133
"באו",1126
"ד ל",1124
"זאת",1116
"ידע",1113
"עיר",1113
"אכל",1111
"ה נ",1107
" נפ",1106
"להם",1105
"והי",1104
"אחד",1103
"הזה",1103
"ם נ",1101
"ח א",1089
" כא",1084
"ודה",1083
"כו ",1081
"ן מ",1077
"ראו",1076
"ר ש",1074
"ם ת",1073
" בח",1071
"עשו",1068
"מת ",1067
"שבע",1067
"קדש",1066
"עינ",1057
" דו",1054
"אין",1051
"ר נ",1051
"שרי",1049
"נות",1048
"ה ת",1044
"וית",1043
" הד",1041
" לח",1038
"נפש",1037
"רוש",1037
" מו",1026
"שב ",1020
"ל ש",1016
"ירא",1014
"משה",1013
"צרי",1008
"יתי",999
"עול",999
" וח",998
" הת",995
"תך ",995
"העם",993
"ן ע",991
"אדם",990
" בל",987
"דוד",983
"ויר",982
"ד מ",980
"ביא",975
" בק",974
" נת",974
"פר ",974
" שם",968
" תש",966
"השמ",963
"ש ו",963
"לכו",959
"ויד",958
"הן ",957
"בנו",955
"יבא",948
"בת ",942
"י ח",941
"ד ב",941
" עם",936
"ניה",933
"חו ",933
"ניו",933
"ע א",932
"גדו",931
"רוח",927
"סף ",927
"ברו",927
" רב",922
"ש ה",922
"אתי",921
"צא ",916
"רעה",911
"שפט",911
"רות",909
"בות",905
"וים",904
" מר",903
"שתי",903
"עים",901
" תח",900
" לנ",897
"טוב",895
"עבר",894
"תנו",890
"כאש",887
"בעי",884
"וה׃",882
"שמר",881
"א ע",880
" מת",874
" כן",873
"ם ר",871
"ך מ",871
" רע",870
"שלם",870
"יו׃",868
"תכם",866
"משי",865
"עשי",864
" בו",862
"משפ",862
" יב",861
"בכל",860
"המש",859
"למע",856
" גד",855
"וס ",852
"ר כ",845
" קר",845
" ור",843
"בוא",843
"לח ",842
" זה",842
"ראה",840
"יות",840
"ולם",839
"אים",837
"רתי",836
"דש ",835
"מיד",834
" אה",831
"ערי",825
" פנ",823
"אש ",823
"וח ",822
" נש",822
"עמי",822
" שא",821
" מב",820
"ב ל",820
"והנ",820
"ש מ",819
"ב ב",818
"לות",813
"חטא",809
"ובי",808
"אנש",808
" יח",808
"בדי",807
"מצר",807
"ואי",804
"עמד",801
"י ת",800
"יל ",800
"נו׃",800
"א ש",798
" חי",797
"ביד",795
" מק",793
"ת ר",789
"עוד",788
"ל פ",787
"חי ",787
"ועל",787
"וך ",786
" מח",784
"הכה",784
"ם ח",783
"בד ",783
" מכ",782
"רם ",782
"הבי",781
"באר",780
"והו",778
"יב ",778
"זבח",778
"ך ע",777
"תיו",777
"עלה",776
"שת ",772
" פר",768
"שמו",766
"ש ל",766
"חם ",766
"ת נ",765
"מעל",764
"שאו",761
"יצא",760
"גוי",758
"שלו",751
"ע ו",750
"דול",750
"ד ע",750
"דעת",749
"הר ",748
"ונה",747
"נתן",747
"מעו",744
"עתה",744
" עי",743
"מע ",742
"שלש",741
" חמ",737
"י ר",735
"ויל",734
"וני",734
"שנה",733
"בקר",732
"לת ",732
" לק",732
"נא ",732
"בתו",731
"קח ",730
"ידו",729
"יח ",728
"מרי",728
"ו נ",727
"אול",727
"ות׃",725
"א נ",725
"בתי",725
"רבע",724
"ער ",724
"ת ח",722
"רבי",716
"ויצ",716
"כם׃",715
" לר",713
" בג",713
"וימ",712
"קרב",712
"רע ",707
"ונת",706
"תחת",705
" יצ",704
"פי ",703
"ואש",697
"ריה",697
"ן ש",696
"יקר",695
" יק",695
"ולי",694
"ליך",694
"לנו",693
"ואב",692
" קד",691
"ר ד",690
"למי",689
"מען",688
"אך ",686
"ודי",684
"ע ב",683
"ך כ",682
"ואמ",682
" תו",679
"ן כ",678
"בע ",673
"פרי",670
"שבי",669
"מצא",669
"ארב",668
" הפ",668
"האד",665
"שיח",665
" יא",664
"קום",662
"חה ",657
"ורי",657
"ח ו",656
"רית",656
"רון",656
" לד",655
" מפ",652
"יעש",651
"ה ח",651
"הם׃",650
" חר",650
" מנ",649
"חנו",649
"היא",648
"ר ת",647
"המה",645
" נח",644
"ל ד",641
"מתי",639
"ח ה",638
"ת ד",638
" תע",637
"אמו",636
"אתכ",636
"ע ה",634
" וג",634
" כה",634
"למה",633
" ית",632
" חל",632
"עמו",631
"מנו",630
"ויח",629
"בור",628
"פה ",627
" בד",623
"א כ",623
" כמ",623
"מרת",622
"ובנ",622
"שית",620
"קר ",620
"לכל",620
"ב ה",619
"ספר",619
" מד",619
"י ד",617
"ולה",616
"לתי",616
"ותם",616
"קול",614
"שבת",612
"ישמ",612
"דרך",612
" שר",611
"ל נ",611
"שע ",611
"ה ר",610
" תמ",610
"מך ",609
"ושמ",607
"לבנ",607
"צר ",605
"ואח",605
" נב",605
" ער",604
"ח ל",604
"שבו",601
"ליל",598
"חר ",597
"אב ",597
"הדב",596
"חרב",595
"כלו",593
"ד י",593
"שלי",592
"יתה",591
"ל ח",591
"ועד",589
"ושב",589
"הלו",587
"חמש",586
"ורה",585
" גב",585
"ליכ",585
"ניך",584
"ף ו",582
" הצ",581
"בעת",580
"נה׃",579
"לחם",579
"כלי",577
"ל ר",576
" כב",576
"יבי",575
"ירד",572
"י ג",572
"ואנ",572
"ש ב",572
"אשי",570
"ן ת",570
"כות",570
"וי ",570
"אהב",568
"ת ת",566
"ני׃",565
" רו",565
"שלמ",564
"קים",563
"צבא",562
"בשר",562
"שער",562
"מקו",561
"דע ",561
"תיך",561
" מז",560
" דר",560
"ת פ",560
"אל׃",560
"ב ע",560
"ותו",559
"הב ",558
"שא ",557
"לה׃",557
"ישל",557
"אשה",556
"יבו",555
"מד ",554
"אשו",554
" צו",553
"דך ",553
"ועת",551
"תיה",551
" אפ",550
"צדק",550
"מאו",549
" תב",546
"דיו",543
" טו",542
"תו׃",542
"ף א",542
"עתי",541
"העי",541
"גבו",541
" תא",540
"חתי",539
" כס",539
"לום",539
"לכי",537
" קו",535
"שוב",535
"ץ ו",534
"ישי",534
"שות",533
"כהן",531
" הס",529
"נכי",528
"ראי",523
"פו ",523
"אנכ",522
"הני",522
"נני",521
" צד",519
"מאת",517
"בח ",516
"תהי",515
"כבו",515
"חזק",515
"ועש",513
" תה",511
"לחמ",511
"תור",511
"ו ח",510
"ריו",509
"ביה",509
"השל",508
"י פ",508
"מעש",507
"ושי",507
"ץ א",506
"ר ח",506
"פט ",505
"כר ",504
"לאכ",504
"מונ",504
"תר ",503
"גלי",503
"ב מ",502
"ממנ",502
"חיו",502
"וש ",501
" ופ",501
"ה ד",501
" וק",500
" זא",499
"ה ג",499
"הוש",499
"לב ",498
"ד כ",497
"נבי",497
"יתו",496
"אינ",496
"מצו",495
"מה׃",494
"ההו",494
"עלו",492
"נשא",491
"ו ת",491
" עז",490
"ל ג",490
"לשת",490
"ויו",489
"רן ",488
" וד",487
"י ק",487
"כים",487
"ואר",485
"לבי",485
"זרע",484
"ה צ",483
"ון׃",482
"ע ל",480
"צות",480
"נחל",480
"והמ",478
"האמ",477
"מדב",477
"לם׃",475
"שאל",475
"בין",474
"שור",474
"ומה",474
"יקח",473
"עקב",473
"כת ",472
"יען",471
"ביר",471
"יה׃",468
" תר",468
"ויג",468
" יכ",468
" נע",466
"יתן",465
"זכר",464
"ך ש",464
"בקש",464
"ן נ",463
"לקח",462
" שו",461
"מזב",461
"ואם",460
"לבו",460
"טה ",460
"ם ג",459
"תאמ",459
"דת ",459
" עת",459
"מני",458
" פי",457
"הגד",456
" צב",456
"שעי",456
" די",456
"חים",455
"פתח",454
"חות",454
"בך ",453
"ש י",453
"ילה",452
"המו",452
"פים",452
"למל",452
"קה ",451
"לל ",450
"מון",450
"מר׃",449
"בשמ",449
"צה ",448
" חט",447
"עי ",445
"חשב",444
"נתת",443
"ת ק",443
"אי ",443
"ימו",443
"צו ",442
"ר צ",442
"ביב",441
"כהנ",441
"אחת",440
"חדש",440
"ק ו",440
"חיה",439
"רבו",439
"ח י",439
"נן ",439
"ישא",439
"רש ",438
"חיי",437
"עזר",437
"יך׃",437
"ענו",437
"לוי",437
"נם ",436
"ו ר",436
"ה ז",435
"בוד",435
"ע מ",434
"למו",433
"זהב",433
"והש",432
"יעק",432
"גדל",431
"בחר",431
"תם׃",430
"ץ מ",430
"קב ",430
"מינ",429
"לאל",429
" שפ",429
"הקד",427
"ושע",427
" עצ",426
"אבו",424
"יוס",424
"מדי",423
"רבה",423
"עני",423
"ם ק",422
"רגל",422
"לכת",421
" יפ",420
" כת",420
"יון",420
"ברה",420
"לבב",420
"גד ",419
"הרע",419
" נג",418
"מלח",418
"ויפ",417
"ויס",417
"הגו",417
"כסף",417
"חסד",417
"ותה",416
"ה פ",415
"הל ",415
" שכ",415
"האי",414
" יל",414
"וגם",414
" אכ",413
"ראת",412
"דות",411
" גו",410
"ותא",409
"שיב",409
"ב י",409
"הית",407
"ת ג",407
"נינ",406
"מאד",406
"ה ק",406
"אדו",406
" בצ",405
"נך ",405
" מג",405
"שמח",405
"ויכ",404
"ובא",404
"חמה",404
"בלי",403
"אף ",403
"תפל",403
"הנב",403
"תוך",402
"מש ",402
"יעל",402
"מעי",401
"ירי",401
"אמי",401
"ו פ",400
"ח ב",400
"בדו",400
"קם ",400
" תל",399
"ידב",399
"הרא",399
"לעש",397
"רד ",397
"אהל",397
"קו ",397
"השב",396
"ארצ",396
" ככ",394
"לו׃",394
"עון",394
"סבי",394
"ס ו",394
"שפח",393
"בעל",393
"י ז",393
"אבר",392
"ימל",392
"יים",391
"מפנ",391
"לפי",391
"אמת",391
"ומי",390
" ענ",390
"א ח",388
"נאם",388
" זר",387
" כר",387
"בעה",386
"פן ",386
"מנה",386
"האח",385
" חס",385
"דון",384
"ילך",384
"ץ ה",383
"ערב",383
"נער",383
" סב",383
"ם פ",382
"יכל",382
"לף ",382
"תתי",381
"א ד",381
"ותר",380
"ש כ",380
"בינ",380
"בעו",379
"צאו",379
" תק",378
"בבי",378
"תני",377
"לכן",377
"צוה",376
"אנח",376
"ליש",375
"שה׃",375
"תי׃",375
"לך׃",375
"שתו",374
"ורא",374
"נת ",373
"רצו",372
"אלף",371
"שך ",370
"משל",370
"שמה",370
"רשע",370
"ברת",369
"כרת",369
"נחנ",369
"תיכ",368
"ינה",367
" וז",367
"מדו",367
"טאת",366
"דרכ",366
"סר ",366
"ובה",364
"ברכ",364
"הזא",364
