" i ",24412
"je ",23150
" na",17915
" je",17057
" po",16150
" sv",15845
" pr",14993
" se",13810
"na ",13429
"ije",13374
" ne",13228
"i s",12482
"da ",12357
" u ",12248
" da",12243
"se ",11998
"ti ",11351
"a, ",10973
"a s",10819
"e s",10777
" za",10301
"ne ",10113
" nj",9574
"ga ",9377
"e, ",9143
"to ",8792
"voj",8768
"te ",8713
" od",8699
" ko",8699
"li ",8591
"ima",8442
"ko ",8187
"ma ",8167
"nje",8149
"e p",7933
"e n",7881
"a n",7714
"im ",7707
"ve ",7658
"e i",7543
"a i",7450
"i n",7292
"sta",7262
" do",7262
" Ja",7257
"od ",7050
"oji",6967
"ahv",6945
"ih ",6942
"i p",6854
"Jah",6853
"svo",6826
"gov",6726
" sa",6684
"koj",6671
"ovi",6664
" ka",6614
" bi",6513
"ako",6501
"om ",6401
" iz",6363
"oga",6360
"o s",6284
"će ",6274
"ni ",6186
" on",6129
" si",6122
"še ",6054
" će",6031
"e o",5952
"ao ",5910
"rij",5894
"i, ",5893
"u s",5808
"ji ",5804
" kr",5769
" st",5726
"ja ",5628
"lje",5618
"ost",5605
"e  ",5564
"a p",5548
"a  ",5525
" su",5515
"ova",5501
"vi ",5442
"iti",5403
"e u",5358
"pre",5334
"ka ",5330
"jeg",5300
"jed",5297
"ju ",5222
" mo",5187
"ati",5151
"alj",5138
"i  ",5124
"što",5041
"va ",4979
"i i",4977
"sti",4924
"i o",4903
"vje",4893
"e d",4854
"ovo",4821
"sve",4745
"oje",4739
"tvo",4722
"avi",4711
"am ",4688
" ni",4681
"nji",4665
"ad ",4632
"i d",4620
"su ",4615
" št",4594
"io ",4577
"u, ",4541
"ego",4531
"pri",4525
"mu ",4516
"eni",4457
"pro",4445
"e m",4327
"za ",4316
", n",4303
"lju",4300
": """,4255
" go",4170
"kra",4162
"i k",4114
"dan",4083
"vor",4058
"a o",4041
" te",4003
"ina",3979
", s",3972
" va",3972
"i u",3964
"a d",3953
"a k",3950
" Bo",3940
"hve",3924
"o j",3923
"eka",3900
"pos",3895
"me ",3883
"  s",3853
" mu",3852
"e k",3842
"jer",3826
"oj ",3815
"odi",3812
"sin",3809
"ral",3807
"red",3799
" im",3776
"ori",3759
"jim",3724
"rod",3719
"u i",3694
", a",3671
"ada",3646
"ama",3636
" me",3618
"dje",3605
"ist",3605
"ite",3601
" ga",3568
", p",3544
"u n",3517
"i m",3495
"nov",3486
"e z",3476
" mi",3472
"ali",3469
" vi",3455
"jev",3442
"ija",3434
"a u",3430
" ti",3412
"a m",3407
"est",3397
"ili",3397
"de ",3366
"sto",3361
" re",3346
"nik",3336
"e b",3317
"la ",3315
"ino",3314
"nu ",3306
"lja",3305
"ana",3288
"e t",3285
" ra",3273
" s ",3241
"u p",3224
"jih",3213
"nic",3201
"pod",3194
"o n",3175
"og ",3174
"ri ",3161
"ove",3156
"ću ",3152
"ta ",3145
"vim",3143
"eda",3136
"sam",3133
" a ",3130
"a t",3118
"o  ",3106
"er ",3088
"o, ",3077
"a j",3060
"ini",3053
"aše",3040
" tv",3037
", i",3031
", k",3022
"rad",3015
"jem",3007
"o i",3004
" to",2996
"  i",2971
"mlj",2954
"rav",2951
"i t",2908
"nar",2894
"rat",2888
" sl",2883
"zem",2880
" ze",2870
" pa",2870
"Bog",2865
