" a ",45677
" az",34653
"és ",31718
" és",31451
"az ",27250
" me",25143
"nak",18469
"ek ",17762
", a",16471
" sz",16245
", é",15896
"meg",15818
"t, ",15804
" mi",15528
"gy ",14918
"ak ",14625
" el",14063
"nek",13849
" ki",13790
"k, ",13087
"em ",12620
" va",12069
"en ",11994
"k a",10860
"t a",10791
" ne",10683
" ho",10202
"min",9868
"a m",9609
", m",9359
"ele",9293
"s a",9292
"egy",9234
" te",9049
" né",9006
"val",8902
", h",8829
" ha",8785
"sze",8765
"a k",8731
"tek",8696
"nem",8683
"ogy",8605
"ond",8503
" fe",8253
"rt ",8213
"hog",8090
"És ",7992
" õ ",7959
"mon",7934
"et ",7919
"n, ",7467
" mo",7337
"s m",7310
"ala",7262
"el ",7171
"ok ",7155
"l, ",6958
"ten",6891
"ind",6802
"tt ",6800
"ete",6759
"a t",6704
" le",6663
"ett",6553
"fel",6466
"szt",6462
"edi",6448
" Úr",6404
"esz",6359
"z Ú",6311
"z õ",6246
"ket",6209
"ség",6179
"ik ",6158
"dig",6113
"ped",6102
"te ",6082
"eke",6076
"a, ",6043
"ig ",6018
" pe",5997
"nék",5963
"ely",5771
" eg",5742
"ki ",5629
"a a",5590
"mel",5535
"én ",5513
"ste",5484
"tok",5476
"t m",5456
" kö",5397
"ána",5379
"ott",5314
"tet",5267
" ke",5165
"ert",5159
"fia",5137
" fi",5106
"ere",5082
"ért",5081
"nt ",5043
"ben",4962
"an ",4953
"nde",4946
"int",4874
" én",4724
"gye",4696
"agy",4648
"k m",4627
"ban",4625
" is",4623
"n a",4613
"ság",4571
"tte",4488
" be",4466
" Is",4460
"Ist",4402
"ége",4331
" cs",4189
"ak,",4180
"a f",4173
" ve",4168
" ma",4152
"elõ",4140
"len",4122
"eg ",4056
"at ",4056
"a n",4052
"ene",4006
"k e",3983
"éne",3979
"kik",3948
"lek",3908
"szo",3900
"ek,",3898
"den",3877
" ti",3877
"t é",3864
"kat",3829
"ék ",3800
"hoz",3794
"let",3783
"z é",3774
"a v",3757
"ato",3736
"kor",3732
"ara",3729
"tal",3718
"on ",3710
"zt ",3673
"e a",3656
"or ",3629
"nda",3627
" na",3616
" ez",3574
"z e",3566
"eze",3555
"e, ",3554
"l a",3547
"lye",3546
"s e",3537
"ész",3532
" há",3530
"ja ",3525
"ked",3518
"zer",3511
"da ",3473
"kez",3472
"irá",3470
" se",3451
"a h",3425
"vel",3393
"föl",3392
"szá",3383
"la ",3344
"ent",3342
"k v",3341
"ály",3341
" fö",3337
"a s",3329
" ál",3328
"m, ",3287
"men",3286
"ván",3274
"mer",3271
"sza",3269
"kir",3265
"rál",3248
"zte",3232
"Úr ",3223
"i a",3199
"köz",3198
"ne ",3188
"ell",3174
"éki",3151
"alá",3125
"k k",3124
"cse",3116
"t e",3108
"öld",3096
"m a",3088
"azo",3085
"hal",3084
"tel",3084
"iai",3050
"t v",3048
"olt",3045
"mbe",3030
"zen",3022
"lta",3022
"k é",3013
"sz ",2986
"k n",2964
"mag",2959
"ák ",2954
"oka",2932
"emb",2924
"nap",2904
" vi",2877
"k f",2858
"al ",2856
"lle",2853
"azt",2838
"áto",2837
"szé",2834
"isz",2831
"ét ",2814
"vén",2813
"zet",2806
"et,",2806
"ált",2796
"is ",2790
"g a",2784
"ly ",2780
"án ",2764
"y a",2761
"ede",2744
"éke",2734
"tta",2726
"áel",2725
"zok",2720
"zon",2713
"enn",2709
" Iz",2703
" gy",2694
"õl ",2677
"ába",2659
"át ",2657
"ssz",2629
"a p",2618
"zrá",2613
"k s",2607
"ed ",2603
"eme",2601
"ráe",2598
" fo",2597
"Izr",2590
"sok",2581
"ól ",2577
"z a",2572
"k: ",2559
"yen",2552
"z I",2546
"olg",2545
"t n",2533
"nép",2530
"vag",2528
"elm",2527
" ta",2518
"ány",2507
"nna",2498
"ti ",2498
"zér",2497
"it ",2496
"d a",2491
"ház",2485
"van",2460
"sel",2451
"s k",2434
"en,",2412
"vet",2398
",  ",2390
"ess",2386
"om ",2360
" em",2359
"s n",2345
"zat",2345
"tot",2343
"éle",2333
"les",2323
"ött",2316
"eng",2316
"ta ",2313
"egé",2313
"t s",2298
"áro",2285
"nge",2275
"lem",2270
"n v",2268
"ber",2258
"i, ",2253
"  a",2247
" vá",2246
"k t",2243
" ad",2219
"zol",2216
" lá",2211
"tem",2209
" pa",2201
"sem",2198
"ege",2193
"mi ",2191
"lak",2185
"vol",2179
"t k",2176
"tes",2174
"t t",2164
" ké",2163
"ra ",2157
"szó",2150
"ai ",2148
"at,",2145
"lõt",2145
"n m",2144
"s s",2140
"aló",2139
"det",2136
"iko",2131
"s h",2124
"tán",2123
"tat",2122
" vo",2116
"lt ",2107
"d, ",2099
", s",2098
"mik",2085
"áll",2084
"n e",2082
"tt,",2079
"épe",2079
"z, ",2078
"end",2069
" he",2067
"aga",2058
" vé",2053
"fog",2046
"ját",2033
"lat",2031
"lme",2031
"õtt",2023
" tö",2022
"s f",2022
"ére",2015
"y m",2009
"ból",2008
"nk ",2000
" re",1997
", k",1994
"dja",1988
"áld",1987
" an",1984
"k h",1979
" fé",1973
"an,",1973
"zek",1967
"ass",1966
"att",1965
"es ",1965
"tak",1965
"leg",1956
"re ",1956
"hat",1955
"nne",1952
"ünk",1947
"elk",1946
"lát",1943
"all",1940
"zsá",1940
"l v",1938
" at",1932
"kna",1931
"elé",1921
"yek",1919
" es",1918
"ágo",1914
"ezt",1910
"lgá",1906
" en",1905
", e",1902
"bõl",1892
"ény",1888
"ot ",1880
"lel",1875
"elt",1873
"s v",1870
"k  ",1867
"g, ",1866
"s, ",1865
"éte",1864
"gés",1862
"aty",1858
" õt",1838
"s l",1834
"; é",1834
"s t",1833
"ncs",1831
"ann",1825
" ig",1810
"ros",1810
"l f",1810
"t; ",1808
"ssé",1803
"t h",1798
"ldo",1796
"azé",1795
"tsé",1794
"aka",1782
"doz",1779
"e m",1777
"ok,",1774
"zól",1773
"yet",1764
"ébe",1760
"ha ",1759
"ozz",1754
"kel",1753
"ára",1749
"rna",1741
"elj",1738
"cso",1713
"e v",1707
"vár",1703
"a b",1702
"tõl",1699
"de ",1695
"nye",1694
"ták",1694
"öve",1694
"gem",1692
" ny",1683
"ló ",1682
"nd ",1677
"ves",1674
"r, ",1673
" õk",1668
"eté",1666
"st ",1665
"apo",1664
"lál",1662
"n n",1660
"nte",1660
"zem",1656
"zül",1651
"elv",1645
"n f",1639
"ret",1636
" ol",1634
"del",1630
"tom",1624
"lán",1621
"le ",1618
"k; ",1602
"eve",1601
"örö",1600
"szí",1598
"nyo",1598
"yok",1597
"n s",1596
"ndj",1589
"er ",1581
"be ",1580
"l é",1580
" mé",1576
"est",1572
"eri",1572
"ony",1570
"ged",1569
"ég ",1568
"unk",1568
"zta",1562
"t  ",1561
"át,",1560
"el,",1552
"asz",1551
"y e",1547
"gat",1543
"õke",1539
" ör",1538
"art",1538
"hel",1536
"sen",1535
"t f",1533
"osz",1531
"met",1529
"ite",1527
"g m",1526
"e s",1525
"nál",1522
"utá",1521
"gaz",1513
"kne",1511
"Mer",1509
"l e",1505
"n é",1493
"tól",1483
"nev",1478
"ako",1478
"õt ",1475
"d m",1466
"nag",1455
"e n",1455
"i k",1454
"é a",1452
"a  ",1452
"ül ",1449
"y s",1445
"gon",1442
"ize",1438
"em,",1436
"ana",1432
"sát",1428
"e e",1427
"ran",1423
"kod",1421
"t i",1420
"gya",1419
"l m",1418
"; m",1417
"tan",1412
" hi",1412
"a e",1411
"dvá",1410
" e ",1409
"ni ",1408
"ek.",1404
"tud",1400
"kem",1397
"ezé",1388
"n k",1387
"g n",1387
"evé",1385
" Ur",1381
"n: ",1379
"bes",1378
"gyü",1377
"a: ",1371
"k p",1369
"atá",1366
"ata",1366
" té",1366
"é, ",1360
"ól,",1356
"Az ",1356
"got",1355
"tyá",1355
"tör",1355
"zzá",1353
"s b",1352
"ets",1352
"alm",1351
"us ",1349
"szi",1347
" Je",1347
"k l",1346
"rin",1345
"tar",1345
"ték",1342
" ak",1340
"kül",1339
"Úrn",1324
"lke",1322
"r a",1321
"ndv",1319
" tu",1319
" go",1307
"dék",1305
"nya",1303
"vid",1302
"õl,",1301
"dol",1301
"ait",1299
"har",1298
