"եւ ",5194
"ներ",4813
"րան",4363
" որ",4328
" եւ",4076
"նրա",4029
" նր",4025
"ում",3998
"ու ",3545
" ու",3294
", ո",3289
"ին ",3177
"ան ",3089
"երի",2864
"որ ",2822
"ւմ ",2763
" այ",2705
" աս",2662
" հա",2623
" եր",2171
"րի ",2120
"եց ",2101
"նու",2053
"ասա",2028
"րը ",1993
". «",1957
"երը",1942
"ն, ",1902
"սու",1888
"սաց",1877
"ւ ա",1866
"ցին",1840
"տու",1836
"մար",1832
"ուն",1778
"անց",1775
" կա",1766
"ն ա",1745
"անա",1696
" ին",1688
"ից ",1662
"ը, ",1628
" մի",1607
"րու",1597
" մա",1590
" իր",1589
", ե",1532
" պա",1497
"Եւ ",1467
"նց ",1464
"կը ",1450
"այն",1439
"ութ",1433
"նի ",1392
"ինե",1386
"ամա",1369
"դու",1365
"երկ",1353
"իր ",1332
"մ է",1324
" բա",1324
"րա ",1324
"եր ",1322
"ուա",1312
"ուս",1309
"հետ",1303
" էր",1299
" ձե",1294
"անի",1288
"առա",1262
"ով ",1257
"եցի",1253
"ց. ",1244
"րին",1232
"ւ ն",1224
" տա",1220
" ան",1203
"ուր",1195
"նք ",1187
" է ",1177
"ացի",1176
"ելո",1170
"ի մ",1164
" նա",1153
"էր ",1144
" ար",1139
"ն ո",1136
"ինչ",1131
"յն ",1128
"կան",1124
" կը",1113
"պատ",1112
"անե",1098
"ած ",1086
"ւած",1082
"համ",1078
"ես ",1056
"րայ",1046
"անք",1042
"որո",1033
" մէ",1023
"ուե",1022
"արդ",1021
"ին,",1020
"ն ե",1019
"անո",1015
"արի",1014
"րդի",1013
"կու",1004
"թէ ",988
"ւ ե",987
"աց.",987
"պէս",983
" մե",982
"ր, ",972
", ա",960
"րով",959
"արա",945
"ատա",937
"լու",934
"ման",931
"ել ",929
", ի",925
"իւն",921
"ր ա",917
" առ",916
"որդ",912
"րեց",911
"աւ ",906
" իմ",901
"ի ա",897
"եզ ",895
" քա",886
"արո",885
"տի ",883
"նեց",879
"եմ ",875
"ց, ",863
"այ ",858
"նել",857
"ւթի",850
"ն է",831
"մի ",825
"ետե",824
" դո",823
"էին",822
"ար ",821
"թիւ",820
"ւս ",815
"Աստ",813
"ի, ",813
" հե",812
"են ",808
"մ, ",806
"րն ",805
" էի",802
"եան",799
" քո",797
"ն. ",792
"տեւ",789
"րբ ",788
"իսո",786
" վր",781
"աց ",781
"ող ",780
"նը ",778
"վրա",777
"ահա",771
"լին",770
" Աս",765
" ամ",765
"աւո",760
"ի ո",759
"ինձ",752
" մօ",746
"իմ ",741
"ր ե",739
"տնե",739
" տե",735
"Յիս",735
" ես",731
"նակ",730
"մ ե",727
"տես",724
"քո ",722
"ց ն",719
"ովհ",718
"տեղ",707
"ց ա",707
"նա ",703
"սկ ",702
"աւա",699
"ւն ",690
" լի",684
"մօտ",684
"ք, ",682
"ի ե",680
" եմ",677
"այս",673
"ի հ",671
"երե",667
"այր",666
"լով",663
"ւեց",662
" օր",660
" գն",658
"ասո",655
"պիտ",654
"արձ",654
"ւ մ",653
" թէ",652
"ր մ",644
"ց ե",642
"րը,",640
"իտի",638
"էս ",636
"նչ ",636
" կո",635
", թ",632
"տար",627
"ձեզ",626
"կար",625
"ստո",616
" են",615
" դր",613
"դին",613
"ն ի",612
"հար",611
" եղ",610
"սին",610
"մէջ",609
"արե",606
" պի",606
"վհե",605
"հան",600
"ի վ",596
"րից",596
"երո",591
"ծու",589
"ապա",588
"ը ե",587
" թո",585
"ն մ",585
"գնա",585
"ովս",584
"ւթե",582
"վսէ",582
"թեա",580
" վե",579
"ր կ",578
"րկո",576
"ւ ի",574
"ակո",574
" իս",573
"նձ ",573
" քե",571
"ն ն",570
" գա",570
"աղա",570
"նաց",568
"ին:",566
"այդ",563
"ւ ո",561
"յս ",560
" բո",560
"ամբ",560
"տան",556
"ողո",555
"ին.",552
"վեր",550
"ն կ",549
"լոր",549
"յդ ",548
"ակա",547
"մին",546
"թող",545
"ուի",544
" տո",540
"նեն",538
"նայ",537
"քեզ",537
"ոլո",536
"այի",535
"աստ",534
" էլ",532
"ւմ,",531
" Յի",530
"իսկ",526
"ւնը",526
"իրե",525
"րեն",516
"երա",511
"ննե",509
"ց ո",507
"տաս",507
"ւ, ",505
"րկր",504
" դա",502
"ետ ",502
"ր ո",502
"ատո",501
"երն",501
"ւոր",500
"էք ",500
"քան",498
"ացա",497
"նից",495
"կնե",491
"ր ն",490
"էլ ",488
"է, ",485
"բայ",485
"եղա",484
" փա",483
"դրա",482
"ր հ",480
"բոլ",479
" ծա",478
"ց մ",477
"ը կ",476
"կեր",476
"կայ",476
"ղով",474
"ան,",471
"ս ա",471
"երբ",461
"ստե",458
"ւել",458
"խան",455
"անն",453
" սա",453
", ն",452
"րնե",450
" վա",449
"ւր ",448
"եկա",446
"ր ի",443
"ի կ",442
"ակե",442
"ս ե",440
" աշ",438
"մ ա",437
"ւ հ",434
"ակի",434
"լ է",434
"ռաջ",431
"ինի",429
"ա ա",429
"յց ",428
"ուց",427
" յա",427
"մէկ",424
"բան",423
"ն տ",421
"ց ի",421
" է,",418
"է՛ք",417
"ւ կ",417
"ակ ",416
"րդո",413
" ոչ",411
"անգ",410
"ժող",409
"ենք",408
" ժո",408
"ակն",407
"ստծ",406
"տծո",406
"ը մ",404
". ե",402
"ն՝ ",402
"րաւ",402
"նան",401
" ըն",400
"խօս",400
"անը",399
