"an ",85038
"ang",65779
" me",57745
"ng ",50440
"kan",37172
" da",35446
"ah ",33780
"men",29262
" ke",28659
" se",27971
" di",26343
"dan",25031
"eng",24445
"nya",23748
"lah",23553
"ran",23437
"yan",23305
" ya",22920
" be",22839
"ber",22443
"ada",22039
"ya ",19718
"nga",19701
"aka",19430
"itu",18603
"tu ",16925
" pe",16922
" ka",16126
"ata",15752
" it",15679
"ak ",15565
"da ",15403
"ala",15148
"ora",15059
"di ",15054
"eka",14873
"a m",14800
"at ",14791
"per",14542
"n m",14019
" te",13898
"pad",13814
"ka ",13416
"ri ",13127
"gan",13048
"ere",12756
"a d",12721
"epa",12650
"emb",12483
"ela",12350
"mer",12335
"mem",12331
"a, ",12304
" ba",11963
"ara",11951
"rek",11750
"ari",11414
"kep",11406
" ak",11397
"tan",11058
" sa",10981
"n d",10980
"a k",10887
"ana",10632
" ma",10582
"n k",10450
"a s",10032
" or",9983
"ta ",9790
"eri",9740
" ha",9608
"aya",9488
" ti",9134
"apa",8800
" de",8729
" la",8637
"dar",8600
"ing",8488
"dak",8459
"ian",8433
"ama",8382
" su",8310
"era",8292
" ta",8080
"mba",7924
"den",7915
"kat",7835
"any",7811
"uk ",7811
"ntu",7752
"i s",7688
"ngg",7634
"ngk",7620
"i d",7573
"a b",7535
"ku ",7523
"ban",7498
"u m",7495
"i k",7479
"au ",7472
"n s",7414
"ai ",7389
"ika",7323
"TUH",7279
"UHA",7279
"HAN",7272
"ia ",7238
"n b",7125
"ena",7106
"aku",7103
", d",7081
"ti ",6994
"lam",6979
"rka",6942
"uda",6936
"ali",6861
"ida",6780
" pa",6758
"ert",6703
"u, ",6657
"g d",6606
"tuk",6562
"nta",6540
"us ",6525
"a p",6484
"gka",6435
"a t",6428
"tid",6423
"g m",6408
"mu ",6332
"ter",6276
"ung",6272
"emu",6265
"a i",6245
"aja",6225
" TU",6193
"unt",6142
"end",6122
"u d",6119
"am ",6036
"uka",6036
"bah",5980
"lla",5977
"k m",5947
"erk",5933
"h m",5925
"ra ",5891
"a y",5878
"aha",5872
"mpa",5858
" un",5854
"pat",5824
"amu",5823
"a a",5787
"uh ",5767
"All",5766
"kam",5729
" Al",5711
"eta",5646
"eba",5619
"eny",5511
"hat",5456
"kal",5451
"adi",5435
"nak",5412
"ita",5382
"n t",5366
"sa ",5356
"h d",5332
"har",5318
"man",5290
"n p",5287
"uru",5269
"han",5257
"ga ",5221
"sem",5171
"ar ",5161
" an",5145
"tah",5111
"i m",5103
"na ",5055
"agi",5027
"ati",5015
"mel",4989
"api",4954
"mat",4949
"tak",4928
"alu",4926
"nja",4906
"rus",4881
"g b",4865
", s",4854
"pi ",4825
"awa",4823
", """,4792
"dah",4783
"emp",4773
"ila",4698
"a. ",4684
"lu ",4679
"ema",4669
"n, ",4639
"kar",4639
"tap",4638
"enj",4626
"pen",4620
"asa",4601
"seb",4584
"AN ",4573
"nan",4515
"h k",4489
"lak",4489
"nda",4478
"ke ",4476
"kau",4460
"un ",4455
"ers",4421
"ng-",4416
"u s",4408
"ua ",4382
" Ye",4378
"i, ",4374
"gi ",4368
"lan",4327
"dia",4312
"ma ",4297
"Aku",4271
"u b",4270
"dal",4267
"pa ",4234
"gga",4210
"uat",4204
" ja",4200
"sam",4200
"atu",4192
"as ",4099
"g t",4074
"bua",4064
"n a",4000
"ya,",3996
"dap",3985
"gal",3984
"pun",3957
"san",3943
" ia",3934
"i t",3913
"ngi",3910
"u a",3907
"i p",3847
"ja ",3841
"u t",3837
" ad",3826
"ahu",3803
"iri",3798
"i b",3792
"jad",3787
"wa ",3785
" pu",3781
"n i",3767
"tel",3761
"esu",3754
"ini",3751
"asi",3740
"g y",3721
"elu",3716
" ra",3712
"i a",3704
"kit",3685
"erb",3657
"sud",3655
"u k",3655
" bu",3645
"int",3625
"ula",3621
"uma",3614
"ami",3596
"mua",3594
"uan",3579
"h s",3566
"ap ",3561
"aru",3556
" in",3541
"g s",3502
"rti",3469
"g k",3461
"lia",3452
"al ",3435
"nny",3430
"mak",3391
"dir",3371
"ab ",3360
"eru",3352
"mbu",3342
"rin",3342
" Ak",3337
"bag",3332
"amp",3330
"h b",3318
"hka",3313
" ku",3310
"say",3294
"uku",3292
"mas",3267
"a o",3243
"aik",3237
"la ",3228
"Nya",3219
"an,",3209
"n y",3205
"sel",3200
"in ",3199
"ren",3183
"usa",3159
"sep",3153
