"og ",37224
" og",36362
"ir ",31086
"nn ",26520
"að ",25300
" ha",21853
"inn",21761
"ann",19947
"ur ",19389
"um ",19182
" þe",18978
" að",18491
"ar ",18328
"han",17032
"ið ",16964
" er",15620
" se",15280
"er ",14697
" he",13781
" í ",12889
"þei",11832
"num",11435
", s",11241
"r h",11053
"em ",10748
"il ",10722
"til",10560
"sem",10553
"ði ",10399
" ti",10282
"r, ",10179
"eir",10091
"r s",9991
"r þ",9815
" vi",9760
"ður",9593
" sk",9544
"ver",9423
"ér ",9254
" á ",8913
"tti",8680
"ð þ",8349
"ns ",8342
"a, ",8323
"na ",8225
", e",8197
" ve",8164
"ott",8138
", o",8105
"rot",8058
" þa",8005
" ei",7950
" me",7905
"onu",7661
"ra ",7568
"tin",7565
"Dro",7512
"nna",7280
" ko",7257
"nar",7211
" fr",7155
", þ",7106
"ð h",7081
"g s",7076
"ndi",7072
"ekk",7063
"n, ",7049
" Dr",6974
"st ",6928
" af",6875
"nni",6798
"all",6794
"ins",6748
"rir",6746
"við",6600
"enn",6573
" ég",6551
"r e",6518
"g h",6494
" sa",6464
"ein",6353
"and",6322
" va",6317
" mi",6265
" fy",6252
"ég ",6244
" þá",6101
"var",6034
"yri",6022
" þú",5937
" al",5881
"ta ",5858
"r m",5854
"ví ",5854
"i, ",5852
"n s",5825
"fyr",5800
"kki",5753
"ki ",5648
" en",5632
"af ",5616
"n h",5556
" ek",5546
" mu",5429
"m, ",5410
"ess",5346
"fir",5323
"með",5306
"an ",5300
"jör",5296
"þá ",5256
" þé",5256
"Og ",5255
"s, ",5254
"þér",5251
"i h",5204
"r o",5188
"a þ",5149
"r v",5136
"þú ",5119
" þv",5075
"því",5044
"tur",5043
"ti ",5026
"mun",5001
": """,4949
"ans",4888
"ð s",4834
"r a",4780
" sv",4777
" st",4751
"r f",4743
"ð, ",4690
"ska",4687
"ing",4677
"nir",4618
"eð ",4567
"eim",4559
"þes",4543
"það",4539
"g þ",4537
"ni ",4537
"ung",4469
"a s",4404
", h",4379
"a h",4370
"uð ",4358
"di ",4338
"hef",4338
"a o",4277
"Guð",4266
"ru ",4263
