" di",32197
" e ",24583
"la ",24105
"di ",23619
"no ",23174
"to ",22318
" co",22183
"re ",21648
" de",20589
"o d",17961
"il ",17046
" il",16884
"gli",16773
"li ",16394
"e d",15376
"ti ",15208
"per",14736
"on ",14723
" pe",14445
" la",14330
"che",14223
"ell",13789
" ch",13703
"le ",13587
"del",13438
"he ",13274
"te ",13208
"i d",13117
"con",13036
" in",12999
"io ",12559
"ro ",12286
"a d",11756
"o, ",11692
" su",11542
"i s",11424
"e, ",11421
" tu",11258
"e i",11118
" no",11116
" al",11066
"ore",11039
"e a",10902
"lla",10803
"e l",10739
"e s",10596
"el ",10365
"ra ",10272
" qu",10267
"o a",10142
" da",9857
"o i",9776
"e c",9658
"i a",9656
" a ",9618
"i c",9571
"ent",9562
"o c",9426
"a c",9153
" se",9140
"er ",9046
"o s",9024
"a s",8971
"gno",8940
"si ",8837
" pr",8720
" un",8695
"ono",8685
"ato",8626
" pa",8612
" si",8547
"i, ",8532
" i ",8384
" ma",8340
" lo",8322
"se ",8319
" ne",8218
"est",8210
" le",8174
" sa",8108
"lo ",8106
"nor",8071
"ign",8047
" Si",8045
" mi",7947
"o p",7864
"in ",7697
"all",7668
" po",7662
"non",7642
"que",7624
"e e",7613
"ta ",7561
"a, ",7526
"i p",7490
"lor",7474
"Sig",7387
"o e",7358
"ia ",7331
"i e",7313
"era",7312
"ne ",7256
" ca",7172
"e p",7055
"ano",7041
"a p",6998
"and",6983
" te",6959
" ri",6868
"l S",6832
"tto",6785
" fi",6715
"ndo",6619
" so",6553
" vi",6480
"ran",6458
"a l",6378
"ess",6365
"are",6356
"sse",6342
"oro",6279
"ant",6273
"oi ",6234
"me ",6176
"o l",6126
"a t",6075
"ni ",6042
"ai ",6010
"str",5973
"e n",5968
"utt",5947
"chi",5944
"com",5890
" re",5871
"ei ",5826
"ann",5787
"al ",5753
"igl",5726
"rà ",5699
"ser",5685
"ere",5682
" fa",5662
"ter",5615
"nel",5568
"ost",5488
"tro",5466
"erc",5434
"do ",5403
" ve",5382
"i l",5379
"a m",5378
" vo",5334
" gi",5285
"pre",5275
"nti",5257
"da ",5256
"i i",5242
"na ",5222
" ci",5220
" me",5207
"un ",5189
"sta",5172
" è ",5117
"i f",5113
"tti",5092
"a e",5079
"tut",5078
"ron",5061
"ett",5046
"sto",5026
", c",5017
"att",4997
", p",4979
" st",4972
"ché",4949
"lle",4892
"hé ",4869
": «",4832
"nto",4813
"man",4764
"qua",4759
" gl",4741
"e t",4737
" an",4723
"tra",4718
"dis",4648
"nte",4636
"van",4633
"ome",4631
"par",4628
"nno",4598
"a i",4538
" ha",4524
"one",4503
"suo",4496
" Di",4476
" av",4447
"end",4443
"va ",4399
"fig",4385
"uo ",4383
"ion",4377
"ava",4376
" l'",4334
"ate",4326
"i t",4319
" mo",4301
"Dio",4253
"ver",4244
"l p",4209
"ont",4192
"ese",4177
"so ",4156
"i m",4142
"olo",4139
"l s",4128
"a v",4101
"gio",4070
" tr",4061
"mo ",4019
"sti",4015
"e m",4011
"rch",3993
"ero",3963
"ora",3946
"llo",3927
"e v",3921
"ua ",3887
" pi",3886
"a a",3884
"aro",3866
"ues",3855
"tte",3850
", s",3798
"res",3795
"a f",3782
"ue ",3767
"ri ",3738
"eva",3736
" es",3695
"ete",3663
"ll'",3650
"ito",3633
"dal",3624
"o n",3611
"ave",3603
"pro",3585
"ort",3578
"sa ",3576
"re,",3551
"col",3545
"i n",3530
"ati",3477
"cos",3474
"iss",3468
"ntr",3452
", i",3442
"ven",3406
"acc",3396
