"naj",15074
" ch",14489
" is",13977
"aj ",13508
"mam",11382
"oma",11158
" Co",10887
"Com",10855
"n̈ ",10196
" yu",10038
" yi",9692
"am ",9467
"et ",9394
"chi",9100
" na",8483
"an̈",8177
"al ",7924
" ye",7690
" ha",7616
"in̈",7612
"to ",7478
"an ",7319
"yin",7099
" ma",7035
" eb",7009
"tuˈ",6874
"bna",6757
" tu",6705
"ebn",6673
" ya",6637
" hu",6594
"hun",6417
" ca",6211
"xin",6134
"aˈ ",5821
"ul ",5718
", y",5185
" te",5098
"mac",5021
"in ",4873
"aw ",4751
" xi",4665
"nma",4615
"il ",4573
"tiˈ",4516
"anm",4415
"ni ",4250
"ach",4226
" tz",4225
"caw",4163
"isc",4042
"eˈ ",4006
"uˈ ",3986
"nil",3962
"yul",3921
"kˈa",3908
"o y",3886
" ti",3865
"une",3840
" ay",3812
" he",3715
"yet",3632
"cha",3623
"l y",3609
"ˈan",3586
"can",3562
"che",3559
"neˈ",3465
"akˈ",3401
"n̈e",3373
" an",3354
"ios",3345
"han",3342
"co ",3325
"ist",3313
"Dio",3244
" Di",3198
"ma ",3179
"yu ",3177
"m D",3158
"txˈ",3143
"lni",3138
"ˈ t",3100
"cˈu",3078
"yeb",3075
"eb ",3063
"tze",3044
"tet",3033
"zet",3009
"l t",2981
"ay ",2949
"hac",2930
" ta",2913
"ˈul",2896
"ani",2895
"ˈ, ",2856
"on̈",2843
" co",2824
"a y",2771
"ta ",2760
", c",2720
"ch ",2682
"ˈ c",2638
"aln",2621
"j y",2612
"t y",2598
"n, ",2575
"no ",2543
"hey",2542
"wal",2539
"cˈa",2535
"ˈ y",2507
"aca",2503
"n c",2472
"t c",2462
"ac ",2435
"jan",2423
"l i",2402
"n t",2386
"oja",2371
"uni",2353
"n y",2349
"lo ",2345
"yal",2335
", h",2323
"at ",2302
"pax",2298
"o h",2291
"iˈ ",2276
"ina",2248
"aha",2233
"o i",2200
"haˈ",2108
" ẍi",2105
"hal",2103
" sa",2083
"ab ",2082
"j t",2065
"ban",2044
"ico",2018
"l c",2016
"o c",1992
"xa ",1991
"ano",1952
"a c",1952
"scˈ",1907
"sat",1901
"lan",1891
"os ",1888
"ala",1876
"bal",1874
"caˈ",1872
"axo",1868
"l h",1865
"ẍi ",1822
" wa",1811
"o t",1802
"chˈ",1780
"ato",1777
"i C",1776
"lal",1772
" Je",1764
"nic",1762
"en ",1762
"a t",1755
"isb",1753
"haw",1719
"taj",1707
"j, ",1707
"tan",1706
"l, ",1688
"atx",1646
"̈e ",1644
"n h",1620
"ilo",1606
"icˈ",1604
"uˈ,",1601
"Jes",1575
"aj.",1563
"xo ",1561
": ―",1559
"o n",1558
"yan",1542
"yut",1538
" ix",1536
"i n",1524
"j i",1520
"m J",1512
"con",1512
"uto",1510
"ˈ x",1502
"lax",1502
"n̈o",1489
"unu",1488
"̈ i",1485
"el ",1479
"int",1463
"am.",1443
"ila",1437
"sto",1425
"ba ",1423
"o C",1423
"skˈ",1421
"uxi",1416
"ey ",1404
"h c",1400
"nan",1395
", ẍ",1385
" su",1385
"sun",1384
"ekˈ",1375
"aja",1367
"̈ t",1362
"ˈ h",1361
"tzˈ",1355
"tat",1353
"m y",1344
"n̈a",1341
"m t",1334
"yil",1327
"isk",1327
"j c",1317
"jab",1316
"bil",1313
" ba",1299
"an,",1297
"n i",1295
"o e",1290
"ica",1290
"a, ",1265
" in",1262
" Is",1254
"ism",1253
"eya",1249
"t C",1234
"̈ h",1234
"ˈ n",1232
"c t",1231
"ˈ i",1223
"wat",1204
"bey",1200
"l C",1196
"chu",1194
"man",1172
"in,",1167
"sba",1165
"nte",1147
"s, ",1143
", m",1132
"̈ y",1126
" cˈ",1126
" be",1119
"̈ob",1117
"cat",1117
"i t",1110
"unt",1109
"ecˈ",1108
"ol ",1104
"ix ",1094
"ˈay",1094
"hiw",1092
"apn",1089
"nal",1084
"tek",1083
"Wal",1082
"yel",1082
"lah",1081
"tzo",1081
"aj,",1080
"sch",1080
". H",1078
" Ha",1077
"abe",1076
"aco",1074
" tx",1073
"ela",1073
"oc ",1070
"ula",1066
"ich",1065
"isw",1061
"wi ",1059
"xˈo",1052
"xˈe",1045
"a h",1044
"hic",1038
"l s",1038
"ˈoj",1028
"ris",1025
"xol",1025
"m, ",1023
"his",1018
"ˈin",1017
", i",1014
"̈an",1013
"cuy",1011
"ex ",1009
" yo",1008
"ˈ m",1005
"zot",997
"itz",995
"hex",986
"jaˈ",984
"̈ C",982
"iba",981
"hej",980
"kˈn",977
"ˈni",977
"i e",974
"nto",969
"ˈab",969
"bay",964
"isy",962
"tey",960
"ayc",959
"iˈ,",958
"l a",957
"n̈,",955
"wil",950
"ˈen",945
"axa",944
"yic",941
"s y",936
"aye",936
"iˈa",931
"̈, ",925
"yak",921
"nu ",920
"e t",919
"ata",919
"ˈa ",918
"awi",917
"̈ c",916
"uˈ.",914
" ni",909
"t i",908
"ayo",906
"eye",905
"w c",905
". Y",903
"cam",898
"e y",896
"a a",896
"tic",894
"l e",891
"wan",889
"ob ",889
"i y",889
"l n",888
"iwa",888
"kˈ ",886
"u i",885
"ayi",885
"nin",884
"kˈi",883
" la",881
"i h",873
"hit",869
"i i",869
"b C",869
"i, ",868
"yib",865
"ax ",864
"Caw",864
"esú",852
"sús",852
"yux",850
"u y",848
"mat",846
"hˈa",844
"cho",843
"nim",835
"stz",833
"ant",825
"Haˈ",819
"yaj",818
"l x",815
"hin",815
"am,",814
"t a",810
"ahw",806
"a i",804
"os,",802
"nta",799
"o a",799
"le ",797
"yoc",796
"ẍta",794
"om ",792
"hi ",792
"ˈ C",791
"j h",791
"ye ",785
"ali",785
"yun",783
"te ",781
"ima",781
"txa",779
"hta",777
"teˈ",775
"hu ",774
"oht",772
"t e",770
"eyi",769
"c c",766
"y y",765
"e h",764
"esu",763
"n a",763
"ana",762
"hiy",761
"t h",760
"x t",760
"ebi",758
" to",757
"suc",756
"t n",756
" xa",754
"Hac",751
"zˈa",751
"loj",750
" ja",748
"hwi",737
"yah",737
"aba",736
"xah",735
"hah",735
"cri",729
"e i",729
"awa",728
" wi",728
"iln",727
"ucr",724
"ayt",723
"yij",721
"col",721
"oj ",720
"al,",717
"jil",715
" kˈ",712
"o, ",712
"n m",710
"oti",705
"w y",700
"b y",699
"j. ",697
"hˈe",696
"ipa",695
"och",695
"stx",694
"lil",693
"hil",691
"nab",690
"aho",685
"xan",682
"swa",682
"ˈal",681
"Yaj",679
"e c",677
"yco",674
"ˈ: ",673
"eja",673
"b t",673
"pni",672
"ben",667
"Yal",666
"cˈo",660
"yaˈ",660
"axi",659
"aẍt",658
"oj,",655
" no",654
"a m",653
"ahi",651
"n e",649
"o m",646
" cu",642
"iha",642
" xo",639
"eha",636
"ca ",635
"j m",631
"ile",631
"y t",628
"maẍ",624
"win",622
"noj",619
"otx",618
"u C",618
"jal",618
"alo",614
"oj.",612
"ael",611
"wet",611
"aji",609
"a n",606
"eta",606
"ute",603
"an.",596
"uẍt",595
"sra",593
"rae",593
"iˈ:",592
"hol",592
"y c",589
"ham",588
"j P",588
"y h",585
"Mac",585
", w",584
"Ist",579
"Isr",578
"aˈt",578
"sma",577
"tza",576
"ami",575
"yo ",575
"ti ",573
". C",570
"eni",568
"Yux",568
"a e",567
"ote",567
"n̈.",565
"mun",565
"ah ",563
"sca",563
"yba",563
"s t",560
"yec",560
"yip",557
"t, ",555
"hia",555
"ús ",554
"uyw",549
"Lah",544
" ak",544
"yab",543
"elo",543
"eba",542
"yto",541
", a",541
"eli",540
"Hay",538
"scu",538
"̈ e",536
"ˈ a",535
"ech",535
"̈ n",532
"aya",531
"la ",530
"wom",525
"m c",525
"yat",523
"sta",523
"ˈ. ",523
"a C",522
"t t",520
"l m",519
"noˈ",516
" we",515
"hec",515
"isn",514
"u h",513
"un̈",512
"b c",511
"j: ",510
"il,",510
"w x",510
"ˈo ",509
"b n",507
"n̈c",504
", t",504
"qui",500
"os.",500
"toj",495
"aj:",494
"ito",492
"mul",491
"nip",491
" ji",489
"anc",487
"i c",485
" Ya",483
"n n",482
"hel",480
"hul",480
"ip ",479
"isp",479
"ma,",478
" Ma",475
"w m",475
" ju",475
"coj",474
" je",473
" qu",472
"oˈ ",471
"j a",470
"ije",468
"atz",468
" Wa",467
"lca",465
"al.",463
"l. ",463
"nti",463
"ija",463
"heb",461
"isl",460
"ehi",460
"smu",459
"m h",457
"inc",455
"o x",454
"lch",454
"ˈat",453
"Yet",453
"tel",451
"j J",450
"yeh",448
"ish",446
"cˈ ",444
"ˈ b",443
"wiˈ",440
"m. ",439
"hon",437
"ahn",437
"pno",436
"abl",435
"kˈl",433
" Yu",433
"b h",430
"toh",430
"b x",429
"hij",429
"hni",429
"ˈta",426
"nxa",423
"x y",423
": “",423
"lxa",422
"ˈah",422
"ini",422
" Ca",422
"̈ s",422
"ma.",421
"sya",420
"owa",419
"n̈k",417
"̈kˈ",417
"j s",415
"oha",414
"ikˈ",414
"ˈot",412
"he ",412
"̈ a",410
"m C",409
"hoj",408
"ˈ w",407
"oba",406
"b e",406
"n̈t",405
"yay",404
"et,",404
"tin",404
". W",403
"alt",400
"sye",400
"w a",398
"ncˈ",398
"u n",398
"il.",396
"yoj",396
"oca",395
",” ",395
"b i",394
"atu",393
"swi",392
"lap",390
"axt",388
"̈et",388
" Pa",388
"nih",387
"tut",386
"nun",386
"ton",385
"abi",384
"lic",384
"o s",384
"maj",383
"xac",383
"lba",382
"nit",381
"u c",381
"cal",381
"m i",380
"xic",379
"tzi",377
"mpo",376
"eyu",376
"awe",376
"tie",375
"na ",375
"emp",374
" ec",374
"ˈla",374
"̈en",373
"iem",372
"ˈe ",372
" wu",372
"mah",371
"exo",367
"l j",367
"kˈw",366
"kˈb",366
"ˈ e",365
"j j",365
"yoh",365
"bel",364
"ˈib",364
"kˈo",363
"a. ",362
"w t",362
"nay",358
"we ",358
"bix",357
"e, ",356
"ixi",356
"lla",355
"̈ x",355
", n",354
"sti",354
"hay",354
"zal",353
" Sa",351
"ilc",351
"hih",350
"u t",349
"on ",348
"xˈi",348
"w h",348
"ena",348
