"mia",8933
"nia",7587
"ini",7420
" nu",7153
"ha ",7058
"sha",6728
"ayi",6652
"a n",6584
"i. ",6308
"iay",6260
"ai ",5789
"in ",5698
"an ",5615
" tu",5513
"ura",5402
"arm",5228
"yi.",5209
"ra ",5156
"cha",5034
"ia ",4964
"ar ",4382
"awa",4356
"chi",4276
"a a",4082
"Yus",4064
"usa",4049
"una",3894
"rum",3861
"ain",3828
"jai",3814
" Yu",3735
"iti",3725
"kia",3720
"na ",3710
"ent",3666
"tai",3632
"ich",3537
"aka",3480
"ai.",3435
"aja",3422
"uar",3416
"tsu",3357
". T",3250
"rmi",3244
"Tur",3237
"ant",3192
"hua",3167
"aku",3073
"am ",3046
"san",3036
"tin",3036
"iar",2987
"ish",2947
"ait",2935
" Tu",2928
"shu",2899
" sh",2892
"nts",2874
"ash",2851
"asa",2847
"nen",2827
"us ",2799
"iai",2749
"amu",2738
"sar",2732
"niu",2729
" ti",2687
"ka ",2671
"tsa",2663
"nka",2650
"aru",2628
"aya",2602
"Túr",2593
"ara",2577
"nun",2562
"tia",2561
" ni",2556
"ama",2541
"ntá",2527
" Tú",2492
"unt",2491
"ram",2482
" En",2468
"eka",2468
"ata",2465
" na",2447
"um ",2424
"ana",2421
"tái",2421
"Ene",2415
"wai",2400
"nki",2400
"sa ",2391
"iki",2357
" Je",2325
"tus",2313
"ink",2311
" wa",2259
" Tí",2254
"tur",2226
"Jes",2206
"esu",2194
"hic",2164
"kar",2149
" an",2144
"ker",2135
"a t",2105
"ími",2102
"nam",2087
"n a",2085
"sus",2068
"ti ",2065
"áim",2045
" as",2038
"ni ",2032
"Tím",2011
". N",2009
"tar",1997
" ch",1996
"rin",1992
"mta",1969
"úra",1965
"kan",1960
" ne",1949
"i t",1946
" ta",1940
"ak ",1937
"int",1915
"nu ",1905
"nch",1900
"tak",1898
"ach",1890
"amt",1889
"ats",1858
"shi",1843
"mai",1828
" ak",1822
" pu",1813
"shí",1806
"sam",1805
"uja",1791
"un ",1791
"ari",1785
"umi",1785
"puj",1777
" ya",1774
"hí ",1771
"rma",1764
" Nú",1757
"Ash",1731
" ai",1723
" As",1702
"u a",1688
"kas",1671
"nek",1671
"atu",1657
" Nu",1652
"ank",1648
"nke",1645
"art",1629
"nta",1623
"tuk",1614
"a N",1612
"ri ",1599
" ka",1597
"i n",1588
"tum",1585
"kat",1558
"me.",1558
"ti.",1549
"ian",1548
"a, ",1545
"man",1524
"ham",1522
"uin",1522
"uka",1520
"tat",1517
"as ",1511
"kup",1511
"ya ",1505
"rat",1494
"kam",1493
"i a",1491
"iak",1451
"nti",1451
"nma",1448
" pé",1448
"n t",1438
"nt ",1419
"ntr",1411
"ch ",1393
"run",1390
"min",1385
"a Y",1375
" ts",1375
" ii",1366
"ui ",1361
"uit",1353
"uma",1353
"imi",1345
"ush",1336
""" T",1320
"iam",1308
"hii",1308
"tni",1306
"ami",1305
" Wá",1304
"atn",1294
"imt",1282
"unk",1281
"iir",1271
"kaa",1264
"ir ",1257
"áin",1254
"uri",1253
"uju",1251
"i, ",1247
"suk",1244
"hik",1235
"r a",1227
"ma ",1225
"tui",1215
"rme",1215
"nan",1209
"iat",1199
"war",1199
"tru",1192
"énk",1190
"n n",1186
"nui",1185
" at",1185
"kic",1184
"Wái",1178
"jia",1171
"pén",1164
"tu ",1161
" aj",1161
"yi ",1161
"uru",1158
"kui",1158
"ame",1154
"isa",1146
"wak",1135
"rta",1132
"uch",1129
"uk ",1126
"tri",1121
"num",1110
" wi",1105
"nak",1104
"mas",1101
"-sh",1101
"i"" ",1098
"ais",1087
"ntu",1085
"nis",1083
"iin",1074
"i """,1073
"mar",1072
" su",1063
"sat",1062
"mat",1059
" ju",1044
"tra",1044
"ji.",1037
"taj",1033
"Nún",1029
""" t",1022
"iji",1020
"er ",1020
". A",1018
"ati",1014
"sur",1011
"úni",1010
"att",1003
"a i",1002
"ran",994
"ake",992
"chu",991
"tta",989
"stu",986
"a J",984
"e. ",983
"pru",977
"uke",972
"ke ",968
"u n",968
"waj",960
"pra",957
"kak",955
"enk",955
"a w",945
"jas",942
"iun",941
"a A",940
"mpr",939
"a T",935
"aan",931
"era",931
"ume",931
"a u",929
"me ",924
"aar",922
"iaw",921
"rar",921
" aw",919
"su ",919
"ik ",916
"ui.",915
"atr",905
"mun",900
"ris",899
"a s",892
"may",888
"iur",885
"aji",885
" we",884
"i p",884
"rka",878
" Yú",871
" uu",868
"mka",867
"uta",866
"iis",864
"pin",859
"us-",858
" je",856
"a p",854
"i J",853
" Ni",849
" um",848
"sai",844
" am",840
"ha,",838
" Ch",838
"tja",834
" Tá",820
"jea",816
"Yús",811
"wia",805
"m a",803
"jak",802
"rai",798
"i u",797
"uun",792
"sra",785
"mur",785
"itj",784
" ay",781
"i w",779
"mak",778
"at ",775
"yá ",774
"jin",765
"Nuy",765
"tiu",762
"tse",761
"um.",761
"aam",760
"Nii",757
"ruk",755
"aer",753
"i s",752
"a j",751
"ii ",749
" pa",748
"mtu",747
"Isr",746
"rae",746
"Uun",745
"kai",745
" Is",743
"Nu ",740
"imp",736
"aki",734
"uyá",733
"tam",726
"tik",724
"a W",722
"ani",720
"yaj",720
" Wi",718
" ji",716
"s a",714
"tun",713
"kiu",709
"rti",704
"wan",704
"iwi",704
"aen",703
"win",702
"n w",701
"er-",700
", n",697
" un",696
"nai",687
"hík",687
", t",683
"rut",677
"Tum",676
"har",674
"Chí",674
"sta",673
" ae",671
"Ant",669
"inc",668
"saw",668
" iw",668
"tki",667
"íki",665
"s n",660
"iui",660
"jau",659
" Kr",656
"auc",654
"ias",649
"aak",646
"i Y",645
"ru ",642
"iaj",636
"hir",633
"nin",633
"amn",630
" aa",626
"iri",625
"ser",620
"u t",619
"aik",619
"hma",617
"n i",615
"akm",614
"aj ",614
"ras",614
"n p",613
"itr",613
"rí ",612
"rís",610
"taw",609
"n T",606
"mu ",606
"ai,",604
"sun",603
"unc",602
"anm",601
" ma",599
"r n",598
"kma",596
"i T",596
"ira",595
"nii",595
" in",593
"n s",590
"naa",589
"pka",587
" né",584
"n u",583
"mti",582
"upk",582
" pe",582
"sna",579
"kun",578
"úsa",578
" Wa",576
"ets",574
"íst",573
"ts ",571
"u, ",569
"unu",567
"jus",566
"ast",561
"a y",560
"ek ",560
"tan",558
"Atu",557
" An",557
"nas",556
"ki ",555
"kur",552
"pen",551
"mni",550
"r-s",550
"a k",549
" At",549
"éka",547
"k a",547
"ena",547
"s-s",547
" Uu",546
"hu ",545
"m w",545
"rus",541
"m. ",539
"mir",539
"n Y",537
"sti",536
"Nú ",535
"rch",533
"uku",532
"i i",532
"ust",531
"úru",531
"m t",530
"msa",530
"rak",529
"Chi",528
" Ka",527
"ist",526
"mek",521
"aim",519
"ai""",519
"nék",518
"t t",518
" Ju",515
"aat",515
" et",515
"r t",514
"a U",509
"i j",509
"amp",509
"yam",506
" Ap",504
"ane",503
"hin",502
"yai",502
"amk",500
"i A",499
" át",499
"jan",498
"kra",497
"api",492
" ja",492
"men",491
"yas",490
"t a",489
" Ya",489
"jsa",488
"m p",487
"ju ",483
" uw",482
"uwe",480
"shm",479
"anu",479
"ium",478
"akr",477
"k t",477
"inm",471
"hat",468
"iaa",467
"mpi",465
"Win",465
"áit",465
"í n",464
"n W",462
"iru",461
"ku ",461
"m n",459
"s t",458
", a",458
"anc",457
" yu",456
"urm",456
"en ",455
"tji",454
"eam",454
". Y",453
" it",453
"asm",449
"a K",448
"arí",447
"n j",447
"akt",445
"Uch",444
"i U",444
"i k",441
"u p",441
" ar",440
". W",439
"tek",438
"sum",437
"u s",435
"k """,434
"kta",433
"a c",433
"uya",430
" áu",430
"s T",429
" Pa",427
"a á",425
"kru",425
"u T",423
"áuj",423
"wem",422
"nuk",421
"i m",419
"r E",419
"n e",418
"eru",417
"msh",416
"Kri",415
"uis",415
"nni",415
"kaj",415
"chm",415
"kit",415
"Nui",414
" ku",414
"kmi",411
"n á",410
"ua ",410
"urí",409
"itk",409
"jar",408
" Uc",403
"n J",403
"ars",401
", Y",401
"mam",401
"Shu",400
"Tut",400
"upi",398
"rui",398
"j t",398
"mja",398
" Jú",397
"is ",397
"unm",395
" Ná",395
"r w",395
"n, ",395
"yat",395
"sht",394
"nay",392
"áa ",391
"maj",391
" ""A",391
"nus",391
" wé",390
"kti",390
"í a",388
"apa",388
"atj",387
"iu ",384
"Nun",383
"rik",383
"Apa",380
"úsn",379
"u E",378
" uj",378
"éte",378
"nuj",377
"ria",375
"i y",374
"k n",374
"wek",372
" mé",371
"u u",370
"aun",370
"tma",370
"mét",370
" Ku",370
"air",369
"ánt",369
" en",368
"ikr",367
"i.""",367
"épr",367
"í s",366
"mes",363
"ums",362
"tka",361
"i E",361
"Pap",358
"pép",358
"paa",358
"a. ",358
"ukr",357
" se",355
"yay",354
"amj",353
"mna",351
"ema",350
"a E",349
"nké",347
"a P",346
"inn",346
"ear",346
"irk",346
"sak",345
"umk",345
" Pá",344
"a m",344
"par",343
"r Y",342
"ké ",341
"a I",340
"Unt",340
" Un",338
"sma",337
"sui",337
"ajs",335
"nea",335
"esh",333
"u Y",329
"áka",329
"Wi ",329
"rna",329
"Wak",328
"eri",327
"rij",327
"ur ",326
"eat",322
"s, ",322
" Yá",322
"krí",321
"n A",321
"r T",321
"iá ",321
"r p",320
". J",319
". K",319
"nu,",318
"ket",318
"r, ",318
", T",317
"its",316
"m, ",315
"í t",315
" Sh",313
"naj",313
"ti""",311
"atk",311
"iuk",311
"asu",310
"uti",310
"erk",310
" Sú",309
"upe",308
"i W",307
"urt",307
"u á",307
" ik",307
"tiá",306
"arn",305
"s E",305
"rni",304
". I",304
"Kuí",304
"r i",303
"íti",303
"irm",303
"mik",303
"n E",302
"ta.",302
" ac",301
"h a",301
"ska",300
"a """,299
"ams",299
"tim",297
" Ji",297
"k, ",297
"irí",296
"n y",296
"tme",296
"sru",294
"tuj",293
"i P",290
"kap",290
"ar,",290
"nat",289
" án",288
"Kam",287
"nuw",285
"uwa",285
"uít",285
"m j",284
"chk",284
"smi",283
"aje",282
"ksh",281
"nku",281
"i K",279
" Já",279
"umí",279
"ája",278
" uc",276
"m Y",276
"?"" ",276
"jam",276
"een",275
"áta",274
"hmi",274
"Ame",274
"n c",274
"rsh",273
"k T",272
"yan",272
"Nek",272
"ítr",272
"ása",271
"rsa",271
"s A",271
"ukm",270
"sja",269
" ""W",268
", A",268
" Ti",267
"tut",267
" ir",267
"aks",265
"i: ",265
"iya",264
"ajt",263
"jur",262
"u c",262
"m i",262
" Ts",261
"umn",261
" em",260
"hai",260
" Jí",260
"itn",259
"yau",258
"ukt",258
" Má",258
"sh ",258
"War",258
", i",257
"Táj",257
"úma",257
"hi ",256
"ims",256
"kac",255
"wi ",255
"s i",253
" ""ṡ",252
"atm",252
"eak",249
"haa",249
"ajn",249
"uji",248
"i N",247
"apr",247
" ""J",247
"maa",247
"jru",247
"r J",246
"jun",246
"rap",246
"arc",246
"e"" ",245
"itm",245
"h s",244
" me",243
"Krí",243
"jui",243
"a S",242
", J",242
"miá",242
"Yam",241
"pat",240
"ái ",240
"emp",240
"it ",240
"raw",239
"s p",238
"e, ",238
"."" ",237
"pac",237
"mí ",237
"Yái",237
" ás",235
"a C",235
"pea",233
"ius",233
"ta ",231
"e a",231
"k Y",231
"pni",230
" ár",230
"hit",229
"me""",229
"u i",229
"kim",228
"Ju ",228
"r c",228
"-Ch",228
"i c",227
" Mu",227
"s-C",227
" Ta",226
"kch",226
"sea",226
"aní",225
" ""Y",225
"aaw",225
"naw",225
" ap",224
"ajr",224
"ách",224
"áma",223
" uk",223
"s Y",223
"ump",223
"kri",222
"jii",222
"a e",221
"usk",221
"Pít",221
"ssh",220
"Ják",220
"upt",220
" Pí",220
" Am",219
"Aya",219
"uat",217
"iij",217
"wea",215
"sch",215
"íin",214
"Imi",214
" Ma",212
"Tun",212
"átu",211
"n k",211
": """,211
"rac",211
" im",211
"kum",211
", w",211
"Iis",210
"rtu",210
"tir",210
"u w",210
"aré",209
"ptu",209
"k p",207
"rín",206
"iua",206
"s s",206
"hti",206
"ní ",205
"Máa",205
"utm",205
"ámi",204
"jat",204
"yur",204
" Pi",203
"me,",203
"urc",203
"urk",202
"kka",202
"raj",202
"t n",202
"m e",201
"eta",200
"e t",200
"á n",199
"r u",199
"uts",198
"á a",198
"kin",197
"í Y",197
"u A",197
"eaj",197
"nnu",196
"aa ",196
" Ii",196
"a"" ",196
"""Wi",196
"has",196
"jma",195
"á, ",195
"s w",195
"árm",195
" Im",195
" Ká",194
"n N",194
"nem",194
" ""U",194
"kis",193
" ""N",193
"akk",193
"u j",193
"a M",192
"way",191
"ean",191
"r s",190
"áar",190
"ern",189
"ea ",189
"tch",188
"p. ",188
"uan",188
"ark",188
"ikt",187
"k i",187
"uár",186
"uik",186
"pia",186
"sut",186
"k w",186
"n S",186
"in,",185
"wit",184
"emt",184
"áti",184
"kay",184
" Se",184
"ti,",183
"u J",182
"amá",182
"hta",182
"pir",181
"tna",181
" mu",181
"uki",180
" ám",180
"Jer",179
"rén",179
", y",179
"t J",179
"Mui",179
"aaj",179
"nua",178
"k. ",177
"kus",177
"uná",177
"eaw",177
"um,",176
"Ni ",176
"sri",176
"Nus",175
"muk",175
"""Uu",175
"Tu ",174
"tne",174
"ikm",174
"náa",174
"ujm",173
"jap",172
"mji",172
"uuk",172
"Jíi",171
"m s",171
"eme",171
"i; ",171
" Sa",170
" is",170
"Nuk",169
"Jua",169
