"en ",15719
" ye",7799
" n ",7408
" i ",6492
" d ",5012
"ra ",4689
"an ",4487
"n a",4444
"ara",4039
" ar",3969
"n i",3814
"ell",3812
"na ",3788
"er ",3635
"di ",3568
" te",3546
" ɣe",3472
"akk",3459
"yen",3423
"sen",3370
"wen",3365
"Sid",3224
" yi",3179
"eț",3172
"a d",2916
" wa",2864
"eṛ",2852
"ebb",2850
" Si",2844
"̣eb",2830
"i d",2787
"n, ",2776
"en-",2752
" Ṛ",2750
"ad ",2683
"n d",2664
" a ",2631
"i t",2621
"ur ",2620
" ad",2586
"in ",2584
" le",2560
" ur",2538
"bbi",2504
"kke",2436
"aye",2421
" : ",2414
"Ṛe",2405
" s ",2384
" ne",2359
" ak",2347
"ken",2346
" d-",2331
"a y",2330
"d i",2294
"eɣ ",2250
"a n",2198
"n y",2158
"em ",2149
"̦ț",2055
"țt",2051
"ɣer",2045
"-d ",2042
"ṛe",2016
", a",2010
"n t",2010
"a t",1992
"a i",1980
"ḥe",1972
"d a",1951
"idi",1936
"en,",1929
"as ",1910
"-is",1908
"n l",1906
" im",1897
"a a",1895
" di",1885
"ame",1884
" wi",1884
"edd",1883
" we",1870
"nni",1868
" ț",1837
"ef ",1835
"nna",1825
"ṛa",1817
"̣en",1814
"enn",1809
"lla",1786
"-nn",1783
"i R",1769
"la ",1753
"̣ṛ",1742
"eg ",1735
"ṛ ",1730
"i i",1700
" am",1693
"bi ",1692
"n w",1691
"i, ",1688
"ni ",1679
"t n",1666
"ma ",1625
" de",1612
"-ț",1581
"agi",1580
"id ",1577
"ța",1559
"isa",1554
"r t",1551
"ɣef",1544
"deg",1532
"n n",1525
"eḥ",1523
" at",1514
" ta",1513
"ț-",1508
"mi ",1495
"ṛu",1480
"Ɛis",1462
" Ɛi",1461
"a, ",1455
"n s",1437
"sa ",1436
"emm",1428
"i a",1426
"n-i",1418
"ten",1415
"i g",1406
"ḍ ",1406
"aṭ",1403
", i",1399
"yel",1393
"d y",1366
" iw",1358
"ṛr",1357
"i y",1355
"iwe",1354
"̦-t",1348
" se",1346
"̣er",1344
"men",1340
"idn",1319
"dna",1318
"is ",1301
"aṛ",1297
"eɛn",1295
"wak",1290
"an-",1281
"ase",1275
"en.",1263
"man",1261
"ṭe",1249
"iḥ",1243
", y",1242
"i l",1241
"gi ",1241
"li ",1238
"eḍ",1238
"ɛna",1221
"mer",1220
"eqq",1218
"meɛ",1215
"al ",1213
"lli",1204
"ekk",1199
"d-i",1198
"neɣ",1193
"at ",1185
"lan",1184
"am ",1182
"-ya",1181
"a Ɛ",1167
"-as",1166
"ḥ ",1157
"iwa",1152
"ime",1149
" ay",1140
"ed ",1139
"m a",1136
"s, ",1129
"yas",1129
"uḥ",1123
"uṛ",1119
" dd",1103
"yes",1101
" ti",1098
"nen",1097
"d-y",1093
"awe",1091
"way",1080
"len",1080
"n S",1067
"egg",1065
"yet",1054
" ge",1047
"ima",1046
"sse",1045
"win",1041
"yiw",1030
" me",1029
"-ye",1024
"n u",1023
"emd",1021
"n ɣ",1020
"d l",1009
"-ag",1005
"wal",1004
"yer",1000
" ma",995
"qed",989
"iḍ",979
" ; ",963
"̣uh",963
"nt ",962
"a s",957
"id-",953
"a-y",942
"i n",939
"n-n",924
"i w",919
"kan",918
"̣ṭ",913
"nne",913
"ane",907
"i s",905
"den",905
"aț",904
"t-i",904
"xat",903
" nn",902
"ṭt",901
"dem",899
" is",895
"n :",892
"wid",892
"d n",883
"ess",883
"dan",880
"et ",879
"ɣen",872
"ɣ a",866
"lam",858
" lm",852
", t",851
"țe",847
" si",841
"ren",841
" da",839
"iṛ",838
" fe",835
"čc",834
"̌č",834
"s n",828
", d",826
"seg",825
"fel",825
"kk ",824
"mas",822
"ala",821
"asi",812
"s i",812
"t a",810
"ḍe",809
"ɣal",808
"iț",807
"iɣ ",806
"dde",801
"el ",798
"k-d",793
"kka",793
"ṛ-",791
"net",787
"din",786
"l-a",786
"t, ",784
"n-d",783
"s a",780
"si ",777
"yem",777
" t-",777
"rt ",776
"-ed",772
"it ",766
" cc",764
"ran",760
"ula",756
"aɣe",753
"-it",750
"ine",745
" tu",744
"sih",742
"s y",742
"-d-",736
"ll-",736
"̣ i",734
"̣ a",734
"nse",732
", m",726
"kk-",722
"d w",722
"kun",722
"̣, ",721
"ddu",720
"xed",720
" it",718
"țw",713
" yu",712
"ṭa",712
"sla",712
" Lm",709
" tm",709
"Lma",707
"es ",706
"ili",706
" iq",705
", u",698
"na-",696
"iqe",694
"ɣur",691
" ul",691
"̦wa",690
"r i",687
"s :",683
"r n",680
"dda",677
"mda",675
"t i",671
"bel",665
"esl",665
"mma",661
"un ",659
"ise",658
"ḥa",649
"g w",646
"a w",646
"n-a",642
"err",641
"lle",640
" ax",639
"-ns",637
"ern",635
"eǧ",634
"tet",632
"ama",631
"axa",630
"us ",630
"elm",630
"lma",629
"rna",628
"i ɣ",626
" ɣu",626
"lḥ",626
"ass",625
"ade",625
"țu",622
"-te",622
"-s ",620
"̣a ",619
" be",619
"daɣ",616
"d s",616
"wat",614
"an,",614
"ɛa ",609
"ila",605
"uɣa",604
"imi",604
"lem",603
"tem",602
"int",601
" lh",599
"yid",598
"s l",598
"lay",596
"ide",596
"da ",593
" ih",592
"l a",587
" wu",585
" ṛ",583
"nwe",582
"f w",581
"ura",579
"i u",577
"rra",577
"r y",573
