" ch",24033
"ts̈",22460
"ëng",21504
"nga",19493
"ana",17479
"ama",16929
"na ",16849
"nts",15783
"be ",13315
"ga ",13222
"a, ",13072
"a c",12864
"cha",11425
"s̈a",11195
"chë",10962
"ma ",9625
"hë ",9562
" Bë",9490
"ca ",9431
"ngb",9377
" ca",9030
"tse",8913
"ent",8400
"ñe ",8149
" y ",8071
" nd",8023
"jts",7573
"gbe",7554
"ang",7503
"a t",7444
"nÿe",7347
"jan",7193
"tsa",7049
"ëts",7039
"mna",6774
"oja",6394
" to",6173
"oye",5925
"ye ",5901
"ats",5882
"e c",5808
" ts",5637
", c",5325
"Bën",5315
" en",5245
"e B",4976
"moj",4972
"s̈e",4940
"a j",4913
"toj",4900
"a n",4800
"abe",4779
"nam",4777
"na,",4762
"ndo",4719
"a s",4709
"yën",4684
"Bët",4637
"ojt",4634
"aca",4554
"fta",4523
"mo ",4507
"yan",4460
"e t",4399
"ach",4269
"amo",4264
"ena",4261
"a y",4215
"nda",4175
"sem",4155
"̈an",4149
"tan",4129
"s̈ë",4087
"nan",4073
"soy",4070
"can",4025
" so",4024
"bua",4006
"oñe",3962
"doñ",3816
" s̈",3816
"ÿe ",3815
" mo",3774
"aya",3740
"emn",3681
"aft",3681
"tsá",3647
"och",3645
"̈e ",3601
" yo",3586
" jt",3542
"s̈m",3485
"man",3452
"cá ",3396
"jua",3346
"aye",3255
"gaf",3245
"nay",3211
" bë",3188
"ora",3187
" nt",3179
" nÿ",3173
"o c",3168
"anÿ",3157
"ma,",3115
"y c",3073
"á, ",3070
"̈mo",3043
"a. ",3029
"day",3013
" tm",2980
"a b",2979
"tmo",2977
"e b",2963
"Jes",2961
"á c",2961
"ets",2946
"inÿ",2941
", y",2890
"e s",2883
"chc",2882
"hca",2873
"omn",2866
"̈ën",2858
" ja",2815
"̈am",2806
"bia",2793
"ná ",2786
"mën",2772
"a m",2757
", n",2750
"e n",2749
"oyë",2731
"s̈b",2702
" Je",2698
"ána",2684
"jam",2682
"iam",2677
"ha ",2669
"iñe",2657
"a e",2636
"hën",2633
"tsc",2617
" ba",2603
"uab",2586
"e, ",2576
"mon",2559
"e j",2549
"nac",2532
"ham",2523
"nën",2523
"nja",2515
"ben",2488
"sá ",2450
"ma.",2448
"que",2432
"̈ab",2407
"han",2387
"na.",2378
" at",2378
"ján",2330
"sab",2328
"bio",2309
"uan",2295
"ÿet",2274
"ots",2266
"ë́n",2265
" ua",2253
"os̈",2244
"che",2229
"ont",2217
"s̈á",2164
"a o",2152
"bom",2147
"seb",2144
"ojá",2130
"sam",2129
"oca",2127
"ioy",2124
"sca",2114
"abá",2086
"á t",2083
"yoj",2069
" qu",2064
"cna",2058
"moc",2050
"boj",2033
" or",2024
"abn",2015
"onj",2000
"hab",1996
"chá",1993
"esú",1958
"sús",1958
"aná",1918
"tso",1907
"uam",1853
"ond",1847
"ca,",1843
"ayá",1826
"nÿa",1822
"gbi",1809
"uat",1807
"anë",1805
"e y",1800
"a i",1798
" im",1795
"ca.",1791
" ju",1782
"ro ",1780
"te ",1772
"ra ",1760
" bo",1757
" Ch",1756
"ayë",1756
"obe",1750
"cac",1750
"uen",1742
"bac",1740
"ngu",1723
"ebo",1711
"anj",1701
"imo",1694
"bna",1690
"tbo",1689
" tb",1687
"ero",1680
"san",1678
"bën",1641
"a; ",1636
"ús ",1626
"buá",1619
"abu",1617
"emp",1558
"tac",1548
"a: ",1543
"a a",1539
"bá ",1536
"e o",1526
"á y",1520
"uay",1517
"yen",1516
"e m",1509
"sën",1508
"amn",1493
"yá ",1481
"eng",1478
"mam",1476
"ban",1474
"̈bu",1467
"chi",1462
"eca",1462
"uac",1459
"s t",1453
"ema",1448
"hen",1448
"bët",1444
" te",1425
"ra,",1423
"e e",1417
"yeb",1414
"da ",1412
" co",1410
"mot",1397
"ant",1395
". C",1394
"uar",1393
"ëna",1386
"re ",1382
"ton",1374
"Chë",1370
"na:",1361
"cá,",1359
"ënt",1356
"beñ",1352
"eñe",1350
"́ng",1349
"ts ",1344
"ata",1334
"yec",1333
"ani",1333
"ano",1322
"amb",1316
"lua",1315
"pue",1309
" lu",1308
"ëse",1291
"ta ",1289
"ncá",1288
"á j",1287
"ga,",1281
"acn",1277
" pu",1276
"ách",1274
"e a",1266
"ndë",1262
"e u",1258
"uem",1257
"ëmb",1255
"tsë",1252
"o n",1247
" së",1245
"acá",1221
"hao",1203
"sha",1193
"áts",1189
"bon",1183
"tsi",1179
"yam",1178
"sen",1176
"ená",1176
"uiñ",1167
"ë b",1151
"á n",1151
"̈á ",1150
"jab",1150
" ma",1149
"a B",1149
"o t",1147
"ich",1144
"në́",1142
"tem",1142
" má",1139
"̈a ",1133
"ash",1126
"amë",1126
"abo",1123
"cua",1122
"ÿen",1108
"ás ",1104
"ebu",1098
"end",1092
"uer",1090
".  ",1088
", B",1085
"bos",1083
"s̈o",1082
"ert",1074
"bás",1064
"uác",1064
"em ",1060
