" un",6424
"un ",6283
"as ",6023
" vi",5335
"s, ",5194
" ka",4981
", k",4821
" sa",4694
"ja ",4131
" ne",4115
"et ",3859
" pa",3834
"iem",3300
" no",3283
"viņ",3058
"tie",3041
"Viņ",3020
"es ",2917
" Vi",2836
" ta",2769
"ies",2735
" ti",2692
"ai ",2540
"kas",2538
"s n",2436
" pi",2280
"u, ",2248
"iet",2235
"i, ",2215
" es",2151
" la",2143
"Un ",2137
"s p",2101
"iņš",2078
" at",2062
"ar ",2036
"s s",1993
"ien",1944
"pie",1943
" jū",1942
"us ",1941
"iev",1926
"iņa",1886
"is ",1875
"em ",1867
"am ",1861
"ņš ",1836
" ma",1815
"tu ",1814
"a, ",1774
"no ",1768
"ka ",1764
"ad ",1760
"ms ",1749
"m, ",1697
", u",1692
"vie",1692
"ūs ",1687
" ar",1685
"ie ",1672
"acī",1655
"s u",1649
"lai",1645
"man",1637
"jūs",1634
"Bet",1627
" ir",1612
"inā",1610
"sac",1610
"īja",1610
"s t",1591
"s a",1582
", t",1568
"vis",1566
"ums",1561
" to",1553
" kā",1516
"ās ",1508
"s v",1490
"iek",1489
"Die",1474
"ir ",1472
" Di",1442
" va",1401
"s d",1386
" be",1379
", b",1367
"ība",1366
"eva",1357
"sav",1353
"rie",1344
"dam",1339
"a v",1317
" tā",1295
"āja",1293
" da",1293
"iņu",1287
"s i",1267
"cīj",1261
" pr",1253
"a t",1230
"jum",1227
"ija",1222
"bet",1218
" ie",1208
"bij",1206
", l",1205
"tas",1202
"va ",1191
" ci",1187
"s m",1177
"lie",1174
" uz",1170
" iz",1164
"par",1134
" dz",1124
"arī",1115
" bi",1106
"kā ",1103
"ēja",1075
"stī",1046
"iņi",1045
"evi",1045
"to ",1037
" ga",1016
"a p",1012
"stu",1009
" ap",1002
" Jē",990
"ā, ",986
"n v",984
", j",980
"Jēz",972
"aud",972
" ju",969
"n t",965
"su ",964
" ko",958
"dzi",954
"sie",948
"ris",946
"u p",946
"ņu ",939
"ais",937
"ēzu",916
"t, ",913
", s",911
"ņa ",909
"edz",909
"nie",904
"dar",894
"šan",888
"s b",882
"vai",881
"die",872
" tu",863
"dzī",859
" mā",851
", n",845
"tā ",844
"n s",844
"os ",842
"ams",826
"pri",822
"ko ",819
"a s",817
" ja",816
"s j",815
"ist",812
"a: ",811
"pat",811
"zus",810
"a u",810
" li",809
"esa",804
"em,",795
"mie",794
"nāj",791
"u u",790
"ņam",784
"tik",782
"i n",780
" di",763
"as,",759
" na",748
"ana",745
"ung",744
"rī ",739
" st",731
"u n",720
"n n",720
"jie",720
"i t",717
"s l",716
" mi",715
"ību",715
"din",714
"vu ",713
"aiz",708
"ēs ",702
"u s",700
"ja:",698
"ts ",697
" jo",696
"est",696
"is,",695
"jo ",694
"bas",693
"a n",693
" Ku",690
"eti",689
"uši",688
" mē",680
"ārd",679
"Kun",675
" mū",674
"ūsu",673
"tic",672
"si ",671
"stā",671
"a m",668
"t t",667
"pār",667
"pēc",667
"ani",666
", p",663
"iec",661
"a d",659
" gr",659
"tai",655
"tīb",655
"i s",654
"māc",654
"nes",652
"gāj",651
" si",647
"dzē",645
"ām ",644
" pā",644
"o t",642
" se",640
"ami",639
"nāt",638
"zin",636
" vā",631
"ird",631
"tāj",629
"red",628
"Jo ",627
"s k",625
"vēt",624
"vār",620
"ns ",618
"avu",618
"na ",618
"jis",615
" de",615
"a a",609
", v",606
"pil",604
"i p",603
"ībā",600
"tad",599
"īgi",597
" te",596
" ku",595
"u t",594
"ēc ",589
" br",586
"ļau",586
"u v",585
"i u",580
" nā",580
"Kri",579
" ai",579
" bū",578
" ba",576
"m: ",576
" Kr",575
"ied",574
"ņi ",573
"ilv",573
"sau",569
"nāk",568
"lvē",568
"iel",567
"ni ",562
"vēk",562
"cil",561
"kal",561
"ild",557
"dēj",556
"at ",555
"cīb",554
"cin",550
"mēs",549
" re",548
"n p",546
"aug",546
"r t",544
" sv",543
"us,",542
"nas",542
"udz",539
"jās",539
"līd",538
" au",537
"zīv",537
"ks ",536
"a V",536
"o v",535
"īdz",532
"sak",532
"t k",530
"a k",527
"s g",526
"atr",526
"es,",526
"n k",523
"u d",522
"ava",521
"nu ",519
"s e",519
"ņie",518
"am,",518
"tos",514
"uz ",513
"i a",509
"oti",507
"m u",507
"lab",504
"dz ",503
"sta",501
"i v",501
"n a",500
"tus",498
"ta ",494
"u m",494
"cie",494
"kur",492
"ika",492
"esi",490
"ti ",489
"an ",488
"ati",487
"mūs",485
"u a",484
"ju ",482
"vēl",481
"kam",480
"unā",480
"; u",478
"m s",478
", a",478
"īda",477
"ra ",476
"s r",475
"m p",475
", i",474
"ši ",474
"ur ",473
"nāc",473
" lī",472
"kst",472
"Tad",471
"n V",471
"aut",469
"ens",466
"kād",464
" ļa",463
"t p",462
"kad",461
"i m",460
"nav",458
"āji",457
"zem",456
"ena",456
" dē",454
"da ",453
"o, ",453
"ā a",453
"ja,",451
"bu ",451
"aun",449
"t v",447
"lik",447
"tam",446
"ne ",442
"var",441
"ara",440
"tra",440
" vē",440
" mu",439
"ska",438
"esm",438
"nev",438
"run",437
" ra",436
"avi",435
"rs ",433
"ieš",432
"pas",430
"isi",430
"ba ",428
"t n",428
"mu ",428
"gri",427
"s c",427
"āju",426
"ms,",426
" lū",425
"enā",425
"vi ",424
"icī",424
"sti",421
"n d",420
"aus",420
" zi",420
"udi",420
"āpē",418
"rau",415
"īs ",413
"tīt",411
"esī",410
"tev",409
"s: ",407
"ekš",407
"nek",407
"vs ",403
"e, ",403
"ds ",399
"av ",398
"aks",397
"oja",397
"jau",396
"r v",395
"svē",394
"o m",390
"ma ",388
"ina",388
"ku ",388
"ca ",388
"du ",387
"i i",387
"ācī",386
" ce",385
"sas",384
"zir",384
"s z",383
"ini",383
" ze",382
"tei",381
"r m",380
"m n",380
"avā",377
"tās",376
"isu",376
"ats",375
"ari",372
"dau",372
"tur",370
"n m",369
"būt",369
" do",367
"ici",366
"gi ",366
"bes",366
"juš",365
"zie",364
"o s",363
"ā u",363
"āda",361
" kr",361
"cīd",359
" ru",359
"val",359
"jas",358
"evs",358
"ā p",357
"o d",356
"ga ",356
"ast",356
"a D",356
"ā s",356
"ēda",355
"grē",355
": K",355
"āca",355
", m",355
"o j",355
"ali",353
"ebe",353
"a b",351
"t s",350
"pra",348
"mum",348
"net",347
"a l",346
"eri",346
"tīj",346
"not",345
"a i",345
"aul",345
"š t",343
"r s",343
"nep",343
"ru ",342
"kum",342
"ņem",341
"alp",340
"gar",340
"anā",340
"arā",338
"cit",338
"jam",338
"t m",336
"ter",334
"i j",334
"pre",334
"dev",333
" sl",332
"āk ",332
"brā",331
"ā n",331
"god",331
"ekļ",330
"tu,",329
"umu",329
"īga",329
"rād",328
"sev",328
" tr",328
"lau",327
"os,",325
"izg",325
"asa",325
"gs ",324
"dēļ",323
"ūtu",323
"ngs",322
" pē",322
" mī",322
"kai",322
"rak",320
"mir",320
"zgā",319
"als",318
"Es ",318
"eme",317
"deb",317
" Un",315
" ve",315
"isn",315
"nīg",315
"atb",315
"nai",315
"o p",315
"ās,",314
"t a",314
"kat",313
"ūdz",312
"ā t",312
"bu,",312
"k, ",311
"vēr",311
"āt ",311
"zēj",310
"a j",310
"nis",310
"aps",310
"ret",310
"smu",310
"am:",310
"evu",309
"cek",309
"ēji",308
"nā ",308
"vas",306
"nās",305
"ev ",304
"šu ",304
"ēla",303
"ēju",303
"irs",303
"eci",302
"les",302
"ā v",302
"būs",302
"aid",301
"ēka",300
" Ta",300
"s. ",300
"kie",299
"m v",299
"aba",298
"eic",298
"ts,",298
"dīj",297
"mi ",297
"bil",296
" vī",296
"it ",296
"t j",296
"s K",295
"ama",295
"īju",295
"u k",295
"mīl",295
"i b",292
"mēr",291
"ekā",291
"ils",290
"to,",289
"nga",287
"r p",287
"ieg",286
"m t",286
"i d",284
"usi",283
"īvo",283
"Vai",283
"las",283
"ier",282
"pal",282
"dot",282
"vil",282
"ēli",281
"paz",281
"s; ",280
" Ga",280
"eli",280
" sp",280
"sat",280
"tbi",279
"sir",279
"āvi",278
"nos",278
"et,",278
"u b",277
"s V",277
" bē",277
"mes",277
"anu",276
"ņēm",276
"pir",276
"iku",276
"is.",275
"š s",275
" go",275
"tīg",275
"spē",275
"ām,",274
"n j",274
"o n",273
"n i",273
"tav",273
"u l",273
"vā ",272
"arb",272
"īst",271
"u g",271
"ldē",271
"īgs",270
"em.",270
"air",270
" Tu",270
", e",270
"rēk",269
"ie,",269
"cis",268
"ri ",267
"ajā",267
"rdē",267
"Tēv",267
" dr",267
"lis",266
"āce",266
"rāt",265
"bā ",265
"atn",264
"n, ",264
"i k",264
"īji",263
"a J",262
"ājā",262
"iks",262
"nam",262
" Tē",262
"nea",261
"kār",261
"rad",260
"dza",260
"Tu ",260
"auc",259
"lūd",259
"aga",259
"m d",259
"d v",258
"nām",258
"m a",257
"brī",257
"neb",256
"gad",256
"ēls",255
"prā",255
"Tāp",254
"aru",253
"o k",253
"īts",253
"u i",253
"jā ",253
" ro",253
"ēku",252
"dze",251
"cīt",251
" me",251
"ekl",251
"rāļ",250
"āka",250
"nī ",250
"eka",249
"eiz",249
"snī",248
"ls ",247
"smi",247
"odi",247
"lēj",247
"ītā",247
"gai",247
"agā",246
"rib",246
"a g",246
"žēl",246
"irm",245
"ust",245
"sūt",245
"mit",244
"Ja ",244
"ūtī",243
"šie",243
"o e",242
"āds",242
"ras",241
"aji",241
"kri",241
" kl",241
"as.",241
"s D",240
" Dē",240
"anī",240
"ļie",240
"ā d",240
"atk",240
"ugs",239
"ald",239
"cēl",239
"ēl ",239
"rīb",239
"m b",238
"slu",238
"im ",238
"rok",238
"gal",237
"dus",236
"Dēl",235
"jām",235
"rus",235
"ēta",235
"kļi",235
"bai",234
"ldī",234
", d",234
"eru",234
"ējā",234
" jā",234
"ā m",234
"sa ",233
"tnā",232
"š, ",232
"lud",232
"div",231
"rdu",231
"gs,",231
"ūk,",230
"ikt",230
"vam",230
"aku",229
"gan",229
" ši",229
"aka",227
"ērn",227
"nīb",227
"māj",226
"gst",225
"rā ",225
"ētu",225
"a c",224
"enu",224
"cel",223
"kšā",223
"d t",223
"e s",223
"uma",222
"u e",222
"i e",222
"rai",222
"iju",221
"ste",221
"n l",221
" sk",221
"ņš,",220
"das",220
"a e",218
"tau",218
"ot ",218
"ai,",218
"esā",217
" Be",217
"o a",216
" kļ",216
"mai",216
"sim",216
"tan",215
"dā ",215
"dīt",215
"rav",215
" sū",215
"t u",215
"ši,",215
"ūda",214
"pad",214
"ēr ",214
"nīc",214
"cīg",214
"mi,",213
"eki",213
"era",212
"nāv",211
" šī",211
"āti",210
"kļu",210
"bēr",208
" tē",207
"ned",207
"aja",207
"pag",207
"līb",207
"ita",207
"āta",206
"ādī",206
"em:",206
"īša",206
"ss ",205
"r a",205
" sā",205
"ize",205
"tād",205
"āku",204
"sēt",204
"ā k",204
"us.",203
"ījā",203
" Va",203
"m m",203
"i: ",202
"dīs",202
"apg",202
"dīb",202
" šo",202
"š i",201
"n e",201
"u: ",201
"sap",200
"r n",200
"oda",200
"bal",200
"āni",200
