"ir ",24107
" ir",23876
" pa",21516
"as ",18847
" ka",18149
"s, ",17631
"is ",15359
"vo ",15018
"us ",14791
" ta",14777
", k",14541
" ne",14414
"ai ",12306
" iš",11540
"s i",10373
"avo",10208
"os ",10150
"ieš",9856
" sa",9534
" su",9209
"pat",8834
" ma",8557
" pr",8235
"s p",8189
" vi",8119
"jo ",7914
"ie ",7877
"pas",7627
"Vie",7473
"špa",7470
" ku",7429
"ešp",7407
"ali",7295
"uri",7292
"aus",7146
" nu",7029
"no ",6954
"iau",6938
" at",6927
"man",6927
"kur",6823
"i, ",6564
"s s",6559
"ats",6501
"es ",6482
" ji",6422
"ies",6307
"tai",6250
" Vi",6218
" va",6144
"sav",6115
"auk",6011
"s t",5950
" bu",5947
"pri",5886
"kar",5749
"kai",5688
"ti ",5631
"rie",5611
"s a",5589
"sak",5574
"s n",5534
"tie",5406
"e, ",5379
"eli",5370
"aip",5339
"au ",5329
" da",5321
"uos",5294
"asi",5275
"ien",5252
"o, ",5071
"o s",4998
"usi",4985
"ip ",4977
"vis",4953
"o p",4867
": “",4832
"ius",4831
"as,",4825
"ėjo",4799
"ara",4708
"ą, ",4708
", n",4679
" į ",4668
"iš ",4643
"te ",4635
"ais",4632
"iev",4578
"o k",4552
"s k",4533
", i",4450
"iai",4440
"tar",4438
"ite",4435
"ių ",4434
"kad",4410
"kit",4407
"siu",4370
"mas",4331
"tų ",4288
"buv",4287
"o t",4277
"ms ",4277
"tin",4265
"ės ",4243
"ad ",4229
"sta",4226
" jo",4193
"ati",4176
"s j",4171
"Die",4161
"us,",4161
" ju",4148
"dar",4139
"nes",4097
"ano",4089
"aik",4087
"si ",4038
"uvo",4037
"vie",4003
"ini",3942
" Di",3917
"ris",3913
"ų, ",3901
"lia",3886
"tas",3843
"ama",3827
"s d",3751
"ei ",3712
"kal",3709
"ada",3690
"ral",3660
"jie",3658
"s v",3649
", t",3643
"nuo",3629
"s m",3617
"isi",3612
"nas",3601
"i i",3564
"su ",3539
"liu",3524
"jų ",3522
"o v",3517
"čia",3516
"s b",3504
"ant",3499
"io ",3494
"iki",3458
" ga",3451
"tav",3444
"ink",3435
"lai",3414
"o i",3413
"Jis",3406
"ina",3393
"eis",3368
"ven",3364
", p",3355
"iu ",3348
"dži",3345
"gal",3325
"tau",3319
"pra",3310
" ap",3302
" di",3297
"nus",3288
" au",3275
"i p",3271
"yra",3229
"ra ",3214
" be",3207
" ši",3207
"int",3181
"vas",3178
" tu",3176
" už",3161
"kas",3159
" te",3138
"lau",3109
"min",3076
"o n",3073
"imi",3064
"vai",3026
"iek",3015
" mi",3015
"Aš ",2990
"sūn",2974
"uo ",2968
"ran",2962
" sū",2952
"r p",2941
"tei",2929
"ko ",2899
"a, ",2896
" me",2879
" la",2868
" Ji",2845
"u, ",2820
"et ",2804
"to ",2773
"gyv",2766
"i s",2760
", j",2759
" ja",2750
"ęs ",2737
"die",2722
"aut",2722
"sų ",2702
"nam",2698
" na",2685
", s",2679
"ael",2676
"o d",2675
"o a",2664
"dam",2661
"ino",2658
"o m",2654
"rae",2652
" Jo",2638
"r j",2636
"var",2629
"tur",2606
" gy",2605
"ai,",2587
"zra",2579
"pal",2574
"tik",2574
"ą i",2573
"r n",2564
" ra",2564
"ena",2556
"is,",2547
"nti",2535
" jū",2531
"iem",2529
"ė: ",2528
" yr",2518
"oje",2503
" vy",2474
" Ta",2454
"ts ",2451
"ų i",2446
"žmo",2443
"aug",2441
"tą ",2438
" du",2431
"arė",2423
"mon",2423
", b",2415
"je ",2406
"ui ",2399
" ki",2398
" žm",2394
"ent",2392
" jų",2388
"juo",2382
"ūsų",2382
", a",2381
"imt",2381
"jis",2368
"ia ",2358
"kel",2351
"s g",2346
"lio",2346
"s. ",2335
"i t",2331
"jau",2329
" pe",2328
"e p",2308
"ria",2290
"bus",2289
"ems",2278
"ėl ",2277
"toj",2273
"i k",2269
"kin",2268
" ti",2248
" an",2230
"e i",2223
"sti",2220
"am ",2216
"r t",2207
