"ˈn ",19762
" ky",18924
"uˈn",15472
"n t",14136
"in ",12727
" tu",10898
"il ",9491
"bˈi",9001
" te",8829
"tuˈ",8643
" ex",6763
"tzi",6527
"te ",6421
" tz",6418
" to",6413
"j t",6401
"ex ",6239
"n k",6024
"jun",5950
"a t",5918
"aj ",5886
"n, ",5833
"iˈn",5818
"jo ",5781
"l t",5779
"chi",5616
" ju",5589
" ti",5505
", a",5274
"toj",5147
", e",5146
"bˈa",5072
"tiˈ",4932
"tza",4774
"oj ",4739
"iˈj",4717
"ˈin",4707
" a ",4598
"ˈil",4309
" bˈ",4208
" tk",4192
"un ",4176
"taq",4033
"x t",4024
", t",3975
"l, ",3947
"ˈ t",3904
"ios",3811
"Dio",3758
" Di",3714
"aq ",3626
"kya",3616
"iky",3569
"zin",3560
"kye",3452
" ch",3440
"ˈaj",3375
"kyi",3375
"aˈn",3320
"e t",3314
" ma",3313
"xi ",3309
" qa",3267
"nim",3191
"jal",3167
" tq",3099
"ˈn,",3047
"qil",2934
"eˈ ",2906
"utz",2872
" qˈ",2815
"lin",2812
"bˈ ",2807
"ˈj ",2792
"tqˈ",2769
"l k",2758
"wut",2746
"qˈo",2742
"q t",2707
"oˈn",2705
"kˈa",2686
"qˈm",2669
"tz ",2668
"xja",2663
"hi ",2663
"aqˈ",2663
"ˈma",2651
", q",2625
"qa ",2608
"a, ",2593
"ukˈ",2543
"j k",2522
"nch",2521
"etz",2502
" ja",2497
" tx",2484
" at",2456
"txˈ",2437
"yaq",2427
"n q",2411
" Je",2409
"ubˈ",2406
"aqi",2400
"ani",2393
"el ",2377
"ma ",2373
"zaj",2372
"tzˈ",2363
"yol",2348
"a n",2335
"kub",2318
"ntz",2314
" we",2306
"al ",2303
"il,",2272
" tw",2251
"iˈ ",2244
"ziˈ",2240
" ta",2235
"Jes",2215
"o t",2199
"eˈn",2192
"n n",2187
"maˈ",2185
"ˈa ",2172
" ik",2170
"i t",2162
"Ex ",2158
"jil",2135
"jaw",2132
"x k",2130
"ok ",2098
"tze",2096
"nku",2060
"ibˈ",2041
"esú",2027
"sús",2027
"jjo",2003
"zeˈ",2001
" ni",1999
"kyj",1992
"iˈy",1992
"kyx",1990
"ix ",1982
"xix",1980
" ny",1969
"bˈe",1968
" ku",1964
"teˈ",1961
"s, ",1938
"ˈy ",1936
"ku ",1929
"tky",1925
" xi",1917
"la ",1910
"t‑x",1890
"twu",1885
" t‑",1876
" mi",1875
"hin",1871
"a k",1856
"kyˈ",1815
"quˈ",1813
"ˈ k",1810
"ˈoˈ",1768
" no",1751
"int",1748
"in,",1744
"n j",1725
"qˈi",1704
"noq",1699
"ant",1697
"kyu",1692
" qu",1691
"ntl",1690
"yeˈ",1684
" xj",1668
"nin",1664
", n",1664
"e k",1662
"nya",1661
"ye ",1659
"tbˈ",1658
"o, ",1649
"aw ",1646
"y, ",1645
"n a",1632
" aj",1630
"qan",1627
"mil",1627
" tb",1627
"j, ",1616
" ka",1615
"ˈx ",1615
" tt",1613
"os ",1611
"i k",1600
" tn",1598
"Me ",1597
"ya ",1581
"x n",1566
"an ",1559
" ay",1547
"e, ",1546
"ˈnk",1542
"oq ",1537
"min",1530
" nt",1519
"tuk",1516
"kyk",1506
"ˈ, ",1496
"n m",1496
"luˈ",1490
"yiˈ",1467
"uˈj",1462
"aˈ ",1462
"ˈeˈ",1452
"ˈan",1447
", m",1444
"nil",1441
"a a",1439
"ˈnt",1439
"sin",1438
"eˈx",1420
"imi",1416
"abˈ",1415
"eˈy",1385
"l n",1370
" an",1364
" ok",1362
"kyn",1348
"nte",1320
"ila",1311
"ljo",1307
"ol ",1307
"ja ",1298
"y t",1286
"n D",1282
"n i",1271
"atz",1268
"l q",1245
"s t",1238
"e j",1235
"e a",1233
"x a",1232
"xjo",1228
" il",1218
"kˈu",1218
"kaw",1214
"z t",1213
"os,",1210
" nc",1206
"lil",1183
"ej ",1182
"kyq",1171
"tok",1169
"yuˈ",1165
"t t",1155
"inc",1153
"n w",1149
"ˈtz",1142
"ˈuˈ",1135
"e n",1132
"jaˈ",1132
"jbˈ",1128
"tl ",1124
" Ex",1120
"otx",1112
"Tuˈ",1112
"ˈiˈ",1112
"jo,",1111
"ˈot",1101
"Quˈ",1095
"aja",1093
"aˈl",1093
"l D",1091
"aye",1090
" me",1087
"wen",1076
"kˈw",1071
"k t",1070
"ybˈ",1064
"jiˈ",1062
"xˈo",1057
" na",1056
" i ",1054
"yjo",1053
"eji",1051
"ˈja",1048
". E",1047
"n x",1046
"kyt",1045
"il.",1044
"chˈ",1040
"maj",1040
"oli",1039
"alu",1039
" nq",1030
"a m",1029
"j q",1025
" kˈ",1022
"nti",1022
"ús ",1021
"x i",1016
"at ",1010
"wbˈ",1009
"taj",1008
"unt",1007
"weˈ",1007
"ala",1005
"nxi",998
"ilj",995
"ˈn.",978
"ˈ n",978
"e q",976
"en ",973
"ˈjj",972
"niˈ",961
" lo",952
"yqˈ",950
"nqˈ",948
"aˈy",943
"xsi",940
" yo",931
"ttz",930
"ˈy,",930
"kyb",928
"aji",923
" Ju",922
", k",922
"win",921
"yni",915
"n J",913
"ˈbˈ",911
"‑xi",906
"qˈa",903
"a q",899
"ij ",895
"pin",889
"jni",887
"laˈ",879
"tkˈ",875
", b",870
"nej",870
" nk",866
"naq",865
"xol",865
"i n",857
"o k",855
"n. ",852
"yin",851
"ˈij",847
"ˈaq",846
" tj",845
"n: ",843
"yja",836
"ajl",835
"ilx",833
"nbˈ",832
"yet",830
"yxo",821
"hˈi",821
"qˈt",820
"wiˈ",817
"ˈj,",810
"bˈl",806
"ytz",803
"a j",798
"tku",797
"yaj",796
"l. ",795
"ˈwa",789
"le ",788
"ajx",787
"im ",786
"ris",784
"xna",782
"itz",778
"yim",772
"ten",771
"al,",767
"naj",764
"j j",763
"pet",760
"x j",758
"ˈn:",756
"ojt",753
"ˈl ",753
"okl",753
" qe",752
"mi ",750
"zˈa",747
"tej",739
"ˈli",738
"xiˈ",737
"Man",735
"wal",734
"l a",734
"yib",731
". M",726
"x q",722
"awi",721
"lbˈ",719
"inx",719
"kˈi",718
"tna",716
"kli",716
"naˈ",713
"in.",710
"j n",708
"iy ",708
"nta",708
"laj",702
"tja",696
"xel",695
"x x",692
", i",690
" wu",689
"Atz",687
"xta",687
"inq",687
" oj",686
"nik",686
"a c",686
" Me",685
"l T",685
"me ",683
" qM",682
"qMa",682
"kaˈ",681
"q k",678
"man",675
"awb",671
"nmi",670
" jn",669
" aˈ",669
" Ty",666
"anm",666
"ist",665
" o ",665
"tla",663
"ja,",662
"ˈaˈ",662
"Jud",661
"Tyo",659
"yuk",658
". T",655
"txi",654
"k k",652
"aˈj",650
"n b",645
"o n",643
"s k",641
"kyw",640
"ajb",635
"os.",635
"zal",634
"kan",632
"npe",632
" wi",631
"imx",630
"jtz",628
"a w",628
"qe ",626
"nji",626
"zaq",625
"kyo",623
"u t",621
"l j",615
"ˈiy",615
" Tu",614
"mbˈ",614
"ˈnp",613
"x m",610
"it ",605
"tib",604
"ojj",602
"nx ",601
" wa",601
"ˈyi",600
"i q",597
"ˈji",596
" n‑",595
"wil",593
"qo ",592
" ot",590
"kux",590
"tzb",582
"zbˈ",582
"tka",581
"ota",580
"kx ",579
"unx",578
"za ",577
"txe",571
"aku",571
"qiˈ",571
", j",568
"ili",568
"la,",566
"n o",565
"jtx",561
"yky",561
"umi",560
" ty",559
"a o",557
"Aja",556
"e J",552
"tzx",551
"o a",550
"tal",549
"ˈni",548
"udi",546
"ich",544
"ul ",542
"diy",542
"o q",540
" kx",540
"e m",534
"jli",532
" pa",531
"hiˈ",527
". Q",527
"ayi",527
"imb",527
"yil",526
"t, ",525
"ina",524
"qˈu",524
"l m",523
"ˈe ",521
"tan",521
"ile",521
"qˈn",519
"a i",518
"kuj",517
" qo",515
"a. ",514
"exs",513
"tum",513
"zˈi",511
"i b",511
"jin",509
"nqi",508
" nx",507
" it",506
"x, ",506
" Tk",506
"l w",505
" nb",505
"te,",504
"mix",501
"qet",499
"tqa",497
"ˈ q",497
"qal",493
"x b",493
"ús,",492
"ˈj.",492
"jan",490
"kxe",489
"ajt",488
"i o",488
" ic",487
"yek",484
"x o",482
"ˈuq",481
"an,",479
"tta",478
"o j",478
" Qu",477
"ykˈ",477
"lte",477
"ywu",476
"yaˈ",476
"xe ",474
"kch",473
"net",473
"yij",473
"ˈ a",472
"nju",471
"nky",471
"txq",470
" ak",470
"ˈel",470
" lu",469
" Cr",469
"til",468
" kc",467
"j J",467
". A",465
"obˈ",465
"tne",465
"yˈi",465
"xqa",464
"nam",462
"Cri",460
"x w",457
" tc",453
"liˈ",452
"yok",452
"tch",450
" Pa",449
"unj",448
"ilt",445
"e: ",445
"nqe",445
", c",443
"et ",443
"Tbˈ",442
"sbˈ",441
"a b",441
"ipi",440
"iy,",439
"l x",437
"ekˈ",436
"nt ",435
"t j",431
"xa ",429
"t k",429
"xˈ ",426
"Ma ",425
"eta",424
"miˈ",423
"m t",420
"okx",420
"i x",417
"yxj",414
"ali",414
"i j",410
"olb",410
"hwi",410
"aj,",409
"hil",408
", o",408
"n y",408
"ane",408
"jxi",406
"n c",405
" mo",405
"e D",404
"waˈ",404
" qi",403
"‑el",402
"zˈe",401
"tni",399
"chw",399
"‑ok",398
": A",397
"inj",397
"lo,",396
" nl",395
"ajj",394
"na ",393
"ink",393
"a J",392
" el",391
"ˈ j",389
"zˈo",388
"paj",388
"ˈoj",387
"z, ",386
"o l",386
"ˈy.",385
"ine",384
"ˈok",382
"kab",381
"am ",379
"che",379
"ola",379
"l i",378
"mxi",377
"yan",377
"bˈj",377
"ych",377
"ltz",376
" tp",374
" qy",374
"Iky",373
"s. ",372
"ˈwi",372
"ˈ i",372
" li",372
"ttx",371
"nxj",369
"qˈw",369
"n e",369
"eˈ,",368
"‑xn",368
"yka",368
"zma",367
"i c",367
", x",367
"qbˈ",367
"ont",366
"ˈnx",365
"nab",365
"xˈ,",364
"on ",361
"ˈet",361
"kyc",361
"nla",361
"tzj",360
"je ",359
"y k",359
" qk",358
"n T",358
"lay",358
"j. ",357
"xbˈ",357
" qA",356
"qAj",356
"l l",355
"j a",354
" qx",354
"yoˈ",351
"ata",350
"en,",350
"Xja",347
"j T",347
"yxi",346
"tz,",346
" Xj",345
"ay ",344
"zil",344
"zxi",344
"ax ",342
"m, ",341
"tzm",340
"oki",339
"ktz",339
"ite",338
"tzu",337
"ja.",337
"qle",336
" At",336
"zjo",335
"ˈal",335
"tel",334
"yna",334
" k‑",333
" qn",333
"aˈb",332
"za,",331
"qya",331
"j X",329
" aq",328
"ˈ x",327
"yˈ ",326
"ˈta",325
