" te",85660
"te ",76227
"nga",67348
" ki",61087
"ki ",58517
"a k",56304
"i t",55807
" i ",55422
"ga ",47635
" a ",44379
" ka",44167
"a, ",42235
" ta",41233
" ko",40818
" e ",38261
"a t",36965
"na ",36030
"i a",35858
"ia ",33839
" wh",33315
"a i",30509
"wha",30479
" ra",30252
"a a",30126
" ma",29622
"aka",29611
"tou",29022
" o ",28845
" ng",28629
"o t",27712
"e t",26879
", k",26790
"ato",25646
"ana",25498
"ka ",25204
" an",24680
"a m",24641
" me",23827
"hak",23702
"e k",23390
" to",23341
"ou ",23136
"ang",22522
"ua ",21454
"ai ",20953
"ei ",20818
" he",19860
"ahi",19796
"aha",19587
"i k",19106
"e w",18354
"ea ",18010
"ara",17878
"au ",17863
"e a",17619
" ho",17586
" ia",17454
"ata",17434
"a r",17256
"a h",17143
"ra ",16800
"e m",16384
"mea",16129
"a e",16112
"re ",16048
"ko ",15902
"hi ",15739
"i, ",15573
"rat",15297
"no ",15066
"a o",14566
"nei",14453
"a w",14277
"oki",13972
"tan",13873
"he ",13849
"u k",13401
" ah",13265
"i i",13217
"hok",13134
"e h",12990
"ta ",12781
"i r",12752
"atu",12632
"ama",12612
"ona",12544
"u, ",12264
"hau",12087
"i n",11585
" Ih",11511
"e r",11447
"tah",11440
"ano",11419
"e i",11153
"ere",10750
"a n",10707
" wa",10651
"ore",10612
" ha",10233
"ing",10195
"tu ",10188
"o n",10184
"har",10083
"kat",9822
", a",9422
"u i",9402
"ma ",9390
"i m",9334
"ung",9238
" mo",9192
" ai",9111
"i o",9031
"u t",9016
" pa",9015
"ton",8784
"kor",8764
"mat",8758
"o k",8655
"aro",8605
"oa ",8594
"kia",8462
"to ",8420
"u a",8294
"kah",8091
"gat",8023
"ran",8002
"ari",7988
"e p",7980
"kou",7974
", i",7921
"a p",7747
"o a",7720
"uto",7700
"ira",7696
"tua",7694
" at",7643
"e, ",7623
", e",7590
" ku",7589
"out",7508
"ku ",7434
"koe",7383
"i h",7382
"o i",7377
", h",7358
"a I",7342
" no",7206
"mai",7186
"e n",7174
"ro ",7151
"tau",6952
"owa",6933
"ene",6932
"ngi",6920
"how",6881
"Iho",6879
"me ",6872
"Na ",6854
"i w",6831
" tu",6707
"toa",6635
"o r",6595
" ri",6562
"aua",6538
"ten",6448
"tam",6389
"kau",6312
"iti",6305
"kar",6193
"oto",6163
"ri ",6149
"kin",6113
"i e",6094
"tia",6067
"ra,",6027
"ati",5996
"eta",5982
"mah",5979
"ha ",5959
" ro",5942
"na,",5892
"iri",5848
", m",5805
" ti",5781
"a; ",5642
" na",5634
"ite",5592
"wa ",5534
"hae",5531
"ia,",5507
" ne",5445
"wah",5418
"are",5400
"hei",5381
"mo ",5349
"o, ",5347
"ke ",5270
"aer",5259
" ar",5172
"u e",5084
"kai",5044
"u m",5008
"ho ",4976
"aho",4935
"kua",4918
" hu",4904
" po",4859
"era",4851
"e o",4816
"hun",4785
"ngo",4784
" ru",4779
"rot",4753
"oe ",4750
"apa",4703
"ong",4661
" ak",4581
"ako",4540
"ina",4516
"tet",4514
"ohi",4503
"wai",4487
"ou,",4474
"tak",4442
"rai",4418
"u h",4411
"air",4383
" pu",4378
"ake",4359
"pu ",4287
"tok",4280
"Ko ",4275
"rer",4274
", t",4263
" re",4256
"man",4247
"oku",4244
" At",4243
"hor",4221
"e A",4210
"ora",4203
"; k",4182
"awa",4162
"eng",4096
"hai",4077
"o o",4075
"Atu",4044
"o I",3987
" ke",3946
"apu",3898
"ono",3886
"aki",3884
"ua,",3869
"u n",3845
"au,",3771
"whe",3754
"a: ",3746
"a H",3735
"mar",3733
"oro",3707
"uri",3700
"han",3693
"ti ",3687
", n",3676
"ahu",3663
"hia",3636
"upu",3618
"rit",3595
"ero",3586
"kap",3579
"tik",3554
"eka",3544
"rua",3542
"whi",3537
"ron",3530
"iho",3527
"ga,",3526
"ura",3504
"ane",3487
"gi ",3463
"iki",3459
"aku",3459
"nui",3428
"iha",3396
"kan",3385
"ika",3363
"wa,",3339
"hen",3294
"hin",3278
"u w",3266
"ine",3252
"ino",3243
"noh",3242
" on",3230
"hoa",3191
"tat",3174
"oho",3161
"kam",3161
"enu",3156
"ria",3151
"ui ",3135
"oti",3114
"nua",3106
"iwi",3101
"kit",3082
"kot",3078
"o h",3077
"pa ",3059
"rau",3039
"run",3038
"ate",3034
"tir",2968
"kaw",2935
"rin",2931
"o H",2901
"rik",2878
"kaa",2876
"oko",2872
"o e",2848
" iw",2845
"u o",2826
"Iha",2826
"kak",2820
" in",2796
"e e",2786
"hit",2757
"mau",2743
"noa",2735
"pai",2719
" Ka",2696
"i p",2692
", K",2681
" Ha",2677
"uta",2676
"kup",2655
"ena",2625
": k",2623
"tek",2595
"nu ",2594
"kei",2587
" mu",2572
"u r",2567
" hi",2552
"ai,",2494
"hi,",2468
" nu",2458
"o m",2446
"pon",2424
"awh",2415
" He",2412
"ram",2377
"rei",2340
"ae ",2333
"oar",2332
"i; ",2326
"hua",2321
" ih",2319
"ki,",2315
"pat",2308
" pe",2286
"oha",2282
"eir",2273
"iro",2262
"her",2243
"onu",2240
"ohu",2237
"tar",2230
"tap",2223
"ru ",2204
" en",2202
"oa,",2178
"tin",2160
"rir",2143
"ma,",2127
"He ",2121
"re,",2121
"; a",2118
"ota",2086
"Ka ",2077
", o",2073
"ne ",2068
"ain",2050
"toh",2032
"oat",2031
"utu",2029
"hu ",2026
"iru",2011
"ehe",2011
"raw",2008
"ait",2005
"tae",1993
"ta,",1972
"aia",1970
"tor",1964
"put",1958
"gar",1958
"ter",1954
"roa",1941
"ima",1932
"roh",1930
"A k",1920
"aar",1919
"rah",1906
" Ar",1905
"pa,",1900
"iko",1893
"awe",1889
"uru",1886
" Ra",1883
"par",1875
"ahe",1869
"eke",1861
"per",1860
"go ",1845
"wi ",1823
"u; ",1819
"ea,",1804
"uku",1804
"rar",1799
"a A",1795
"kih",1793
"pur",1777
"tur",1767
" Hi",1761
"ita",1753
" Na",1750
"puk",1750
" Ho",1747
"aor",1733
"ri,",1725
"a R",1712
"oma",1668
"hat",1657
"nak",1657
"u p",1652
"ein",1640
"no,",1639
"oe,",1636
"ei,",1609
"tuk",1605
"aru",1603
"uhi",1602
"a P",1591
" au",1584
" Ki",1579
"oi ",1579
"i: ",1574
"oru",1574
"mon",1547
" Pa",1543
"hip",1542
"hir",1541
"itu",1530
"nan",1530
"tea",1521
"ian",1513
"ori",1483
"pap",1478
"gak",1475
"anu",1472
" Ko",1463
"koh",1461
"hio",1450
"wae",1429
"iwh",1427
" or",1417
"pok",1407
"u: ",1399
" Hu",1397
"moh",1394
"ha,",1380
": a",1355
"i H",1340
"ihi",1331
"apo",1331
" ok",1313
"hap",1313
"goa",1312
"rak",1310
"tit",1307
"mur",1303
"wir",1296
"rih",1295
"epa",1293
"e; ",1287
"ti,",1285
"e I",1258
"a M",1257
"Na,",1254
"Raw",1251
"Hur",1250
"non",1235
"uma",1228
"o A",1227
"kon",1222
"tuh",1218
" Mo",1214
"ete",1212
" ot",1203
"ro,",1203
" we",1195
"a. ",1193
"Kia",1190
"hui",1190
"ohe",1189
"tup",1186
"ini",1177
"uha",1173
"aih",1172
"tai",1166
"Ari",1165
"awi",1164
" Ma",1159
"pak",1151
"weh",1150
"aat",1145
"; h",1124
" E ",1113
"rop",1110
"A, ",1102
"reh",1101
"mua",1101
"opi",1099
"Hir",1099
"io ",1098
"ka,",1097
"eha",1096
", w",1085
"aea",1076
"pen",1076
"Ki ",1076
"a u",1072
"mak",1071
"hur",1067
"aun",1067
"ke,",1062
"Kar",1061
"u A",1061
" ou",1052
"gi,",1051
"o P",1051
"eoi",1049
"; n",1037
"koa",1036
"ruh",1035
", H",1028
"our",1024
"oia",1020
"eti",1020
"; e",1020
"ehi",1019
"a K",1018
"kao",1018
"una",1018
"iia",1017
"tu,",1007
", E",1001
"e u",1001
"por",993
"ipa",985
"iwa",984
"ure",984
"ipi",983
"Kua",982
"kik",980
"min",977
"rek",975
" et",973
"pit",973
": n",968
"aak",961
"Ihu",961
"kok",957
"ror",949
"nat",943
" pi",942
"ni ",939
"eat",939
" Ta",929
"haw",926
"uka",920
"tot",915
"ani",911
"aur",906
"rap",904
"o w",903
" Pi",898
" Ah",898
"pou",896
"tei",885
"aiw",881
"oke",867
"mei",867
"gan",865
" Ap",861
"kop",860
". N",858
"ra;",855
"oan",851
"hom",850
"Moh",849
"ne,",847
"moe",838
"Kat",838
"e: ",838
"o; ",836
"ape",836
"ami",835
"Ihi",835
"rom",834
"o M",820
"aon",814
"ewa",808
"; i",804
": h",800
"rea",792
"aen",791
"aim",790
"nau",790
"opa",787
"o K",783
"rim",777
"wi,",775
"wea",770
"o R",768
"gia",756
"pu,",753
"Me ",750
" ut",747
" Pe",747
"pua",746
"uak",744
"hea",740
"tut",740
"war",740
"ao ",735
" Ie",733
"ren",727
", r",727
"omo",726
" Te",725
"tii",722
"tao",720
"peh",719
"I t",718
"eme",715
"tun",709
"oka",709
"hek",707
"uar",705
"goh",704
"pik",704
"ia;",699
"a T",697
"amu",696
"hu,",694
"riw",694
"one",688
"inu",687
"amo",685
"taw",679
" aa",676
"uki",674
"hoi",673
" ur",672
" Er",670
"a? ",667
"iak",666
"reo",662
"na;",658
"Wha",657
"e K",655
"upa",653
"Hor",647
": e",643
"eri",642
"uat",638
"ou;",637
"nen",636
"Par",631
"rao",630
", p",623
"Kei",622
"ga;",622
"iat",622
"E k",617
" aw",615
"ua;",609
" Me",608
"pan",604
"; m",603
"a E",601
"i. ",600
"ihu",597
"ni,",597
"Oti",597
"Kah",592
"ui,",589
"Hoh",588
" Ke",586
"o E",585
"E t",585
"au;",584
"o: ",580
"epu",580
"ket",579
"imi",578
"o T",576
"uwa",574
"ope",574
"Heo",573
"epe",573
"ehu",568
"aut",567
"mut",566
"rew",566
"rie",566
"ru,",558
" Am",558
"pah",557
"nah",555
"kuw",554
"rem",554
" Ri",550
"pi ",549
"ko,",549
"hon",545
"oni",545
"aip",545
"e H",544
"gai",539
"ham",534
"Her",534
"Aha",524
"kir",522
"ker",519
". K",516
"ra:",515
"naa",515
"Nan",515
"ou:",513
"Ham",512
"uke",511
"wa;",511
"mam",508
"ito",508
"wer",505
"ho,",504
"mok",503
"uih",501
"ku,",495
"Hak",493
"noi",491
"ua:",490
"wen",490
"hep",490
"he,",486
"Kau",484
"heo",480
": i",477
"A i",477
"moa",475
"ai;",475
" Re",475
"pir",474
"No ",473
"iah",470
"Pir",470
"ike",470
", N",468
"te,",468
"opu",466
"i K",465
"e M",465
"eo ",462
"au:",462
"aui",462
" eh",462
" wi",458
"ion",457
"ia:",455
"pun",452
"hop",451
" ao",449
"uti",447
"Ten",447
", T",438
". A",435
"ret",435
"ipe",433
"hem",433
"pot",432
"koi",430
"eho",429
"na:",427
"Hao",427
"Aro",426
"i u",425
"mia",424
"api",422
"a N",419
" Ku",418
"rok",418
