"er ",44642
" de",44549
"og ",42419
" og",40555
"en ",37828
" ha",30849
"et ",27981
"de ",24696
"om ",20966
" ti",20116
"il ",19209
" fo",18811
"til",18730
"for",17753
"det",16180
"som",15889
" sk",15765
"or ",15406
" so",15308
"der",15136
"te ",14653
"han",14548
" i ",13797
" me",13753
"den",13465
" si",13218
"an ",13152
"ar ",13117
"ne ",13000
", o",12655
"e s",12388
"re ",12325
"ska",12085
"r d",11949
"ren",11749
"ke ",11572
"ed ",11537
"ikk",11301
"kke",11296
"kal",11221
"n s",11214
"ig ",10503
"al ",10415
"nne",10258
"ns ",10197
" di",10156
" mi",10117
" er",10042
"ene",9902
"ede",9575
"e d",9517
"nge",9295
"es ",9177
" en",9082
"e, ",8908
"g d",8865
" sa",8821
"ter",8754
"eg ",8735
" av",8697
"rre",8665
" ik",8634
"av ",8575
", s",8573
"g s",8562
"nde",8514
" vi",8510
"ste",8507
"err",8412
"r s",8397
" st",8338
"lle",8312
"e o",8251
"in ",8216
"tte",8185
"ver",8155
"tt ",8097
"mme",7992
" He",7978
" ko",7978
" fr",7913
"Her",7886
"n, ",7785
"ten",7726
" je",7720
" på",7655
"jeg",7618
"e h",7555
" ve",7541
"men",7498
"med",7440
"g h",7328
"på ",7308
"enn",7125
"em ",7020
" va",6982
"e f",6873
" he",6873
"t s",6858
"itt",6693
"r, ",6630
" da",6573
"har",6556
" al",6505
" bl",6464
"Og ",6442
"dem",6441
"var",6434
"t d",6408
"dig",6241
"ere",6205
"r h",6192
"ham",6127
"e t",6100
"le ",6019
"end",5996
"gen",5975
"ett",5894
"r o",5859
"ord",5802
"t, ",5796
"ens",5740
"så ",5705
" du",5680
"n h",5616
" gj",5590
" så",5583
"er,",5536
"ing",5521
"and",5469
"s s",5408
"ge ",5388
"t o",5361
"du ",5277
"e m",5252
"lig",5229
" la",5187
"nn ",5173
"e e",5111
"all",5089
"els",5076
"ine",5045
"n o",4978
"l d",4952
"t h",4945
"en,",4939
" hu",4877
"kom",4835
"t f",4828
"ans",4799
"g f",4758
" se",4750
"r i",4738
"ra ",4690
"ger",4684
"r e",4659
" ut",4644
" ed",4641
"Gud",4640
" Gu",4570
"sin",4526
"fra",4470
"ove",4454
"da ",4445
"n f",4434
" å ",4434
"din",4419
"at ",4418
"ell",4410
"r f",4401
" sø",4381
"mig",4367
", d",4348
"n d",4307
"n t",4296
"vil",4282
"ner",4271
"rde",4266
"ønn",4242
"rte",4238
"r m",4222
"sig",4176
"år ",4163
" hv",4153
"ler",4119
"lan",4105
"nes",4091
"d, ",4088
"ann",4087
"inn",4085
"s h",4074
"ret",4023
"res",4022
"alt",4019
"dde",4019
"e i",3989
"e b",3988
"ers",3968
"dre",3948
"g t",3946
"øre",3931
"e v",3913
"ort",3911
" I ",3814
" om",3770
"am ",3768
"min",3763
"å d",3754
"jor",3745
"t i",3715
" fa",3706
"t e",3686
" ov",3660
"ot ",3636
" tr",3630
"g i",3630
" op",3629
"g, ",3608
"jen",3588
" ba",3585
" ta",3584
"søn",3580
"n a",3544
" in",3533
"g v",3522
"t m",3489
"r t",3474
"ære",3473
" at",3451
"ige",3417
"omm",3413
"g o",3411
