"ᑕᔥ ",7926
" ᑕᔥ",4578
" ᑲᔦ",4404
" ᐃᐃ",4121
"ᑲᔦ ",3927
"ᐐᓐ ",3596
"ᐙᒡ ",3297
"ᓐ, ",3147
" ᐁᑮ",3013
" ᑳᑮ",2991
" ᐅᑮ",2827
"ᒪᓂᑑ",2704
"ᓐ ᐃ",2670
"ᔐᒪᓂ",2627
"ᑭᔐᒪ",2626
" ᑭᔐ",2469
" ᑳᐃ",2430
" ᑳᐐ",2399
" ᐃᓂ",2320
"ᒃ, ",2275
"ᑳᐐᓐ",2254
"ᒡ, ",2232
"ᐃᐃ ",2162
"ᓂᒡ ",2150
"ᐃᒫ ",1996
" ᐃᑕ",1813
"ᐃᑕᔥ",1788
"ᓐ ᐁ",1787
"ᒡ ᐃ",1779
"ᒦᑕᔥ",1774
"ᓐ ᑳ",1751
"ᓐ ᐅ",1745
"ᒃ ᐃ",1662
"ᓐ᙮ ",1628
"ᐃᐃᒫ",1628
" ᓴ ",1608
"ᑳᐃᔑ",1564
"ᑮᐃᔑ",1469
" ᐋᓃ",1463
"ᐃᔑ ",1437
"ᐊᐎᔭ",1427
"ᔥ ᑳ",1399
"ᐃᓂ ",1390
"ᓂᒃ ",1389
" ᐊᐎ",1383
", ᒦ",1378
"ᐃᑭᑐ",1361
" ᒦ ",1353
" ᐃᔑ",1353
" ᒋᓴ",1327
"ᒡ ᐅ",1324
"ᓂᑑ ",1303
"ᐗᒃ ",1301
" ᐊᐊ",1289
"ᑲᑭᓇ",1288
"ᒡ᙮ ",1287
"ᔥ ᐃ",1275
" ᐅᐅ",1274
"ᑭᓇ ",1264
"ᔥ ᐅ",1261
"᙮ ᒦ",1257
"ᓃᓐ ",1257
" ᐃᑭ",1254
"ᒫᑎᓯ",1245
"ᕽ, ",1235
"ᐎᓐ ",1224
"ᐊᐊ ",1219
"ᓐ ᒋ",1198
"ᒋᓴᔅ",1195
"ᓇᐙ ",1186
" ᑲᑭ",1182
", ᐁ",1171
" ᐁᔑ",1168
" ᑭᒋ",1162
" ᑮᐃ",1152
"ᐅᑮᐃ",1135
"ᓐ ᑭ",1126
"ᓴᔅ ",1056
"ᓐ ᑕ",1055
" ᐐᓐ",1048
"ᐅᒋ ",1042
"ᓐ ᑲ",1042
"ᐱᒫᑎ",1038
", ᐅ",1032
", ᑳ",1025
"ᐊᐲ ",1024
"ᒡ ᐁ",1020
"ᒃ᙮ ",1007
"ᒃ ᑳ",991
"ᓂᑑᓐ",964
" ᑫᑰ",955
"ᒡ ᑭ",954
"ᐃᑭ ",954
"ᓃᔥ ",943
"ᒃ ᐁ",942
"ᔑᒋᑫ",938
"ᓐ ᐊ",926
"ᐋᓃᔥ",926
"ᑮᐃᓈ",913
"ᑖᑯᓯ",908
" ᑳᐅ",901
"ᓂᓂᒃ",889
"ᒃ ᐅ",880
"ᓂᓂ ",879
"ᔥ ᐁ",864
"ᒡ ᒋ",863
" ᒦᑕ",863
", ᐃ",858
"ᑰᓐ ",855
" ᐊᐲ",855
"ᐎᔭ ",831
"ᐅᐅ ",826
"ᓇᓐ ",823
"ᒋ ᐃ",815
"ᑳᑮᐃ",809
"ᑭᑭᓄ",809
"ᓂᒡ᙮",800
"ᐃᐌ ",788
"ᒃ ᑭ",772
"ᐃᔑᒋ",772
"ᐙᓐ ",771
"ᑮᐃᑭ",768
"ᒡ: ",764
" ᐯᔑ",764
"ᐃᓂᓂ",761
"ᒡ ᑳ",759
"ᐙᒡ᙮",758
" ᐅᑎ",756
"ᑭᓄᐊ",745
"ᐊᓇᒥ",740
"ᑑᓐ ",726
"ᕽ ᑳ",725
"ᐁᑮᐃ",716
" ᑭᑲ",713
" ᑳᑎ",709
", ᑮ",707
" ᐅᑭ",699
", ᐋ",694
"ᔥ ᑮ",692
"ᓯᐙᒡ",691
"ᔦᒃ ",687
"ᑌᐺᑕ",682
"ᓐ ᑫ",679
"ᑫᑰᓐ",679
" ᐁᑕ",677
"ᐯᒋᑫ",675
" ᐁᐐ",671
"ᔑᒃ ",663
"ᐋᓃᓐ",659
"ᐱᓐ ",657
"ᐎᓂᕽ",654
"ᑮᐅᒋ",654
" ᐅᑕ",650
"ᑳᑎᐯ",646
" ᑳᐊ",641
"ᑮᔥᐱ",637
"ᔥᐱᓐ",637
", ᑲ",633
"ᐙᒡ,",632
"ᓯᓂᒡ",626
"ᐗᐞ ",624
"ᓂᕽ ",624
"ᒦ ᐃ",620
"ᑮᓇᐙ",615
"ᒃ ᒋ",615
"ᐗᓐ ",613
" ᐃᓇ",613
"ᒡ ᐊ",612
"ᑕᒧᐎ",608
"ᐎᓐ,",606
" ᐃᑯ",603
" ᓂᑮ",602
"ᒧᐙᒡ",596
"ᓇᒥᐁ",594
" ᐅᑲ",592
" ᐁᐃ",589
"ᒦᔥ ",589
"ᔦ ᑳ",587
"ᐃ ᑳ",587
"ᑭᒋ ",586
"ᑎᐯᒋ",583
" ᐊᐌ",580
"ᕽ᙮ ",580
" ᑭᑭ",579
"ᑾᓐ ",576
" ᐊᑮ",575
"ᒃ ᑲ",574
"ᕽ ᐁ",569
", ᐊ",562
"ᐎᓂᓂ",561
"ᑯᒡ ",559
"ᐊᐌ ",545
"᙮ ᑳ",541
"ᓯᐎᓐ",539
"ᒡ ᑲ",537
", ᑭ",534
"ᒃ ᐊ",528
"ᐸᓐ ",528
"ᐊᓂ ",527
"ᑑ ᐅ",527
" ᑭᑎ",525
"ᐁᑮ ",523
" ᒋᐃ",521
"ᐃᔑᓂ",519
"ᓀᓐ ",519
"ᓈᓐ ",519
"ᓂ ᐃ",518
"ᐱᔥᑰ",518
"ᐃᑯ ",518
"ᔥᑰ ",516
