" a ",78235
"ng ",48668
"in ",42708
"ang",40392
"na ",36631
"ing",31804
"ah ",29757
" di",29703
"din",27713
" hi",27480
"te ",27428
" na",26756
"chi",25527
"a, ",25415
"nga",24284
"a h",23676
"a k",23563
"uan",23207
"n, ",22796
"n a",22568
"an ",22366
" th",21696
" ah",20686
" ki",20268
" le",20018
"a t",19738
"h a",18987
" ka",18950
"ka ",18866
" kh",18444
"hia",18420
"ian",17819
", a",17496
"leh",16465
" uh",16429
" ho",16102
"eng",16018
" ta",15764
"ak ",15708
"hi ",15281
" ua",15105
"ai ",15059
" ch",14817
" tu",14618
"ahi",14545
" la",14543
"uh ",14241
"eh ",13827
"a a",13694
"ih ",13575
"ei ",13551
"mah",13502
"am ",13390
"hon",13252
"hua",12850
" mi",12750
"Hua",12682
" in",12665
" hu",12661
"ten",12635
"ung",12605
"a n",11846
"ngt",11806
"an,",11700
" sa",11639
"i a",11633
"hih",11617
"a l",11234
"thu",10807
"kha",10729
"gin",10475
"hi.",10420
"ama",10409
" ba",10310
"a p",10249
"a m",9990
"g a",9880
"a s",9859
"g u",9846
"iin",9767
" om",9650
"h, ",9616
"ngi",9580
" si",9344
" ma",9334
"kia",9280
" te",9143
"thi",9118
" ke",9073
"kei",8978
"a d",8972
"n k",8833
"uai",8801
"h k",8683
"ban",8507
"pa ",8440
"ipa",8435
"ite",8259
"ou ",8249
"in,",8199
"ia ",8137
" ng",8097
"aki",7857
"a o",7850
"lou",7840
"el ",7675
" pa",7590
"ta ",7584
"en ",7528
"gah",7466
"ong",7378
"om ",7310
"sak",7293
"tun",7261
" un",7250
"hei",7193
"the",7143
", h",7127
", k",6944
" ku",6936
"iak",6852
" su",6796
"hna",6760
", n",6712
"i d",6677
"hin",6597
"awn",6588
"i u",6578
"a c",6551
"at ",6535
"hil",6533
" ga",6532
"tan",6506
"i t",6462
"ua,",6444
" am",6418
"ga ",6406
"h t",6398
"n t",6330
"gte",6242
"e a",6217
"pan",6199
"a g",6164
"lam",6163
"TOU",6090
"OUP",6088
"kin",6059
"UPA",6046
"uch",6042
"h n",6004
"un ",6002
"hat",5964
"ath",5946
"i k",5925
"n n",5917
"hii",5905
"mi ",5766
"tak",5730
"al ",5720
"pi ",5697
"kip",5670
"awl",5634
"h l",5544
"khu",5518
"awm",5508
" da",5478
"a; ",5420
"sia",5376
"ate",5345
"a u",5333
"ua ",5300
" TO",5283
"n h",5246
"sua",5152
"gam",5107
"n l",5094
" lu",5041
"mpi",4993
"dan",4966
"on ",4961
"iam",4946
"m a",4923
"i, ",4873
"u a",4868
"len",4823
" Pa",4785
"pai",4763
"man",4736
" mu",4712
"uah",4622
" ni",4609
"eih",4579
"a b",4565
"Pat",4508
"hu ",4455
"aka",4365
"nin",4350
"lai",4341
" pi",4311
"e l",4286
"i n",4282
"mit",4278
"e t",4235
"e, ",4192
" va",4173
"tuh",4162
"kum",4125
"au ",4124
"PA ",4124
"i h",4101
"h h",4089
" a,",4079
" ne",4055
" lo",4042
"lak",4022
"haw",4014
"g t",3992
"i l",3985
"ute",3967
"; h",3941
" a.",3936
"ant",3915
"m k",3901
"san",3850
"te,",3844
"oih",3824
"apa",3807
"ihn",3729
"um ",3725
"h d",3710
"nte",3707
"g k",3671
" gi",3670
"uhi",3662
"g h",3657
"ah,",3650
" nu",3640
"gal",3625
"khe",3619
"gen",3617
"ump",3594
"im ",3570
" ja",3543
"pip",3516
"ha ",3493
"n s",3491
"e k",3466
"jia",3466
" he",3464
"ain",3462
" ha",3450
"m t",3439
"Huc",3434
" ji",3433
"hi,",3430
"khi",3429
"tua",3425
"baw",3424
"min",3409
" ge",3408
"aih",3358
"iht",3356
"nei",3328
"ng,",3319
"ima",3308
"pia",3291
"g, ",3280
"tha",3276
"kua",3273
"iai",3271
"upa",3264
" be",3256
"n d",3246
"la,",3202
"k u",3167
"gai",3155
"tap",3152
"n m",3143
"m d",3102
"lh ",3099
"ani",3092
"han",3076
"k a",3070
"a v",3066
"saw",3064
" to",3061
