" و ",37293
"را ",34014
" را",31795
"ان ",30831
"که ",25147
" خو",21173
" به",20541
"به ",20297
" که",19899
"ای ",17550
" بر",17179
" در",16963
"ند ",15722
"از ",15284
" از",14823
"در ",14481
"ا ب",14396
" می",14187
" ای",13743
"ود ",13312
"د، ",12635
"خوا",12456
"ه ا",12449
"د و",12337
"می‌",12301
"ه ب",11814
" اس",11132
" آن",11124
"خدا",10915
"واه",10744
" با",10235
"ین ",10184
" خد",10122
"است",9936
" او",9745
"ده ",9637
"خود",9053
"ه، ",8777
"ن ر",8641
"و ب",8626
"شان",8426
"ن ب",8278
"او ",8174
"و ا",8154
"ما ",8089
"ایش",7989
"ست ",7920
"داو",7906
" تو",7636
" دا",7561
" نم",7548
"یشا",7501
"ن ا",7501
"ه م",7431
"بود",7402
"این",7374
" من",7335
" شد",7282
"ون ",7247
"وند",7143
"های",7100
"ا ا",7036
"ی ک",6963
"دند",6932
"برا",6860
"ند.",6834
"اه ",6816
" بو",6745
"آن ",6655
"کرد",6520
"نی ",6511
"من ",6465
"ید ",6462
"اون",6429
"بر ",6393
"گفت",6321
"و ر",6320
"می ",6291
"انی",6254
"ن م",6242
" کر",6128
"ده،",6093
"ها ",6039
" تا",6003
"ه خ",5997
"ران",5950
"تو ",5868
"ا ک",5815
"ه د",5812
"د ب",5785
"رای",5689
" گف",5560
"ی ا",5558
"ی ب",5432
"مود",5432
" مر",5400
" شم",5309
"، و",5264
"مان",5200
"یرا",5168
"شما",5123
"یم ",5103
"ار ",5092
"ا م",5081
"د ک",5076
"د ر",5075
" سا",5016
"و د",4989
"ر ا",4926
"ه ش",4912
"ر م",4874
"، ب",4850
"ی خ",4845
"ا د",4795
"تا ",4712
"زیر",4704
" رو",4699
"ام ",4698
"ا ر",4624
"نمو",4614
"نه ",4607
"اهد",4595
" بی",4569
"یان",4503
"و م",4499
" ما",4496
"هد ",4435
"دان",4434
": «",4418
"ند،",4411
"ن و",4392
"نان",4367
"اند",4344
" فر",4316
"پس ",4284
" بن",4262
"ن خ",4217
"وی ",4065
" پس",4065
"رده",4053
"سرا",4050
"ت و",4020
"ی م",3996
"با ",3972
"امی",3938
"نید",3879
"یل ",3841
"ود.",3835
" ام",3832
"ا ن",3826
"ته ",3771
" پا",3729
"یا ",3728
"نها",3723
"ید.",3702
"فت:",3693
"دا ",3622
"ه‌ا",3621
"رد ",3610
"مین",3597
" زی",3570
"یهو",3567
"د ا",3559
"، ا",3554
" نی",3539
" گر",3538
"ر ب",3530
" هم",3520
"باش",3480
"ه ن",3467
"‌ای",3448
" کن",3423
"ت: ",3399
"چون",3379
"ورد",3339
"هم ",3311
"ر خ",3278
"ن د",3271
"انه",3243
"تند",3243
"د. ",3216
"هر ",3209
"ه ه",3203
"ی ر",3198
"ست.",3184
" هر",3180
" یه",3147
"ه و",3146
"رفت",3135
"ال ",3130
"نما",3122
"ئیل",3122
"ور ",3120
"د م",3119
"تما",3095
"ن ن",3084
" خا",3072
"مای",3069
"شاه",3065
"مرا",3061
"ا و",3057
" زم",3029
"شده",3022
"ت ک",3020
"سی ",3016
"ه ر",2995
"ادش",2995
" چو",2961
"زمی",2953
"یش ",2949
"نزد",2946
"دشا",2946
"مام",2945
"داد",2942
"پاد",2929
"ا خ",2920
"آور",2899
"ت، ",2899
"گرد",2844
"ی د",2829
"ایی",2823
"دید",2817
"ه آ",2803
"دار",2789
" نز",2778
"مرد",2773
"اسر",2763
"ری ",2760
"ائی",2748
"ز ا",2739
