"ny ",132401
"ana",71286
" ny",52780
"a n",48395
"na ",47510
"y n",42911
"ami",37393
"'ny",36869
"n'n",36858
"in'",35858
"min",35650
"tra",35159
"sy ",34640
"any",34039
"y a",33682
"ry ",33226
"ka ",32958
" an",29309
" iz",28910
"y t",28792
"ra ",28635
" ta",28456
"o a",28332
" na",27896
"a a",27718
" am",27571
"ia ",27365
"nan",27346
"ndr",25436
"aha",24219
"iza",24158
" ho",24142
"y m",24011
" fa",23951
"ao ",23708
"aka",23080
"ina",22768
"y f",22187
" ma",21609
"dia",21448
"a h",21144
" di",20988
"a i",20555
"y h",20278
"n'i",20222
"a t",20145
"ay ",19994
"nao",19586
"an'",18974
" ha",18887
"ho ",18365
"a, ",18294
"'i ",18264
" no",17855
"ara",17760
"ona",17434
"and",17342
"y, ",16723
"man",16604
"ran",15392
"y i",15288
"a m",15230
"eo ",15151
"ian",15057
"o n",14992
"fa ",14973
"han",14816
"tan",14558
" ar",14342
"no ",14327
" sy",14065
" ni",14037
"itr",14023
"zan",13644
"ary",13625
"zay",13440
"Ary",13258
"atr",13194
"tsy",12660
" ka",12606
"ani",12125
"iny",12092
" ts",12085
"o, ",11800
"reo",11656
"y r",11191
"ano",11034
"tam",11030
"ama",10556
"nar",10538
" Je",10364
" mi",10058
"reh",10053
"izy",9959
"ova",9926
" fi",9890
"are",9879
"nit",9786
"olo",9626
" mp",9504
"ala",9460
"o h",9371
"fan",9257
"a s",9234
"zy ",9226
"vah",9119
" te",9006
", d",8989
" re",8897
" ra",8889
"ria",8756
"etr",8713
"dri",8682
"ava",8650
" az",8549
"mpa",8544
" hi",8509
"efa",8407
"dra",8361
"eho",8349
"ehe",8275
"ira",8273
"tao",8249
"y s",8191
"o i",8161
"ita",7982
"y v",7965
"nak",7940
"hov",7875
"ata",7820
"nat",7784
"aho",7749
"rak",7729
"i J",7685
"aza",7648
"ain",7626
"ko ",7612
"oa ",7590
"Jeh",7568
"ny,",7383
" za",7367
"pan",7230
"ony",7200
"lon",7031
"nin",7028
"hit",7007
"het",6975
", a",6959
"ena",6942
"rin",6897
"an-",6869
"o t",6739
" sa",6667
"y k",6580
"mba",6559
"ha ",6328
"fah",6315
"ten",6315
"hat",6289
"nga",6287
"ahi",6274
"y l",6255
"anj",6238
"rah",6227
" va",6219
"amp",6180
"ire",6150
" la",6149
"ahy",6127
"mpi",6108
"na,",6094
"dro",6084
"azy",6067
" to",6061
" vo",5858
"ila",5812
"tsa",5806
"a d",5723
"oan",5720
"ant",5717
"eny",5640
"nja",5613
"o m",5602
"ly ",5584
"amb",5562
"ako",5535
"a r",5477
"nam",5452
"vy ",5426
"hy ",5412
"iam",5381
"avy",5365
"oy ",5331
"lah",5307
"o f",5296
"ari",5283
"ton",5247
"ito",5219
"y o",5195
"non",5163
" ko",5127
"nah",5118
"ba ",5103
"ika",5078
"y; ",5024
"ro ",4990
"ny.",4947
"mpo",4933
" av",4906
"on'",4903
" mb",4866
"za ",4844
"ely",4803
"ah ",4798
"la ",4777
", n",4757
"a f",4751
" ah",4740
"And",4719
", k",4680
" ia",4672
"era",4671
"hin",4668
"oka",4625
"kan",4605
" ir",4567
"ham",4558
" ef",4555
"tsi",4548
"ren",4539
"isy",4467
"y J",4448
"ehi",4445
"hoe",4412
"y z",4412
"dy ",4407
"iha",4400
"a; ",4399
"jak",4389
"ank",4325
"koa",4316
"a e",4300
"aon",4295
"voa",4257
"san",4254
"iko",4241
"n-t",4240
"oko",4237
"lan",4236
"mbo",4230
"ola",4182
"ato",4178
"a k",4159
"ang",4144
"y d",4126
" Iz",4124
"Fa ",4123
"ak'",4110
"ora",4102
" ol",4096
"y e",4083
"ta ",4080
" ao",3992
"zy,",3964
"eha",3954
"ind",3924
"nia",3919
"omp",3873
"van",3841
"Dia",3829
"asa",3809
"ady",3794
"; a",3788
"oe:",3788
"afa",3785
"rat",3762
" Ar",3749
" in",3748
"nts",3729
"nom",3717
"teo",3717
"otr",3716
" eo",3687
"oha",3680
"sa ",3656
"fit",3650
"mar",3617
"tar",3576
"din",3567
"ray",3557
"isa",3548
"elo",3539
"ra,",3524
"a v",3519
"ty ",3493
"vav",3490
"ats",3479
"ao,",3457
"idi",3448
"sir",3439
"hoy",3404
"e: ",3370
"sin",3362
", i",3356
"oho",3334
"avi",3295
"tah",3275
"sar",3271
" fo",3267
"its",3260
"ron",3240
"y I",3235
"'iz",3228
"o s",3220
"osa",3191
"oro",3167
"nen",3164
", f",3156
"Iza",3155
"avo",3151
"mah",3134
"lo ",3123
"zy.",3105
"ael",3091
"zao",3076
"ela",3066
"mas",3063
"àna",3062
"na.",3052
"alo",3046
"aro",3042
"to ",3024
"o; ",3002
"laz",2973
"asi",2971
"ong",2946
