"ie ",29635
"nie",26967
" i ",26524
"ego",21635
"rze",20407
" ni",20357
" na",19312
"dzi",18968
" pr",18270
" po",17259
" je",16931
", a",16599
"prz",16372
", i",16254
"wie",15141
"zie",14957
" do",13576
"ię ",13192
"rzy",13167
" si",12979
"na ",12656
" a ",12511
"się",12291
"go ",11587
"ch ",11485
"owi",11343
"szy",11270
"cie",11000
" kt",10904
"tór",10801
" mi",10661
" w ",10614
"li ",10421
"któ",10241
"em ",10173
"o, ",9928
", k",9672
" z ",9328
"wsz",9322
"zy ",9091
"a, ",9013
"iem",8975
"czy",8896
"ich",8755
"e, ",8723
"do ",8615
"zys",8390
" za",8142
"i, ",8003
" Pa",8003
"ści",7816
" ws",7662
"ał ",7578
"go,",7560
" te",7527
" by",7514
"kie",7312
"sta",7225
"mie",7077
" wi",6906
"będ",6800
" bę",6791
"dy ",6701
" od",6585
" wy",6569
"est",6529
"ych",6514
"sze",6468
"yst",6453
"eni",6327
"Pan",6293
"ędz",6016
"i w",6007
"i s",5952
" sw",5926
"ani",5910
"asz",5868
"jes",5842
"jeg",5715
"ski",5707
"by ",5686
"i p",5665
"ko ",5662
" tw",5605
" mo",5604
"iec",5597
"awi",5564
"y, ",5422
" mó",5378
"esz",5345
"e w",5339
"e s",5233
"m, ",5210
"to ",5193
" ja",5153
" rz",5152
"y s",5083
"mi ",5073
"owa",5009
"ied",4998
"a w",4997
" kr",4957
" st",4948
"ił ",4937
"zed",4919
" cz",4879
"nia",4875
" sy",4833
"ej ",4799
"a p",4779
"emi",4724
"a n",4706
"two",4692
"ie,",4689
"był",4682
"woj",4672
"ies",4657
"syn",4639
"mów",4638
"e p",4610
" wa",4604
"zek",4598
"zec",4580
"oje",4565
"ecz",4544
"ier",4512
"ch,",4471
"ali",4464
"ów ",4464
"o n",4460
"że ",4446
"st ",4424
"a s",4406
"h, ",4395
"stk",4387
"ako",4378
"ami",4366
"ówi",4352
"zyn",4339
"e m",4272
"le ",4263
"iel",4260
" sł",4245
"yni",4214
"o w",4202
"mię",4187
" ro",4173
"ni ",4163
" ob",4157
" ta",4150
"i n",4148
" on",4147
"ale",4122
"ę, ",4060
" ci",4047
"ia ",3987
"o s",3942
"odz",3927
"ci ",3921
"iej",3914
"óry",3907
"bie",3893
" to",3821
"aby",3820
"mu ",3797
"i z",3779
"ról",3779
"ach",3770
"iał",3766
"kró",3756
"za ",3662
"e b",3654
"tki",3643
"pra",3642
"ry ",3631
" ab",3630
"jak",3626
"eci",3608
"am ",3606
" ic",3594
"óre",3593
"a t",3586
"ieg",3584
"raw",3560
"ien",3559
"u, ",3548
"ekł",3533
"e z",3502
", p",3475
"e n",3457
"ył ",3443
"od ",3437
"weg",3436
"ośc",3431
"wia",3413
"ła ",3395
" go",3366
"o p",3366
"dni",3365
" sp",3365
"y w",3328
"cze",3328
"sz ",3321
" zi",3295
"ze ",3289
"ili",3279
" al",3278
"cho",3259
"ech",3258
"a o",3257
"ło ",3226
"je ",3207
"sza",3192
"i o",3189
"i d",3177
"a m",3155
" uc",3132
" gd",3132
"edy",3130
"o m",3122
" ka",3118
" Iz",3118
"now",3105
" ty",3092
"y p",3087
"edł",3071
", s",3065
"; a",3064
"ysz",3055
"łow",3054
"j, ",3053
"wi ",3052
"roz",3049
"i m",3021
"edz",3007
"nic",2993
"ł, ",2982
"pow",2974
"wał",2973
" że",2969
" Je",2967
" ch",2931
"mia",2927
" Bo",2894
"ają",2887
"trz",2882
"tak",2856
"a z",2852
"dom",2851
"ucz",2849
"cy ",2843
"was",2841
"gdy",2837
"ą, ",2826
"emu",2820
"ast",2814
", n",2807
"y n",2796
"ael",2792
"ny ",2787
"sie",2776
"ana",2771
", m",2761
" lu",2760
"usz",2759
"o z",2754
"e d",2751
"e j",2746
"słu",2735
" we",2726
"zra",2726
"one",2725
"a j",2714
"e o",2712
"bra",2711
"lud",2705
"an ",2700
"nas",2684
" sz",2679
"go.",2672
" dz",2663
"órz",2658
", w",2639
"Izr",2637
", c",2636
"rae",2635
"ym ",2634
"ki ",2627
"swo",2624
", ż",2618
" pi",2612
" bo",2601
"rod",2598
"y m",2593
"cha",2589
"o d",2581
"pod",2565
"wię",2558
"ost",2527
"ak ",2510
"im ",2507
"iek",2494
"i t",2471
" ma",2469
"świ",2468
"a d",2467
"wią",2430
"pie",2425
"iąc",2421
"ść ",2404
" dr",2396
"ony",2396
", o",2394
"tem",2390
"moj",2387
"em,",2363
"jej",2359
"iew",2358
"swe",2349
" da",2343
"teg",2336
"om ",2334
"obi",2322
"jąc",2318
"pos",2309
" co",2303
"adz",2302
"i j",2295
"ku ",2294
"y j",2290
"wa ",2277
"z n",2268
"e t",2252
" im",2250
", t",2247
"wid",2245
" wo",2232
"y z",2223
"ać ",2221
"kł ",2211
"zcz",2205
"n, ",2205
"ąc ",2205
"ę w",2195
"zem",2195
", j",2194
"y b",2188
"la ",2185
"lbo",2185
"m w",2183
"ocz",2182
"szc",2170
"ne ",2169
"ług",2165
"zia",2155
"obr",2153
"ńsk",2141
" są",2134
"yli",2131
"ta ",2128
"cza",2126
"nad",2117
"my ",2117
"e i",2116
"oni",2116
"bo ",2109
"i b",2107
"erz",2088
"udz",2074
"uch",2059
"ię,",2059
"oko",2058
"ej,",2058
"neg",2057
" pa",2053
"kic",2052
" mu",2045
"zło",2044
"str",2044
"zen",2040
"ało",2033
"owe",2031
"o o",2019
"zna",2015
"ed ",2015
"ły ",2008
"ciw",2005
"a i",1990
"hod",1986
"ias",1985
" tr",1982
" us",1976
"on ",1975
"aro",1970
"ek ",1966
"eż ",1960
"o t",1946
"bow",1944
"aż ",1943
"stw",1935
"aza",1918
"zał",1917
"re ",1913
"jed",1912
"ce ",1912
" św",1907
"mi,",1906
"ość",1903
"ją ",1902
"eli",1901
"co ",1899
"aci",1899
"dli",1893
"pro",1891
"sto",1891
"dow",1889
"ę z",1882
"sią",1880
"wyc",1878
"y o",1868
