"os ",41892
" de",36799
" e ",31811
"que",29990
"de ",29394
" qu",27171
" o ",25182
"as ",25172
" a ",24510
"ue ",24177
" se",23877
"do ",23814
" co",21901
"ão ",19849
", e",19062
"s, ",18605
"ra ",18140
"s d",16710
" do",16319
"o d",15414
" po",15404
"em ",14972
" pa",14364
" te",14014
"e a",13723
"ara",13708
" os",13383
"o, ",13274
"e d",12571
"eu ",12342
"ent",12331
"da ",12317
"e o",12172
" es",11794
"est",11720
"e e",11709
"te ",11684
"a d",11617
"es ",11555
" di",11222
"com",10990
"par",10846
"eus",10665
"nho",10618
"or ",10341
"dos",10262
"se ",10229
"a, ",9820
" da",9765
"ele",9678
"ndo",9595
"am ",9510
"is ",9454
"enh",9404
" ca",9347
"o s",9266
" re",9163
"nte",9015
"s s",8979
"por",8863
"o a",8667
"s e",8652
"s a",8639
"hor",8628
"ram",8557
"e t",8513
", p",8470
" me",8377
"to ",8375
"ado",8347
" Se",8322
" no",8296
"us ",8294
" fi",8278
"e, ",8188
" to",8116
"rei",7956
"ant",7935
"a c",7841
"o e",7794
"a t",7759
" pe",7741
"Sen",7656
"s p",7584
"con",7551
" as",7473
"a s",7468
"e s",7456
"o p",7449
" ma",7422
"a a",7341
"s o",7339
"não",7172
"lho",7171
"o S",7092
"seu",7049
"ou ",7030
"and",6969
"o o",6949
"ois",6946
" nã",6945
"s c",6859
" su",6714
"des",6712
" pr",6674
"e c",6514
"nto",6508
"o c",6441
" el",6440
"a e",6335
" em",6325
"ilh",6292
"a m",6227
"e p",6196
"ser",6044
"s q",6030
" ao",6029
"era",6021
"o m",6007
"o q",5893
"a p",5865
"e n",5853
"lhe",5772
"tod",5754
"res",5741
" en",5739
"ste",5717
" sa",5705
"fil",5705
"ome",5673
"o t",5665
"men",5601
" um",5586
"ei ",5584
"ter",5529
"end",5529
"sse",5524
"s f",5444
"m a",5425
" na",5419
"om ",5391
"ua ",5383
" so",5307
"; e",5259
"os,",5247
"ia ",5189
"tra",5184
"sua",5163
"ntr",5153
"a o",5083
"mo ",5054
"inh",5043
"vos",5012
", d",4993
"s t",4986
"r, ",4936
" fo",4912
"ito",4904
"sta",4902
"no ",4889
" fa",4879
"ont",4868
"rá ",4848
"m, ",4817
"le ",4785
" vo",4781
"re ",4769
"e m",4731
", a",4725
"e f",4670
" vi",4663
"nta",4640
"ade",4636
" De",4605
"s m",4582
"ar ",4564
"nha",4549
"omo",4475
"nde",4468
"hos",4461
"odo",4444
"as,",4437
"qua",4434
"um ",4395
"are",4372
"Deu",4348
"er ",4347
"ta ",4322
", o",4315
"tes",4305
"iss",4279
" ho",4267
"ida",4262
"err",4260
"ora",4254
"rra",4249
" mi",4243
"m d",4235
" ou",4231
"dad",4197
"dia",4195
" al",4183
"ao ",4168
"obr",4146
"me ",4120
"s n",4058
" tu",4027
"ada",4020
"das",3995
"tar",3974
"m o",3954
"ais",3848
" tr",3835
"e v",3786
"esp",3785
"nos",3749
" ve",3735
"ho ",3728
"ela",3725
"tos",3715
", q",3695
"ção",3692
", c",3685
"ava",3674
"s; ",3659
"a q",3656
"oss",3635
"teu",3633
"min",3619
"o n",3616
"sa ",3616
"ma ",3583
"na ",3583
"ará",3571
" mo",3513
"sso",3511
"poi",3503
" é ",3494
", s",3489
"ém ",3489
"o r",3489
", n",3479
"a v",3477
"per",3474
"m e",3469
"ran",3442
"bre",3431
"eir",3418
"ias",3413
"ere",3405
"ita",3388
"ha ",3381
"dis",3365
" ne",3340
"tão",3330
"sto",3320
"rqu",3315
"orq",3287
"eis",3281
" an",3277
"ver",3273
"cer",3272
"im ",3270
"ten",3247
"ass",3231
"les",3230
" ti",3224
"ira",3177
"sob",3166
"rão",3155
"ece",3149
"ort",3121
"tas",3121
"for",3084
"es,",3077
"nda",3075
"e q",3069
"uan",3068
"cas",3060
"a f",3055
"rta",3050
"ro ",3024
"i, ",3012
"diz",3008
"o; ",3005
" mu",3000
"mos",2996
"meu",2982
" le",2975
"erá",2965
"hom",2962
"ão,",2961
"uas",2957
"mão",2937
"m c",2925
" Is",2917
"pro",2909
"tam",2890
"ens",2888
"ist",2875
"e l",2870
"tem",2860
"ros",2848
"esc",2842
" Je",2840
"r d",2831
"u a",2824
"ra,",2817
"o f",2812
"pre",2812
"ria",2809
"açã",2805
" in",2794
"tro",2786
" ju",2782
"a n",2774
"or,",2753
"ido",2749
"ael",2732
"car",2720
"aqu",2716
"s v",2711
"abe",2705
"ize",2698
" ta",2692
"uma",2692
"pel",2686
"mas",2682
"tre",2674
"ala",2670
"io ",2646
"iro",2643
"r a",2631
"sim",2628
"m p",2621
"is,",2607
"m s",2604
"so ",2586
"sra",2585
"rae",2583
" eu",2580
"ntã",2574
"u p",2550
"Isr",2543
"m t",2526
"asa",2523
" lh",2510
"e J",2500
"ssa",2495
"ras",2491
"rem",2486
"ess",2481
"ssi",2472
"he ",2470
"rar",2466
" ch",2465
"mor",2431
"to,",2408
"la ",2392
"oda",2388
"deu",2375
" ci",2371
"der",2364
"ovo",2355
", f",2354
" ha",2350
"ica",2338
"o v",2328
"cor",2326
"amb",2323
"ura",2312
"avi",2300
"ert",2298
"; p",2294
"eit",2292
"a; ",2280
"lo ",2276
"l, ",2240
" � ",2222
"tua",2215
" fe",2205
"-se",2200
"lha",2186
"ond",2182
"erd",2176
"mbé",2164
"bém",2164
"nci",2154
"man",2144
"ama",2138
", t",2136
"erv",2134
"i d",2130
"os.",2128
"ouv",2125
"fer",2120
"ame",2110
"rec",2100
"te,",2097
"mar",2086
"u, ",2085
"fic",2085
"dor",2076
"pov",2074
"eva",2070
"del",2066
"o h",2062
"uel",2051
"e I",2048
"cad",2044
"Ent",2043
"do,",2028
"gar",2025
" at",2018
"raç",2000
"sas",1996
"sen",1994
"ina",1980
"gra",1980
"cid",1973
"ofe",1968
"rás",1958
"sti",1952
"dei",1942
"und",1939
"lev",1938
"-lh",1936
"va ",1934
"elo",1927
"aos",1924
"e D",1923
" mã",1923
"ind",1917
"u o",1900
"us,",1892
"rde",1876
"mai",1875
"mem",1875
"cam",1872
"amo",1871
", m",1870
"bra",1857
"i a",1854
"sem",1851
"e h",1851
" ir",1850
"nas",1849
"rte",1847
"egu",1841
"tan",1839
"ns ",1823
"e r",1822
"str",1810
" ex",1803
"u s",1803
"o l",1802
" ac",1790
"ete",1787
"ça ",1780
"usa",1779
"ás ",1774
"den",1772
"u c",1770
"nem",1766
"r e",1766
"cia",1763
"Por",1749
"ios",1737
"tou",1730
"rio",1726
"r c",1722
"s h",1717
"nça",1694
"vra",1691
" be",1686
"seg",1679
"lav",1679
"al ",1674
"rad",1673
"ord",1672
"pri",1670
"igo",1669
"s l",1668
"s r",1666
"a l",1657
"pal",1651
"gua",1647
" gr",1643
"vo ",1629
"zer",1623
"são",1621
"via",1616
"uem",1616
"gun",1614
"s: ",1613
"her",1613
"ós ",1610
"olh",1609
"ai ",1606
"o: ",1602
"aze",1601
" Sa",1595
"ace",1594
"che",1594
"rda",1593
"eja",1585
"cha",1580
"vós",1576
" vó",1571
"r o",1570
"hes",1569
" ap",1568
"ven",1566
"ega",1559
"sal",1555
"tav",1552
"qui",1552
"mim",1550
"anç",1549
"lta",1547
"e: ",1542
" er",1540
"emo",1539
"ões",1538
"tad",1537
"rre",1536
"m n",1536
"té ",1531
"vam",1523
"mul",1520
"pai",1519
"os;",1515
"mes",1514
"s i",1513
" am",1511
"unt",1508
"ia,",1507
" si",1504
"rou",1499
"ode",1497
" ar",1496
" la",1491
"m q",1488
"eri",1487
"ale",1482
"san",1480
"hav",1477
"art",1476
"fal",1476
"zen",1475
"ore",1472
"stá",1472
"u e",1470
"ami",1464
"iu ",1461
" ce",1460
"ast",1458
"reg",1458
"as.",1454
"sos",1454
"mei",1451
"até",1451
"ian",1451
"u d",1442
"el ",1442
" or",1438
"avr",1434
"uvi",1433
"out",1433
"ata",1431
"a i",1427
"eio",1426
"ber",1417
" lu",1414
"a r",1414
"m m",1414
"el,",1410
"sac",1408
"vid",1406
"e; ",1403
"orr",1403
"dar",1400
" bo",1397
"emp",1395
"e u",1393
"de,",1391
"ãos",1391
"abi",1387
"has",1383
"ust",1375
"tor",1369
"spo",1368
"utr",1367
"vir",1363
"los",1362
"ard",1360
"ali",1356
"faz",1354
" is",1351
"tin",1337
"ime",1334
"isa",1334
"pon",1331
"sus",1330
"int",1329
" aq",1329
"gue",1319
"m f",1318
