" ri",33835
"ri ",30275
" ch",20583
"ch ",9118
"ech",8728
"bʼa",8341
"che",7548
"riʼ",7482
"aj ",7136
"chi",7053
"he ",6955
"iʼ ",6875
"aq ",6764
"are",6684
"al ",6003
"ʼ r",5843
"ach",5780
" ta",5709
" kʼ",5686
" ar",5542
"an ",5539
"bʼi",5360
"ij ",5273
"kʼu",5230
"rec",5206
"a r",5187
"ʼ, ",5117
"ibʼ",4912
"l r",4869
"ik ",4864
"ubʼ",4830
"ukʼ",4768
" ju",4759
"h r",4719
" ku",4666
" pa",4611
" e ",4510
"kʼa",4509
"abʼ",4487
"taq",4484
"jun",4455
"ʼal",4379
"i u",4311
"un ",4248
" ki",4228
"pa ",4193
"eʼ ",4068
"i a",3893
"e k",3863
", r",3856
"kʼo",3839
"mal",3830
"ʼij",3795
"ʼat",3758
"i i",3677
"reʼ",3666
"e r",3651
"ekʼ",3602
" ma",3579
"el ",3565
" ru",3562
"laj",3488
"wac",3316
"ʼ k",3302
", k",3285
"man",3269
"n k",3229
"aʼ ",3211
"j r",3151
"bʼ ",3137
"i e",3097
"ate",3068
"ala",3061
"ʼo ",2987
"ina",2982
"i k",2943
"ta ",2938
"iʼ,",2909
"j c",2891
"naq",2888
"tek",2870
" kk",2860
" we",2735
"uri",2726
"tzi",2716
"uwa",2696
"ʼan",2661
"kʼ ",2632
"ʼur",2608
" wi",2590
"uma",2564
"ʼ c",2557
"win",2556
"q c",2520
"zij",2471
"cha",2461
" na",2380
"eta",2377
" ja",2362
" ka",2324
"nim",2314
" re",2303
"Ri ",2273
"taj",2269
" ke",2246
"qʼa",2192
" eʼ",2179
"chu",2141
"in ",2140
"utz",2102
" ub",2099
" ix",2074
" in",2067
" ut",2042
"nik",2037
"eʼa",2007
"j k",1988
"chk",1982
"chʼ",1945
"i j",1945
"kki",1919
"hi ",1905
"i r",1885
"hiʼ",1878
", c",1878
"chr",1875
"il ",1864
"ruk",1844
"yos",1840
"jel",1837
"as ",1804
"jaw",1749
"ani",1749
"i D",1740
"kub",1739
" uw",1736
"hre",1726
"Dyo",1723
" Dy",1722
"na ",1688
"noj",1676
"bʼe",1670
"n c",1666
"rum",1647
"k r",1642
"kec",1639
"oje",1629
"ikʼ",1628
"eri",1598
"ʼut",1598
"l, ",1578
"ono",1576
"kin",1569
"we ",1542
"xik",1506
"Kʼa",1498
"l c",1483
"q r",1479
"xel",1466
", x",1463
"ret",1451
"jas",1446
"ima",1445
" qʼ",1443
" bʼ",1432
"loq",1416
"uch",1406
"oqʼ",1404
" uk",1381
"kib",1370
"j, ",1357
"jeʼ",1352
"hke",1350
"n r",1344
": «",1338
"qʼi",1336
" xa",1333
" je",1322
"oq ",1310
"re ",1308
"ʼaj",1298
"e x",1297
"ʼaʼ",1278
", a",1275
"ʼ j",1272
"k, ",1271
" xu",1269
" ni",1249
" uj",1248
"h c",1236
"hik",1235
"l k",1229
"wec",1228
"ix ",1221
" tz",1215
"aja",1209
"wiʼ",1196
"cho",1192
"aji",1189
"ik,",1186
"a j",1178
" ul",1167
"ojo",1125
"ʼab",1116
"ata",1113
"uwi",1105
"h k",1102
"a k",1093
"kik",1089
" Je",1085
", e",1082
"ulo",1076
"i n",1072
"ʼar",1065
"j u",1064
"waʼ",1063
" ko",1062
"aqa",1061
"j t",1039
"uj ",1036
"i w",1035
"ch,",1030
"kʼi",1020
"ʼ e",1018
"i J",1014
"ʼi ",1014
"i A",1013
" ra",1009
"e m",1006
"koj",1003
"h, ",1003
"t, ",996
"uqʼ",995
