"una",17070
"ra ",11307
"na ",11222
"ara",10391
"chi",9001
"hca",8967
"shc",8925
"man",8837
"hua",8301
" pa",7874
"sha",7866
"a c",7805
" ca",7732
"gun",7222
"a, ",7047
"ana",6786
"uca",6779
"ash",6723
"ach",6572
"ish",6491
"and",6473
"nda",6177
"ca ",6019
" sh",5836
"can",5736
"a r",5570
"aun",5530
"ang",5481
" ma",5379
"nau",5309
"cha",5306
"a a",5285
"lla",5121
"qui",5090
"pai",4995
"ina",4968
"a p",4922
"ama",4852
"nga",4790
"ngu",4733
"nar",4565
"ai ",4499
"ima",4421
"ich",4378
" ri",4244
"i, ",4135
"ari",4092
"chu",3939
"ush",3903
"a m",3896
"hin",3895
"da ",3862
" ni",3857
" ch",3816
"a s",3807
"ta ",3427
"ira",3347
"shi",3342
"ha ",3229
" cu",3172
"as ",3171
" hu",3146
" tu",3096
"ua ",3058
"ucu",2984
"ma ",2950
"ras",2937
"a t",2892
"aig",2825
" ru",2800
"ñuc",2781
"shu",2777
"ica",2727
"auc",2668
"ric",2666
"aca",2640
"ihu",2619
"ca.",2539
" ñu",2512
"igu",2500
"ung",2481
"car",2458
"run",2450
"hu ",2440
"ahu",2436
"gaj",2425
"ami",2417
"tuc",2395
"ui ",2394
" ya",2364
"ali",2329
"cam",2293
"ios",2253
"i c",2245
"icu",2237
", c",2236
"ha,",2211
"yac",2205
"hi ",2202
"Dio",2195
"all",2173
"rin",2169
"ris",2165
"jpi",2134
"cau",2117
" ll",2097
" ra",2091
"imi",2056
"rim",2055
"a h",2053
"jgu",2022
" Di",2019
"nis",2005
"ga ",1962
"sta",1946
"aj ",1942
"ing",1938
" qu",1923
"nzh",1915
"cui",1909
"him",1902
"i t",1900
"mas",1894
"a u",1877
"nch",1842
"nam",1825
"ita",1809
"Jes",1808
"a. ",1806
"gui",1802
" al",1784
"pac",1783
", p",1780
"cai",1756
"a: ",1747
"ca,",1746
"ajp",1743
"a n",1741
"lar",1719
"cun",1695
"his",1692
"a i",1669
"mi ",1649
" as",1642
"aus",1641
"uir",1633
"aqu",1631
"iri",1620
" ti",1613
"anc",1576
"aih",1569
" pu",1567
"ham",1566
"i r",1564
"ait",1562
"a ñ",1540
"aya",1521
"i p",1518
"uic",1499
"tia",1459
"a l",1456
"uch",1436
"cus",1435
"uri",1416
"uas",1407
"sna",1397
"a y",1389
" Je",1388
"asn",1376
"i s",1376
"har",1375
"nal",1364
"ura",1349
"li ",1348
"ill",1342
"pi ",1341
", a",1325
"pa ",1319
"ran",1319
"mi.",1307
"aic",1305
"amu",1295
"aga",1287
"ca:",1281
"mun",1280
"Shi",1277
" an",1271
"i. ",1267
"Pai",1264
"usa",1258
"iun",1248
"nic",1240
"cta",1222
"upa",1207
"ndi",1206
"cas",1192
", s",1170
"i a",1166
" ap",1166
"par",1164
"un ",1163
" ta",1159
"rij",1144
"hur",1141
" ña",1140
"tau",1137
"ora",1127
"act",1120
"to ",1094
"ent",1083
"cac",1082
"uti",1076
"s c",1054
"apa",1050
" im",1046
"spa",1044
"a q",1038
"zha",1033
"esú",1026
"sús",1026
"iya",1019
"hac",1016
"hun",1013
" Ca",1002
"uma",999
" mu",999
"mba",998
"ani",998
" sa",994
"ús ",986
"pas",984
"s, ",978
", n",976
"naj",970
" Pa",969
"pun",968
"gam",967
"uin",961
"uya",952
"ist",923
"ajg",917
"hic",916
"an ",914
". C",913
"nin",910
"nai",908
"nas",906
"aup",902
", m",898
"aj.",898
"mac",886
"tar",883
"nta",881
"air",875
"amb",870
"i i",866
"tan",853
", ñ",852
"Cai",847
"hai",845
"cuc",843
"han",842
"anz",842
"na,",835
"i m",833
"mir",832
"s p",832
"hi,",819
"os ",817
"jta",816
"yan",805
"hu.",803
"j, ",789
"uar",787
"esu",783
" ac",782
"Ñuc",774
"lac",761
"mi,",759
"as,",754
" pi",753
"ijg",747
"sto",742
"Can",741
"eño",738
"has",734
"la ",731
"nah",731
". P",730
"pi,",729
"unz",728
"u, ",727
"llu",725
"ast",716
"ñau",712
"ij ",709
"laq",705
" uy",704
"cue",704
"uen",704
"hij",702
"uañ",701
"añu",700
"mar",698
"a D",697
"iga",689
"uis",681
"Chi",679
"s m",661
"asi",655
" ah",655
"apu",653
"hi.",653
" mi",651
" uc",651
"n, ",651
"ñor",649
"osp",644
"nan",642
"hu,",635
"yas",634
" iy",629
"hui",626
" am",624
"aj,",622
"rai",620
"u c",620
"Señ",620
"ha.",619
"di ",610
"i h",610
"api",602
"sus",601
" aj",595
"i ñ",588
"ipa",585
"huj",584
"ga,",582
" Se",582
"hor",578
"cut",576
"ini",571
"ra,",565
" Ch",565
"paj",564
"pur",560
"aim",555
" ai",552
"zhu",546
" si",542
"ba ",539
"uj ",535
"ni,",535
", t",534
" ic",533
"uil",531
" is",531
"maj",527
": C",523
"ai,",517
"ier",515
" Sh",515
"arm",511
"ii ",505
"j r",504
"dar",504
"lai",502
", D",500
" us",499
"yai",496
"iña",491
"jll",487
"das",487
"pan",483
" Ma",481
"ri ",480
", i",477
"ajt",475
"cur",474
"iqu",472
"ujg",469
". S",468
"uaj",467
"rto",467
"uun",465
"i q",465
"a J",463
"rmi",463
"nag",463
"ert",463
"i y",461
"llc",459
"da,",458
"lca",456
"u a",456
"sir",456
"hih",454
"mus",454
"art",451
"ajl",449
"Cri",447
"yar",447
"Ima",447
"iaj",445
"pis",445
"bas",444
"ost",443
"tam",440
" ho",437
"sma",434
"hir",434
"mai",431
" at",431
"uan",426
