"şi ",34267
" şi",32359
" în",29218
"lui",25024
" de",23557
"ul ",22674
"de ",19942
"te ",19898
" pe",19099
"ui ",18869
" lu",18605
" ca",17704
"le ",17356
" să",17115
", ş",16245
"ea ",15971
"i, ",15535
"să ",14889
"în ",14215
"re ",13982
"are",13967
"pe ",13390
" ce",13079
"înt",12762
" cu",12749
" a ",12633
"e c",12321
"i s",11785
"i a",11735
"e, ",11562
"ţi ",11450
"ele",11352
"au ",11288
" vo",11054
", c",10703
"ii ",10343
"lor",10332
"nul",10165
"car",10162
"i d",10104
"ulu",10042
"i c",9987
"că ",9755
"est",9733
"e a",9689
"or ",9671
"in ",9599
"ce ",9551
"la ",9516
"at ",9487
"din",9452
" fi",9313
"ste",9176
" nu",9141
"e p",9015
" di",8977
"ci ",8959
"a, ",8755
"i p",8724
"e d",8609
"se ",8530
" zi",8337
"i l",8298
"tul",8246
"e s",8226
"ntr",8199
"omn",8182
"ace",8171
"ile",8154
"a s",8040
" că",7969
" la",7961
"it ",7758
"cu ",7750
"mnu",7678
"va ",7650
" ac",7550
" pr",7466
"ei ",7380
"Dom",7365
"nu ",7297
"tru",7153
"e v",7136
"i î",7124
"a l",7106
"ine",7091
" se",7068
" Do",7041
"împ",7005
" îm",6983
"ca ",6844
"e l",6643
"a a",6641
" to",6598
"mîn",6566
"e î",6555
"i v",6462
": ,",6430
" un",6397
"ai ",6345
"int",6279
"ilo",6263
"tea",6259
"a p",6240
"uri",6137
" va",6092
"înd",6018
"ri ",6014
"a d",5926
"a c",5894
"oi ",5875
" da",5868
" ma",5862
"eni",5861
"eze",5832
" ve",5806
"rea",5765
" lo",5736
"l, ",5734
"tre",5694
"ate",5672
"mne",5645
" po",5631
"tă ",5539
" ,,",5494
" au",5458
"a î",5452
"păr",5443
"ici",5439
"ă, ",5425
"ată",5375
"e m",5372
"pri",5343
"i n",5308
"nte",5285
" ne",5251
"ne ",5233
"şte",5078
"rul",5043
"rat",4954
" mi",4933
", p",4909
"un ",4853
"ut ",4848
"nez",4838
"ă c",4829
"umn",4825
"eşt",4820
"ar ",4773
"voi",4772
"aţi",4760
"oar",4752
" es",4746
" ră",4739
" le",4721
"vor",4720
"ra ",4714
"-a ",4689
" -a",4681
"pre",4669
"l l",4658
", d",4651
" Du",4635
"ia ",4631
"ent",4627
"ui,",4601
"el ",4573
"zeu",4545
"i I",4528
"i m",4522
"str",4510
"t, ",4504
"ril",4498
"Dum",4497
"ari",4463
" o ",4451
"a f",4430
" tr",4423
" fa",4412
"ă d",4369
"r, ",4363
"i t",4321
" al",4310
" pu",4307
"ru ",4301
" pă",4270
"e t",4244
"ă s",4217
"cel",4211
" du",4174
"l a",4160
" st",4139
"pen",4139
"t p",4131
" ni",4123
"toa",4069
"n c",4058
"u, ",4038
", a",4023
"t c",3981
"a v",3966
"i ş",3966
"mpă",3964
"ă p",3956
" s'",3949
" Is",3941
" fă",3902
"tat",3897
"tri",3896
"ă n",3872
"mai",3868
"am ",3862
"e n",3855
"ie ",3852
"u s",3844
"ăra",3839
"nd ",3834
"înc",3820
"tor",3817
"îna",3791
"ăci",3783
"ast",3782
"a m",3742
"cul",3726
"t d",3726
" cî",3711
"nă ",3697
", î",3687
"i f",3682
" mî",3677
"'a ",3653
"nic",3652
"şti",3644
"zis",3641
"s'a",3631
"eţi",3609
", s",3603
"oru",3576
"a z",3561
"iţi",3553
"cut",3497
".``",3492
"ta ",3483
"mul",3481
"Şi ",3478
"e f",3477
"oat",3456
"atu",3419
"chi",3394
"us ",3392
"ost",3385
"por",3377
" vi",3369
"t î",3346
"ă î",3308
"sta",3302
"sîn",3286
"loc",3274
"e o",3269
"ră ",3268
"ă a",3266
"ice",3264
"eas",3263
"u c",3256
" ar",3255
"i -",3252
"ă v",3246
"ul,",3241
" no",3207
" sî",3198
"asc",3188
"ere",3185
" me",3184
"e ş",3179
"cin",3177
"u v",3177
"rin",3177
"nci",3169
" ad",3166
"ire",3166
", f",3164
"cea",3159
"ori",3151
"e e",3147
" su",3134
"ocu",3118
"min",3103
" do",3099
"a t",3087
"u p",3083
"cîn",3075
"ain",3036
"scu",3028
"nt ",3012
" ta",3002
"ă l",2985
"e D",2971
"ări",2957
" co",2947
"unc",2946
"ale",2937
"ţii",2921
" vă",2920
"pun",2900
" mu",2892
" sp",2887
"i D",2875
" sc",2856
"or,",2853
"s: ",2848
"ă f",2835
"ces",2820
"nea",2819
"inţ",2818
"pîn",2815
"ămî",2807
"era",2801
"tur",2797
"ael",2774
" el",2769
"spu",2766
"acă",2762
"tel",2739
" mă",2722
"n p",2721
" fo",2686
"nai",2672
"le,",2669
"ntu",2651
"cat",2641
" ei",2630
"rii",2623
"sra",2622
"rae",2621
"Isr",2619
"fac",2597
"u a",2584
"ea,",2584
"art",2580
"une",2574
" ci",2572
"eri",2567
" tă",2566
"iul",2557
"fi ",2549
"pă ",2544
"upă",2529
"tot",2524
"na ",2515
"l c",2507
"eu ",2501
"ăcu",2501
", n",2469
"a n",2467
"nim",2464
"cum",2463
"făc",2460
" as",2456
"is:",2434
" er",2421
"ără",2418
" te",2414
"ini",2402
"ela",2392
"ui.",2390
"pus",2389
"îng",2381
"cur",2381
"n m",2373
"i e",2368
" pa",2364
"înă",2364
"t s",2358
"mar",2352
"vă ",2352
"răs",2350
"ară",2349
"imi",2342
"l s",2340
"ot ",2340
"oţi",2340
"scă",2333
"ime",2331
"luc",2325
"cei",2309
"adu",2309
"dar",2306
"e u",2302
" ap",2299
" am",2293
"oam",2278
"ara",2277
"men",2276
"l d",2262
"i i",2253
"ric",2252
"ni ",2250
"rte",2246
"u î",2233
"ucr",2208
"eci",2208
"te,",2205
"esc",2200
"ase",2188
"a ş",2186
"uit",2184
"riv",2181
"tin",2166
"fii",2162
"ura",2157
"fie",2137
"del",2132
"dat",2128
"opo",2124
" pî",2123
"ţil",2116
"fiu",2083
" pl",2080
"e -",2072
"ise",2072
"re,",2069
"nii",2068
"i o",2067
"u e",2061
"orb",2053
"n a",2049
"spr",2047
"u t",2046
"zec",2036
"el,",2026
"run",2026
"ăţi",2021
"nit",2018
"a r",2013
"ute",2005
"îni",2004
"dup",2002
" vr",2002
"ame",1976
"u m",1967
"căc",1967
"e r",1962
"ete",1960
"dea",1959
"mi ",1956
"n, ",1953
"pot",1953
"cas",1952
"ina",1949
"vin",1949
" om",1945
"ă m",1943
" El",1943
"duc",1939
"eme",1937
"apt",1930
"tră",1913
"cet",1912
", D",1911
"ito",1906
"cer",1900
" ia",1889
"t a",1882
"cop",1879
" oa",1879
"mea",1876
"oas",1875
"ne,",1873
"pop",1873
"alt",1869
"zic",1866
"n s",1863
"nde",1862
"um ",1862
" sl",1851
"pte",1845
" ro",1845
"eca",1845
"iii",1844
"eru",1838
"opi",1831
"ede",1829
"uce",1828
"eul",1823
"a D",1806
"st ",1805
"ii,",1804
"u d",1804
" Şi",1802
"ît ",1799
" Me",1799
" in",1797
"iil",1795
" i ",1784
"put",1780
" dr",1778
"e b",1766
"leg",1764
"ult",1762
" pi",1761
"t l",1750
"ece",1744
"'au",1743
"eau",1738
", v",1737
"u f",1721
"a u",1714
"ţa ",1703
"tar",1703
"ei,",1702
"des",1698
"ţar",1698
"iri",1698
"mel",1695
"rim",1695
"fos",1689
"a e",1686
"cru",1685
"elo",1673
"mă ",1672
"dec",1668
"n t",1666
"ris",1663
"stă",1661
"m, ",1658
"uns",1657
"El ",1653
"num",1647
"i; ",1643
"otr",1642
"r l",1642
"r c",1639
"l v",1631
"pro",1630
"is ",1628
"l m",1618
" Da",1618
" sa",1617
"nil",1617
" bu",1615
" ai",1614
"i u",1613
"eam",1610
"sus",1607
"sa ",1602
"-au",1597
" n'",1596
"ă t",1595
"ună",1593
" ţa",1593
"ă -",1591
" aş",1589
"ten",1586
"oşt",1585
"at,",1574
"rit",1572
" -i",1571
"ua ",1564
" mo",1563
" -l",1560
"n l",1552
" ch",1552
"aru",1552
" tu",1551
"mpo",1551
"ia,",1545
"a o",1543
" sf",1540
"ind",1530
"iat",1527
" fr",1526
"n'a",1524
"ăto",1522
" Ie",1519
"aco",1517
"; ş",1516
" Io",1514
"rur",1510
"cre",1506
"iar",1501
"i r",1500
" ur",1500
"-l ",1496
"-i ",1496
"al ",1495
"şa ",1492
"l p",1489
"nţi",1489
"ave",1489
"ri,",1487
"vre",1485
"or.",1481
"măr",1479
"rel",1477
"ven",1476
"nge",1475
"eu,",1471
"i A",1469
"vîn",1466
"elu",1465
", l",1464
"l î",1462
"u l",1459
"cui",1457
"iva",1452
"mur",1450
"lea",1449
"r d",1449
"ume",1447
" bă",1437
" Lu",1436
" fe",1434
" ti",1433
"lua",1432
"nca",1431
"cuv",1429
"t ş",1425
"sc ",1424
" ju",1420
"oro",1417
"eea",1409
"ătu",1407
"ţi,",1404
"olo",1401
"tun",1400
"cee",1400
"asa",1394
"păm",1393
"i. ",1389
"l t",1387
"Lui",1386
"ns ",1382
"ăsp",1374
"a i",1373
"rîn",1371
"par",1368
"ău ",1359
"`` ",1357
"pes",1353
"dus",1352
"ist",1349
"n f",1349
"i b",1348
"ti ",1345
"cît",1343
"ă ş",1340
", t",1338
"raţ",1331
" av",1325
"Dar",1323
"i-a",1322
"rei",1320
"n v",1320
"s l",1319
"tă,",1318
"s, ",1317
"ruc",1315
"tău",1310
"cio",1310
"toţ",1309
"Isu",1307
"pii",1305
" ţi",1300
"sti",1295
"ură",1295
"rec",1293
"ciu",1293
"Căc",1287
"mic",1282
"ucă",1280
"i M",1271
"ouă",1271
"răm",1268
"dac",1265
" Ta",1263
"!``",1258
"ecu",1248
"uie",1236
"rbe",1235
"ieş",1233
"dre",1232
"noa",1230
"i: ",1228
"unu",1227
"Iud",1224
"ntî",1223
"e; ",1221
"vei",1221
"Ier",1215
"mpr",1214
"ter",1214
"inc",1207
"uia",1207
"sal",1206
"nec",1205
"tem",1205
"sup",1200
"da ",1199
"ta,",1199
"mpl",1197
"făr",1197
"m a",1193
"Să ",1187
"fel",1187
"avi",1184
"dou",1182
" bi",1182
"red",1175
" Iu",1172
"u n",1169
" cr",1169
"slu",1168
"iun",1165
"vea",1165
"luj",1161
"e i",1158
" ie",1158
"l n",1158
"iei",1157
"una",1152
"ept",1151
" şa",1149
"ali",1145
"mei",1143
"it,",1142
"uni",1141
"ite",1140
"lin",1140
"fra",1137
"bin",1134
"uda",1134
" gr",1126
"uvî",1124
"îi ",1119
"asu",1117
"aţa",1116
"d a",1116
" Sa",1115
"tui",1114
"l ş",1112
"ţel",1108
"col",1107
"ma ",1107
"nto",1106
"pat",1104
"ndu",1104
"jur",1104
"ie,",1103
"Dav",1103
"vid",1103
"bun",1102
"ude",1100
"unt",1098
"zut",1095
"reo",1092
"s î",1090
"veţ",1087
"poi",1085
"nir",1085
"lta",1084
"îns",1079
"lţi",1078
"cun",1077
"lim",1077
"ziu",1076
"mor",1076
"rem",1075
"nia",1074
"nţe",1073
"sto",1072
"bat",1071
"e: ",1068
"r î",1067
"tfe",1064
"nel",1064
"m s",1063
"căp",1063
"e I",1063
"aşa",1060
"zi ",1057
" an",1056
"c, ",1054
"dă ",1054
"le.",1052
"urm",1052
"rob",1051
"ert",1050
"ău,",1045
"ese",1045
" or",1044
"roc",1043
"roa",1042
"r p",1038
"; c",1036
"ul.",1035
"uat",1031
"tăr",1031
"iua",1030
"păc",1029
"rie",1029
"i z",1028
"n ţ",1027
"bit",1027
"tăl",1025
"e. ",1024
"rţi",1021
"i S",1021
"r s",1018
"meu",1013
"ami",1012
"trî",1011
"use",1009
" ea",1002
"tra",1002
"eta",1002
"utu",999
"pul",996
"ină",994
"amu",994
"nce",990
"sem",990
"ois",990
"ani",989
"n z",988
"Eu ",988
"Iat",986
"e z",986
"ier",986
"vit",985
"i E",985
"idi",984
"pie",981
" -o",980
"otu",979
"ge ",977
"nev",977
"mil",976
"dom",976
"lat",973
"ită",971
"căr",970
"gă ",969
"băt",965
" şt",965
"ins",962
"poa",962
"răt",960
"ţi-",959
"oap",957
"om ",957
"ica",957
"Nu ",957
"ăzu",956
"?``",956
"ă i",955
"sco",955
"e M",954
"em ",953
"und",952
"n n",951
" nă",951
"ebu",951
"rau",949
"faţ",948
"per",947
