"ġ-",7605
" ġ",6441
" n-",6312
"an ",5532
" a-",5482
"lli",5296
"ġ ",4419
"in ",3726
" s-",3716
"iġ",3530
" ya",3414
"ar-",3332
"n a",3274
"ur-",3272
"ad-",3268
"bbi",3006
" ar",2978
"rbb",2933
"-ns",2932
"a-t",2925
"a-i",2805
"n i",2731
"wal",2708
"ini",2634
"la ",2578
"lla",2520
"ni ",2483
" ma",2446
"li-",2423
" ll",2415
"-as",2404
"n, ",2357
"n-i",2259
" is",2219
"ra-",2195
" d-",2181
"nin",2175
"nna",2115
" ur",2072
" f-",2058
"r-t",2051
"nni",2017
"ġa",2008
"n g",2001
"li ",1975
"ill",1934
"ma-",1921
"nġ",1908
"-is",1863
"bi ",1848
"ull",1847
"n-t",1813
" i-",1809
"ar ",1800
"yan",1800
"ašk",1783
"ala",1752
"llu",1749
"ra ",1739
", i",1733
": «",1717
", a",1714
"ad ",1711
"yas",1701
"kul",1693
" ig",1690
"-ya",1689
"a n",1688
"-ra",1635
"ula",1629
"-wa",1624
"-in",1617
"ḍa",1608
"-ur",1594
" ul",1594
"ma ",1593
"mma",1592
"asu",1568
" ad",1557
"zġ",1553
"-ig",1540
"ddn",1530
"d-a",1521
"aġ",1503
"i i",1499
" ku",1495
"sn ",1483
"lay",1475
" zg",1474
" rb",1472
"-tt",1467
"suɛ",1466
"rad",1466
"ayn",1458
"-nn",1451
"rn ",1448
" ta",1430
"asn",1429
"̇-t",1422
"-rb",1377
"kra",1375
"awn",1374
"n s",1369
"i a",1348
"arn",1346
" im",1343
"-d-",1336
" wa",1333
"ku ",1328
"s-t",1326
"n n",1326
"t n",1325
"dn ",1322
"šku",1316
"-tg",1312
"s-i",1297
"is-",1289
"n-a",1276
"d-i",1273
" ra",1267
"n-n",1266
"ynn",1263
"a-y",1253
"dar",1252
"iga",1248
"i-a",1245
"tti",1244
"as ",1242
"-da",1239
"mdd",1236
"aḍ",1226
"lu ",1220
"imm",1210
"a-n",1209
"n-r",1204
"iss",1204
" ba",1203
"us ",1201
"nng",1196
"-it",1189
"n-u",1182
"̇-i",1178
"r-i",1171
"a i",1168
"lig",1167
"yad",1161
"ayt",1156
"ns ",1153
"dda",1145
"i-t",1131
"-tm",1130
" ti",1129
"un ",1128
"a-s",1127
"na ",1117
"-d ",1111
"n l",1099
"tin",1091
"yin",1084
"a g",1081
"-tn",1075
"at ",1075
"wn-",1068
"-ta",1067
"lma",1064
"i, ",1062
"ġi",1057
"-t-",1057
"aya",1051
"gan",1051
"uɛ ",1045
"awa",1036
"n. ",1029
"an-",1026
"d i",1022
"d a",1021
"n-d",1016
"i-i",1015
" kr",1009
"-ss",1002
" aš",996
"-ma",995
"-im",994
"̣ar",992
"ssa",986
" ay",984
"asi",973
"kar",973
"̣ḍ",968
"ann",964
"t-i",959
" yi",958
"iḥ",957
"l-l",957
" il",955
"-ts",955
"fll",953
"ḥ ",950
"-yu",945
"ġm",937
"win",931
"ih̬",931
"it ",924
"ni-",923
"wan",919
"ska",913
"nt ",908
"ddu",899
"mas",885
" nt",885
"mġ",884
"n m",883
"̇mk",881
"ara",880
"̇-u",880
"a a",877
"as-",874
"-a-",872
"in-",872
"n d",870
" l-",865
"lan",864
"may",864
"a-d",860
"a, ",857
"tta",857
"am ",855
"-lm",849
"an.",846
"n y",843
"idi",842
"i n",831
"inn",830
"-il",827
"r-a",825
"-aw",819
" in",818
"t i",818
" if",807
"ga ",801
" md",796
"uḥ",788
"-ad",787
"an,",786
"san",785
". i",784
"ili",783
" lm",777
"̇ar",775
