" a ",33156
" po",22649
"ho ",18384
", a",18055
" pr",17765
" na",17707
"ch ",15339
" ne",14787
" je",14593
"voj",13713
"na ",13670
"kto",13362
"a, ",13311
", k",13174
" sa",12571
"om ",12016
" kt",11449
" sv",11282
"li ",11272
"sa ",11140
" do",11072
"tor",10978
"to ",10070
"a p",9736
"je ",9666
"o s",9478
"ovi",9440
"al ",9144
"pod",9117
"svo",9055
"odi",8968
"eho",8321
"a n",8287
"a s",8278
" ho",8100
"ich",8044
"by ",7959
"nov",7886
"bud",7850
"a v",7721
" to",7688
"spo",7563
"pre",7451
" st",7423
"e s",7304
" za",7294
" v ",7271
"din",7268
" bo",7222
"i, ",7183
"osp",7068
"e, ",7061
"ove",6940
"Hos",6896
"il ",6890
" Ho",6820
"te ",6678
"bol",6602
"ebo",6600
" bu",6564
"ved",6524
"o, ",6486
"sta",6436
"ých",6418
"ej ",6331
" od",6273
"pov",6133
"ude",6125
" vy",6048
"pri",5985
"i s",5962
"že ",5855
"lov",5810
" so",5790
"m, ",5653
"jeh",5549
"ovo",5515
"u, ",5489
"ko ",5435
" kr",5435
" že",5409
"do ",5334
"a t",5288
"dal",5274
"de ",5258
"nie",5245
"ia ",5205
"ost",5174
" te",5153
"ov ",5137
"tvo",5128
"hov",5065
"ol ",5045
"y s",5023
"mi ",4995
"mu ",4980
"šet",4960
" vš",4959
" ta",4956
" si",4944
"aby",4941
" ve",4929
"oje",4928
"ali",4927
"bo ",4910
" ni",4907
"vše",4877
"est",4866
"ako",4852
"o v",4819
"a z",4724
"syn",4707
"a a",4702
"ého",4692
" sy",4611
" me",4552
"le ",4538
"som",4528
"rie",4448
" ab",4433
" ob",4425
" z ",4421
" tv",4407
"l s",4395
" ro",4378
" vo",4346
"orí",4338
", p",4316
"vor",4308
"ova",4305
"o p",4293
" ja",4277
" ic",4272
"i n",4151
"ili",4145
"eda",4127
"o m",4110
" sl",4106
"ti ",4104
"la ",4090
"ale",4046
"o d",4038
"eď ",4038
"el ",4009
"e n",4009
"a b",3944
" ke",3925
"ie ",3914
"si ",3914
"oho",3900
"lo ",3892
"etk",3887
" mo",3870
" i ",3867
"e p",3850
" mu",3838
"rí ",3838
", ž",3807
"orý",3806
", s",3796
"a m",3784
"tak",3717
"e v",3706
"a o",3699
"krá",3666
"a d",3651
"ať ",3603
"val",3511
"i v",3477
"ou ",3456
"leb",3456
"sti",3456
"str",3443
" sp",3435
" le",3425
"ráľ",3420
"o t",3407
"m s",3400
"ani",3382
"o n",3373
"a k",3370
"e t",3367
"via",3366
"red",3364
"i a",3349
"ech",3321
" mi",3320
"ne ",3312
"od ",3306
"dom",3279
", n",3269
"keď",3261
" ma",3246
"a j",3231
"iek",3223
"zem",3218
"me ",3214
"ak ",3193
"eni",3192
" ná",3187
"pro",3185
"vid",3176
"oji",3165
" ze",3144
"iac",3139
"y, ",3130
"i p",3127
"iel",3119
"oko",3114
"eto",3094
"h, ",3079
"rav",3077
"rý ",3063
"ni ",3060
" A ",3059
", v",2974
"v, ",2956
"o b",2953
"jak",2939
"dy ",2937
"e a",2933
"em ",2931
"elo",2928
"sto",2914
"za ",2911
"kol",2910
"čo ",2901
"yno",2900
" vi",2896
"ov,",2896
"pra",2891
" Je",2880
"o j",2871
"cho",2860
"ino",2837
"ste",2833
"o z",2828
" Bo",2826
"ch,",2809
"vo ",2798
" Iz",2790
"zra",2789
"šie",2767
"ael",2764
"ach",2762
"vi ",2747
"om,",2716
"jej",2709
"tom",2703
". A",2695
"a r",2684
"aj ",2684
" s ",2683
"e m",2676
"oré",2662
"ho,",2655
" čo",2651
"zal",2650
"ám ",2646
"ky ",2644
" al",2618
"rae",2616
"pos",2607
", t",2593
"ím ",2582
"roz",2550
" ch",2547
" sú",2522
" vá",2507
"neb",2503
"ami",2487
"u a",2480
"Izr",2466
" ak",2458
"l, ",2456
"oto",2455
"ori",2451
"i t",2450
"jho",2441
"vie",2435
"olo",2434
"eme",2431
"m p",2430
"re ",2423
" zo",2414
"n, ",2388
"nia",2387
" sm",2379
"ný ",2375
"ja ",2369
"pok",2361
"e j",2353
" by",2353
"dov",2351
"men",2349
"i m",2340
" ľu",2333
"osť",2326
"né ",2319
", č",2317
"ist",2317
"o k",2313
"nep",2313
"edy",2311
" se",2307
" k ",2301
"u s",2280
"sť ",2279
"ým ",2278
" ce",2273
"ľov",2270
"ed ",2269
"ret",2263
"moj",2263
" ti",2257
"o o",2245
"m a",2241
"ku ",2230
" tr",2219
"ju ",2211
"obe",2204
"ľud",2190
"vek",2188
", l",2184
"m v",2181
"a h",2181
"h s",2179
" ka",2161
"dob",2159
"e z",2156
", j",2142
"kov",2132
"ci ",2131
"ajú",2128
" ko",2128
"im ",2124
"den",2121
"tal",2117
"ažd",2112
"obr",2103
" an",2092
"ojh",2091
"iť ",2084
"l: ",2075
" ri",2068
"ted",2067
"Ale",2057
" mn",2044
"ový",2039
"ré ",2030
"e o",2029
"eko",2028
"po ",2027
" de",2024
"ten",2023
"oro",2012
"eli",2007
"dú ",2006
"ože",1998
"e d",1989
"o a",1972
"ies",1969
"jed",1945
"nej",1924
"a i",1920
"stv",1919
"vi,",1916
"oli",1909
"ril",1903
"och",1894
"poč",1892
"žiš",1888
"toh",1882
"cha",1881
"rob",1877
"bra",1867
" zá",1866
"i z",1864
" hr",1863
"ly ",1861
" da",1856
"in ",1854
"m n",1845
"rom",1843
" aj",1841
"ede",1827
"eš ",1826
"hla",1825
"čin",1824
"i j",1817
"oti",1817
"mes",1816
"u p",1813
"iat",1812
"dia",1808
"ore",1808
"i d",1804
"jic",1799
"stá",1795
"áľo",1793
"užo",1789
"tov",1787
"o h",1784
"l v",1778
"Leb",1776
"ave",1774
"výc",1772
"avi",1770
"en ",1770
"A t",1770
"jú ",1768
"rot",1759
"del",1758
" ru",1758
"obi",1754
"alo",1752
"edi",1747
"bil",1746
"rod",1744
"nad",1739
"l n",1738
", z",1731
"ní ",1731
"ola",1729
"nev",1725
" dv",1724
"slo",1724
"í, ",1724
"va ",1724
"dem",1721
" br",1720
"j s",1719
"muž",1715
"to,",1713
"len",1694
"dil",1694
"e b",1692
"ľa,",1690
", d",1689
"kon",1689
"ť, ",1686
"e k",1685
"omu",1684
"y n",1681
"A k",1678
"ete",1676
"l p",1672
"osl",1668
"mno",1665
"ma ",1663
"udú",1660
", o",1659
"mie",1659
"dli",1654
"nil",1652
"ia,",1650
" ot",1645
"oju",1645
"Boh",1645
"ník",1641
"hľa",1636
"ust",1625
"y p",1623
"era",1622
"iáš",1616
"vať",1612
"ad ",1610
"ení",1610
"nec",1607
"ruk",1605
"žen",1602
" vr",1599
" tý",1596
"ria",1589
"rok",1585
"ri ",1582
"i: ",1581
" uč",1578
" zl",1577
"y a",1572
"oha",1567
" ži",1565
"néh",1565
"uje",1565
" im",1561
"ávi",1557
"til",1554
"h p",1544
" či",1544
", b",1529
"ala",1525
"šli",1525
"nem",1517
"rát",1512
"ený",1509
"mi,",1504
"ona",1504
"na,",1501
"ľa ",1500
"esi",1498
"ide",1496
"o r",1496
"die",1495
"teb",1495
"sia",1492
"i o",1492
"sú ",1486
"ta ",1483
" os",1482
"áva",1481
"ne,",1479
" dr",1476
"ním",1476
"edo",1473
"mil",1472
"slu",1469
" pa",1465
"nom",1463
" hl",1456
" Jo",1454
"a u",1451
"edz",1446
"hod",1443
"l a",1440
"i b",1434
"on ",1434
"obn",1429
"stu",1428
"uči",1424
"oj ",1422
"tan",1421
"spr",1416
"tko",1414
"nos",1413
"e h",1411
"Bôh",1408
"v a",1401
"jde",1392
"iši",1392
"vil",1391
"y v",1388
"cov",1386
"ivo",1385
" Bô",1383
"riš",1381
"rad",1379
"med",1378
"í s",1376
"cel",1373
"tký",1369
"tia",1361
"tav",1361
"m t",1360
"eno",1360
" on",1359
"ebe",1358
"ebu",1352
"úc ",1351
" mô",1347
"išl",1347
" sk",1345
"oja",1340
"ilo",1335
"ate",1331
"om.",1330
"tie",1326
"A p",1326
"i k",1322
"ka ",1321
"mal",1320
"u n",1311
"edn",1307
"ane",1307
"kaž",1305
"odo",1304
"tre",1303
"sme",1296
"ini",1295
"al:",1293
"veľ",1292
"kom",1292
" hľ",1291
"áro",1291
"hor",1289
", m",1286
" va",1283
"tky",1283
"vät",1281
"zo ",1280
"tri",1277
" ra",1273
"ros",1269
"nic",1265
"epr",1264
"zi ",1258
"pol",1258
" Dá",1256
