"in ",37718
" in",34975
"je ",30032
" je",23784
" po",21800
" pr",21791
" se",18588
" na",18556
", k",16724
" v ",14244
"li ",13752
" da",13663
"se ",13379
"voj",12918
"i s",12694
"a, ",12497
" za",12146
" nj",12079
"ne ",11422
"nje",11370
"ga ",11062
"ih ",10854
"i, ",10801
"ti ",10774
" ne",10531
"da ",10529
"e, ",10365
"ki ",10314
"ega",10138
"em ",10061
"e p",10058
" sv",10033
"In ",9757
" so",9542
"na ",9331
" bo",9327
" ka",9232
"pri",9149
", d",8924
" mo",8843
"so ",8811
"a s",8786
"jo ",8777
"aj ",8734
"gov",8658
"o s",8556
" bi",8532
", i",8531
"svo",8263
" ki",8228
" te",8153
"pre",8124
"e s",7939
"jeg",7872
" si",7813
"oje",7808
"ko ",7800
"il ",7749
" vs",7613
"ost",7557
" iz",7554
" me",7547
"jih",7518
" pa",7510
"te ",7450
" st",7426
"ako",7311
"e n",7192
"e b",7082
"i p",7067
"e v",7051
"o p",7034
"bil",7017
"GOS",6848
"OSP",6848
"SPO",6848
"POD",6848
"o, ",6806
" ve",6768
"ali",6676
"sta",6670
" GO",6668
" od",6615
"e i",6598
"ove",6558
"ovi",6555
"ni ",6497
"i n",6460
"di ",6394
"a n",6345
"avi",6269
" kr",6250
"i v",6139
"er ",6032
"n p",6028
" de",5910
"a p",5853
"al ",5613
"sto",5602
" re",5559
"pa ",5551
"rav",5504
"i i",5492
"ovo",5487
"tvo",5431
"a i",5428
"ori",5399
"sti",5396
"lje",5391
"o v",5338
"n s",5311
"im ",5311
"nji",5276
"pra",5267
" ji",5221
" ko",5196
"ego",5163
"sem",5159
"i j",5147
" go",5098
"ri ",5057
" ni",4954
"ili",4913
"ja ",4910
"kra",4903
"eli",4894
" do",4880
", s",4871
"la ",4865
"do ",4795
"a j",4790
"to ",4788
"vi ",4783
" ob",4779
"m, ",4769
"a v",4766
"jim",4734
"or ",4657
"o i",4643
"el ",4633
"jem",4539
"od ",4522
"no ",4497
"nik",4450
"odi",4438
"e z",4438
"lju",4438
"lo ",4428
"est",4410
"ta ",4403
"val",4394
"nov",4391
"u, ",4378
"sin",4378
"naj",4376
" Bo",4365
"ral",4361
"mu ",4351
"pos",4347
"ist",4342
" ti",4317
"n v",4287
"o n",4282
"e t",4274
", p",4253
"reč",4251
"mi ",4248
"vse",4214
" va",4214
"za ",4184
"ese",4124
"alj",4099
"oji",4072
"po ",4060
"ter",4058
"lov",4058
" ga",4048
"n n",4047
"ed ",4038
"e m",4020
"si ",4018
"red",4002
"bod",3996
"e o",3993
"o j",3978
"del",3967
", n",3962
"ova",3944
" to",3891
"i t",3878
"ilo",3876
"eče",3864
"ino",3806
"i m",3734
" ro",3730
"kor",3725
"men",3722
"vor",3715
"e d",3663
"anj",3662
"ide",3657
"jen",3624
"moj",3604
" z ",3603
"ite",3601
"elo",3594
"e j",3577
"emu",3570
"ar ",3564
"kak",3560
" ra",3552
"odo",3522
" tv",3519
"de ",3487
"ste",3477
"pod",3467
"bi ",3456
" mi",3445
"Bog",3418
"kaj",3415
"ore",3414
"a m",3414
"tor",3405
"a b",3401
"j, ",3401
"če ",3368
"am ",3356
"eda",3352
"iz ",3333
"i d",3297
"stv",3226
" lj",3211
"vel",3208
"spo",3146
"n k",3131
"pro",3107
"raz",3105
"eni",3081
"a d",3078
"a t",3077
"udi",3067
" Iz",3057
"o d",3055
"sed",3043
"o m",3036
" ta",3008
" im",2999
"rok",2978
"o t",2956
"i z",2945
"ov ",2941
"dar",2937
"vo ",2931
" Je",2912
"rod",2910
"nja",2906
"ejo",2906
"oče",2899
"i o",2892
"om ",2890
"ene",2888
"je,",2878
"zra",2874
"ael",2860
"ril",2857
"lja",2847
"ate",2832
" vi",2811
"dov",2801
"l, ",2801
"me ",2785
"daj",2778
"i b",2771
"ela",2760
"a o",2760
"va ",2750
" vo",2730
"rae",2721
"Izr",2715
"ga,",2699
"rej",2695
"ede",2688
" tu",2686
"mes",2683
"n o",2676
"o b",2664
"vid",2649
"rid",2641
" mu",2630
"n j",2629
"jud",2617
"o z",2609
"a z",2606
"ajt",2604
"ato",2588
"ime",2585
", t",2579
"ve ",2577
"r s",2574
"n z",2572
"r j",2572
"m s",2555
"ji ",2553
", v",2548
"oli",2543
" sl",2535
"uje",2531
"enj",2502
"e k",2493
"tis",2477
" le",2473
"bo ",2463
"ila",2456
" gl",2438
"en ",2436
" gr",2428
"jev",2403
"tem",2397
"dst",2395
" sr",2394
"vet",2379
"iti",2372
" s ",2365
"ej ",2364
"eže",2364
"elj",2362
"i k",2355
"pov",2354
", o",2353
"ani",2351
"mo ",2348
" tr",2340
" oč",2339
"dal",2332
" br",2328
" hi",2320
"ode",2307
"dil",2291
"ajo",2267
"tud",2258
" dr",2257
"j s",2252
"n m",2250
"o o",2248
"e: ",2212
"oko",2205
" sp",2202
"ari",2199
"str",2195
"eno",2194
"l s",2190
"n d",2186
"h, ",2172
"uds",2170
"m p",2166
"rat",2157
"ja,",2149
"re ",2144
" vr",2138
"žel",2136
" du",2121
"bra",2119
"edi",2115
"sve",2114
"dan",2109
"nam",2102
"pot",2098
"e r",2091
"o k",2077
"ame",2073
"dež",2073
"reb",2069
"ebi",2063
"ati",2062
"iva",2061
"hiš",2054
"n t",2049
"st ",2045
"ina",2044
"rek",2041
"i g",2040
"oči",2039
"v s",2038
"alo",2037
"iko",2037
"v, ",2033
"ena",2008
"eva",2005
"tan",2005
"a k",2004
"et ",1997
"ke ",1983
"vih",1982
"m i",1978
"eti",1976
"oga",1974
"pol",1965
"aka",1956
"gre",1954
"olj",1947
"kri",1944
"jti",1944
"lik",1930
"osp",1929
"eri",1926
" k ",1925
"živ",1923
"ane",1920
"dob",1919
"kar",1914
"tav",1912
"nos",1911
"; i",1909
"ete",1909
"zna",1908
"em,",1895
"tra",1894
"med",1892
"eko",1877
"mor",1874
"lej",1871
"ami",1870
"hov",1870
"ele",1868
"jal",1867
"neg",1852
"m v",1850
"nad",1847
"ija",1847
"n g",1843
", z",1840
"obl",1835
" ži",1827
"oti",1825
"ijo",1823
"as ",1822
"nil",1822
"OD ",1796
"bes",1791
"oj ",1788
"osl",1787
" on",1784
"n r",1781
"ale",1779
"gla",1766
" že",1763
"ved",1758
"ave",1757
"ODO",1754
"čet",1752
"ust",1744
" be",1741
"ad ",1733
"še ",1733
"oro",1727
"l v",1723
"obr",1722
"li,",1722
"i: ",1720
"i G",1720
"ti,",1718
"e g",1715
"n i",1712
"ker",1710
"pok",1707
"ev ",1707
"ine",1706
"vam",1702
"ast",1702
", j",1698
"imi",1697
"ope",1697
"m j",1695
" jo",1684
"ka ",1683
" ke",1683
" In",1681
" no",1674
"an ",1672
"več",1669
" os",1669
"a g",1651
"ju ",1645
" ja",1641
"rit",1639
"ce ",1638
", g",1637
"j p",1632
" vz",1632
"amo",1626
"jo,",1624
" sk",1624
"tak",1623
"teg",1622
"kat",1619
"oda",1617
"n, ",1616
"eč ",1616
", a",1615
"tov",1615
"gle",1613
" Jo",1608
"če:",1606
"mož",1604
" pe",1602
"lav",1594
"kov",1593
"l j",1592
"nar",1592
"eta",1591
"ej,",1591
"im,",1589
"evi",1585
"vsa",1583
"ran",1578
"l p",1576
"dru",1575
"veg",1574
" Da",1567
"ih,",1559
"le ",1555
"set",1555
"ojo",1554
" zo",1551
"naš",1550
"zak",1547
"žen",1546
"iso",1542
"o g",1538
" še",1537
" ma",1536
"van",1536
"zap",1532
"zem",1531
"teb",1530
"ves",1528
"v d",1525
"ogo",1524
"išč",1524
"og ",1523
"hod",1518
"m n",1516
"eh ",1516
" sm",1515
"jte",1515
"DOV",1511
"ere",1510
"nas",1505
"r n",1504
"oja",1503
"gor",1503
"d n",1501
"let",1501
"vlj",1497
"v n",1496
"zop",1496
"res",1493
"rot",1491
"ala",1490
"raj",1488
"ana",1485
"n b",1483
"d v",1481
"udo",1478
" dv",1477
"v p",1477
"ebe",1472
"u i",1471
"arj",1471
"ci ",1470
"čen",1467
"des",1466
"u s",1462
"duh",1461
"h s",1452
"boj",1451
"ote",1447
"slu",1445
"e u",1444
"h p",1440
"kol",1436
"ris",1436
"ije",1434
" če",1432
"ši ",1430
"az ",1429
"e l",1426
"ima",1424
"ano",1419
"ava",1407
" Go",1407
"či ",1405
" sa",1405
"rje",1401
"vil",1399
"aro",1398
"riš",1397
"iče",1396
"te,",1396
"nis",1394
"rug",1390
"a r",1387
"sli",1386
"sla",1386
"lič",1377
" al",1376
"mlj",1372
" ho",1369
" Sa",1369
"pel",1368
"vra",1365
"tre",1362
" ze",1354
"ov,",1353
"bre",1351
"ma ",1343
"aja",1341
"ozn",1339
"ožj",1336
"nih",1333
"las",1333
"vim",1330
"kom",1330
"jej",1329
" dn",1329
"bla",1329
"kdo",1329
"den",1327
"eru",1326
"adi",1322
"sak",1322
"obi",1315
"ata",1306
"biv",1306
"zal",1305
"on ",1304
"Kaj",1303
"rem",1297
"ika",1295
"tni",1294
"per",1292
"lj ",1289
"liš",1289
"nes",1289
"oln",1284
"rad",1283
"eml",1281
" kd",1280
"Gos",1280
"pog",1278
"uho",1278
"dej",1273
"sa ",1266
"tel",1264
". I",1258
"pet",1257
" Ju",1257
"ovn",1256
"dne",1248
"lji",1246
"ca ",1245
"ara",1244
"ni,",1240
"nič",1240
"reš",1239
"Jud",1236
"vol",1227
" us",1225
"vas",1219
"avo",1218
"nan",1217
"omo",1215
"m t",1212
"r p",1211
"kle",1208
"apo",1206
"nic",1205
"ada",1205
", r",1202
"riv",1200
"tva",1199
", b",1198
"iki",1196
"rez",1194
" Ka",1193
" Mo",1191
"tal",1190
" um",1190
"vin",1189
"l i",1189
"vni",1187
"ice",1186
"ro ",1185
