"oo ",54798
" wa",45124
" oo",41608
"ay ",40643
"an ",38961
"aan",37395
"aa ",35423
"ii ",34412
" ku",26373
"ka ",25797
"aad",25324
"uu ",24762
" dh",24424
" iy",23294
"na ",22988
" ka",22735
"yo ",22709
"aha",22684
"iyo",22546
"axa",22437
"ku ",21382
"ada",21278
"wax",20946
" ma",20479
"ga ",19725
"kii",18652
" ah",18252
"naa",18057
", o",17879
"dha",17857
"doo",17796
"a w",17425
"oon",17379
"aas",17261
" la",17142
"da ",17044
"iis",16734
" in",15596
"waa",15561
"yaa",15336
" da",15154
"a a",15116
" ba",14913
"een",14793
"dii",14587
"ad ",14540
"a k",14404
"a i",14386
"a, ",14301
"laa",14134
"haa",13884
"iin",13695
"gu ",13665
"aga",13494
" u ",13356
" do",13208
"xaa",13192
"aya",13046
"a d",13014
"dhi",12871
"in ",12858
"o w",12728
"isa",12479
" ha",12407
"o d",12231
"n, ",12222
"add",12090
"ark",11850
"ana",11786
"Oo ",11738
"iya",11690
"iga",11548
" wu",11348
"kaa",11253
"hay",11230
"aal",11120
"aba",11045
"abb",11038
"a s",11036
" sa",10921
"ina",10884
" si",10781
" ay",10773
"aah",10758
"daa",10722
" aa",10654
"taa",10624
", i",10543
"o a",10518
"rka",10362
"ona",10078
"y, ",10077
"n d",9771
"uxu",9750
"xuu",9744
"ah ",9735
"baa",9680
"bbi",9480
"ood",9424
"ree",9278
"wux",9248
"la ",9240
"saa",9128
"hii",9106
"ay,",9061
"eer",8937
"big",8932
"soo",8927
" so",8838
"eed",8667
"u d",8658
"u w",8646
"ba ",8553
"o, ",8542
"sii",8464
"xay",8454
"ara",8406
"ha ",8335
"raa",8284
"i d",8264
"ala",8226
" is",8186
"nay",8028
"idh",7988
"u s",7978
"Rab",7904
"adi",7903
"sha",7899
"maa",7760
" qa",7743
"n i",7714
"a l",7696
"nta",7692
"aay",7669
"dda",7638
"o k",7591
"aab",7583
"had",7525
"dee",7447
" yi",7380
"a m",7370
" Ra",7292
"nna",7290
"en ",7214
"u k",7182
"n k",7172
"tii",7120
", w",7105
" ca",6957
"mar",6951
"er ",6913
"ida",6882
"lka",6857
"a b",6821
"asa",6777
"gaa",6665
" ta",6581
"ray",6576
"san",6575
"o i",6529
"day",6483
" re",6469
"han",6461
"ayn",6392
"eey",6389
"aag",6336
"a h",6313
"i, ",6300
" ji",6288
"gii",6272
"idi",6238
"bad",6228
"u y",6215
"iil",6181
"lay",6131
"an,",6087
"tay",6077
"oqo",6057
"a o",6032
"yid",5995
" ga",5991
"ays",5987
"yee",5975
"a u",5946
"ama",5910
"ma ",5880
"ta ",5857
"as ",5848
"ayo",5808
"sid",5796
"yey",5763
" bi",5647
"ink",5597
"i a",5516
"u a",5511
" sh",5508
"mee",5474
"nu ",5451
"aca",5448
"se ",5419
"ash",5397
"alk",5395
"igu",5381
"adk",5357
"o m",5220
"dan",5192
"dad",5192
"y i",5169
"int",5150
"yo,",5073
"aar",5058
" xa",4928
"iye",4920
"aa,",4831
"o s",4818
"yad",4813
"o b",4803
"qor",4800
"aa'",4790
"jir",4745
" we",4743
"ayd",4705
" ho",4668
"inu",4658
"aki",4606
"n a",4604
"sag",4604
"uus",4589
"sa ",4587
"eli",4555
"dka",4548
"aak",4542
"una",4540
" bo",4514
"y k",4512
"Ila",4476
"wad",4458
" ug",4456
"ann",4454
"agu",4442
"eel",4432
"mid",4375
" na",4355
"Mar",4338
"n w",4321
"ihi",4299
"a q",4289
"ugu",4278
"nka",4271
"dhe",4264
"oog",4261
"goo",4257
"ax ",4256
"ar ",4251
"al ",4251
" Il",4238
"kuw",4190
"n o",4182
"shi",4174
" mi",4170
"loo",4161
" id",4148
"ira",4141
"mad",4126
"adh",4108
"hi,",4107
"din",4086
"ata",4082
"sam",4043
"kal",4033
"ey ",4021
"inn",3995
" gu",3994
"dab",3983
"yag",3975
"boq",3962
" le",3950
"ale",3944
"a g",3916
" Oo",3903
"a c",3874
"h, ",3863
"ado",3855
"ari",3789
"ima",3771
"oda",3765
" am",3760
" qu",3759
"gay",3753
"ay.",3751
"say",3736
"rki",3715
"way",3714
"u i",3702
"amm",3694
" no",3693
"ant",3690
"an.",3680
"isi",3670
"hoo",3664
" di",3640
"ali",3629
"i k",3628
"rta",3623
" de",3623
"yah",3616
"n s",3615
"y a",3607
"sta",3601
"bay",3595
" ya",3573
"id ",3570
" ni",3539
"kay",3527
" uu",3504
"ade",3502
"lah",3501
" Ma",3497
"ysa",3469
"ila",3468
"uur",3467
"all",3437
"yay",3425
"ooy",3407
"uud",3406
"a j",3385
"uwa",3359
"y d",3354
" ad",3343
"uma",3341
"bar",3333
"hee",3332
" Is",3332
"dal",3319
"en,",3316
" bu",3316
"buu",3306
"gga",3291
"y o",3288
"qaa",3283
"nin",3283
"ixi",3257
"u b",3239
"ayg",3226
"lag",3188
"a'i",3185
"hor",3173
"ah,",3164
" me",3162
"mma",3162
"ruu",3150
"nuu",3143
"lla",3133
"u h",3129
"a t",3118
"i w",3091
"u t",3083
"ees",3072
"lee",3069
"igi",3046
"may",3045
"eeg",3014
"eya",2990
"nti",2961
"gee",2946
"a n",2927
"d i",2926
" fa",2918
"a r",2915
", m",2914
"a y",2895
"bin",2895
" ti",2880
"awa",2867
"'ii",2866
"ed ",2862
"a x",2857
"u u",2854
"sad",2854
"lin",2846
"wii",2844
"n m",2842
"duu",2828
"d k",2818
"ort",2814
"aam",2813
"on ",2809
"dki",2800
"o h",2797
"r b",2792
"ddi",2789
"hex",2779
" ki",2779
"sra",2777
"o l",2767
"ela",2761
"dde",2742
"Isr",2727
"nse",2723
"ins",2721
"Waa",2718
"lab",2707
"aaw",2691
"gac",2691
"esh",2680
"aa.",2676
"ank",2674
"iba",2668
"il ",2657
"har",2655
" ee",2641
"aat",2638
"mag",2633
"u l",2632
" du",2631
" ye",2631
"dar",2631
"ddo",2628
"dhu",2620
"y w",2620
" Wa",2615
"o g",2612
"yn ",2612
"kee",2578
"too",2577
"ham",2574
"or ",2567
"a I",2555
"u j",2555
"sar",2543
"caa",2533
"u m",2522
"d, ",2505
"hal",2494
", O",2488
"d a",2483
"huu",2475
"Laa",2462
"lki",2461
"eye",2459
"ont",2459
"agg",2456
"u q",2447
"a R",2447
"uun",2442
"kan",2442
"y s",2441
"iri",2435
"lad",2434
"dah",2429
"can",2427
"uri",2424
"noq",2410
"yna",2407
"i i",2398
" wi",2384
"nki",2383
"n l",2379
", a",2374
"far",2372
"rig",2353
"od ",2340
"koo",2339
"wa ",2337
"o q",2335
"o c",2331
"ow,",2331
"isk",2326
"joo",2323
"w, ",2322
"ska",2319
"asu",2299
"bee",2298
"n b",2296
"oga",2293
"eda",2287
"o r",2284
"da,",2282
"ast",2280
"tan",2273
"rad",2273
"hig",2264
"agi",2256
"i s",2251
"suu",2250
"biy",2241
"u I",2240
"o u",2236
"Had",2224
"aye",2223
"ahu",2219
"ya ",2207
"she",2206
" ko",2190
" ci",2189
"n u",2186
"ago",2185
" jo",2181
"ex ",2176
"ork",2170
"ame",2158
"iir",2158
" qo",2156
"bix",2151
"iid",2142
"u n",2138
"wuu",2132
"wey",2131
"tee",2129
" ar",2118
"o n",2108
" il",2101
" ii",2078
", W",2068
"ee ",2054
"dna",2054
"oor",2054
"Wax",2048
"du ",2043
"wel",2041
" Ya",2027
" xu",2025
"nad",2024
"iiy",2019
"y m",2009
"isu",2007
"li ",2006
"o t",2005
"idk",2004
"man",2003
"rra",2002
"i b",1994
" cu",1990
"oba",1990
"ani",1989
"arr",1989
"u g",1981
"y u",1976
"riy",1972
"si ",1967
"i u",1952
"wan",1932
" an",1926
" ge",1920
"oyi",1919
"rti",1918
"liy",1916
"yga",1915
" lo",1910
"is ",1909
"yuu",1907
" Ye",1907
"cad",1905
"d u",1902
"gan",1899
"leh",1897
" ra",1896
" to",1893
"nig",1890
"o x",1889
", k",1888
"max",1864
"ii,",1860
"su ",1857
"cay",1853
"i l",1853
"in,",1850
"yin",1849
"nku",1849
"ega",1843
"d w",1839
"h o",1836
", s",1836
"qur",1833
"ula",1829
"alb",1821
"ri ",1818
"alo",1818
"era",1813
"usa",1808
"ahd",1805
"kuu",1803
", l",1797
"gur",1791
" Ba",1787
"un ",1784
"are",1784
" al",1782
"yim",1782
" Sa",1776
"idd",1770
"a f",1760
"dam",1759
"kas",1756
"qab",1754
" be",1750
"xii",1747
"dig",1737
"yda",1735
" ke",1731
"udu",1729
"deg",1728
"eyn",1718
"d b",1718
"gta",1713
"i m",1696
"art",1691
"ab ",1690
"u c",1690
"ulk",1685
"xoo",1681
"bal",1669
"a Y",1668
"qal",1663
"nnu",1657
"oos",1650
"bax",1644
"nim",1636
"ga,",1630
"uru",1627
"do ",1625
"ool",1623
"iib",1612
"dla",1607
"dho",1605
"bi ",1604
"aqa",1597
"en.",1597
"noo",1593
"shu",1591
"wal",1584
" Ha",1583
" Da",1581
"d d",1580
"tid",1579
"i r",1574
"a'u",1572
"ayu",1566
" ru",1563
"imi",1562
"kar",1559
"qay",1557
"odi",1557
"'uu",1551
"el ",1548
"rin",1545
" je",1544
"gsa",1527
"ag ",1526
"ami",1520
"uga",1518
"uba",1517
"s d",1517
" go",1509
"ran",1501
"maq",1497
" xo",1494
"adl",1490
" ig",1487
"u x",1475
"xag",1474
"ayi",1469
"abs",1464
"ahi",1464
"hul",1461
"ilk",1458
" xi",1457
"hu ",1455
"cii",1450
"gar",1446
"xa ",1445
"lig",1443
"anu",1435
"uda",1434
"gud",1433
"abi",1433
"agt",1427
"nab",1423
"n j",1418
"rya",1417
"ist",1416
"hin",1411
"Mas",1402
"bsa",1396
"; o",1387
"qud",1385
"o o",1384
"y b",1382
"tuu",1382
"lib",1377
"d o",1371
"ah.",1369
"s a",1368
"le ",1367
"kul",1367
" af",1360
"Daa",1360
"in.",1356
"ura",1354
"abt",1353
"uwi",1351
"Sid",1349
"axy",1346
"rba",1345
"aho",1341
"dun",1341
"bba",1341
"diy",1339
", I",1337
" ja",1330
"u f",1329
"amb",1323
"rag",1322
"sna",1322
"mii",1321
"las",1319
"e, ",1318
"n h",1313
"ey,",1312
"h i",1309
"xiy",1306
"rii",1297
"afa",1294
"mah",1290
"i o",1290
"i j",1288
"n t",1286
"l o",1285
"udh",1285
"aql",1282
"moo",1281
"e w",1280
" fi",1276
"l, ",1276
"ish",1275
"dir",1268
" tu",1266
", h",1264
"xya",1262
"ebi",1253
"hab",1247
"car",1243
"y n",1241
"olk",1239
"oob",1232
"cun",1229
" i ",1225
"cab",1217
" te",1215
"akh",1215
"urb",1210
"lli",1208
"bka",1204
"oya",1201
"jid",1199
"nto",1198
"exd",1197
"rto",1195
"unt",1194
"bii",1191
" Si",1191
"yar",1185
"ary",1184
"asi",1182
"ise",1171
"i R",1170
", R",1170
"n c",1169
"n y",1168
"lo ",1167
"kun",1163
"edi",1163
"roo",1159
"igo",1157
"aro",1156
"cee",1154
"e a",1150
"y g",1149
"r k",1143
"hac",1143
"adu",1140
"ici",1140
"aso",1133
"x k",1133
"Yer",1133
" Aa",1131
"irt",1130
"n x",1128
"lbi",1127
"tah",1126
"g, ",1126
"n g",1126
" he",1126
"him",1121
"Bal",1120
"use",1120
"ban",1119
" er",1119
"war",1117
"mmu",1114
"no ",1108
"a. ",1107
"ya,",1106
"sho",1105
" og",1103
"abk",1101
"yst",1099
"axd",1094
"n n",1092
"aac",1089
"see",1088
"ol ",1088
"n q",1088
"gi ",1087
"l i",1086
"uux",1085
"da.",1083
"ynu",1079
"uul",1079
"eru",1076
"yd ",1072
"d s",1072
"oqd",1071
" La",1071
"ibi",1069
"emb",1068
"odd",1067
"urt",1065
"yow",1062
"tag",1056
"adn",1052
"kum",1050
"s o",1050
", d",1047
"yih",1044
"irk",1044
"i q",1043
"y t",1042
"tal",1041
"yan",1040
"h k",1038
"nag",1038
"Cii",1035
"dba",1034
"rku",1033
"r, ",1033
"ud ",1032
"u r",1031
"ena",1030
"amr",1028
"i h",1025
"y c",1021
"os ",1021
"re ",1017
"y l",1016
"l e",1014
"gab",1014
", M",1012
"xaq",1007
"e k",1006
"hel",1006
"dem",1006
"xad",1004
"qol",1002
"to ",1001
"his",1001
"ndh",997
"n. ",996
"soc",996
"ags",995
"kor",995
" Sh",995
"gel",993
"iig",990
"ro ",990
"eh ",987
"oom",987
"y q",987
"h a",985
"rid",980
"ul ",979
"ggi",975
" fu",974
"xan",974
"a S",974
"haw",972
"nan",971
" mu",970
"dib",968
"bta",966
"na,",962
"hir",961
"s w",959
"h w",958
"ono",957
"cid",957
"sku",955
" Ci",954
"dhk",952
"e i",950
"how",950
"aaq",946
"ora",945
"sa,",944
"gal",944
"ygi",937
"y r",936
"o f",931
"egg",929
", S",927
"Yah",927
"a e",926
"kht",925
"qon",923
"fur",922
"mbi",921
"kha",920
"hti",919
"boo",918
"rsa",917
" Ca",916
"owa",915
"o Y",914
"l k",913
"xdi",911
" Mu",909
"nee",908
"a A",907
"wix",903
"'aa",900
"i g",899
"a M",899
"Muu",899
"d m",894
"faa",893
"uub",891
" Ka",890
"s, ",886
" kh",881
"cda",880
"eh,",879
"o R",878
"aft",878
"teg",875
"lem",875
"qda",874
", A",873
"ase",871
"xda",871
"i'i",869
"mas",869
"ra ",868
"r a",868
"n r",867
" im",867
"ush",866
". O",865
"ull",863
"ege",862
" su",856
"gun",851
"og ",849
"nii",846
", b",845
"hde",845
"d t",843
"odu",841
"ars",841
"dax",839
"egi",839
"i n",837
"mo ",836
"cal",833
"cag",833
"y h",832
"rah",829
"s k",827
"jee",824
"ogg",816
"o S",816
