" i ",36694
" na",19685
"je ",18571
" sv",17505
" se",15617
" po",15514
"da ",15268
" da",15142
", i",14275
" ne",14170
"na ",14141
" je",14119
"i s",13602
"e s",12538
"a s",12432
" u ",12390
" ko",12297
"se ",12249
"od ",11988
" pr",11705
"ti ",11424
"še ",11409
"voj",10593
"ne ",10389
"pod",10273
" za",10082
"e, ",9904
" nj",9399
" od",9308
"oji",9136
"a, ",9106
"a n",9074
" do",8976
" ka",8975
"e n",8965
"i n",8950
"spo",8830
"ma ",8777
"e i",8596
"koj",8596
"osp",8525
"te ",8401
"svo",8396
"ima",8352
"gov",8290
"ji ",8216
"Gos",8053
" Go",8017
"i p",7740
"nje",7665
"će ",7660
"ovo",7543
" si",7462
"sta",7331
"e p",7304
"ko ",7213
"a i",7037
"om ",6845
"li ",6622
"ove",6597
"im ",6561
"ja ",6521
" iz",6519
"i d",6511
" re",6472
"to ",6445
"ju ",6379
"i o",6289
"u s",6278
"ovi",6237
"ako",6179
"e o",6131
"i i",6060
" sa",6005
"de ",5997
" go",5978
"i, ",5920
"ih ",5912
"og ",5877
" me",5753
"nji",5679
"iti",5630
"ego",5589
"ni ",5587
"e u",5579
"e d",5574
"ve ",5536
"ta ",5516
" st",5505
"sve",5451
"vi ",5346
" on",5312
" mo",5226
"o s",5220
"jeg",5209
"oje",5191
"ad ",5139
"e m",5083
"pre",5083
"va ",5017
"i u",5002
"u, ",4999
"ost",4916
" će",4882
"i k",4867
" be",4863
"ova",4818
"sin",4806
"za ",4763
" bi",4722
"reč",4716
"er ",4707
"a p",4679
"ka ",4667
"vor",4640
"rod",4627
"lje",4580
" št",4574
"ga ",4565
"ati",4563
"ao ",4537
"e k",4378
"aše",4377
"a d",4335
"avi",4284
", k",4282
" va",4231
"a o",4230
"i m",4227
"ino",4209
"nov",4169
" Bo",4157
"sti",4155
"am ",4135
"eče",4068
"tvo",4038
"vim",3966
"a k",3966
" te",3961
"jim",3957
" im",3949
" vi",3903
"lju",3887
"u n",3864
" ve",3860
"m, ",3848
"dan",3837
"a m",3810
" ni",3753
"eni",3751
"ini",3747
"e z",3743
"lja",3702
" ra",3689
"jih",3681
"ist",3666
"car",3654
" mi",3631
"oj ",3622
"odi",3599
"ama",3569
"ilj",3561
"e b",3558
"est",3535
" ca",3533
"aro",3506
"mu ",3483
", n",3462
"čin",3454
"eka",3443
"vog",3425
"ri ",3405
"dje",3401
"ite",3381
"me ",3361
"što",3349
"rad",3346
"u i",3346
"ću ",3330
"ali",3306
"sto",3290
" su",3270
" mu",3269
"ada",3263
"a u",3255
" ze",3254
"e v",3252
"iše",3229
"pos",3220
" a ",3217
