"ch ",41656
"en ",40078
" de",37320
" oc",35405
"och",34192
"de ",31159
" ha",28589
"om ",25394
"er ",24847
"ll ",24580
"för",21353
"tt ",20368
"an ",19669
" fö",19254
"ill",19158
"ade",18163
" ti",17955
"ar ",17052
" sk",17011
"til",16899
"all",15984
"som",15797
"han",15469
"et ",14673
" so",14572
"der",14371
" i ",13779
"den",13375
"att",13102
"n s",12653
"na ",12281
"är ",11969
" si",11743
"ska",11327
"det",11162
"ör ",11091
" va",10970
" at",10625
" så",10154
"ra ",10088
"ag ",9933
"ig ",9857
" mi",9836
" me",9744
", s",9711
" di",9687
" vi",9633
"var",9504
"in ",9471
" st",9319
"ick",9268
"nde",9217
"r d",9212
"cke",9096
", o",9029
"ter",8961
"and",8900
"kal",8889
"gen",8802
"n, ",8776
" är",8572
"la ",8550
"ns ",8543
" ja",8217
" ho",8173
"ing",8071
" ko",8021
" en",7998
"ed ",7952
"a s",7915
"jag",7739
" fr",7596
"r s",7571
"nom",7548
"Och",7481
"ke ",7442
"a, ",7409
" på",7348
"a d",7323
"på ",7277
"av ",7220
"r, ",7184
" ic",7175
" av",7155
" al",7119
"e s",7108
"med",7083
"hon",7017
"ta ",6963
"HER",6790
"ERR",6790
"RRE",6790
" sa",6764
"t d",6661
"så ",6595
"t s",6558
"rna",6427
" HE",6409
"REN",6403
"n h",6340
"as ",6210
"har",6145
"dig",6020
"dem",6019
" be",5976
"ver",5969
" bl",5936
"ono",5869
"ett",5788
" du",5753
"ans",5751
"lla",5734
"n f",5726
"ga ",5647
"lle",5628
"h s",5623
"r h",5605
"e h",5556
"va ",5499
"t, ",5488
" he",5486
" in",5421
"sta",5413
"ede",5368
"du ",5362
" ut",5352
"da ",5321
"t h",5295
", d",5285
"r o",5278
"n o",5207
"are",5168
"nne",5139
"n d",5121
"h d",5113
"sin",5103
"ten",5093
": »",5059
"a f",5048
"upp",5034
"nge",5032
"s s",5002
"itt",4981
"där",4884
"e d",4882
" up",4875
"kom",4854
"en,",4846
"t f",4843
"em ",4835
" ed",4802
"lig",4739
"arn",4692
"å s",4669
"on ",4632
"ord",4607
" hu",4605
"n t",4604
"r a",4594
"frå",4565
"ung",4560
"sig",4539
"ara",4526
" dä",4501
"a o",4500
" sä",4478
