"ng ",189341
"ang",123210
" sa",75183
" na",68055
"sa ",66121
" ka",57339
" ng",53785
" an",47258
"at ",45300
"ay ",40037
" at",38796
"na ",38496
"g m",37411
"ga ",36029
" ma",35355
"an ",32196
"mga",32089
" mg",32085
"iya",30732
", a",29087
" si",28515
"ala",28094
"ani",26132
"kan",25328
"ing",24639
"ong",24626
"a a",24450
"a n",24436
"g k",24069
" ay",23816
" pa",23449
"a k",23232
"ila",22943
"n n",21975
" ni",21173
"niy",20917
"ina",20741
"a s",20582
"yan",19930
"lan",18659
"apa",17632
" ba",17167
"ana",17103
"nga",16328
"ama",16259
"g i",16156
"gin",16106
"aki",16058
"t s",16057
"g s",15989
"'y ",15717
"y n",15537
"a m",15277
"t n",15189
"pag",15175
"yon",15159
"n, ",14991
"nan",14954
"aha",14938
"asa",14905
"g p",14659
"t a",14470
"g a",14457
"on ",14079
"aga",13964
"in ",13962
"n a",13928
" ak",13875
"a i",13866
"man",13856
"At ",13779
"ata",13693
"n s",13169
"nag",13152
"awa",12779
" la",12603
"kin",12586
"ayo",12539
"a, ",12456
"aka",12388
"mag",12203
"pan",12175
"aya",12121
"a p",12016
"g b",12008
"oon",11819
"ngi",11728
"gka",11678
"nil",11620
"ali",11509
", n",11382
"ari",11156
"agk",11086
"nak",10960
"o, ",10922
"aba",10810
"'t ",10809
"abi",10677
"san",10617
"g l",10536
"g n",10405
"ara",10282
" ta",10096
"gay",10044
"han",9959
"ino",9928
"o a",9926
"la ",9833
"ni ",9697
"ya ",9685
" ha",9443
"gan",9344
"ags",9344
"ita",9298
"a b",9280
"uma",9248
"sin",9181
" iy",8962
"iyo",8916
"g t",8891
"hin",8871
"a'y",8813
"i n",8791
" da",8782
"o n",8571
"y m",8551
"a't",8378
"noo",8271
"siy",8213
" Pa",8201
" in",8037
"ito",8024
"a l",7995
"kay",7970
"o s",7874
"pin",7843
"Pan",7748
"upa",7696
"isa",7660
"an,",7541
"ung",7520
"nyo",7314
"tin",7280
" hi",7276
"ini",7273
"ndi",7248
"di ",7235
"ak ",7214
"ako",7162
"iny",7018
"ati",6853
" ga",6832
"o'y",6828
"si ",6754
"y s",6709
"aan",6701
"ban",6623
"a h",6500
"yo ",6487
"agi",6482
" pi",6357
" is",6353
"tan",6343
"sil",6342
"lal",6324
"k n",6321
"hat",6290
"ind",6229
" bu",6184
"kas",6110
"lak",6082
"ula",5964
"g P",5878
" lu",5853
"har",5832
"aon",5713
"ko ",5676
"sal",5668
"gsi",5634
"ili",5594
"t i",5553
"t k",5516
"g h",5503
"s n",5497
"a t",5478
"as ",5410
", s",5386
"g d",5386
"kap",5380
"uwa",5365
"ain",5334
"mat",5289
"ta ",5254
"pat",5250
"may",5210
"bi ",5146
" it",5134
" mo",5094
"i, ",5072
"bay",5015
"ka'",5010
"; a",4995
" tu",4917
"ios",4907
"nin",4889
"lah",4881
"i s",4874
"wal",4871
"on,",4847
"aw ",4842
"nab",4805
"wan",4722
"tay",4654
"ya'",4654
"hay",4646
"sab",4595
"ami",4553
"lin",4536
"to ",4530
"wa ",4498
"nas",4480
" Di",4455
" ku",4438
"kal",4370
"sam",4352
"Dio",4342
"t m",4328
"ibi",4322
"os ",4242
"n m",4225
" pu",4167
"isi",4123
"bag",4121
"ahi",4098
"kam",4091
"lit",4086
"kat",4065
"agp",4026
" ko",4013
"mal",4008
"mak",3980
"gal",3965
"ag ",3956
"lab",3956
"a g",3909
"an.",3905
"ika",3905
"nal",3886
"s, ",3870
"a d",3848
"g g",3841
"mo ",3807
"ngg",3803
" ib",3747
"l s",3707
"y a",3677
"dal",3672
"ipa",3634
"sap",3616
"gag",3600
"lup",3582
"g D",3574
"big",3555
"bin",3554
" li",3536
"gaw",3513
"tao",3509
"bab",3493
" di",3491
"yo'",3488
" ti",3482
" up",3481
"yao",3455
"gpa",3449
"n k",3449
"ka ",3449
" su",3416
"gsa",3407
"nam",3383
"atu",3375
" hu",3369
"kun",3353
"ngk",3329
"sas",3311
"min",3292
"it ",3255
"to,",3246
": a",3198
"git",3191
"iga",3174
"and",3155
"iba",3154
"sis",3154
"par",3151
"ri ",3137
"bah",3128
" Is",3109
"lag",3108
"ipi",3067
"gga",3056
"i a",3047
"i J",2986
"tat",2982
" gi",2978
"ig ",2978
"raw",2974
"y h",2974
"nap",2945
"lam",2930
"t p",2920
" bi",2917
" ik",2915
"n; ",2900
"la'",2897
"inu",2896
"kit",2882
"ihi",2867
"Ang",2861
"ap ",2836
"uha",2835
"mul",2823
"wag",2809
" mu",2806
"nat",2777
"in,",2774
"pal",2773
" wa",2755
"ael",2753
"pak",2745
"kak",2744
"iha",2713
"ran",2696
"y k",2691
"ulo",2688
"mam",2679
"abu",2668
"s a",2659
"bi,",2654
"t h",2654
"rit",2651
"nig",2639
"rin",2627
"sra",2606
"rae",2596
"id ",2595
"Isr",2595
"naw",2588
"roo",2579
"aro",2575
"s s",2563
"kaw",2544
"sum",2541
"ano",2529
" Je",2529
"igi",2522
"g, ",2518
" ar",2516
"y i",2506
" ip",2505
"lon",2494
"ya,",2493
"pap",2483
"kah",2481
"uni",2457
"gya",2437
"api",2427
"rap",2420
" Sa",2390
"og ",2386
"tun",2380
"y p",2374
"ma ",2353
"l n",2346
"kar",2342
"pun",2340
"mas",2335
"iwa",2330
"n: ",2312
"wa'",2311
"mab",2305
"pas",2285
"una",2285
"ot ",2272
"alo",2262
"tap",2255
"w n",2251
"no ",2246
"ol ",2243
"pai",2241
"t, ",2236
"law",2234
"apu",2212
"gko",2208
"lat",2207
"p n",2203
"usa",2201
"al ",2198
"gun",2192
"l, ",2191
"a; ",2181
" ya",2170
"i A",2167
"lib",2164
"dak",2163
"umi",2150
" am",2131
"ndo",2119
"sip",2104
"gta",2089
"uno",2081
"kag",2069
"il ",2057
" du",2056
"alu",2051
"agl",2040
"on.",2038
"od ",2037
"kai",2034
"la,",2029
"d n",2028
"ko'",2023
"pa ",2016
"hil",2012
"y, ",2009
"yo,",1993
"din",1987
"ada",1975
"kab",1955
"agt",1950
"agb",1944
"i't",1940
"tag",1925
"nah",1925
"gat",1916
"yar",1908
"bat",1906
"; s",1901
"an;",1899
"y t",1899
", k",1895
"ulu",1894
"ngy",1893
"uto",1891
"bas",1888
"sus",1886
"g u",1883
"ni'",1866
"w a",1864
"iti",1860
"Sap",1857
"bal",1852
"t t",1846
" il",1832
"i k",1832
" al",1828
"ake",1827
"lil",1821
"d s",1809
"lay",1805
"dah",1799
"kaa",1793
"pam",1792
" ki",1783
"buo",1783
"uwi",1782
"ton",1781
"li ",1779
"ay,",1772
"ira",1770
"int",1768
"baw",1763
"ba ",1760
"ngu",1757
"mpa",1756
"mar",1742
"pit",1740
"a: ",1739
"m n",1734
": s",1733
"i S",1731
"und",1725
"aal",1721
"uon",1720
"asu",1711
"nom",1709
" At",1700
"lum",1699
"kod",1697
"lim",1687
"ok ",1685
"k s",1682
"d, ",1678
"ad ",1675
"awi",1671
"bak",1666
", u",1662
"tum",1661
"i m",1659
"ato",1658
"agh",1654
"el ",1648
" Jo",1647
"buh",1643
"is ",1641
"asi",1638
"iki",1634
"uli",1629
"nar",1625
"gha",1625
"gba",1621
"kil",1619
"mah",1607
"nda",1598
"ant",1576
"agu",1573
"an:",1571
"kon",1568
"mon",1565
"tul",1563
"hal",1559
"tak",1540
"tuw",1535
"y l",1533
" Da",1532
"umu",1532
"lo ",1528
"a J",1527
" o ",1523
"a u",1520
"y d",1518
