"พระ",39394
"ของ",32781
"และ",27939
"ที่",20972
"จ้า",20460
"เจ้",20356
"องค",19492
"เขา",18181
"งค์",17411
" แล",16309
"ระอ",15957
"ะอง",15793
"่าน",15361
"ได้",15275
"ว่า",15190
"ข้า",14955
"ระเ",14357
"เป็",14244
"ป็น",14242
"ั้น",13875
"ั้ง",13564
"ท่า",13295
"ให้",13228
"นั้",13197
"องเ",13031
"ื่อ",12710
"เรา",11367
"ทั้",11212
"ผู้",11126
"าห์",11058
"ทรง",10484
"งพร",9705
"้าพ",9467
"่า ",8805
"อยู",8548
"ยู่",8493
"ึ่ง",8181
"ลาย",8121
"ะเย",8105
"ประ",7855
"องพ",7689
"เมื",7535
"วาม",7530
"ควา",7495
"ไม่",7393
"หลา",7357
"้งห",7287
"เยโ",7130
"ยโฮ",6982
"มือ",6900
"งหล",6845
"กับ",6774
"วาห",6684
"โฮว",6637
"ฮวา",6637
"แต่",6587
"ล้ว",6453
"แล้",6395
"าจะ",6231
"การ",6179
"นี้",6115
"จาก",6037
"พรา",5997
"ราะ",5985
"เพร",5892
"ระท",5830
"ด้ว",5687
"้วย",5677
"ะเจ",5621
"าพร",5618
"ละเ",5550
"่าง",5494
"งเข",5275
"าขอ",5254
"นที",5162
"า """,5108
"ย่า",5023
"อย่",4955
"าพเ",4951
"ล่า",4948
"พเจ",4883
"แก่",4881
"้อง",4798
"กระ",4693
"ซึ่",4640
" เพ",4636
"ไว้",4536
"รับ",4464
"เอล",4253
"นขอ",4215
"องท",4195
"ต่อ",4184
"ือง",4108
"ะทำ",4097
"จึง",4062
"บุต",4016
"ุตร",4016
"รือ",4008
"พวก",3984
"มื่",3983
"งเร",3979
"เสี",3914
"สีย",3899
"าเอ",3831
"ราเ",3821
"้า ",3751
"ิ่ง",3682
"แห่",3665
"์ทร",3654
"ห่ง",3648
"้น ",3636
"ดิน",3583
"ถึง",3578
"ชาย",3568
"ี่เ",3514
"าทั",3418
"่อง",3416
"ขึ้",3411
"ึ้น",3409
"ห้เ",3376
"นึ่",3366
"ัตร",3365
"หนึ",3354
"ตาม",3350
"เหล",3347
"องข",3325
"ค์ท",3305
"เพื",3295
"พื่",3295
"งท่",3265
"อิส",3229
"ออก",3208
"หรื",3207
"รัส",3198
"น แ",3166
"นทั",3166
"ริย",3162
"งเจ",3115
"้เป",3107
"วัน",3063
"้าง",3042
"จะไ",3020
"ือน",3020
"สรา",2989
"าได",2987
" พร",2978
"า แ",2976
"ตริ",2969
"กษั",2962
"ษัต",2962
"ิย์",2961
"ห์ ",2957
"ตรั",2956
"เข้",2952
"ิสร",2942
"รื่",2935
"งข้",2927
"บรร",2917
"ยขอ",2912
"งขอ",2910
"งที",2892
"้าข",2878
"็นเ",2845
"กัน",2836
"นพร",2828
"ร้อ",2791
"ค์ ",2774
"้าไ",2751
"คือ",2745
"ราจ",2739
"้าเ",2712
"านท",2703
"้าจ",2674
"า เ",2664
" แต",2662
"่งเ",2657
"ขาท",2645
"ายข",2640
"ทุก",2633
"นดิ",2603
"แผ่",2597
"เถิ",2570
"ถิด",2570
"ผ่น",2566
"ระช",2559
"่พร",2549
"ยัง",2533
"ับเ",2532
"นนั",2531
"จะเ",2508
"รดา",2501
"อพร",2498
"านั",2497
"่นด",2490
"ี่น",2483
"ตรช",2465
"์พร",2459
"ายเ",2429
"หล่",2394
"งนั",2378
"ตัว",2351
"สิ่",2348
"งคน",2348
