"an ",5256
" tə",2848
" da",2660
"as ",2303
"ara",2240
" ən",1995
" ta",1826
"n a",1825
"aɣ ",1607
"n ə",1600
" wa",1576
"a d",1527
" n ",1515
"at ",1491
"wa ",1482
" a ",1456
"daɣ",1407
"in ",1374
"ən ",1302
"ay ",1301
"net",1292
"awa",1292
"ər ",1207
"ar ",1184
"en ",1171
" as",1166
"san",1154
" əd",1131
"ad ",1105
"ana",1104
"a i",1091
" ad",1067
"a a",1053
"an-",1016
"wan",1011
" wə",1010
"n d",987
"əl ",983
"a t",979
"ran",951
"tan",945
"na ",927
": «",916
"wər",914
"n t",913
"ala",912
"ama",883
"-ne",869
"dan",850
"asa",844
"et ",844
"fəl",841
"əd ",831
"da ",828
" in",828
"al ",824
"a n",815
" fə",815
"a ə",801
"n, ",769
"əšš",767
"n i",764
"n w",749
"-as",748
"lan",733
" ig",727
"nna",713
"ta ",710
"šin",694
"ɣ a",691
" am",690
"t t",679
"ak ",670
"a, ",658
"əla",656
" na",639
", i",638
"əs ",637
" əm",631
" im",628
"ada",625
"əzz",625
"ina",624
"la ",621
"s ə",614
"ədd",614
"s a",606
" əs",606
"šši",605
"n n",596
"du ",575
"am ",567
" wi",561
" ka",560
"nen",559
"ṇn",558
"di ",558
"̣ṇ",556
"nak",552
"an.",551
"a w",551
"s i",548
"win",545
"s t",541
"n-n",537
" di",528
"nan",527
"zza",524
"nta",522
"l a",522
"zar",517
", a",515
"əmə",496
"t, ",492
" ar",492
" al",490
", ə",489
"r i",488
"eda",488
"man",488
"mar",484
"r t",483
"yya",481
"d t",480
"las",480
"bar",473
"Məš",472
" Mə",471
" i ",471
"rar",471
"rat",470
"təm",468
" d ",468
"kal",467
"-na",467
" is",466
"mos",465
" aw",464
"ənt",462
"an,",461
"aya",459
"yan",454
"ga ",442
"dda",439
"t ə",437
"aza",435
"sa ",433
"nay",429
"d a",427
"wen",425
", t",423
"ṃa",420
"t a",420
"nat",418
"təg",418
"mad",413
" ši",409
"r ə",406
" ku",400
"aka",399
"gan",397
"iga",394
"osa",394
"n-a",391
" ba",389
"ray",387
"kul",386
"ata",383
"d ə",382
"ssa",375
"agg",374
"y a",370
" əz",367
" ma",364
"ər-",362
"ṇa",360
"əss",358
" nə",355
"̣an",353
"l ə",352
"aw ",348
" əg",348
"raw",348
"wal",343
" ak",342
" s ",342
"gga",341
"iyy",340
" du",339
"s d",337
"ays",336
"l w",334
"ssə",334
"məl",333
"ysa",333
"aga",332
"kka",328
"ima",326
"t i",325
" y ",324
"bba",324
"qqa",323
" də",323
"Ɣay",323
"lla",322
"ənn",322
"tən",321
"ayt",321
"har",321
"ɣ ə",320
" Ɣa",320
"əli",319
"r a",316
"Əmə",314
"aɣa",313
"et.",311
"ṣa",310
"-in",309
"təs",304
"tag",301
"d i",300
"šan",295
"nas",293
"əm ",291
"tu ",288
"ann",288
"ita",288
"iša",288
"eɣ ",288
"a f",287
"aɣ-",287
"As ",287
" ag",283
"əmm",279
"zan",279
"n k",279
"aba",279
"ul ",278
" ha",278
"-du",277
" Ya",277
"a-n",275
" it",275
"təz",274
"əga",274
"-əs",271
"s w",269
"tay",268
" Kə",268
"n M",267
"all",266
"n m",262
"aṃ",261
"ṣə",260
"zal",260
"t d",260
"nn-",260
"et,",259
"mat",259
"ṣs",259
"̣ṣ",259
"əqq",258
"ya ",258
"Kəl",258
"y ə",257
"n. ",255
"dag",253
" tu",250
"akk",249
"a: ",248
"han",248
"tar",245
"dər",245
" Ma",244
"os ",243
" nn",243
" ih",243
"t w",242
" Əm",242
"ddə",242
" id",241
"taw",241
"əna",241
"s: ",241
"fal",240
"ila",240
"zzə",239
". A",238
"imo",238
"nin",237
"kay",236
" ay",235
"r d",234
"ɣ t",234
"ba ",234
" əš",233
" an",232
" ab",232
"d-i",231
"y d",231
"əṃ",231
" ik",231
"k a",230
"tta",230
" əl",229
"kan",228
"ra ",228
"r-ə",228
"n s",227
"inn",227
"̣a ",226
" iy",226
"ad-",226
"aha",225
"t-n",224
"əma",224
"iss",224
"əṇ",223
" ək",222
"l i",221
"awe",221
"wat",221
" il",220
"u t",219
"tat",219
"t n",218
"kaw",218
"ləs",217
"ɣur",217
"as:",217
"fər",216
"'as",216
" d-",215
"n: ",214
"əkk",213
"i a",213
"ewa",212
"m a",211
"t-i",210
"im ",210
"bra",210
"Təz",209
"ffə",209
"nam",209
"iṇ",208
" «A",207
"nne",206
"at-",206
"i t",206
"Yaq",206
"qub",206
" za",205
"əff",205
"aqu",205
" iz",204
"mma",204
"yte",204
