"lar",31991
"ler",21108
"arı",20408
"eri",16460
"in ",16063
"an ",15310
" ya",14628
"ın ",14091
"en ",13583
" bi",12906
"ını",12668
"rın",12060
" ka",11610
" ve",10912
"nla",10376
" de",10149
"da ",9927
"rin",9566
"na ",9562
"ini",9379
"ara",9358
"ile",9344
"bir",9290
" ol",8883
"nde",8710
"de ",8566
"nda",8545
"anı",8281
"nın",7887
"edi",7840
"den",7789
"le ",7751
"er ",7694
" ge",7594
"aca",7594
"aya",7513
"n b",7513
"ece",7493
"dan",7313
"ne ",7300
"ir ",7210
"ni ",7125
"rı ",7079
"eni",6998
" ba",6950
"yor",6914
"ve ",6905
" gö",6887
"RAB",6868
"n k",6822
" ‹‹",6714
" sa",6449
"ar ",6448
" bu",6315
"cak",6294
"ağı",6282
"ınd",6252
"nı ",6090
"a, ",6082
"ına",6036
" iç",6010
"sin",5999
"yle",5960
"adı",5954
"ine",5948
"kla",5930
"n, ",5911
", ‹",5882
" on",5878
" di",5856
"ak ",5827
"unu",5685
"r, ",5674
"lan",5668
"sın",5652
" ha",5637
"n s",5616
" da",5606
"ada",5539
"içi",5518
"la ",5503
" gi",5467
" ku",5436
"ıla",5413
"ere",5396
"a b",5393
"e k",5365
"un ",5339
" RA",5334
"çin",5281
"i, ",5210
"ek ",5195
"ala",5182
"e b",5152
"ya ",5118
" gü",5110
"› d",5075
"kar",5060
"ind",5049
"anl",5039
"ana",4998
" se",4967
"ard",4956
"alı",4955
"ken",4898
"e d",4896
"ri ",4859
"a k",4846
"ün ",4835
"›› ",4791
" ye",4774
"n y",4763
" be",4730
"ası",4721
"end",4707
"esi",4690
"a d",4663
"ola",4658
" ke",4647
"cek",4597
"ver",4545
"ndi",4526
"ığı",4494
" ki",4473
"sun",4470
"yan",4463
"anr",4449
"nrı",4449
"ama",4424
"Tan",4404
"n a",4401
"e y",4384
"iği",4341
" Ta",4339
"diy",4337
"n d",4324
"ayı",4303
"ra ",4262
"ğın",4208
"a g",4190
"ili",4173
"öyl",4147
"eği",4134
"eli",4121
"n g",4102
"rdi",4101
"di.",4094
"ele",4090
"ral",4088
"erd",4083
"e g",4051
" ta",4035
" ko",3964
"nle",3935
"nız",3907
"iyo",3902
"ye ",3879
"ede",3864
" so",3837
"dı.",3787
"ma ",3768
"kle",3736
"eye",3735
"e s",3720
"e, ",3714
"ki ",3683
"nu ",3672
" al",3645
"iye",3644
"a y",3622
"yap",3596
"alk",3582
"gün",3580
"rdı",3564
"bil",3562
"iri",3560
"gel",3533
"r. ",3514
"eme",3505
" İs",3481
