"ого",4657
" і ",4408
" не",4282
" що",3938
" на",3926
" пр",3799
" по",3552
", щ",3399
"не ",3369
"ть ",3074
"ли ",3015
"що ",2904
"го ",2774
"и, ",2433
" до",2298
"ти ",2252
" ві",2188
", і",2148
" в ",2119
"на ",1973
" й ",1931
" ж ",1907
"о, ",1871
" та",1867
"о в",1757
"али",1725
"про",1724
" ва",1716
" за",1688
"від",1673
"вши",1629
" ся",1621
"при",1618
" ви",1615
"то ",1613
"ому",1587
"о н",1570
"сь ",1559
"ові",1538
"та ",1536
"е, ",1522
"ста",1519
"ав ",1508
", т",1505
" ко",1488
", п",1449
" з ",1423
"и в",1399
" бу",1389
"бо ",1386
"же ",1371
"а, ",1369
" то",1345
" Бо",1335
" бо",1330
"до ",1293
" ме",1290
" Йо",1286
"оди",1261
"ись",1252
"ере",1240
" од",1224
" як",1220
"оло",1213
"го,",1205
" го",1192
" же",1189
" се",1180
" сл",1179
" у ",1161
"пер",1150
"ь, ",1149
"о с",1147
" ро",1146
"ь с",1146
"ши ",1140
"лов",1138
"о п",1126
" йо",1122
"щоб",1117
"і, ",1108
"е в",1106
"ив ",1101
"ати",1091
" сь",1091
"ся ",1079
"об ",1077
"м, ",1075
", а",1073
"у, ",1063
", н",1058
"ува",1049
"оро",1037
"і в",1036
" мо",1033
"му ",1032
"оли",1030
" а ",1025
"ить",1018
"мен",1012
"спо",1009
"лаг",1009
"ост",1003
" Іс",1001
" вс",1001
"ми ",1001
"под",989
"е п",986
"аго",980
"сус",974
"ити",974
"Ісу",969
"ист",960
"или",960
"сти",955
"рий",954
"и с",952
"и м",946
"ий ",938
" пе",936
"рис",905
", я",902
" ст",901
"и н",898
"в, ",895
", к",892
" ма",891
"а н",890
"сьв",885
" во",883
"як ",878
"ник",860
"ово",854
"зна",854
"род",852
"Йог",845
" св",845
"роб",838
"ки ",837
"и п",833
"гол",828
"Бог",826
"в с",824
"ї, ",820
"х, ",814
"и ж",810
" зн",809
"і п",805
"сто",794
"чи ",794
"им ",786
"я, ",783
" чо",779
"а с",776
"ід ",774
"их ",771
"вам",769
"те ",767
" ка",766
"осп",764
"о з",759
"ючи",755
"хто",754
"а в",751
"ам ",748
"о м",747
"шов",746
"сво",741
" я ",741
", в",739
"йшо",739
"йог",737
"е з",732
"ече",721
"ног",718
"іль",716
"е с",696
"й, ",692
"пов",692
"о д",692
", с",690
"ло ",689
"рав",689
"і с",686
"ю, ",684
" пі",682
"ов ",681
" Го",679
"се ",677
"ом ",675
"Гос",670
"аза",665
"че ",659
"вір",657
"роз",653
"ла ",652
" сп",650
"кол",645
", й",644
"каз",643
" ни",641
" те",640
"о б",634
"сть",633
"ами",626
" хт",625
"вас",623
"пра",622
"ів ",619
"них",615
"і н",614
", б",613
", з",613
"кот",611
"и з",610
"они",607
"а й",606
"ебе",605
"пок",605
"ьві",605
" лю",602
"тво",599
"анн",594
"каж",590
"отр",589
"енн",588
"а п",584
"одн",583
"ви ",583
"нї ",582
"пос",580
"ін ",578
"но ",576
"е б",576
"Хри",574
"був",574
"е д",574
" ск",574
" да",572
" Хр",571
"вел",571
"о ж",569
"ене",569
"лис",568
"ни ",566
"вал",566
"по ",565
"слу",563
"вої",561
" ба",561
"реч",558
"го.",556
" мі",553
"за ",552
"ро ",552
" ре",552
"оби",551
"ою ",551
"ени",545
" їх",544
"и д",541
"у в",535
" ве",534
" ти",532
"о т",532
"чол",531
"ред",531
"ога",530
" гл",528
"гла",527
"е м",527
"де ",524
"ять",523
"ход",521
"его",521
"е н",520
"бра",519
" ми",519
